id,price,moonRank,💎 score (%),storeURL,Background,Baloons,Crystals,Dome,House,Lower Floor,Original,Upper Floor
108,0.03,1268,76.44,https://magiceden.io/item-details/7mFH5Xjf6sYcmNpmAXju8M8N5oqR4kQc3sYuCrvHwENB,Space & Planet Moving,None,None,None,Sold!,Blue Crystal,,Orange Rush
114,0.5,524,85.5,https://magiceden.io/item-details/AcrJSqZT7dtPAeVBegpXgGKquFbVoa3GKmD3wF5pSCoN,Space & Planet Moving,None,None,Cracked Dome,Orange Light Tent,Purple & Green Shaded,,Stones Markings
141,0.09,1985,62.58,https://magiceden.io/item-details/DYErvp16X4q65h7FBRmCV5KSQJ9PBub5GdqogCDG3Fa6,Blue Clouds,None,None,None,Sword,Goldand Blue,,Gold Rush
146,0.099,397,91.86,https://magiceden.io/item-details/Hc4N4iGzKXF36PJYu83WUiPt4SDszYDtNkTPkYfD1eZD,Heatwave,None,None,Water Dome,On Sale!,Ground & Gold,,Basic Green
161,0.1,959,81.46,https://magiceden.io/item-details/2HR1spwunAeUMr7XLnZ3VSw4WLQcaXdS9a7gUukTucoR,Trippy Space,None,None,None,On Sale!,Yellow Crystal Ground,,Solana City Red
259,0.1,1426,72.82,https://magiceden.io/item-details/GWCs27rQdcThQRUVRWAvGxYkjwrH8ur3n8ZkK5H48Zag,"Space, Stars, Planet Moving",None,None,None,House & Store,Ground & Gold,,Basic Green
267,0.07,1638,69.2,https://magiceden.io/item-details/AJgquEx2H5P4b5PzWnBSxGt4t4Fm3f8jnddHP6Ge3LPy,Red Sky Dark,None,None,None,Hobbit & Gnome,Purple & Green,,Stones Markings
354,0.1,1748,66.86,https://magiceden.io/item-details/H5HmRYPsZWLqNw8VJfbXZ5UZP91goNGqaLWhrEdivJ4D,Black Sky,None,None,None,Orange Tent,Blue Shaded,,Stones Markings
370,0.1,812,84.17,https://magiceden.io/item-details/C1RDC1oWvCf8GRuWA45AyH1Z8b6ChjEyo8EP7Hm3kSsH,Clouds,None,None,None,"House, Store &Tree Bloom",Brown & Blue,,Solana City Red
418,0.04,2163,59.79,https://magiceden.io/item-details/7uC9fR4JnrVCSG6VBKf12QtxvTt4EViKXNLGsaDKYoBL,Space With Planets Variant,None,None,None,Pink Tent,Purple Crystal,,Basic Stones
475,0.02,1316,75.65,https://magiceden.io/item-details/GQ5gpA9mewbWWYPtWG4q9mg9ChDm6nLq8PEu2WX6SnGy,Red Sky,None,None,None,Orange Light Tent,Blue,,Autumn Snow
504,0.1,2136,59.69,https://magiceden.io/item-details/EwqGqj25Vo1fsag27DAdZiU86xsNgFSxvjuYHHysSDrs,Space & Planet Moving,None,None,None,On Sale!,Redish Blue,,Lava
573,0.1,1509,71.28,https://magiceden.io/item-details/DD5QQmAPTQDWS8wxcTwW5udr8uPM5WYZsfwagheEZhuT,Space Movement,None,None,None,House & Store Blue,Golden Crystal,,Basic Blue
588,0.1,1811,65.7,https://magiceden.io/item-details/54H9h7FJFdgsFaQoz5qD4txabzxWEfJjjakBWjE4DATy,Red Sky Dark,None,None,None,On Sale!,Blue & Brown,,Stones
612,0.1,213,95.25,https://magiceden.io/item-details/HNC7f3pcnPzzPFi8gxWWUwUJ79RLUiwdmPVTdyqF6cft,Clouds,None,Tanzanite Rare,None,"House, Store &Tree Bloom Bluish",Gold and Purple Crystal,,Basic Blue
622,0.1,1411,73.1,https://magiceden.io/item-details/HdANHwsFe9S6jrKVwwaLWkPjRssMJcPkNsCTEA194hDy,Meteors,None,None,None,HammocK,Brown & Blue Shaded,,Orange Lava
662,0.09,1961,63.03,https://magiceden.io/item-details/Ea4xSPVoirBnSfg3W1j9kHjRm5eyZ8NaUMxdnVWikyGR,Cold Wave Lightning,None,None,None,Beast Sword,Green & Purple Shaded,,Blue Lava
676,0.1,978,81.1,https://magiceden.io/item-details/5PJ4Voh6FdybEDQNPsfe8V6yQLeHb3y8rjzPEJDLWSFE,Trippy Space,None,None,None,Dimensional Portal,Golden Crystal,,Basic Stones
695,0.019,598,88.94,https://magiceden.io/item-details/7zrUBdCpEr8PWZfCMM5P3JruVUQuSp4wpWrSVf9LN7J2,Cold Wave Lightning,None,Ice,None,On Sale!,Redish Crystal,,Pyramid Rarelight
708,0.1,722,85.84,https://magiceden.io/item-details/3H1eXBwFhx4BUSzRpBLGNx9vRJNewQnhV5imNAe4VTrg,Comet,None,None,None,"House, Store &Tree",Blue,,Gold Stone
