id,price,moonRank,💎 score (%),storeURL
8,0.68,357,89.51,https://magiceden.io/item-details/Dkm6RrnkohgEaWLrwRZc3hqpV5DfUMZ4i7nZug34QgvU
9,0.39,254,93.64,https://magiceden.io/item-details/FX6CcJsB4KsrCQ8ELd7aC7nhmHwQXSMQ4jwZigULMb2M
13,6.66,243,31.08,https://magiceden.io/item-details/CU6i7tdfiPaKe6j1VkWTGFyx4DYCis54D6rvetxaX8gp
14,2.5,264,72.42,https://magiceden.io/item-details/3M4oFzoL7Y74JmYUUp14nPtQwWmr5kh5BKExm49dsuTN
28,0.5,437,90.34,https://magiceden.io/item-details/8HE8ErsQ9w7yzGJA41j9e3B8HkVD1qWLU7g4mRMMxWBd
33,0.95,424,86,https://magiceden.io/item-details/8tRZ8ypCerk3FU9yWpBvnXQ6ToV3nETUHgRsJaYTQv73
36,1,124,89.11,https://magiceden.io/item-details/4TzNjUyX8fyAdvfHUJE3xrbvDFR7MzfC2QAx1Z6BEH6D
47,0.95,90,90.02,https://magiceden.io/item-details/APGwwzqsrKfBWdhDMW7dErxmf9QbPRbK74nULxLrErZc
48,2,486,74.75,https://magiceden.io/item-details/Bi1L6cdcvmZMoQNo2ighzWz4rueWiMMKHKmCYHLE4Gq3
51,0.8,537,86.14,https://magiceden.io/item-details/6DmQoXeNQhEgzua8hsQMkLMkHFeTuSNdLgU2MbpeX7kW
53,0.81,449,87.1,https://alpha.art/t/6ScAM8zZip7fGSvKqaA2jmZgNx6QhXQwBAWiBgVHwzpn
60,5,362,46.25,https://magiceden.io/item-details/G4xCr8QENTscasgGP2chGUsQHR1Gi9NRAR3f41hn7kfu
63,0.55,325,91.19,https://magiceden.io/item-details/2txakmFLaRRa3B1jUdRGRrGpePfiNhSXJFvFH7L4QwJv
74,0.2,166,96.6,https://magiceden.io/item-details/Rmmqy7YyS7DnXvA95n9mTg79jj9ep73k6xnvCyDpf6h
76,5,490,44.71,https://magiceden.io/item-details/CohxsXACQxWbvmeugXSum5EfKH2ifhsMMv87Dy2Vg8os
82,2,413,75.63,https://magiceden.io/item-details/BBoTyZGHxhRgn5Jq46ePdMX3uecnNUSyzQpem6CHYbQ8
87,0.8,177,90.47,https://magiceden.io/item-details/4hHoiqAuVU6NZWhMG2tDDb4WoQ4VzX1kSxKBNgFda1ua
94,1.89,414,76.72,https://magiceden.io/item-details/26PkZFDgm43rNJho8efVwM9JUE2m1FG7YoezQeS1gXAF
97,0.2,112,97.25,https://magiceden.io/item-details/G1Sfdpa11d1BRMyJDK3bEh411ztaumRXHUftQ9rGKUkf
98,0.3,341,93.5,https://alpha.art/t/2pL2mszh6fTqxEL9D3jYW4Svx1M8yo5ZXDA5nTdomUvV
