id,price,moonRank,💎 score (%),storeURL
1 ,13337,NaN,0,https://solanart.io/nft/8KJNei84VxSy2HGRgLYuruGKLzhxXaD1FvTFVoqTFdA
2,13337,NaN,0,https://solanart.io/nft/CAmLgNTRhgy274HDV5yY5bgCE3LdqZYU9XXQvEjE5mie
17,1700,4683,0,https://solanart.io/nft/FGys2FBQpXbft1EF4zZDobzVNABFbFJeWxiKhHYnXjH7
19,400,6797,0,https://solanart.io/nft/8mcwMxhBPZY4djsHbPiLssYs8pXCH7eeNnw1CJ5GMkba
34,220,2026,0,https://solanart.io/nft/75XF2eSBwM4712Lq12Nx7HoidNdweGMKcxr1pBRyQY7p
41,95,1730,0,https://solanart.io/nft/GFYBC2hAz3hUR3nSbKpDPuFFziPRY4ruSumCgNmhEdad
78,999,341,0,https://solanart.io/nft/FeVV93jve8j8UnL8yHnXFHot3mvfsx2ZnbTSXWaGEjXg
136,50,3884,51.35,https://solanart.io/nft/GVJm29GNFYpkX7iXVPgudqR8HtS1qFeCfpj66wboz3iM
147,55,5612,0,https://solanart.io/nft/AZaKtBxGptgbEFi4S77qf5wPbDcyoNHZjzXBRrDymjvC
178,1000,2024,0,https://solanart.io/nft/DFER2nWvvGsxfxVnnM2kn1hGJefTvtw3PiPAQL38gtq8
193,51.400002,9943,13.1,https://solanart.io/nft/CQzsqqiWzWxNwant5iPYcGSNEdUSJ1SPjbQzYnbQvgt1
251,125,3691,0,https://solanart.io/nft/HU4a55PUUrRxM4JgiADbmZkqaawgnkByRrTHVjGzi7YM
260,260,1388,0,https://solanart.io/nft/3NPvRjNer5kFXMTbMcgra77JY1nGNtgH13wueYBV23if
264,150,5325,0,https://solanart.io/nft/CHsCB18hVsZ2K45Y68xXYanr2i811AuxnX5c1XzcRGa4
285,140,3628,0,https://solanart.io/nft/HBmm7f4YMgX7gV8Zj5pxRLexfGJiFVrHHXGG9UAtNg8H
295,125,7780,0,https://solanart.io/nft/9LXyRwqjkyXdxmVS7iPb4SoKqdgwfyKDyAB9W6qHn1Bv
313,47.900002,1228,82.99,https://solanart.io/nft/CLEmMauoCS2abbHVFaPraz41To4uLvesCGgJYv1RqL3F
333,333,9122,0,https://solanart.io/nft/ApdnxxPfSCcf327ec3RYj7bW999s3q6L9wJxwyomAKad
342,70,3572,0,https://solanart.io/nft/EH4x1Lr7PooMXdpbjYcrbH7bStUvpC8FoNJephJhbjm4
379,95,6259,0,https://solanart.io/nft/8HcVDq1FKwoLsvnHvw4GWUsCnmWFkzrqpqdAvYYcPaF8
397,600,523,0,https://solanart.io/nft/83U68k1CWmxJ5aKTf4JrcfTyhaGvNEpQyhUsLgRrHfBf
432,98,6545,0,https://solanart.io/nft/J6evToZxAbFuqrJH3g5LTMidiXQKMbuUq4BK4dnRMCYd
466,60,5371,0,https://solanart.io/nft/BS9owAFMPAGTeU7WKKzSy63CV7C42tCZZ1VZKb2nzDsC
