id,price,moonRank,💎 score (%),storeURL,Background,Clothes,Eyes,Glasses,Head,Neck,Piercing,Skin,Tusk,Wrist
10,5,4076,32.91,https://solanart.io/nft/GHxPDjh9HBrmjurxeG61d9R7L9wm3az15vXAjEgUuYyv,Red,Sweat Short Blue,Angry Eyes,None,Red Beanie,None,None,Chrome Babolex,None,None
20,20,1514,0,https://solanart.io/nft/7KEfzd4CgW3LDwfHYrVj5P6MqhJAbooYXRyXcJHyPi3v,Chinatown,Red Panda,Dizzy Eyes,None,None,None,Pad,Chrome Babolex,None,Crown Bracelet
40,20,944,0,https://solanart.io/nft/8D6nreum1XnMguMgAZUQT6HjbLvmzQkCdSUbq6DSgkJJ,Red,Bathrobe,Angry Eyes,Butterfly Glasses,None,Scarf,None,Chrome Babolex,None,Rolex Pepsi
52,5,3534,37.99,https://solanart.io/nft/ESr294wkX8yCF4qGL59dVjqZSt4bhfu9pJ9xHCN6os7S,Yellow,Kimono,Base,Viper Glasses,None,None,None,Alien Babolex,None,None
62,8.9,1979,13.56,https://solanart.io/nft/77bA5QxhGUhLWcTyfGqWWNVFGWZJe3hx1Hirji2iHeuz,Yellow,Anorak,Blazed Eyes,None,Mouse,None,None,Chrome Babolex,Gold Tusk,None
64,3.1,3519,57.13,https://solanart.io/nft/FvBH17WpmN4dFJACqEjcnQzTVK1Q68RyQ9mWCdm38qs4,Red,Captain,Blazed Eyes,None,None,Moustache,None,Chrome Babolex,None,None
67,8,1527,26.79,https://solanart.io/nft/DCxtG1CGSEjckHXgE7UfpKTkHPCiE2L8WfJdUDmPbVFY,London,Boo,Joy Eyes,None,Bowler Hat,None,Rings,Solana Babolex,None,None
75,4.6,2825,48.63,https://solanart.io/nft/FruyjHNWrv5Mg56bMwLtGfFQRfXYi78yg1Bheyk2tpND,London,Dungarees,Base,Viper Glasses,None,None,None,Chrome Babolex,None,Date Just Golden Rolex
100,20,1454,0,https://solanart.io/nft/GPEDgW1NWYSvnfEY8MW4ZkKZskW3CoiDt6tUTjAEPKjo,Space,Blue Green,Alien Eyes,Heart Glasses,Golden Crown,None,None,Chrome Babolex,Gold Tusk,None
102,10,1604,6.07,https://solanart.io/nft/6uBSqckFZHMPqFFcwZ8npRqy7TFsN487cnfmWzATL2ow,Blue,Babolex Sportwear,Base,Butterfly Glasses,Top Hat,Scarf,None,Chrome Babolex,None,None
