id,price,moonRank,💎 score (%),storeURL,Background,Clothes,Earrings,Eyes,Fur,Hat,Mouth
1,6.4,4463,40.03,https://magiceden.io/item-details/35MFgmi3FrqgsUiH4EnQh1MFD3EgHavCWkU8ziLBkCRZ,Dark Blue,Striped T,Silver Stud,3D,Black,None,Bored
45,19.99,299,0,https://magiceden.io/item-details/FF1RXBg5FXrb26HWir4QpjTvMWWAtzbfQmLe2sXrg3uk,Yellow,c22,None,Scumbag,Prism,Army Hat,Smile
47,4.8,1701,78.17,https://magiceden.io/item-details/7KAu8dz8ic49fG1xu51W2pCPEYXSiuTny7dhh3RZLe5i,Aquamarine,Sailor Shirt,Gold Hoop,Hypnotized,Dark Brown,Black Hat,Bored
58,25,585,0,https://magiceden.io/item-details/7THmo1fyRd3iPXcVjf5udsP5eaZ7xkuFcxcy6fdhffGL,Baby Blue,Tank Top,None,Crazy,White,Panda,Bubble Gum
74,25,829,0,https://magiceden.io/item-details/2QM7MQsm8ZEgBFAHTD2sQ4ZAAiXcMqgpBHVt6EAFXuvB,Aquamarine,Space Suit,Silver Hoop,x_x,DMT,Camo Helmet,Bored
100,6.7,3304,46.32,https://magiceden.io/item-details/FpQEgE8ABRRaTAY13AAZF5iSPyfjAAqhoWkD27VNbsr9,Aquamarine,Space Suit,None,Wide Eyed,Gray,Fez,Bored
113,9,2174,32.38,https://magiceden.io/item-details/Bc141u18Pgr8gEX4MFwQ4m5YZS1cRfvutnZM2uUQmxBo,Aquamarine,Stunt Jacket,Silver Hoop,Neon Party,Red,None,Pout
121,39.99,964,0,https://magiceden.io/item-details/8NdCsezjMfhY1TqjDopttT14vMe8Bp4A6UWjAHwGmxR2,Dark Blue,Black Suit,Gold Hoop,Heart Glasses,Black,None,Jovial
150,29,2037,0,https://magiceden.io/item-details/Ff1fsyMimb3LSMTrKnDBRAPkZcQENHrshLRSehWZmJ27,Orange,Logo Black T,Gold Stud,Sad,Black,None,Small Grin
176,18,609,0,https://magiceden.io/item-details/9WE4RyvxYFyEpStxEGCi2RjdJR6T1thbmeKfjXmo8kUe,Aquamarine,None,None,Bloodshot,Noise,Laurel Wreath,Party Horn
182,4.25,2412,77.97,https://magiceden.io/item-details/FE2cHjeZfCNLajodVzDAG98sXwpNbvCWzUWZEke2Rp4B,Mustard,Biker Vest,None,Angry,Gray,Short Mohawk,Grin
191,200,3431,0,https://magiceden.io/item-details/78adsgCtpKX1mFkoFjpcn7DSwzn3jUGcZMvZ1Kh5upVB,Yellow,Striped T,None,Bored,Trippy,Sea Captain Hat,Bored
192,15,467,0,https://magiceden.io/item-details/Ba8jcy6pUcUpiivBKFJhjf1iCFVAHuMRgLM85YAsLYqK,Mustard,Hawaiian,Gold Hoop,Bored,Golden Brown,Baby's Bonnet,Rainbow Grill
196,12,4673,0,https://magiceden.io/item-details/6qtrQZ7kY7BHfzzcjn7nTmhsserhTyjBhBgmZ8teukTN,Purple,None,None,Roll,Gray,Fez,Bored
218,11,520,25.63,https://magiceden.io/item-details/BRVUY8dJvuKF5doaJoE2dfys2B1QDaBx8Ty6phqDq3Rp,Mustard,Army Jacket,None,Blindfold,Cream,Blue Party Hat,Tongue Out
222,19,369,0,https://magiceden.io/item-details/DXR4xrfZdFpSx57J3VjGDJeeBGbU18cA4z44aYPDWLDo,Purple,White Bib,Gold Stud,Bored,Red,Laurel Wreath,Pacifier
231,25,941,0,https://magiceden.io/item-details/91tDVQ5oNrg5LNxjXqRSQrPa99xoWBU2u1FsegDWeapz,Gray,Wool Turtleneck,Gold Stud,Sleepy,Golden Brown,Fez,Cigarette
237,13,2159,0,https://magiceden.io/item-details/CLbAYcPoCtAAmEG7pDzbPrZJMwReR8WVDLgyNTsfpTnR,Purple,None,None,Neon Party,Tan,Sushi Chef Headband,Party Horn
242,30,1120,0,https://magiceden.io/item-details/3sHh7FBH81ruDF6TccqeZA5geATUY5F2iJHRmzZifsYY,Aquamarine,None,Silver Hoop,3D,Dark Brown,Cat,Bubble Gum
277,6,2959,56.09,https://magiceden.io/item-details/FAQJWVzMEeqfhpbKfwdpRkVBhyGbvY8xi5sNqz6EHq1o,Yellow,Leather Jacket,None,Bored,Zombie,Cowboy Hat,Dumbfounded
295,5,2466,70.04,https://magiceden.io/item-details/7uwsTwZS1k2efAawMuC5CmZHbiLyNQraAjCoK1gRUXT6,Aquamarine,Tweed Suit,None,Zombie,Golden Brown,Seaman Hat,Smug
309,12,857,12.93,https://magiceden.io/item-details/HYEueSzbfVMxoz8CZ3C5XFMbHqJTQeoQPYUWH8n9ByRM,Gray,None,Gold Hoop,Neon Party,Cheetah,Sushi Chef Headband,Ooo
311,10,2871,16.79,https://magiceden.io/item-details/55ZnZhJQ7rYhDSbqxN5MGvbVdfh6u1B6eR1QxACi1Yk,Orange,Bone Tee,Silver Hoop,Bored,Cheetah,Bowler,Bored
316,7.5,2678,43.34,https://magiceden.io/item-details/FYxPnqjQGQ25ukqfYSBRXszQ8qj7JvPAHfgEwnwNmeXz,Aquamarine,Army Jacket,None,Bored,Death Bot,Fez,Dumbfounded
328,6,4060,47.26,https://magiceden.io/item-details/J3Z6m5QkkqyRApinANva3EMLRaT5doVA4niNhXCouRwF,Gray,Bones Necklace,None,Bored,Gray,Girl's Hair Short,Bored
343,15.5,2570,0,https://magiceden.io/item-details/3BisM9P5bygotpofrUbdPWbcqxucqcywHb628iZzjW6Y,Yellow,Hip Hop,None,Roll,Robot,Panda,Bored
347,25,1152,0,https://magiceden.io/item-details/7HNr3xoAxjyhDVeRd4QJjsEURqtpq6WuefTh2wF1es1m,Baby Blue,Wool Turtleneck,None,Sad,Golden Brown,Camo Helmet,Kazoo
359,11.4,955,18.15,https://magiceden.io/item-details/J4h1JWLMB92hJa2b5mZUMgEvb7HCsnLHnDCN4xZaR1K3,Dark Blue,Flannel Shirt,None,Wide Eyed,Cheetah,Fez,Bubble Gum
379,99,3347,0,https://magiceden.io/item-details/A6mHCLMEXdug7wBo1FJK7yJtwpNFPYeCe1PmVdf2aDFq,Mustard,Space Suit,None,3D,Gray,Short Mohawk,Bored
381,9.25,4869,8.28,https://magiceden.io/item-details/E52vkFq1vXJDDs1T3hjrdkgwGqBQgLSUm5uHnmz1KHUK,Yellow,None,None,Crazy,Dark Brown,None,Grin
401,11.9,1672,7.4,https://magiceden.io/item-details/59h2SBgWKdeXnr1n71gEzUmXHXZoYZEmnwKFFdQiDWCV,Aquamarine,Blue Bib,None,Wide Eyed,Black,Seal,Ohhh
406,50,4872,0,https://magiceden.io/item-details/HhEZyjFdcSjDtd1XSLY56dx4n3x1ghWHSwWL44Gispna,Mustard,Bone Tee,None,3D,Dark Brown,None,Bored
407,10,2516,19.64,https://magiceden.io/item-details/3YmNfFt1hUgEuMt1kgmcEjKkFNKBajWh25r4z1FPEeaU,Gray,Striped T,Silver Stud,Robot,Black,Stuntman Helmet,Bored
