id,price,moonRank,💎 score (%),storeURL,Background,Chest,Eyes,Hat,Model,Mouth
65,5,529,36.97,https://magiceden.io/item-details/XVMFrwTJcy5jLPzzVG7mpaEdLfNSRToMiPdnX1KjHju,Desert,None,Brown,Egyptian,Portrait,None
104,0.9,1091,61.16,https://solanart.io/search/?token=8pewZheKSK8z465xCdjrre8FM6o8PEYZ4d5KWCDYkhmt,Solid Blue,Cross,Red,Headband,Portrait,None
105,0.72,582,78.19,https://solanart.io/search/?token=Cih4y5XUfedz9EJJKyqJVVHSpdGmhNmd4jTtSvKbuHtV,Wave Grey,Rice Ball,Orange,Winter,Standard,None
108,2.9,840,48.67,https://magiceden.io/item-details/ByrtvQiTqBvKJuRMcxGeeYJpaYJEhK86Ln9J7CD8rkUA,Solid Green,Yin Yang,Yellow,Sombrero,Demon,None
113,4,46,61.42,https://magiceden.io/item-details/HkFuQ8wWxHLxdWtyZcT5txLs6Ls6Sk4z4viTABZuc9nz,Solid Orange,Banana,None,None,Standard,Smile
120,2,656,63.17,https://magiceden.io/item-details/CF9miBo1XDgtbaLZuJK3NpVEJoJhhopXt3m78kkeoe1L,Solid Purple,Potion,Grey,Winter,Standard,None
124,3.42069,269,60.55,https://magiceden.io/item-details/GdQZzG5hmUnmQnA9dEhcxs69pUbs7mqiP3RCw1MqV3oF,Wave Camo,Spade,None,Winter,Portrait,None
134,3.98,941,34.85,https://magiceden.io/item-details/8zPnAmd2Wz5drAnCWUG5NH52d1NJeuiXVSAgJcLiH9yK,Solid Blue,Vase,Blue,Winter,Standard,None
136,4.5,171,52.68,https://magiceden.io/item-details/77wddCPE9Fzbz221MkKTXJmnVLekqEWgR1giRrvnXtcM,Pattern Red,Smiley,Black,Cap,Hooded,Mask
142,0.8,616,76.37,https://magiceden.io/item-details/CP2aPXAY1T3iWSgcyk72FcowQAFp2wdWUXV9cSekjh89,Solid Purple,Skull Blue,Brown,Tiara,Demon,None
143,4,992,33.12,https://magiceden.io/item-details/5vH7dypL52N9jQjwRXB8A535X55e4tYg49B87xwbL26c,Wave Blue,Button,Grey,Goggles,Standard,None
147,1.83,1322,44.95,https://magiceden.io/item-details/VTh4aBEuft6beBjEtJjcuh1XkyrFaPvEbve4rXW7pYs,Solid Black,Bow Tie,Black,None,Portrait,None
