id,price,moonRank,💎 score (%),storeURL
18,0.199,107,92.81,https://magiceden.io/item-details/DnxS9S4FbeC7W7D8ERkSxpBmGu3k8xV1NJbGfpV6eZso
150,0.15,713,59.3,https://magiceden.io/item-details/59CqGFH4gp76jFPBQZwJhMXPhNZJXFuMhMgihdN3eSXE
155,0.1,539,69.56,https://magiceden.io/item-details/AYDtgLR2kHcdRkbbu1WEZazCVrhHQhoejkVs5SJk8LXF
158,0.19,503,70.68,https://magiceden.io/item-details/7cDWmGG4B1yvL5JRupWtbnyDnN83MdkiSVSGckcQzQLu
169,0.2,155,90.1,https://magiceden.io/item-details/Gzxfyk28z24E4WDSuWNg5k38yQ9nWLAMGCXTPLitCPDH
211,0.13,294,83.01,https://magiceden.io/item-details/22Q7ZfGg4nSxHN8sBr8vj72PadJfNf5DUXb8HBeSAEzJ
276,0.15,712,59.36,https://magiceden.io/item-details/xDyv9Z8bgNzr4JwGAa3Eqsj3Eg4twZRJKSvmiR3SLen
299,0.1,629,64.51,https://magiceden.io/item-details/DyisdPXAGzp5UoMyz3m7DtrHYD6bkGvWMuV3ZmxH3pke
337,0.13,556,68.31,https://magiceden.io/item-details/9S7PGWrpKGyMxBB3auAuYJ3mcNNzaGTPfdAbfQKcZA35
352,0.08,687,61.46,https://magiceden.io/item-details/53dT5J1kcwdG4NXEQ9TPFPBX2QCUMuXzhE8rq4ZdYWtc
396,0.12,280,83.89,https://magiceden.io/item-details/DxT9an2TYQ1SP1FdTLBFbUzZuv2GCcBMwvRAophTYZZ8
453,0.13,566,67.75,https://magiceden.io/item-details/AESyALAQxvxu9HVSs7hz5Qpj9E9JB3moMy3GjdZK97av
459,0.12,430,75.48,https://magiceden.io/item-details/8xkzRnpLFdb9c7iTvWpVanjQRb14ZVEiGvWoARVkvd4f
463,0.1,366,79.27,https://magiceden.io/item-details/CuKKLWex6R9QXtcaGm7f1gdLPWhbrs3Nj4YVcSivdi2B
492,0.13,570,67.52,https://magiceden.io/item-details/Dqh2Y6DGufxtuDDXrzbT3vqLe1QEsXNFy8LDmYF9Sixh
517,0.1,398,77.47,https://magiceden.io/item-details/5WGvjneGoUyjAM1GTZ86WMU5rWAfApz7ZESzcKbUAdwd
593,0.17,699,59.89,https://magiceden.io/item-details/F6hcQstVQdEVGXAYwiZoz3r7QUPnSW2BEeLqnqYAVBeq
618,0.15,521,70.07,https://magiceden.io/item-details/wjXEdq4zBmL1ZELxsTZo5VNkVzbSqD7GHxTGy8kapNU
646,0.15,385,77.7,https://magiceden.io/item-details/bayFmvcpQRjSydNQwoFWwLkBHnoyJrExRevxb3wHnJY
698,0.17,602,65.33,https://magiceden.io/item-details/GEN5P9bmnaAUkiqqpMYU5TLviS16vhUHtLdK8yVAVsnQ
