id,price,moonRank,💎 score (%),storeURL,Background,Direction,Element,Hat,House,Mask Eyes,Mouth,Nose Eyes,Sign,Skin
38,2.5,868,63.91,https://magiceden.io/item-details/4oJgPdY9DXP3SUuqrzk2N1MqdRSwRCGNq3c94Dvt1kzh,Background 72,,Earth,Hat 49,10th House,Mask Eyes 55,Mouth 20,Nose Eyes 33,Capricorn,Skin 1
57,0.8,615,85.57,https://magiceden.io/item-details/3FyEd9mjKQEmCzKRaZWKYcamE34TzuJj2ViZruSwvKBU,Background 52,,Earth,Hat 27,3rd House,Mask Eyes 32,Mouth 23,Nose Eyes 25,Aries,Skin 1
73,1,2156,55.19,https://magiceden.io/item-details/5bSkBiuhP4tYoBJty1hz8xK4ms6BHxHgKV5YodWvyttf,Background 6,,Water,Hat 29,5th House,Mask Eyes 55,Mouth 32,Nose Eyes 35,Cancer,Skin 59
79,2.5,279,74.76,https://magiceden.io/item-details/jdujWRBy4PQibHnGJSLztqyXAG3FMCByPA8xt4jvQoN,Background 79,,Fire,Hat 8,2nd House,Mask Eyes 48,Mouth 26,Nose Eyes 17,Gemini,Skin 43
81,18,435,0,https://magiceden.io/item-details/fdrDwCQ8qTeeauHfrj99EDynsWBxQPXLf6Yo1pV8s64,Background 6,,Earth,Hat 45,8th House,Mask Eyes 31,Mouth 1,Nose Eyes 25,Sagittarius,Skin 25
85,1.25,21,92.01,https://magiceden.io/item-details/2V7F2hRDSPE1o6MPP3eYUhJmv8U7dCaXmVq4SZ12a2K8,Background 324,West,Fire,Hat 174,1st House,Mask Eyes 196,Mouth 136,Nose Eyes 118,Cancer,Skin 602
87,1.25,7,92.27,https://magiceden.io/item-details/BkmKZYKGPkAqXFjQjEDy1Jy1CzKFpjoG3UDuxiwFWMvB,Background 309,West,Water,Hat 213,2nd House,Mask Eyes 209,Mouth 154,Nose Eyes 136,Pisces,Skin 242
94,4,29,64.37,https://magiceden.io/item-details/2p6vXwmYC7UEymZEyScvRHbJGvxaHtG449nLQrAcDCzc,Background 603,West,Fire,Hat 178,4th House,Mask Eyes 194,Mouth 149,Nose Eyes 133,Capricorn,Skin 198
114,1,1286,71.22,https://magiceden.io/item-details/Cuhb8nVVdQ3B8WZkndbsxhpj2jsSyzHUdRZYFDduXMwh,Background 25,,Fire,Hat 7,7th House,Mask Eyes 53,Mouth 8,Nose Eyes 17,Sagittarius,Skin 1
120,0.55,1090,79.33,https://magiceden.io/item-details/EH6N7fGYCUgMj3g6LrrnQUFdukkGP6QpaT5F2pCD4Vbw,Background 44,,Water,Hat 16,10th House,Mask Eyes 16,Mouth 32,Nose Eyes 35,Gemini,Skin 13
122,4.5,641,48.1,https://magiceden.io/item-details/4TtiqzrGHxWhkvVs3QL7rRXBxsXt1h9wzHqZdQpcsxD4,Background 8,,Fire,Hat 25,10th House,Mask Eyes 35,Mouth 10,Nose Eyes 33,Capricorn,Skin 36
139,0.95,1709,63.93,https://magiceden.io/item-details/4cNm5rmpN9bYxsDNdtmEPcJG8WomVEN4rzFVYewgg7Ks,Background 49,,Fire,Hat 22,12th House,Mask Eyes 20,Mouth 18,Nose Eyes 11,Leo,Skin 62
163,4,80,63.43,https://magiceden.io/item-details/HLjhnXRQ7wxfcuDTyyWzEAAYZPFtJPPE79uAU7TwDUv9,Background 240,East,Air,Hat 142,6th House,Mask Eyes 182,Mouth 96,Nose Eyes 500,Pisces,Skin 133
164,7.77,234,22.89,https://magiceden.io/item-details/AdeLb8LY2XrZyzkfPBzLkDPkPKixstAjyns5TC9TrvvA,Background 57,West,Water,Hat 194,3rd House,Mask Eyes 255,Mouth 145,Nose Eyes 124,Aquarius,Skin 279
185,27,608,0,https://magiceden.io/item-details/CEt93Ymud3JCk22CCYZN9Xg2aEJvH6b6oqALCdr6yzTT,Background 18,,Air,Hat 16,4th House,Mask Eyes 11,Mouth 26,Nose Eyes 35,Taurus,Skin 17
207,1,718,81.68,https://magiceden.io/item-details/8e8YEdX8chouoYdjbkekSBzx8rRCuuVgaJKD1pTBtmAM,Background 30,,Fire,Hat 40,4th House,Mask Eyes 24,Mouth 22,Nose Eyes 31,Pisces,Skin 18
211,0.6,1753,66.62,https://magiceden.io/item-details/2uAvsF9j5JK3AQPjY6G29gDLU1JSyUXmF4Dx71tHYFko,Background 22,,Fire,Hat 3,2nd House,Mask Eyes 22,Mouth 8,Nose Eyes 14,Aries,Skin 55
217,1,57,93.85,https://magiceden.io/item-details/4vfxwjVxt518jAf6Z8AskExnQTQdMvTNFhAUPEJADEDm,Background 119,South,Fire,Hat 84,1st House,Mask Eyes 125,Mouth 46,Nose Eyes 59,Virgo,Skin 66
238,2.5,728,66.49,https://magiceden.io/item-details/6wb8Up2MfDzvFkkgLigL1aZ5M5bvnqwjd8Tdo3szdn9g,Background 53,,Water,Hat 18,4th House,Mask Eyes 40,Mouth 28,Nose Eyes 15,Leo,Skin 9
252,1,68,93.65,https://magiceden.io/item-details/C48v1h3Yp6sCAP7NyHnuJcdUZiX5dLxbGfewAggA3nRp,Background 118,South,Fire,Hat 86,7th House,Mask Eyes 118,Mouth 57,Nose Eyes 53,Capricorn,Skin 287
260,2.5,837,64.49,https://magiceden.io/item-details/6eRvvTqcBVRPt9xsAeWVy8dqKWq91oVW1cw8UTGffCwN,Background 70,,Water,Hat 51,8th House,Mask Eyes 1,Mouth 27,Nose Eyes 3,Aquarius,Skin 57
