id,price,moonRank,💎 score (%),storeURL,Background,Eyes,Generation,Head,Legendary,Mouth,Neck,Type
18,2018,504,0,https://magiceden.io/item-details/CR3hmfk9Zu6k6E7oCva48wF3XU4zt2xzr6QfmZGuXmH,Pink,White Eyes,Genesis,None,,Cigar,None,Zombie Golden
114,500,922,0,https://magiceden.io/item-details/GmwNMfrdjhoGaBhWBJgs8QFjS2wbjznwjBKRtnT2LPyj,Yellow,Golden Shades,Genesis,None,,Pacifier,None,Cyber Black
169,500,990,0,https://magiceden.io/item-details/HYSRydoaxPrKNZqnHEsf8P25VnLnU4dpacCmdTxSNHLA,Pink,Red Eyes,Genesis,None,,None,None,Neon Orange
173,999,254,0,https://magiceden.io/item-details/A5f6A9TjVoc61gB7yPoHzUoycRoNFSgrWVmj9Vw2aoNS,Pink,3D Glasses,Genesis,None,,Pacifier,Silver Chain,Cyber Grey
253,355,749,0,https://magiceden.io/item-details/DCNdSFwKLnoibCgJ8LU5Kdvpzjq8kcXYnRvU5a4R4E53,Pink,White Eyes,Genesis,None,,None,Golden Chain,Skeleton Silver
271,325,1064,60,https://magiceden.io/item-details/4oy8wfLaCwS8Lp59wZJbJAFuYs2JqoM3CpevqT3MPgX9,Lavender,White Eyes,Genesis,None,,None,None,Cyber Blue
327,420,264,0,https://magiceden.io/item-details/UX9v1Kf4FAgsznReSwkLb6v7yQwmDvZKrabYJ2ecPTp,Teal,Laughing Goggles,Genesis,Croc,,None,Golden Chain,Zombie Golden
359,340,905,0,https://magiceden.io/item-details/zn1Go213BwFs1xGnRgz9KzYbeHquCKuE5tQwsCFhsHB,Beige,Synthwave Shades,Genesis,None,,Acid,None,Iron Yellow
604,400,632,0,https://magiceden.io/item-details/7DJvA8fMfHM37dDm6HUESiPGqMPzL1ooqdUoxwjWxfuU,Tron,3D Glasses,Genesis,None,,Bubble Gum,None,Skeleton Bone
691,550,61,0,https://magiceden.io/item-details/DhodoW4GnVNBQphEwpV18rwxLrRKcn9qNf2JEqmXMz1Q,Lavender,White Eyes,Genesis,Croc,,Ice Breath,None,Inferno Purple
727,444,988,0,https://magiceden.io/item-details/8eu8VDxJrzJvawsjv632r7oJKNYSvetbyNGMRB4ZJdHu,Tron,Golden Shades,Genesis,None,,Acid,None,Diamond Purple
773,669.69,287,0,https://magiceden.io/item-details/7Zs62GiuxqMK71rDmtUPCD9yJpKYxJpSpFvqCsf6gmym,Yellow,3D Glasses,Genesis,None,,Ice Breath,Collar,Cyber Grey
863,399,298,0,https://magiceden.io/item-details/3cef7QiRBME2kvH8zhGRiR6sfShnoxdrna8CHg4TcyLc,Pink,Blue Eyes,Genesis,Octopus,,None,None,Cyber Black
923,444,395,0,https://magiceden.io/item-details/8jRWtmoaSUoEbBFD898JviemoM8Mb38tPM3HRYVrf1YF,Grey,White Eyes,Genesis,Fireball,,None,Golden Chain,Iron Yellow
964,350,109,0,https://magiceden.io/item-details/DCHqWdTxy4Vqj4a5yJqVPS2hcgKFzKxxbQurHGGPDARe,Tron,Red Eyes,Genesis,Octopus,,None,Silver Chain,Iron Grey
The Astro,6969,3,0,https://magiceden.io/item-details/GtnSWiLiQzdUneKahGscFd4uEVkRFG1wU6nXcjDHk2Ex,,,Genesis,,The Astro,,,
