id,price,moonRank,💎 score (%),storeURL
3,1,NaN,0,https://magiceden.io/item-details/86intAhYyVapKMbqyysGhmKp8UwJf2N89bh3zJtc13mA
0013,3.5,3684,48.29,https://solanart.io/nft/AogjjUpmo6VWHozGrvtsPvV8oFk6CuUr88FXNmhpLfkt
0018,6.6,2967,22.47,https://magiceden.io/item-details/HvepoV2xxbwXEebT3N8vzNANEkDFKSujysxUtxGnVkwP
0030,100,4158,0,https://magiceden.io/item-details/6URqLToJMhiVbF2ZpjncgJr4Feaq5BuznsnLrDDQGrEx
86,1,NaN,0,https://magiceden.io/item-details/B5cqjhtzSo7Ztk27XeqaANy9V7q1VJy2jGTsGMupGZd7
0099,12.5,2639,0,https://magiceden.io/item-details/EnGtUTyFqASQ1ZYQJuLuEofKSF6vmsXnek1fUSuWegrM
114,2.39,NaN,0,https://magiceden.io/item-details/ujQszaPNSqXVZGXaLioqbnuLw9eArpVAsBv9f5ikTej
0115,8.23,3734,0.63,https://magiceden.io/item-details/G62rBKX8cHRnH9wHxkqSLQGbRCDJuTX3rXwybNkxvmmg
116,1.1,NaN,0,https://magiceden.io/item-details/JAHpETQThcoAmHzspkvP5fZ6Janc9ZLUaeKvLFwFfLFt
0116,4.99,2440,42.37,https://solanart.io/nft/6164RNJNN5YModSuggsrWe67CjxTMhQeVvSguvwpnf7K
118,1.1,NaN,0,https://magiceden.io/item-details/2nxNPHyvqw5uGSHnDaojWDd1wxvhxxYAXog5DY652EG8
0154,35,5210,0,https://solanart.io/nft/DUA3KeojiRtV2SwLS6NcxkpBYt2dfCEPNwozn5Qp2iKt
187,0.99,NaN,0,https://magiceden.io/item-details/7XFWoXwSwTzTZ1s2p36kf1pN4DxdHe89n51ttD9612nN
0210,50000,4945,0,https://magiceden.io/item-details/6iwjwLdeDqrNYzE4dpWjBcoPnrntUYGCoV7jcVnTJDpY
258,2.4,NaN,0,https://magiceden.io/item-details/USrGWb2LLx15aJi2hPeQCGysB2kwBoYSNbDQynShwq3
0263,6.6,144,42.86,https://magiceden.io/item-details/6LuPdSB3CXv4wQH7NrRaypAopKiM2X7hjZxa8oivAgc2
293,2.99,NaN,0,https://magiceden.io/item-details/HTD57chR56MsR7XTrZU77yUwXYrxpdKZHf3s2ciSFtBC
0300,5,4512,27.3,https://solanart.io/nft/Fda7rzoUCSW8BDciCwAs2Vps68xaVwezSzAUdLVM7NfV
372,1.15,NaN,0,https://magiceden.io/item-details/6sDLZMjuU9Fh1kbfRDEGSY6gdQMGPeZNPzE91qfB3fNX
384,1.15,NaN,0,https://magiceden.io/item-details/9E9P1eUKgn4SHzavuAfMDAZ6VYBZMpkus6RsDSDcr9JU
0396,4.4,4273,35.03,https://magiceden.io/item-details/Aq2AVRbzEZZsJNzpmvwp6b6DNFpjdAmFPZzaVWvGvgyk
462,1,NaN,0,https://magiceden.io/item-details/G8jTehQvFbE11EUhKirHYbLefykhcfJ9GT2JpysXPxiR
463,1,NaN,0,https://magiceden.io/item-details/75CZZzPnD6jQmy8zyS1y8VgeACm9AU8xJfgnT4zkHBUw
0613,3.5,4498,42.41,https://magiceden.io/item-details/7ZdzN3pZztSHccf5tqF6qkxdBBLrAwdTJciRvzmBmfvh
