id,price,moonRank,💎 score (%),storeURL,background,clothes,expression,eyes,hat,toy,type
5,0.48,1045,57.36,https://alpha.art/t/CiW8YqTkvMouuxwQm1XGtbLDyJnvymydZBUpenvFVc8F,Dark Purple,Overalls,Dead,None,Baseball Cap,Coffee Mug,Black
74,0.7,514,74.79,https://alpha.art/t/ABtNb7oodozyreqgyciYtLs7UAFqPhbUxdjbvynZ7yUv,Purple,MJ,Stomach Ache,Snorkel Mask,Birthday Hat,Cake,Black
108,1.99,35,79.6,https://alpha.art/t/H1WW4RpjbkvX11QTW6YtLdLXNAcTJTyeuRyz8XHMUFMR,Light Green,Naked,Stomach Ache,Snorkel Mask,Astronaut Helmet,None,Striped
113,0.5,1082,55.79,https://alpha.art/t/275pt7eB33FqCDKfj9aKHMqdM7M7U2LaS3y2hU3UTj3j,Baby Blue,Safari Uniform,Stomach Ache,None,Mini Afro,Cake,Black
192,0.09,982,63.59,https://magiceden.io/item-details/86SSYbWzFmsJFuPB1C9NDp9S3QgjF8zzhZtDA4NQ3eah,Salmon,Naked,Tired,None,Mini Afro,Coffee Mug,Siamese
257,0.54,524,76.02,https://alpha.art/t/4VR1kvzxdT4ZMRyaYCsq1joGTMmEkR2wAEXYAPSScRJH,Cyan,Plain Shirt,Tired,None,Halo,Coffee Mug,Golden
280,5,614,28.09,https://alpha.art/t/HU4or67KJudCdTYJSA899NtCUGHVLRq6iPWEpiCN3csG,Salmon,Safari Uniform,Tired,None,Solana Cap,Lollipop,Siamese
297,0.09,542,79.85,https://magiceden.io/item-details/CkgnxnX28qxXn6MoTeZuDAfrDFsMcMoAzr5eRmwfDCkZ,Dark Purple,Safari Uniform,Happy,Snorkel Mask,Unicorn,None,White
324,3,23,69.94,https://alpha.art/t/GPsYQeaAs7JrpUvLNaB1ofBreGprMMbhY1UiDUtFJVeF,Yellow,Safari Uniform,Shy,Snorkel Mask,Solana Cap,Bird,White
344,0.5,1037,57.45,https://alpha.art/t/Fn2TjpXMm51QqPXbHeUALzs8266TeoaNJrYXHv1qw5C8,Baby Blue,Plain Shirt,Happy,None,Crown,None,White
527,0.079,629,76.75,https://magiceden.io/item-details/JAt5wifTny1dFMH8RsG6aSCpqvtbn9vtAdAg3nLRShvT,Baby Blue,Mermaid,Dead,Eye Patch,Mini Afro,None,Black
579,0.48,791,66.75,https://alpha.art/t/BCCkU7hghakn69mDsEXPiwDVZeTHrzc1kvEGncT26M3X,Baby Blue,Plain Shirt,Happy,Sunglasses,Safari Hat,Cake,White
685,0.8,655,68.58,https://alpha.art/t/G6xXjmk82VXUPD3JykgzRy5rzBVEZDDdo8fmvhUxu3Pa,Cyan,Plain Shirt,Excited,Monocle,Birthday Hat,Fish Snack,White
713,0.08,811,70.01,https://magiceden.io/item-details/41d6Wr6z6CsvzRwxDwvwchVNQW2QsNqvzWbQ52bzyP9k,Dark Purple,Safari Uniform,Excited,Eye Patch,Mini Afro,Coffee Mug,White
788,0.1,293,88.96,https://magiceden.io/item-details/6aqoN7CPyfxyzPUiWesxKgCuaW4mYJ4V98JiX9Hjqde4,Dark Purple,Swimsuit,Tired,None,Unicorn,Rubber Ducky,Squid
792,0.1,1038,61.42,https://magiceden.io/item-details/7fUqXGwQNyv6ndhttaPPruyqDVZbYB8myUmuqbiskpvA,Purple,Naked,Stomach Ache,None,Safari Hat,Coffee Mug,White
804,0.08,938,65.31,https://magiceden.io/item-details/82Ron3UGeWyj1uiVEE8iqBMJTLt69dy7Rpqw918DqPr4,Light Green,Plain Shirt,Happy,None,Unicorn,Fish Snack,Black
806,0.1,276,89.59,https://magiceden.io/item-details/AmfUkuPZjrFhE4VZnosghxpDw4wM41YBvEyE6w3tPgHk,Light Green,Mermaid,Shy,3D Glasses,Unicorn,None,White
810,0.1,644,75.98,https://magiceden.io/item-details/C4DZbHRfrWjfNvhwnRWKhsRiMH8Qkun1sToXdyTLydHg,Light Green,MJ,Stomach Ache,None,Baseball Cap,Fish Snack,Siamese
811,0.08,992,63.32,https://magiceden.io/item-details/7Zmfduw5YMFBmqDHQV9wADzQPacxmM6RXcMV6KTwmd3Y,Yellow,Swimsuit,Dead,None,Mini Afro,Lollipop,White
828,0.1,744,72.29,https://magiceden.io/item-details/CUZ6pNn5RGijrJdnDJn1URUiwh21yp1W2vZjZW8Pvj93,Dark Purple,Plain Shirt,Dead,None,Baseball Cap,Cake,Squid
852,0.1,923,65.67,https://magiceden.io/item-details/9GmbS1ykrVnNVszkmPsfKgVFCosJTbgnPVqnyXn6EQpj,Yellow,Safari Uniform,Happy,Eye Patch,Birthday Hat,None,White
862,0.1,373,86,https://magiceden.io/item-details/92JA6XxMczsZJ9fGtaYggathoneoikg7cLN1c9jQjS6g,Baby Blue,Naked,Shy,Eye Patch,Safari Hat,Coffee Mug,Striped
