id,price,moonRank,💎 score (%),storeURL,Accessories,Background,Clothes,Ears,Eyes,Hat,Other,Type
0,2.1,601,52.2,https://magiceden.io/item-details/C6jVdJxUQf6EPoAv2v2KfGunV7CoWboW8ML4v6AWW2mB,Nothing,Turquoise,White Tank Top,Nothing,Yellow Sunglasses,Cowboy,Nothing,Midnight Blue
1,0.69,708,61.46,https://magiceden.io/item-details/9oyfdE2METj6nyG4CcTzYBDP5m4neGuUmFuWUwQv2sVn,Red Bandana,Orange,Orange Hawaiian,Silver,Green Sunglasses,Witch Hat,Nothing,Grey
6,0.05,734,66.68,https://magiceden.io/item-details/oXATDt7sJR5qxNeSkEmHBmUFPYGtj7TEeFoC7MFjN86,Blue Bandana,Cyan,Red Tracksuit,Nothing,Black Sunglasses,Pirate Hat,Nothing,Black
15,2,512,57.23,https://magiceden.io/item-details/71HzuNNQc6Hj92fXv7qUpxmw6e4ummjTEs49GeJjc4hg,Nothing,Grey,Blue Tracksuit,Silver,3D Glasses,Red Baseball,Nothing,Red
16,0.45,470,74.63,https://magiceden.io/item-details/5d3Vcumz3DQjQm72h3X8simU2JKqz5WAbkZvLZXgUG8T,Green Bandana,Sand,Green Hawaiian,Gold,Clear Lens,Pink Flower,Nothing,Grey
17,2.1,282,66.63,https://magiceden.io/item-details/HW3y8ftBAryMzQQnm5qTjKsuX1wd6RXys3wEbTvVptsx,Nothing,Turquoise,White Tank Top,Nothing,Purple Sunglasses,Viking,Nyan Rainbow,Grey
20,0.1,435,79.71,https://magiceden.io/item-details/3BLhUuLaXMhSkXLxCSmbArzgvuQ8yqPKLMDzuwWHCq36,Green Bandana,Orange,Blue Hawaiian,Nothing,Yellow Sunglasses,Arrow,Devil Wings,Peach
28,0.1,453,78.9,https://magiceden.io/item-details/9fg5B6iFenZYuKDMUggfJ8dvZuvSdgVY5m95Pt5auRwy,Silver Necklace,Orange,Red Tracksuit,Gold,Black Sunglasses,Red Baseball,Nothing,Black
29,2,868,41.12,https://magiceden.io/item-details/4kh5ufEQLGrWnLep2z41uUDZ16vCozVsiuxZyYujhH1D,Nothing,Cyan,Red Tracksuit,Nothing,Black Sunglasses,Afro,Nothing,Black
32,0.59,49,92.28,https://magiceden.io/item-details/J3QWRsiTmBJRAZwdDRaagePt3KkcQxEc3C8MrJWnLL7x,Nothing,Purple,Red Hawaiian,Nothing,Red Laser,Red Flower,Devil Wings,Midnight Blue
40,6.69,7,33.18,https://magiceden.io/item-details/BQf9dWxiainwe5QH5ZQtbQMAa5tpfAz8mhneaAbsLZU,Gold Necklace,Purple,Pink Hawaiian,Gold,Eye Patch,Santa Hat,Nothing,Grey
48,0.75,380,75.7,https://magiceden.io/item-details/3WHwHtdh5dGbFLhWuL7T8ZfyuAiNcczpRrHSc2tMDHWb,Nothing,Turquoise,Pink Hawaiian,Silver,Green Sunglasses,Bunny Ears,Devil Wings,Orange
50,0.42069,137,89.99,https://magiceden.io/item-details/Frj4GhPEwJc9JMs6W4AYxf5vva4o4qDudSax5ckwB5fc,Green Bandana,Sand,Blue Tracksuit,Nothing,Eye Patch,Green Party Hat,Devil Wings,Black
58,0.179,835,60.82,https://magiceden.io/item-details/FhMeHBznm92pNjia2GXpoDmLu3PLYn2Q6RJ61a5Noof5,Nothing,Cyan,Blue Tracksuit,Nothing,Eye Patch,Tophat,Nothing,Black
61,1.6942,33,81.96,https://magiceden.io/item-details/2FL9FdWXh8QPsJH3re8di92JPfqk7cUqYjUrkEr7xqYQ,Blue Bandana,Turquoise,Blue Tracksuit,Diamond,Red eyed,Headband,Nothing,Red
62,0.3,436,77.66,https://magiceden.io/item-details/5k5L5ss5uuzCDjWanGMbK5hiyFQQxP75UVfGMM8fwsde,Red Bandana,Turquoise,Blue Tracksuit,Nothing,Purple Sunglasses,Yellow Party Hat,Nothing,Peach
63,0.25,225,87.71,https://magiceden.io/item-details/882eaEJnFBGMr9XndRVF7mtmNiNpuPhJyKrLxcobawzj,Nothing,Turquoise,Pink Hawaiian,Gold,Nothin,Violet Flower,Devil Wings,Midnight Blue
64,0.42069,131,90.26,https://magiceden.io/item-details/2qtBrFqwUGXq7FTwmPEEEx1Gr4xdhGoasPDoarRjCERc,Red Bandana,Sand,Beige Tux,Nothing,3D Glasses,Green Mohawk,Nothing,Midnight Blue
66,0.35,232,86.4,https://magiceden.io/item-details/C26P6qXYkz5hNQYbDypkkdSWA2DqL43ZUZg1dpoL6kcn,Blue Bandana,Cyan,Orange Hawaiian,Silver,Yellow Sunglasses,Red Party Hat,Angel Wings,Orange
78,0.65,738,60.5,https://magiceden.io/item-details/2qXxh7vuUtW699qKFGuXVGqN4vPux2kr7nVotcgmu9ny,Nothing,Orange,Red Tracksuit,Silver,Black Sunglasses,Viking,Nothing,Ice
79,0.1,762,64.91,https://magiceden.io/item-details/GygUX7kuna3Rs3QLM35Lk3E2NC6WpNePKmTZNQxBRCmq,Blue Bandana,Orange,Blue Tracksuit,Silver,Green Sunglasses,Blue Baseball,Nothing,Grey
82,0.395,467,75.31,https://magiceden.io/item-details/8Rd22oY2pew3bDNh6p1cuRqFnvPS5W8UbevQCwLA3LCq,Red Bandana,Turquoise,Pink Hawaiian,Silver,Purple Sunglasses,Beanie,Nothing,Orange
94,2.1,855,40.71,https://magiceden.io/item-details/8qWbewB29msamTQpgo7RrooB5HPUjgFpukAjDkXaj3rv,Nothing,Grey,Black Tracksuit,Nothing,Purple Sunglasses,Tophat,Nothing,Black
103,0.2,183,90.11,https://magiceden.io/item-details/6bqFqSSeD6B8PEmcM3i3cdPEdLJm5yS4TQ4HBrqJvRhC,Nothing,Purple,White Tank Top,Diamond,Green Sunglasses,Red Flower,Devil Wings,Midnight Blue
105,0.1,477,77.81,https://magiceden.io/item-details/7S1Ux631ghhvAHXTL9onDX428YzpspsUkwx5stkCzsf7,Nothing,Purple,Green Tux,Gold,Black Sunglasses,Red Baseball,Nothing,Peach
117,0.28,254,86.1,https://magiceden.io/item-details/3w3KnA7yiGeonxzg7WSPJkkoDxAaaGkL7fiqkbpDod1N,Red Bandana,Purple,Pink Hawaiian,Gold,Black Sunglasses,Pirate Hat,Angel Wings,Black
121,0.25,141,91.51,https://magiceden.io/item-details/98cm3DvHA8ZXb7fuvSw7uBt6iG6Dguntffi3yaiDBbys,Nothing,Orange,Green Hawaiian,Diamond,3D Glasses,Tophat,Angel Wings,Grey
123,0.75,647,63.62,https://magiceden.io/item-details/2nve1RGBiXmnS5MNaoGkYfjXCRRjM1Ako73H5V8zrfL4,Nothing,Cyan,Orange Hawaiian,Gold,Nothin,Green Mohawk,Nothing,Grey
126,1.5,189,76.84,https://magiceden.io/item-details/9n7KSxRBdnsVpmsJ8J6U1reDHteQ5uzExXrK1rqfQZjo,Nothing,Cyan,Orange Hawaiian,Nothing,Red eyed,Red Mohawk,Angel Wings,Red
128,0.05,379,82.74,https://magiceden.io/item-details/2ZU85rvZcPrBpE8oyVLRoaZHhqrAdEHDmAdy7ncKerNQ,Green Bandana,Green,Orange Hawaiian,Silver,Yellow Sunglasses,Green Tophat,Angel Wings,Red
133,1,719,57.86,https://magiceden.io/item-details/8CUT2fDkL8QQz6bhe9wdG6KU6r8cRR56CU5wn7CUAadu,Nothing,Turquoise,Nothing,Nothing,Clear Lens,Halo,Devil Wings,Orange
134,0.5,220,85.44,https://magiceden.io/item-details/CrXXWKRg8A9pog2KtPKACc1TmrH6oHBnAUGDWqj2Lut8,Red Bandana,Cyan,Black Tracksuit,Gold,Nothin,Red Baseball,Nothing,Ice
147,0.65,632,65.3,https://magiceden.io/item-details/8tREdmoCzdSMizUhVF56oqFJURjMFvYrSPFfU2jn7hjD,Red Bandana,Grey,Green Hawaiian,Silver,Clear Lens,Red Mohawk,Nothing,Grey
153,1,204,81.16,https://magiceden.io/item-details/53hwXaMg7EJyGNLcFYWa41ZtGj5xKrrKjypoohhTC34g,Red Bandana,Emerald,Red Hawaiian,Silver,Nothin,Green Baseball,Nyan Rainbow,Black
157,0.69,883,53.54,https://magiceden.io/item-details/HYXRA35axDdmibEXMtjh6GHu5BmMtzQp1t7GewgvDqan,Nothing,Emerald,Green Hawaiian,Nothing,Yellow Sunglasses,Green Baseball,Nothing,Grey
159,1,328,75.55,https://magiceden.io/item-details/3bRmuCPdxqEFnobmGtH6uQu2h7g6V8epVKnJKrdyJkuk,Blue Bandana,Grey,Blue Tracksuit,Silver,Eye Patch,Red Baseball,Devil Wings,Orange
160,0.05,227,89.62,https://magiceden.io/item-details/FWAeoKeg8BtEUTfNAEMcAaw9Xa5HrkHHLnQCepyqvCRC,Blue Bandana,Cyan,Beige Tux,Nothing,Eye Patch,Red Flower,Devil Wings,Red
166,4.2,786,22.83,https://magiceden.io/item-details/CEXkq6NXZxyD8ytQGaR8yojKwj9thv1UAXybZ69CuasT,Nothing,Cyan,Nothing,Nothing,Green Sunglasses,High Power Level,Nothing,Orange
181,5,255,38.85,https://magiceden.io/item-details/EE12pzy2cgm4fYWFJq1dnvJVtPEeRdGwpvuUxzdHWN5v,Silver Necklace,Emerald,Black Tracksuit,Silver,VR Headset,Halo,Nothing,Peach
182,0.169,482,76.89,https://magiceden.io/item-details/8jB6RTuC33rAcPugPPa4qRQ6FzK1ECV6CJXTSQYqDc4d,Green Bandana,Grey,Blue Hawaiian,Silver,Eye Patch,Arrow,Nothing,Black
187,0.4,383,79.06,https://magiceden.io/item-details/9YAkCrFQg8WdGedPxqh9bXYmTimKSMzzd6ygFS7uePcY,Red Bandana,Emerald,Red Hawaiian,Nothing,Purple Sunglasses,Green Party Hat,Nothing,Red
189,0.42069,203,87,https://magiceden.io/item-details/HccyykdJ9mWQfvUc7TRvawJdyK7s3wbgzkcZzFEr9HLt,Green Bandana,Orange,Green Tracksuit,Silver,Eye Patch,Pirate Hat,Devil Wings,Peach
194,0.1,792,63.56,https://magiceden.io/item-details/69EjY5UicDn7cwKcsPAvD4HK13ojGLx6Y9ELXQgt5xQB,Nothing,Emerald,Green Hawaiian,Nothing,Clear Lens,Helicopter Hat,Nothing,Blue
200,0.69,510,70.42,https://magiceden.io/item-details/4s77bnPCkrvxPLwuvwwEMFXHcwTMRF4XTCxmP8P7qERN,Silver Necklace,Purple,Red Hawaiian,Silver,Yellow Sunglasses,Devil Horns,Nothing,Peach
201,0.6,847,56.07,https://magiceden.io/item-details/93sAmxRCfVS5dAEj9semHtMVxX2WBv1rugiYzG9tVZ2Z,Nothing,Sand,Red Hawaiian,Nothing,Green Sunglasses,Cowboy,Nothing,Grey
203,0.1,487,77.36,https://magiceden.io/item-details/GYQqvC5S85tqWQ5pCpVFUSBF1Gid6fCRisHK5xWAmedy,Blue Bandana,Green,Red Hawaiian,Nothing,Clear Lens,Red Flower,Devil Wings,Black
205,0.08,460,78.78,https://magiceden.io/item-details/EcSyGnAE9WzBzJt5wuz5t4qdXiqXBEfRBJKNUffCPFHw,Blue Bandana,Orange,White Tank Top,Silver,Yellow Sunglasses,Halo,Nothing,Red
207,0.5,735,62.14,https://magiceden.io/item-details/GS6tphHrZsJvxekY6bHcPGrBQJbWc517Lpa1BY37ue6U,Nothing,Emerald,Pink Hawaiian,Gold,Green Sunglasses,Afro,Nothing,Blue
220,0.2,181,90.2,https://magiceden.io/item-details/E1HJMFgjusLjK38wGksf6zkuyvscSFia1Rv7UKdpEYCk,Gold Necklace,Cyan,Black Tracksuit,Nothing,Yellow Sunglasses,Green Tophat,Angel Wings,Black
222,0.1,557,74.19,https://magiceden.io/item-details/8eHiFKDDyibgsQ4tEbTdr5yaLayVJe54sF7g6WLe46a3,Red Bandana,Purple,Nothing,Gold,Yellow Sunglasses,Pink Flower,Nothing,Midnight Blue
232,0.46,766,61.13,https://magiceden.io/item-details/5S5GAx67XpVJwzsqc2bAx7D5BCnt5JC2CHnhXdkCcZHA,Red Bandana,Grey,Green Hawaiian,Nothing,Clear Lens,Halo,Nothing,Grey
250,4,259,48.67,https://magiceden.io/item-details/FNL7n3k5SzWXpRAb7iHBLkgXsCWXA3TYSuFWxpK8z9Zx,Nothing,Green,Red Hawaiian,Silver,Purple Sunglasses,Pink Flower,Nothing,Zombie
255,0.25,173,90.06,https://magiceden.io/item-details/5oZhFf7ZFak3zUG2TAAmQmTtKDAxyuoJfGp8iVfqJvjS,Silver Necklace,Cyan,Green Hawaiian,Nothing,Yellow Sunglasses,Bravo,Angel Wings,Red
257,0.21,538,73.95,https://magiceden.io/item-details/4Bv8U7QucSMvLYU5itizrUQfMBSqawgCJ3Poe84G68sc,Nothing,Cyan,Red Hawaiian,Gold,Eye Patch,Bravo,Nothing,Peach
260,0.29,857,58.71,https://magiceden.io/item-details/tvp1MmozResyhtbydXiz12HE4cdyQ9yFHt2sQsyp1vf,Nothing,Green,Blue Tracksuit,Silver,Eye Patch,Halo,Nothing,Grey
261,0.04,442,79.99,https://magiceden.io/item-details/2gG47ha2fWjEqcAQikmkqqTKum9QPqjKcUA945XgjMpC,Nothing,Emerald,Green Hawaiian,Nothing,Black Sunglasses,Yellow Party Hat,Angel Wings,Midnight Blue
269,1,197,81.48,https://magiceden.io/item-details/AiQzwrAxBqzMxA8xELiYN1yUs19PgjyijyKvdtjmGY22,Silver Necklace,Orange,Blue Tracksuit,Gold,Yellow Sunglasses,Devil Horns,Devil Wings,Red
276,1,534,66.23,https://magiceden.io/item-details/4gLztRDnUWjr6AbTWb7dv7A4rq3TtjtzytKrv7gTbC2o,Nothing,Grey,Red Hawaiian,Nothing,Nothin,Blue Mohawk,Devil Wings,Orange
279,0.54,155,87.98,https://magiceden.io/item-details/3fNH6NSHY1fCxVEVW1hRZxjvwXMPjfdAdJeowGD92722,Red Bandana,Grey,White Tank Top,Diamond,Clear Lens,Red Flower,Nothing,Blue
284,0.33,677,66.46,https://magiceden.io/item-details/UcGKkCH6hS2PbwFViiMPSQectCfYD3hwSf7mWE5NLeo,Red Bandana,Sand,Orange Hawaiian,Nothing,Clear Lens,Green Tophat,Nothing,Orange
291,0.25,478,76.26,https://magiceden.io/item-details/D8EFj35ci96qGcgx1uxW19hLiAuEDorAFS7Z8q1iX7ZT,Blue Bandana,Grey,Green Tracksuit,Gold,Clear Lens,Sombrero,Nothing,Peach
297,0.2,657,68.66,https://magiceden.io/item-details/26knfpPTMxEgXMgy14h9zypwKD499YPd7hVBBWpJ9aMk,Nothing,Sand,Blue Tracksuit,Silver,Black Sunglasses,Cowboy,Angel Wings,Black
303,0.2,134,92.33,https://magiceden.io/item-details/6vajd7rkVSeZz4ZrhmvhsuVEVJPCn8wTQraKGDrbsKKA,Nothing,Green,Beige Tux,Silver,Eye Patch,Red Flower,Nothing,Zombie
305,0.53,401,76.95,https://magiceden.io/item-details/6NYmZ8WGq8WHQuHMZMyHYEcjPqvWQgijR8GfJszTzE44,Nothing,Orange,Pink Hawaiian,Diamond,Black Sunglasses,Pink Flower,Angel Wings,Black
310,3,670,40.08,https://magiceden.io/item-details/3xsfujTTU5HmrFDKVTGJaurBGgVByL3Rh1PLzvFKyScr,Nothing,Grey,Green Hawaiian,Silver,Yellow Sunglasses,Viking,Devil Wings,Midnight Blue
315,0.242,768,63.22,https://magiceden.io/item-details/7cAsBWhWWMF7i6Jf2xTYcNgqeUvpiGQXaJBm75JnHmsA,Nothing,Green,Green Tracksuit,Nothing,Yellow Sunglasses,Green Baseball,Devil Wings,Peach
318,0.4,194,87.61,https://magiceden.io/item-details/3ZpU4u24BLAWft1ChURhzZwBwTuvaZeC74Vb9C125wqh,Gold Necklace,Grey,Orange Hawaiian,Nothing,Black Sunglasses,Viking,Angel Wings,Peach
320,0.69,709,61.41,https://magiceden.io/item-details/7UHBSRoym8VQ5dM5axAoLKQFrR6xL25viYyHLzVHmUUc,Blue Bandana,Green,Red Tracksuit,Nothing,Nothin,Blue Mohawk,Nothing,Peach
329,0.04,591,73.25,https://magiceden.io/item-details/GLcYYqyUr1bdfsBUomnmu2954dThmdypg7LvvjwCYWed,Red Bandana,Cyan,Black Tux,Nothing,Yellow Sunglasses,Red Baseball,Nothing,Red
334,0.5,109,90.46,https://magiceden.io/item-details/5WXuhESu3McrLLJL1mKye1unaoBFV5PxyNWeXE2Q1B1Z,Nothing,Emerald,White Tank Top,Diamond,Black Sunglasses,Pink Mohawk,Devil Wings,Orange
336,2.5,93,71.18,https://magiceden.io/item-details/7KpT6J5QpXRMeZmi1bL5jDD6ueaFhZc2zrK1cEY5q5SV,Red Bandana,Turquoise,Orange Hawaiian,Nothing,Green Sunglasses,Witch Hat,Devil Wings,Skeleton
345,1,102,85.78,https://magiceden.io/item-details/DLnSCJXz73e9gV7uHBqxeDh8Lt1d2cxPeRFeRmYx6XpG,Blue Bandana,Emerald,Blue Tracksuit,Silver,Green Sunglasses,Pirate Hat,Nyan Rainbow,Ice
359,0.04,166,92.48,https://magiceden.io/item-details/Fg6k3VpX5nmKnEFFiyHLn5YPcxaYAyfXwbY2JN6cSnRg,Red Bandana,Emerald,White Tank Top,Diamond,Clear Lens,Green Baseball,Nothing,Peach
366,0.15,495,76.49,https://magiceden.io/item-details/EQTqLEu2DXyL7TZfEbL22QfPZnDhyzS13VuUan7ZesUy,Nothing,Grey,Nothing,Diamond,Purple Sunglasses,Shark Fin,Nothing,Blue
371,0.12,327,84.4,https://magiceden.io/item-details/FSMwGFqUHs22ash8PUDpX6obuCKC4xFq4VdgAYM1Npu8,Nothing,Emerald,Black Tux,Silver,Nothin,Cowboy,Devil Wings,Blue
378,1.17,21,87.74,https://magiceden.io/item-details/Cdg2XR3hAqpey9BGw2VmG3xfNihsyPP5GgL37A6rct3x,Nothing,Emerald,Nothing,Gold,Clear Lens,Blue Party Hat,Nyan Rainbow,Ice
379,0.25,639,68.98,https://magiceden.io/item-details/HSQ7JwTwfgUoHJB6tiDDo9iE6VqEarCH3KeZLP73SVty,Nothing,Sand,Black Tracksuit,Silver,Clear Lens,Arrow,Devil Wings,Blue
381,0.14,412,80.35,https://magiceden.io/item-details/9WZb6DmKMAXAvHMoHkgAETXKp28cqwQgXeGnRpZkxy2M,Gold Necklace,Emerald,Black Tracksuit,Silver,Black Sunglasses,Red Flower,Nothing,Peach
392,0.3,27,96.17,https://magiceden.io/item-details/GVorj3HxokfJLTWcsUFiJCoV5phoCxkKV6yUYmeax6Qz,Nothing,Cyan,Beige Tux,Diamond,VR Headset,Viking,Nyan Rainbow,Orange
