id,price,moonRank,💎 score (%),storeURL
11,0.85,2736,59.91,https://magiceden.io/item-details/7xSppPSPwKmYeAievmLa2k6jqC7GfaUhRmpdaizJYZNK
12,0.3,2239,71.4,https://magiceden.io/item-details/9r7fJyUjMF8EPnfE7akccTsFHRYC38XASxxTQaZmgjGm
20,0.5,2988,60.37,https://magiceden.io/item-details/9M8zk4BYBxmu9ikxUzvA4CEBwiciwaukHzbYaikDah68
23,1.99,606,74.19,https://magiceden.io/item-details/6XyNZ6PeRCiqiVXWhTB8X8DpL8ZfLTLEenUswrZ7ybQK
24,0.99,935,80.22,https://magiceden.io/item-details/3hnC1LNx217UeUTfa76E6nHiKDaaGTgK4geZc9GM3Rpw
27,27,183,0,https://magiceden.io/item-details/BPU2rfLUkjCyhh2FUTnEMevWkHRUXv1V99ZFH7GLVuUn
31,2.69,3094,37.19,https://magiceden.io/item-details/6fiAb1gKbygi7F6Mpb13N2AvQyyzWfdXyjAPvfd1XxRW
33,0.5,1968,72.67,https://magiceden.io/item-details/gLFPuVXbpZi7aSubtzzb4VTyjZKm1FRB4RnfKrnrtPn
35,0.65,1858,72.49,https://magiceden.io/item-details/2h99vpnWZsChaU2TvtcJeKKqPi2KnDuYDuA2HAYMj7uR
37,0.5,2584,65.24,https://magiceden.io/item-details/FcbY9NrpRBaz5jCGBBctfQvJ4vHeLRKCUYZ4eFn5titc
40,1.23,2759,55.83,https://magiceden.io/item-details/mc3HHiFX719sVHT43MEtukKKs5hZXUsHUN7fi4wSxt5
48,0.65,2710,62.22,https://magiceden.io/item-details/78pCzDrxuWzXxxEWbiJFAps1rhC57FmkFxsR6bdbMpRr
50,0.36,2952,62.2,https://magiceden.io/item-details/E9t3PkNL29aaichToAqFDea1fRSJEo97ci2iEnbK5VXX
55,0.15,2397,70.99,https://magiceden.io/item-details/2EFqJds7bYX5FKrz89huAfLS2MsQUqrL3RexGXMgxvFT
56,4.2069,2352,30.97,https://magiceden.io/item-details/Ex4oY8WqVqr8tnShWSEKWk8c11FGuCAcQWqzRELcJkog
57,1,466,85.78,https://magiceden.io/item-details/FkrCqJJKUkanjvZjdKMk5HRtBeG19cNGWh3TU1AZBuCS
61,2,119,79.96,https://magiceden.io/item-details/jA8CBkeou6DgXbnzusYLE9jnAtnGbUjZvebgtdF7KNN
68,0.72,1641,74.41,https://magiceden.io/item-details/HhVa4Fc2ewwmkfEs4LAaPsSu9kmcjv1SKzMGZgtdR5Yt
69,6.9,2000,8.28,https://magiceden.io/item-details/2midkV2THYzCGg29BdWLxer7mGw1J1cZkg4Rojv6Eqxb
72,0.632,2385,66.32,https://magiceden.io/item-details/sAGpynMEFQZXWF2k2fDDmEGsp1q1crKRqgeUNEgJPGV
80,0.69,1836,72.36,https://magiceden.io/item-details/8xno91yG3qMxaJS7ww79vpw6peSteHedb3m9Kd2ymvYB
81,3.33,1035,55.62,https://magiceden.io/item-details/7BheqN5hrfdgYjvZ2xtgAVf7rD6xrDSLsDTocyGekemK
84,1.13,2864,55.56,https://magiceden.io/item-details/A4HEcecRosXzBjGJHa4S8Z3k2buCEX8ShcGPZAn3W3MP
95,1.1,1589,71.24,https://magiceden.io/item-details/FLMFMdRF5kTTa7twoF9h6WpzS1YDcmvCZbWebdUzEGmq
97,0.7,1386,77.69,https://magiceden.io/item-details/DUTQA9rhfUfBd9fX5ZHFTG3B6ZQA8yAadEa9TntwgiWF
102,0.342,460,92.43,https://magiceden.io/item-details/BcSQro52ai5fH9UT8M4BsgnVjr8kTJEMuqBQKPPSyrTZ
104,1.2,1234,74.52,https://magiceden.io/item-details/9QoHBhCQJh8o2Zd3ShLw19KX3PBCp4A6Vh3g3Fu3kWVo
129,1.45,2649,54.96,https://magiceden.io/item-details/J1dBdUJBwGknD7SmZXBzAzWJKB3nHqjaekgTsCnGvB6e
132,2.5,1569,57.48,https://magiceden.io/item-details/DoNHQkYMtT4mTgb657orhHV21xwUjFNKDxCBgbDREEXn
138,2,2632,49.66,https://magiceden.io/item-details/2Z8PNkYpTDVQ7aRLMaKRZhxAtXtB5niCTYXiNy9zVHXR
140,3,203,68.95,https://magiceden.io/item-details/2zABD5Tct6dHUY11LmerEvudnVqhvWjSNkP5bHuQPkmU
143,0.3,1595,79.17,https://magiceden.io/item-details/C5aDDSXjvi7wwqSU8qZE9TdKVdmTuqsj1FKLdQ6A53yU
147,0.94,2079,66.93,https://magiceden.io/item-details/HdxSkFWgkRSkTezR5yE1SAPensEUETuv8iCoi2TK6sgd
148,1.99,1891,58.7,https://magiceden.io/item-details/4xKtKFMsE8kMWZ9BHCCN3cKrkiyTb2YMCqWPgh1GPNH1
160,0.82,2882,58.45,https://magiceden.io/item-details/B4MaSqnfVPEMXJzqk2knsmcUnKpc6atCdNuYQZuMXfR8
162,0.7,1984,70.47,https://magiceden.io/item-details/AEqFjy5rFGfdjcb9eAUiLAyu6CjwkVfTUUq2uz4jxNzm
172,0.6,1797,73.73,https://magiceden.io/item-details/DmCAhNwrAYFVFjGyN7v7jbDSdR6PEisrvdjJzupp2kjb
184,450,1427,0,https://magiceden.io/item-details/AHPuidZumJEAJ3hePw9CA6GKzCCQj3R1qMdCGKSL5hiK
187,0.4,1809,75.59,https://magiceden.io/item-details/8FyB9XHKm9PKskChWn3bx2BjumSbJWtR1j4ev86nXoa8
191,1.9,1957,58.8,https://magiceden.io/item-details/H6MhL9nY55gokspj4xbdkhw6Fp8y65jPLYQVKJDDdE84
192,1.33,3315,48.12,https://magiceden.io/item-details/CC7ppeW5q6LMePATR469V2fFXL2oH3VWnNHgJYrjryD4
195,1,2600,60.05,https://magiceden.io/item-details/9w8xB5z49fMg1TtPMzVsQtxgyp29T9V56z3saRioDWDt
200,1.99,339,77.41,https://magiceden.io/item-details/2d9zCtTPAhAvP5CNpaJidrQk7RgsRDPhgvX5qsgmcva2
202,0.55,2898,60.95,https://magiceden.io/item-details/FhEHGJoNu8CtatGKHNw2g7rSzTzd7sL5h6AJsmpGKK3D
203,2,3133,43.62,https://magiceden.io/item-details/4qNEpTVHGC2H1w1mgg9iRK5UWvTyLXVqL1eY35hF4ia7
204,0.4,3147,59.45,https://magiceden.io/item-details/4hKJcLC9Ufqbf7FXcf19LFRRNiP6bojBqkvbJ3aNbHPt
211,0.3,3218,59.59,https://magiceden.io/item-details/BVexMBNE3ZAWBun5tT8y5pHf74e3Ca8vKk3JKQVnrvLw
212,1,2601,60.03,https://magiceden.io/item-details/8S8PCqHyj7666KvwpRQBUihnGtHTXegox2ckHL6CWjCd
213,0.3,2431,69.08,https://magiceden.io/item-details/FAy94xefQNEfXoCVYUHzs5KwDbT8FVdYamzGdLLXgRaw
219,0.66,2190,68.39,https://magiceden.io/item-details/HSdxopqngbaXbEEWMqG5T4o4htDFbbNteZr2ZWQzhAqP
237,0.149,2321,71.92,https://magiceden.io/item-details/3MRD13nYvHTTaD342DCAipyQ86mpCQzBvdD4BZvW6uje
245,1.45,3086,49.69,https://magiceden.io/item-details/32PnKSqhRSKqL7H9ntxeZ5BeetzzPjWvLytbBg9kVLTG
247,0.15,1775,78.5,https://magiceden.io/item-details/9C8b1M8xmsCVvtMeu7thn9daUA88GehXDuCX92CTp8FT
248,0.44,2946,61.47,https://magiceden.io/item-details/CiKedFqJotMpZp5y3Z5z5FscWi34E4f6yeHZxcvHbY5J
261,1.2,2003,65.25,https://magiceden.io/item-details/J4DFxFdjBcewPSyTKCeJNG3bNFZcDiSqhfNg2BXKNFvP
262,0.2,2256,72.19,https://magiceden.io/item-details/2miLENQUTZFPPxqrRF6Ptehdaoq1kzb3Xia5R3Avhqio
268,0.5,210,93.87,https://magiceden.io/item-details/9ALjbpXtg2kpynUmaafWeX2HxtbZM2iCYKewBUoHm8f
272,0.5,2021,72.03,https://magiceden.io/item-details/EohRFMpp1FePbU3PdBgaKZ4YXRBBDgXeQgxSxvQjNE3i
279,0.61,347,91.12,https://magiceden.io/item-details/8bA1Ebcg9Te1r4eG9smv21bJHVL6RMj5Ym1JCspW4pJA
286,0.88,467,86.97,https://magiceden.io/item-details/5BrWcCTnHNecFJWt9cGw7ZSZj6mMoPgn9SBYQyYrSiU7
288,0.33,433,92.88,https://magiceden.io/item-details/HTMGKxK31WV6GWryYu7YYG3oaJs4AEXWoj5cDWGE628y
290,10,768,0,https://magiceden.io/item-details/D4xzZr7icRAphyrJtCSvV6uTyQdDLBGXJhM7jvzjLgwi
291,3,3187,32.97,https://magiceden.io/item-details/411N2jb4sFewwe1fgmrFbTfjfdmyMN4RSfff5EM4xqKC
292,2,2918,46.21,https://magiceden.io/item-details/Afka8tzwAtR1Vc75q6BpPve6qEKHsVdMyH4kXzAejz85
