id,price,moonRank,💎 score (%),storeURL
82,7,273,30.53,https://magiceden.io/item-details/3oTuEF45oKMuc28eEBjWaxmWAPt1tRBhWP18t4Mrkfkw
572,2.5,2964,56.12,https://magiceden.io/item-details/Bpe72qAMbPWYJ9G51KABrwjeEdREcmbtsj7AzfTU1kpz
754,1.1,4737,57.33,https://magiceden.io/item-details/7CFw8hxoQtrQAkFHWHEsmVjpQW4eYXZSrUtahmKqzGuQ
779,0.99,3414,67.98,https://magiceden.io/item-details/E3uZAK5o3nzcd1Qmd4Lz5R3oY4ZwUcRv3KY2AzenBkYM
879,0.5,4842,62.58,https://magiceden.io/item-details/7365d7k4BeMTwzrCCdiALsoLuMEJ4vR3Gg8wtYt2gkrX
880,0.388,3725,71.75,https://magiceden.io/item-details/rNrYjMtA78Jb61HYQt6od2JS5up5iKMkESQncZvYeiw
939,8,3391,0,https://magiceden.io/item-details/9Bic7iRtRczEAocu459gMYjAUW9GF9xmJ17tPhGieLrv
941,7,3207,9.37,https://magiceden.io/item-details/6d439Tct7LoaDUj6KYQSq1Y1te9PH4RhV7VMqVxXxLZM
942,5,4219,22.07,https://magiceden.io/item-details/F7Eqgi4QxeKkH5BKt2KAWnJEoEhGX8mKxL6zNDCoJ72
1017,0.45,2146,82.52,https://magiceden.io/item-details/EkSwp9cnGbcSoZZw4MweYX6FTrZL2a4LuR2PwbkAZYwG
1102,9,2402,0,https://magiceden.io/item-details/2iEzevPMh5wHgfrwoK4XmXgSbxRCTQFhyZJqdq3jjJiL
1746,5,276,50.51,https://magiceden.io/item-details/ERAptrug2qLMNpNA5Pm7LyLwXmurT2sWCJwpqkfUQ16S
1747,1,2775,72.49,https://magiceden.io/item-details/8DRvVpT8nVtpPbJaoztHH67o5uJCpGUkEMz7egZaKhqx
1749,1,4961,56.72,https://magiceden.io/item-details/ynz9Uqmhf8eaLsvAftAatgMpCjnRmfYpxa3grxw6pxn
2020,3,755,67.05,https://magiceden.io/item-details/E6UQjtRmjXTNpPQJqE4Qk8855pLtypRoJY2BUSwXsuYx
2065,1.05,1417,81.78,https://magiceden.io/item-details/3y17zAMxx57yeteWknyN94BkW3YV1he92X84U4URtFSR
2451,2,4443,50.46,https://magiceden.io/item-details/Cjt7Qcp3sRFuZZbGRikeMNAfcfvKzowUYgj1cJK18AJ
2454,0.45,5123,61.05,https://magiceden.io/item-details/ErssDy1hcjrkSYJHCtDuPVotNAL5LmHCLLvmEoReh9JN
2753,1.2,5018,54.31,https://magiceden.io/item-details/9LuVqAx7UMYHwK2Rb8zNL6rvszURfMZEpAoq3bdDvmob
2754,1,5215,54.89,https://magiceden.io/item-details/B1kPfV1je4f4CzyG1vtfPR7thnX9qSRsgUhrRa4Gz7Du
2756,1.2,3688,63.9,https://magiceden.io/item-details/8KnUCvRVogKxPatAu2Yne9X2T2cY3cwZzZs99UY9N7u5
3134,2,350,79.98,https://magiceden.io/item-details/5K63SDkSTCWNoKnU538jNRr2c9HaLfxw9tTGQLiD2DB4
3419,3,4829,37.67,https://magiceden.io/item-details/FQeBZsvWRFuKgRqCAJ7wDqkRjrc7jVgNPiErrqdqBgRB
3635,2.25,909,73.44,https://magiceden.io/item-details/4gQbcTZPQETheqs1frcygDpjv8mbVRy8B51PPkhrbDmH
