id,price,moonRank,💎 score (%),storeURL,Background,Body,Ears,Eyes,Head,Mouth
23,1.35,3127,59.43,https://magiceden.io/item-details/AsJoFawuiEKJzVj7jG67ZHN6Vz4E2egwqNZybxKCaua8,Violet,Red,Nothing,Nothing,Pan,Nothing
29,8,1495,12.64,https://magiceden.io/item-details/2TUeUNev2YW9UAEgs1wkuyxz8RFEhA2Z8KbjPFAd1wfB,Brown Gradient,Red,Nothing,Cyclowear,Fez,Nothing
59,1.29,2668,65.58,https://magiceden.io/item-details/AsXqdpK9UbcZgQVhLHhLEwAwtVwhNRVAoQFpK6dj1xNu,Brown Gradient,Cyan,Nothing,Cyborg Eye,Nothing,Nothing
99,2.3,2853,53.24,https://magiceden.io/item-details/5MQpALXiJnkpAiPHtotppYZSPj9Abcfy12WrjfatgfWm,Blue,Cyan,Nothing,Cyclowear,Nothing,Nothing
114,1.4,608,89.36,https://magiceden.io/item-details/C1Mzat8cMjBcmPhMdTNZhtSLHBpbimtLVaihkZ1m5eQU,Blue,Cyan,Nothing,Virtual,Bunny,Blunt
143,1.5,218,93.07,https://magiceden.io/item-details/96EW6epEQXy1cNpEidro6u1BT9LEcjHGpBvQGUBCC8Ee,Blue,Albino,Silver Earring,Cyclowear,Afro,Nothing
144,1.5,2177,69.41,https://magiceden.io/item-details/7mtZnZTtLDdUBmLLRt5eFiPo5X1ZRw8V9aHP27CzrCE5,Red Gradient,Zombie,Nothing,Metallic Visor,Nothing,Nothing
158,3.5,513,69.5,https://magiceden.io/item-details/Bbk7eJzXwtLU66v2KqL6mfLMbCnSC6f7zsuDnsKomQxJ,Blue Gradient,Blue,Neon Earring,Stoned,Nothing,Smile
171,1.1,1701,79.16,https://magiceden.io/item-details/9YjfiEcoNF9YmFNqa87JMZhU8c3ZbTVJAsBcd5CkjAGR,Purple Gradient,Red,Silver Earring,Nothing,Nothing,Smile
176,1.5,476,89.95,https://magiceden.io/item-details/H2e91Wpa9Prk5Spw8Jz69YxxP1WkyTMUf8knyS2vFBPR,Blue Gradient,Robot,Silver Earring,Nothing,Gambler_s Hat,Nothing
