id,price,moonRank,💎 score (%),storeURL,Background,Eyes,Headware,Item,Mouth,Outfit,Skin
9,9.99,202,3.39,https://solanart.io/nft/5ehXedPhE5zLG5XQyEUEiuZ4QRRaF623spjUyyrcTHzJ,Yellow,Possessed,Red Motorbike Helmet,Lantern,No Accessory,Advanced Red Samurai Armour,Black Tattooed
10,888,1418,0,https://solanart.io/nft/3gMX2sZQNY8e9jGW3CXvrdVYNXRdTb9EXNgdkJnG3thk,Light Green,Black Hypmotised,Boony Hat,Neon Naginata,Chewing Wheat,Red Racer Vest,Black Robotic
11,1.2,4748,70.83,https://solanart.io/nft/EL22SRRqhS8ZHaZRJKcWToogKCHx2BWtiaKjBMwpPFVn,Yellow,Green,Blue Headphones,Handgun,Pipe,Red Samurai Armour,Green + Blue Wiring
12,1.2,4071,73.88,https://solanart.io/nft/6UF5dXcW7emb9jYFJKJDS1cxt1DcmyyRvnpCuoLabRmg,Light Green,Blue,Blue Singular Optic,Hot Yakitori,Goatee,Blue Wetsuit,Blue
23,15,8518,0,https://solanart.io/nft/5FheXF8F2WkGtGSGfBV5akTvHa3kiqgHnkk2hig84HQb,Salmon,Yellow,Black Ski Mask,Lantern,No Accessory,Winter Coat,Mud
43,3,7521,40.35,https://solanart.io/nft/HQ5AHNiJtLYfnsQGfdY2ygpEdcE4oUFJrN88QRtBj2Mr,Yellow,Blue,Green Headphones,Umbrella,Cigarette,Red Flannel,Black
44,7.42069,8077,0,https://solanart.io/nft/4t4sQTbCTxwRgpY5xsrQZDG2WbMXkCQ7X1KHPQN5hkqA,Blue Rain,Blue,Hannya Mask,Fan,No Accessory,Green Flannel,Mud
55,2,566,81.65,https://solanart.io/nft/8dALGnsyvQubWyC49iTarhTZch6Jhqsnah1h1ZiSqhfg,Cherry Blossoms,Spirit,Red Visor,Neon Naginata,Bamboo Bong,BOGO Tshirt,Mud
60,1.5,6033,62.05,https://magiceden.io/item-details/FbJTKfoH5gCKkwJ34Pw6DK7TYjiU2AWaTDMMpCwzakix,Light Green,Brown,Kitsune,Modded Naginata,No Accessory,SWAT Gear,Green
62,2,5741,58.36,https://magiceden.io/item-details/HpVQX5JTeHrGy7yceyGY1jQnWup89SZ5GEeymPvVTmB5,Blue,Ghost,Boony Hat,Naginata,Chewing Wheat,Blue Flannel,Green + Blue Wiring
69,6.9,5710,9.5,https://solanart.io/nft/EHnJAhNXDprQw5HPfK91Xd7EoBD3a3hiZt7MGCxhtCdW,Blue Neon Kanji,Blue,Helmet With Antlers,Hot Yakitori,No Accessory,Red Samurai Armour,Half Robotic
77,18,7522,0,https://solanart.io/nft/EPEYGsLtLHMwHwnhbggFggdGE3W2ADeYWfkgw4J9S61W,Dark Green,Yellow,Blue Headphones,Cold Yakitori,Pipe,BOGO Tshirt,Blue
92,1.5,6868,58.29,https://magiceden.io/item-details/2gCYsngdSUzePLCK7vx8bKbwivRiKqyNGNickHoyVSDZ,Light Green,Stoned,Cyberwear,Lantern,No Accessory,White Tshirt,Pink
93,900,5019,0,https://solanart.io/nft/HVPGhQNrLhP77tmYPiUmGZa8qMyb8Pg7Hsp7VbpbEPK3,Purple,Cyber,Cyberwear,Naginata,No Accessory,BOGO Tshirt,Green + Blue Wiring
98,10,4850,0,https://alpha.art/t/2nPECJANdKcAjkvV2oF5KsERGPZxhZ32pT2AQdnPxJqE,Salmon,Yellow,Helmet With Antlers,Umbrella,Bamboo Bong,Tracksuit,Pink
100,1,6284,65.92,https://magiceden.io/item-details/C8N3ybKyLKKipzYrhpUKo26jTjuxVhrSrjzZwanutVi3,Blue,Stoned,Red Motorbike Helmet,Fan,No Accessory,White Robe,Green Robotic
103,5.5,4665,28.2,https://solanart.io/nft/9Y84GNgYrAvUVuiPo5FjUp8UqUeBu3psmFPh18ZLzbYQ,Red,Yellow Hypmotised,VR Headset,Rambo Dagger,Pipe,Tracksuit,Demon
127,20,1388,0,https://solanart.io/nft/7QBZ35ZNrMB5MEaHzBf9vztR3JY7S6zKd2SzkddstNrV,Dark Green,Brown,VR Headset,Thermal Katana,Goatee,BOGO Tshirt,Green Cyber Suit
136,4.2,8658,23.23,https://solanart.io/nft/H9PdPNaAD9bRWZMUgVYC77Ebbc6w159eAUdezY8d7irk,Red,Brown,Black Ski Mask,Cold Yakitori,No Accessory,Tracksuit,Mud
142,2,6259,56.03,https://solanart.io/nft/4Lxx6Zmjd5KpqUsNe9iTkzjpfaCZaNfDgGKYsrRze1sK,Light Green,Green,Boony Hat,Modded Naginata,Cigarette,Red Samurai Armour,Green
143,20,7848,0,https://solanart.io/nft/GfqDiEGukDrgroFLcKo3PwQzPho73BTm2BvjvyNx2Bob,Blue Rain,Brown,Orange Ski Goggles,Cold Yakitori,No Accessory,BOGO Tshirt,Blue
157,2,5769,58.23,https://magiceden.io/item-details/Apksz9XqLTj6zci9EcQmugYK7SDkKeTzZWCgXpTHZT5v,Light Gray,Yellow,Boony Hat,Baseball Bat,Bamboo Bong,SWAT Gear,Sand Cyber Suit
158,10,302,2.84,https://solanart.io/nft/7t1EjxXvRAXkqkmrfZtW8nUuGT6bbBYKberhso6iM6GF,Light Gray,Yellow Hypmotised,Kitsune,Mantis Blade,Bamboo Bong,Blue Flannel,Black
167,9,6084,0,https://solanart.io/nft/3sHBJ9RnQyswkHp1fx8FoJhdbk5RKmenkoa4LqArX68y,Light Gray,Yellow,Red Visor,Naginata,Pipe,Hawaiian Shirt,Half Robotic
168,2.98,8346,36.84,https://solanart.io/nft/8Rwu3H7nqp198dKbb4VhNe9tdrwfXLhr98frZDZcdNSV,Salmon,Yellow Hypmotised,Black Ski Mask,Baseball Bat,No Accessory,Blue Flannel,Green Cyber Suit
169,1.2,6574,62.61,https://magiceden.io/item-details/APWrJdnMi3VqyEq9xkiSYqotzKGcmcsoXMpVmzZYZkp6,Blue,Stoned,No Headwear,Umbrella,Pipe,Black Tshirt,Blue
180,150,1,0,https://solanart.io/nft/7x94yugKXEVyYH1FLPwnTgHui8wnh23PdKdqsrur5won,Storm,Stoned,Orange Ski Goggles,Mantis Blade,Beard,Advanced Red Samurai Armour,Half Robotic
221,24,8836,0,https://solanart.io/nft/9nrCLde6JLBSYohZLacyY7Qcb7YfWzv4jwDB6pFF17j6,Dark Green,Green,White Ski Mask,Spear,No Accessory,White Robe,Pink
230,4,6317,35.77,https://solanart.io/nft/98PQCSDUpVLJhRDZ9eqz8Vfw2pJUySyboJY3jiSftCUr,Yellow,Cyber,Blue Ski Goggles,Fan,No Accessory,Tracksuit,Half Robotic
249,5,5804,28.08,https://solanart.io/nft/8FNCUDGksrv65nwtN4LrnyxUUqkWE28ghWvsLEXbCSVJ,Light Green,Blue,Eyepatch,Leafy Stick,Pipe,Solana Tshirt,Half Robotic
250,1,7717,59.47,https://magiceden.io/item-details/5A5V2jtbJisE2AYTMYcoYvotjm7eie3i1o1Ag1Nm25UF,Yellow,Green,Green Headphones,Fan,Pipe,Blue Flannel,Pink
253,5,7594,20.02,https://solanart.io/nft/xTWwuBamz7EqzeoMYcSms6vASkmShuVN3PJrqdhmniV,Dark Green,Yellow,Black Motorbike Helmet,Hot Yakitori,No Accessory,Blue Racer Vest,Green + Blue Wiring
256,1.5,3716,72.47,https://solanart.io/nft/5YrLh3bFaSR8ZZiWSQsRdtUM7G3ek9fqFLeu5WEB1z2A,Blue,Stoned,Eyepatch,Umbrella,Gas Mask,Red Samurai Armour,Blue
260,2,1086,79.31,https://solanart.io/nft/ABRT89u26XfZ8e1CtcRYs4M2LLPchWRHsjCab2uHSiY3,Blue,Yellow,Kitsune,Katana,Bamboo Bong,Hawaiian Shirt,Spirit
262,0.98,8887,54.4,https://magiceden.io/item-details/4m4ohzaF7wke35PNC6LLrn87sv2on6jh52W9hgBqZo5y,Light Green,Green,Boony Hat,Baseball Bat,No Accessory,Blue Flannel,Blue
267,4.44,2045,50.6,https://solanart.io/nft/2JnwWoNsDXnn48Xkd1uGV79bvGNz26SmAXHp4gyk8vHJ,Cherry Blossoms,Stoned,Green Headphones,Thermal Katana,Chewing Wheat,Bandoiler,Mud
309,4.5,7557,25.19,https://solanart.io/nft/8eirNhYh6cxYUcSmCqmwtL5WRopTj8SaPBA7EYDMDJRs,Red,Yellow,Black Ski Mask,Cyber Umbrella,No Accessory,Red Flannel,Ghost
314,25,5827,0,https://solanart.io/nft/ECkqHs4ooQPno23hEbEXJ8SokBkvNSKQwdKe3qf6Z9kh,Blue Rain,Yellow,Green Headphones,Umbrella,Gas Mask,Blue Wetsuit,Mud
320,6,2870,31.28,https://solanart.io/nft/7kZTwJoLS8V8na4Ebcc3iTRSE3dQLLfgpSJT7MnJtsDh,Cherry Blossoms,Black Hypmotised,Blue Samurai Helmet,Baseball Bat,Cigarette,Blue Flannel,Sand Cyber Suit
328,2,1171,78.93,https://solanart.io/nft/HpPw8mqjHiy1MHsnGb8fgWpejbUFufv7J8DUvedTMMMd,Light Gray,Ghost,Red Visor,Assault Rifle,Goatee,Cyber Policesuit,Blue
345,4,8173,27.41,https://solanart.io/nft/MQdLSiV6F9noFMyK51LHzHf3cEiWhbpxoduaTkgunrZ,Purple,Yellow Hypmotised,Black Ski Mask,Spear,No Accessory,Red Flannel,Green Cyber Suit
353,1.5,6344,60.65,https://magiceden.io/item-details/8KP3emU1JhoVjbuJrurDCHZc74e81ErnpuVn4abVzJ22,Light Green,Green,Eyepatch,Rambo Dagger,Cigarette,Bloody Robe,Demon
359,3.88,5178,42.09,https://solanart.io/nft/Bb9vyhvEyQmg44TfT5EzDQwTjTAFMni8CdBn4HCZmG4o,Blue,Stoned,Cyberwear,Fan,No Accessory,White Robe,Ghost
362,2,5411,59.85,https://solanart.io/nft/E4iy5XKevRzDWBGiTVVKstoqdPTuCH7STb48Z13XRudr,Blue Neon Kanji,Black Hypmotised,Hannya Mask,Naginata,No Accessory,Bloody Robe,Black
371,2.9,2299,64.85,https://solanart.io/nft/EQc266jvdRztNtTtbckXBUj29PNakXcaFHXR2yfdnySz,Pink Neon Kanji,Bloodshot,Cyclops,Assault Rifle,Toothpick,Blue Flannel,Green
376,2,1817,76.02,https://magiceden.io/item-details/3S8LtLEAkpdqtpDhEhZAq6hyvkfWAQzYk1joht7E6Lt3,Purple Rain,Black Hypmotised,Helmet With Antlers,Cold Yakitori,Surgical Mask,Black Tshirt,Green Cyber Suit
382,3,7614,39.93,https://solanart.io/nft/9ZLWZCWLvyGxbk8NKiDTRq3mSmcGvbdtouZMNAsveuVC,Salmon,Brown,Red Motorbike Helmet,Fan,No Accessory,Blue Wetsuit,Ghost
387,2.5,6068,51.89,https://alpha.art/t/CNCrpFsc2ZAP5kZuMHJjkujAaNTnG9N9QuXkPX1itED7,Purple,Possessed,White Ski Mask,Naginata,No Accessory,Blue Wetsuit,Black Robotic
390,1.78,2137,76.78,https://magiceden.io/item-details/Aapm1iNtvR52f5AUgKnzTWbRWNzoN9fpxzJh2tgiERpe,Leaves,Bloodshot,Helmet With Antlers,Lantern,Surgical Mask,Green Flannel,Green + Blue Wiring
393,2.95,5462,50.12,https://solanart.io/nft/9WEMDgt5XBZtjDJmdC219Q186PMi2W3TLWcKoa7nNELC,Blue Rain,Blue,Green Headphones,Spear,Toothpick,Leather Jacket,Sand Cyber Suit
397,3.5,6633,39.35,https://solanart.io/nft/9Gw84FSCj8C3jPyMHf9DsDPh5fEytKmdTk5xgbwVmYeA,Leaves,Blue,White Ski Mask,Cyber Umbrella,No Accessory,Red Flannel,Black
