id,price,moonRank,💎 score (%),storeURL,BACKGROUND,BODY,EXALTED_STAT,FUR,GLASSES,HEAD,IDEA_CREDIT,MOUTH,❤️
2,18,13449,0,https://solanart.io/search/?token=G8tEWdT6Tsb7WfzHGmGhXv9ofARxbxBUUqgDC9FUbnyN,Blue,Fairy Wings,,Blue - Grin,No Traits,No Traits,,No Traits,2
31,4.45,12049,39.28,https://solanart.io/search/?token=awkfFnL3iQB7vTAoM8QPrMkTMuV7E98gftzNPARceF4,Black,No Traits,,Black - Smirk,No Traits,Pirate Hat,,Bird Foot - Smirk,1
40,75,210,0,https://solanart.io/search/?token=ZySYM4VKbwfnseACDcFVNbXjnDfjVn8mgGVLaNbSZGd,Red,Bandana,WEN: 2 hours,Scarred Red - Grin,Reading Glasses,Tomato Soup,,No Traits,6
42,4.2,13798,36.85,https://solanart.io/search/?token=AHe95yRZnumGoZUwfKHZhXLJs53QNL1ZbqPBE7VoTKmJ,Blue,Chain,,Green - Smirk,No Traits,No Traits,,No Traits,5
86,4.69,1492,66.69,https://solanart.io/search/?token=6YoHmxsxW1fJfQSQ8n2YiQSz5tT2GUz2dC8etUqA82gi,Green,No Traits,PSYCHOLOGICAL_TRAUMA_LEVEL: Medium,Green - Smirk,No Traits,Headband,,Rat Tail - Smirk,4
96,2.69,8822,65.99,https://solanart.io/search/?token=9thAmY67RRkTCSotr8mjcoNMvQdub7ZK85iE9bzaUfeR,Purple,Bandana,,Purple - Smirk,No Traits,Road Cone,,Match Stick - Smirk,1
105,3.5,7724,60.99,https://solanart.io/search/?token=2rtfMmAH2JQx9RDDSroLSpXAJ3vCLuertNKxMzyqLB38,Black,Overalls,,Black - Smirk,Designer Glasses,Road Cone,,No Traits,4
111,10,913,15.22,https://solanart.io/search/?token=Hbic5j3yxenHXgJ45eC38bRNVS82abS93N9ypE9g19Ki,Purple,Football Jersey - Red/Blue,EXILED: Just kidding.,Purple - Smirk,No Traits,Takeout,,No Traits,1
119,77,137,0,https://solanart.io/search/?token=D2PkMKSMzCxLRJVsKkrgMgkQyCUvzYA4p6gV11yupETU,Green,Hockey Pads,RUGGED_COUNT: 2,Scarred Green - Grin,No Traits,Takeout,,Dirty Fiat - Grin,1
120,7,13809,8.82,https://solanart.io/search/?token=E1SA734Nx6m739cnRaMNbqNQNKPKC2VrnouZQ9eFf4vF,Purple,No Traits,,Purple - Smirk,No Traits,Pandas Pickles,,No Traits,5
