id,price,moonRank,score,storeURL
7,50,3785,8345,https://alpha.art/t/GqvvgBzRhrsoacEgeZrXNQDsJcGLcPfTnmCW84LgMetY
8,24,3113,5073,https://alpha.art/t/FQuQN9brtttZHm8u9ejbuyuoZPM8cYhGHFq6kaV6jZmz
12,200,6756,26316,https://alpha.art/t/E48fEyBryHTkS7AMK2kSoCqboVtWFuEGEPBw5XUqt7H8
30,10.7,9114,9744,https://alpha.art/t/FkeFo9K3WZdTuakif8afPui4PciujKS7L5BFmFzmCV5t
33,26.69,8592,10821,https://alpha.art/t/46zduwcH13fHCCS1XcCxFkHexejTn81hJHrJvWwzDTW8
40,17,9015,10275,https://alpha.art/t/8WqSBAL4kkEdkSwJ4jU5WgEgZNkeegbL4XvV2PsHbJrF
51,70,9561,16121,https://alpha.art/t/5YmZ1jT3UBcPgP27ajdJM94ZwHPz6GYWFP1q3CcKdC9u
56,11.5,2554,3264,https://alpha.art/t/4jbSmXgcYM6A5UTjiDoKkcwEn7zvVHKASibafhdmfPni
69,14,9108,10068,https://alpha.art/t/3PJjUeCGtP2nhtW6wq5tgwZRXoMy2tvVF9yK5hT1Q2vE
92,6.5,1722,1932,https://alpha.art/t/AS9KKRcHrCfZ9qVbh7L9pWLtJGa4bRZK8XFzeqEx3i48
96,29.99,4218,6777,https://alpha.art/t/5axhLb2YWxKRdcYCpWcqHu2wqdVHictJMBus7fPYQ1yn
105,33,2709,5569,https://alpha.art/t/qmrSk1CZM2kuvQZfxTsTTxEo3CYA7ahxvdZ25HsaiBo
111,18.93,8349,9802,https://alpha.art/t/6xTThSX2UuUvF6Uks9mJ6XgDiJrEAQbZ4nYdBPxRuPgA
114,11.7,5838,6568,https://alpha.art/t/CqD3RDudhAjUfQinJmMAz5Zkaj6DfGGWFMzUPL3m78FB
116,21,8507,10167,https://alpha.art/t/G5xXvLBYFd6bcETACBfK87eqY36r39ZvMwwCy15aY2PL
125,8,5321,5681,https://alpha.art/t/3JGPZ8CgSG93PJB95bsjdfoCeqAcroXpJj9CKq4Ez9Ly
131,10.51,3446,4057,https://alpha.art/t/eHMsWwmeoXguYVkkMKhNff1AgJVTBgYbqEhTGmYBo99
134,60,2096,7656,https://alpha.art/t/FSGGjwcw4d4DeJMVG6vkX2DjvnKnTSwSZ2ekJjrZxCvG
140,6.3,8379,8569,https://alpha.art/t/4dutnNQVzc2S2TfbrW5yRNGKYaZw9z2W7nXu9xMLz3yG
149,13.33,2884,3777,https://alpha.art/t/2aDE56s4omWqu1WJY1YDBaMsYPNgzXprMF1fi8nBhWC5
184,9.9,6792,7342,https://alpha.art/t/5hsqwztMoDR7eQ6f8sdsTvwN6uThushqGRqrgmePRF8p
186,6.89,8319,8568,https://alpha.art/t/GZRmerj9WH6UKZTfXr5mpCGCyYGFa7pf7rz3rzwn1WHU
190,9.69,8229,8758,https://alpha.art/t/EtJ3X5vzsorknxq6GoSU54ahJbTorCQMazMgECpwXAfS
194,8.8,5657,6097,https://alpha.art/t/9BL5B5YpFdJptEiyWd5tQZCBGvXac3V2ZcHSdnanyTuu
196,6.333,4917,5110.3,https://alpha.art/t/FbmJY3X35YRfVceUmXre1et97f6rcPUWCnFmCCkta3Rk
206,45,973,5033,https://alpha.art/t/Cry5ePnDg1bTh9MAdGBPri9MnbD9sBWvfzUsNj1MTkxk
211,5.321,5696,5788.1,https://alpha.art/t/8pN2Ui2iWrRjR57aPzBPLfT4RYuzjpV9q6jjqiSyMyWi
223,11.9,8978,9728,https://alpha.art/t/2iRmd6GRsqgzj4nNZzP3qtGNodvoi4K9JbWroFB4YTUU
224,22,9506,11266,https://alpha.art/t/E3bgaC6hmKoVEjDNKa2bNSpqWwnbXCXooWJzXjtkE3Vp
233,5.32,5458,5550,https://alpha.art/t/42QyQu66QB4QBu4rtLBGFPxsiVzUxV5tLKnhxdK89eDv
270,499,5729,55189,https://alpha.art/t/8Mr6Wp5jtMhL9gjfW4HQtH1TBfFrE2YnC6573aewA6Gn
272,6.1,2728,2898,https://alpha.art/t/Ftrm54xMe689mpZf5XCUw6Pi9CsNVrnryg9UY7698Mcy
279,5.32,7868,7960,https://alpha.art/t/HXH8rXTiagPkTzwkDNiUdHqDtx3YzoQnfrcR8LMBxTDq
282,6.41,2683,2884,https://alpha.art/t/CXcHiN8wq9wZ39Vu7DegRLqtgFctBTuwwXUG3XX61Kes
291,9.5,6962,7472,https://alpha.art/t/2WrgnnWtMha6UhN6GycLoEHS96XBkD4k6d7erumDBvUV
298,8.8,7060,7500,https://alpha.art/t/7znyjBSMYxDJPBqeFK9u7xHg53JmjKErtuDXEAejELMF
322,8.5,6399,6809,https://alpha.art/t/GiCNxpYSLR8VRyg94c8c95hJCmLpCEPey7pRXPk9NmeS
326,8.41,4432,4833,https://alpha.art/t/B9L75nJsDidNomyqGYGHVKqFbmfVk82eR5vSXaFSo2DV
341,42.06,6050,9816,https://alpha.art/t/BBMc9aS1QebrfhHnXU8N9zQhJZZanuvTgh2xBaFjEnaR
344,49,4394,8854,https://alpha.art/t/CEXj8MCXueHkxsZmiTQQb8bSv88myQnFhheAAHCh4i9P
345,36.9,4552,7802,https://alpha.art/t/DzUUMcyM4Fx4xUbXkN4UYC1kNd5kaaQeSuSzpuxhkd53
355,10.33,3291,3884,https://alpha.art/t/EakWGgiMbxdaJ1nicdY58VP6gEzosR6osS7Kgfx6Tk3E
364,12,7525,8285,https://alpha.art/t/6qXCvaTykqNmCyhYeDRLoB5TsADUFMUS7EhRE5SQcnrz
374,5.65,6736,6861,https://alpha.art/t/BVwY8W5yvfPHkK2TYBkR2bAeDfjfKfzURranwjrj58r6
381,21250,5581,2130141,https://alpha.art/t/4i8ySAKfYjLLXtSAjdtf3t3w6nJwRZ8Rf4YG1NXSutYw
397,11.6,5241,5961,https://alpha.art/t/7qvJNxT4AFmbz4fKWs6GY4k4fVyRFv67i4T3DLobzf43
399,9.5,994,1504,https://alpha.art/t/T4CvSBQcTcwSwiAeU2FsYPD3XG2ZbQb8f7hRsNxYcFH
406,22.5,2805,4615,https://alpha.art/t/HpH6wdDFGfV9YRWUNMDtsfzUraP4DRXv4dcxqYNfzzRF
408,12.69,1278,2107,https://alpha.art/t/EPmj7yrBq8XiiUyzTn7qB9uTxx47bKW5gouuzPbteUdp
422,500,9020,58580,https://alpha.art/t/5sJqWNXeqHfVoT8qZcVY63QnJMVae6ytYRA9FwjgqmSC
432,6.7,7648,7878,https://alpha.art/t/BML5edKCt93DVQHhQKFAfJ5GgYvduRXbvrzqU31zAKQi
