id,price,moonRank,💎 score (%),storeURL,Background,Body,Earring,Eye,Fur,Headwear,Mouth,Necklace,Top
18,1.3,972,82.33,https://magiceden.io/item-details/8c9Nud16qRwxKVz9H99rGN8dHV3oZaHuy6A7zbE3eLVd,Out From Earth,Sapphire,Airpod,Glasses Round,Magma,Bandana Blue,Pizza,Beads Silver,Hodl Black
33,20,2446,0,https://solanart.io/nft/95id8bFFASECNNS7FZiULqSh1NwXLogbVsqQAaQb2YNK,Portal Persian Blue,Emerald,Love,Fire,Cobalt,Bandana Green,Evil Smile,String Silver,Disco Pink
48,1.5,1459,74.49,https://magiceden.io/item-details/B1Jn5zAsfmgFuy97uhnXHbuXA8GMUWAcreBCpxn5AoBZ,Portal Electric Violet,Sepia,Multiple Silver,Blinky,Lime,Mafia Hat,Watermelon,Ethereum,Neon
56,0.92,3019,61.57,https://magiceden.io/item-details/CMJZtJg5DiEgY5kN2sprYCbayZDEr5WvXNritPDnRmg7,Neon Shocking Pink,Sapphire,Banana,Scar,Tangerine,Punk Purple,Censored,Cross Silver,Red
57,1.3,2890,59.32,https://magiceden.io/item-details/7gMgPrcjavDuQGZMfrTWZCDgdUmWKa1zJd4GPhED34fj,Neon Bitter Lemon,Emerald,Airpod,Cyber Glasses Purple,Lime,Beanie White,Laughing,String Silver,Jacket Blue
64,50,2776,0,https://solanart.io/nft/C1VhruTdVjQzjMjMs7vn2amhcvKbHWfxVUs527T7U84W,Portal Amaranth,Emerald,None,Hyposis,Crimson,Punk Purple,Confident,Multiple Silver,Black
67,1.5,3287,52.55,https://solanart.io/nft/2ozepraJ76tk8xmA1DUmWPKHopTnw9Fz4ubnZHHUoUsu,Portal Electric Violet,Regular,Love,Cyber Glasses Purple,Banana,Cap Dope Silver,Unhappy,Multiple Silver,Black
68,1.18,2515,65.02,https://solanart.io/nft/94KZsjSHvNNU7MV5ZapZ1vCrjzrwL3RQMswQ2QzXU2yg,Round Shocking Pink,Amethyst,Multiple Silver,Scar,Arctic,Mask Tengu,Censored,String Silver,Captain Ethereum
70,1,3267,57.79,https://solanart.io/nft/FDLZ2SqZN1nTeNQiaiZkEo6oFpRhmk6YNbbAJktuXso1,Portal Shocking Pink,Sapphire,Lightning,Glasses Love,Arctic,Mafia Hat,Laughing,Chain Silver,Jacket Neon
72,7200,2519,0,https://solanart.io/nft/9GMsi9Xv8sxHrU1JJN7beQcxifHFDwyUyYG4fYT8NFb2,Eclipse Shocking Pink,Amethyst,Multiple Silver,Glasses Lightning,Violet,Captain Bitcoin,Laughing,Cross Silver,Tank Top Black
82,1.5,2419,62.97,https://magiceden.io/item-details/8s7W9Tz6UhUT9nqYojFeKCkgu4Ws4jNy6iGhjK7Vsvnb,Eclipse Shocking Pink,Regular,Love,Sunglasses Pink,Midnight,Goggle Midnight,Censored,Bitcoin,Jacket Neon
92,0.718,2832,65.83,https://magiceden.io/item-details/Dxzp7NjwTBqxtmrDvsk8L2QN2jWz2QmcB3uHTY8uXJDH,Dope Amaranth,Sapphire,Nihon Green,Sunglasses,Violet,Beanie White,Cigarrite,Cross Silver,Red
95,3,1587,57.95,https://solanart.io/nft/E34A7CVhG5sU4ehRmsfjEE3dqU3oDDgxuRo3Bqx64Qtk,Out From Earth,Regular,Clip Silver,Blank,Cobalt,Mask Fox,Regular,Multiple Gold,Neon
102,10,172,4.94,https://solanart.io/nft/9gtKk3szFJW5zhTDDikTYjYetTVk8jz5GKcZrtPAugfo,Round Rainbow,Obsidian,Money,Sunglasses Green,Crimson,On Fire,Censored,Beads Silver,Jersey 01
111,1.1,1126,82.49,https://magiceden.io/item-details/HELwfmPh69BSto7wGwS7tK8tN9Z7q3EKdWhmeyjEjG6M,Portal Electric Violet,Regular,Mech Sunrise,Empty,Flamingo,Mafia Hat Silver,Pizza,Multiple Silver,Jacket Neon
117,3,2803,43.36,https://solanart.io/nft/C1QKgUERRYoPpyc24MHMemZULESu1Ff4qjbsDKpBHH7H,Portal Persian Blue,Emerald,None,Hyposis,Lime,Punk Green,Unhappy,String Silver,Neon
124,10,2562,0,https://solanart.io/nft/7Bxq7ahGi6j8UUb6Zip7McHctMry8PcigC5GaQ5Fxgoz,Dope Electric Violet,Regular,Nihon Green,Eye Patch Silver,Arctic,Goggle Sunrise,Shouting,String Silver,Premium White
127,3,1163,63.04,https://solanart.io/nft/3SRyN8ekHH5NGwffbZGPMB3LN6mf3tXyocFWjsti4NsD,Japanese Dope Black,Sapphire,Hoop Silver,Watery,Lime,Mafia Hat Silver,Tongue Out,Beads Silver,Jacket Black
139,2,2394,58.27,https://solanart.io/nft/9ofNDSVno3whPHt7bSK1LwjYbJKoGUqXL2BAgEovzmvh,Dope Shocking Pink,Amethyst,Cross Silver,Hyposis,Cobalt,Devil Horn,Lollipop,None,Jersey 18
144,1.3,1481,76.23,https://magiceden.io/item-details/6vKmipdct4B35YytNC6ogpF4xVfJBcoDpDd8BzrGmssx,Dope Persian Blue,Regular,Multiple Silver,Eye Bag,Arctic,Crown Prince,Cigar,Cross Gold,Blue
150,8.5,816,12.21,https://solanart.io/nft/6AhbUT9LwxRtkQsuCSRYToStjG1pQqXyjmbfGNvVaCLA,Eclipse Bitter Lemon,Sepia,Cross Gold,Cyclops Purple,Lime,Banana,Dope Drink,Beads Silver,Tank Top Prison
160,1.75,550,82.9,https://magiceden.io/item-details/BXniUpsX9H16t3KND8LgY13ZNZGYhpxu91h1iRFX1wBe,Dope Amaranth,Emerald,Banana,Cyclops Rainbow,Banana,Goggle Sunrise,Cigarrite Rainbow,Dope Silver,Jersey 30
170,2.5,2565,51.22,https://solanart.io/nft/mNku3rz1yXo4gAFWuzDBb8w1T2wA6446xqEzcVqrgfZ,Portal Shocking Pink,Ruby,Nihon Red,Money,Crimson,Mafia Hat Silver,Unhappy,Dope Silver,Premium Black
171,4,2026,42.69,https://solanart.io/nft/3d3F2cX9yxtp54UMvBdEfCKtkS4XWv8v7qp1YfGaxUj3,Round Amaranth,Sepia,Nihon Blue,Sparky,Arctic,Cap Dope Silver,Confident,Ethereum,Neon
183,1.3,1782,72.61,https://magiceden.io/item-details/2FYnu1fV9aU4LXh6LZ4pHYJpQFkCxvUiHUq5KfotUrzu,Portal Electric Violet,Amethyst,None,Sunglasses Green,Tangerine,Cap Smiley,Lollipop,Dope Silver,Disco Pink
191,6,560,40.28,https://solanart.io/nft/EEJqtesAfeibpYf5t1P7cJoSWMa3xuJ8o6bAKLS4eXrw,Blue Sky,Amethyst,Cross Silver,Bitcoin,Midnight,Mafia Hat,Laughing,Bitcoin,Jersey 01
193,0.99,1744,76.17,https://magiceden.io/item-details/FqkzRMkDF4nbVfsf1Lhy94PezKs6JsQfDAe6MG2DHUCb,Dope Bitter Lemon,Sepia,Airpod,Blank,Cobalt,Cap Smiley,Cigarrite,Chain Gold,Jeans Overall Red & Blue
196,1.25,1086,81.47,https://magiceden.io/item-details/4b4AnUVGF6ngMAcuapPngganwUK7m2XdWB31wYo6Wne2,Portal Persian Blue,Sepia,Nihon,Glasses Love,Leopard,Halo,Regular,Cross Silver,Neon
208,30,3283,0,https://solanart.io/nft/HRh1Vm79EMLh9BgizwPeVyV63NzwydQ2VWWbZ3g9FzF4,Round Shocking Pink,Regular,Love,Scar,Midnight,Cap Smiley,Regular,Dope Silver,Neon
219,2,102,85.78,https://solanart.io/nft/2c6R2XSr5VRD1Noc8yWUrsJUHfY6CBiDpdFN8nRFS3Dy,Dope Bitter Lemon,Ivory,Hoop Silver,Sunglasses Green,Magma,Punk Green,Smile Rainbow,Chain Gold,Blue
221,2.8,2076,54.09,https://solanart.io/nft/BAu5Uk1KVrHyVDWAdsBh3iuDiPMBbeAyziwVJHz62K1S,Portal Bitter Lemon,Amethyst,Nihon Blue,Dead,Violet,On Fire Purple,Shouting,Dope Silver,Wagmi
236,50,1748,0,https://solanart.io/nft/7M4XvAwhey8e7XWkeFRzgDicoKUHKLMJeedFnA1X3NXx,Eclipse Amaranth,Sepia,Money,Glasses Lightning,Midnight,None,Confident,Cross Gold,Neon
237,183,2607,0,https://solanart.io/nft/H9Y6WWxzghexUQPYUoZxPCziGzYWEwXnN22KPkQoqqau,Round Persian Blue,Emerald,Lightning,Eye Bag,Banana,Bandana Green,Soul Out,Chain Silver,Hodl Black
266,1.8,2131,63.43,https://solanart.io/nft/Gv6VRbhFyWpBG4WFycS9SxCwWX4MrCxs3dE1zN4CmTqk,Blue Sky,Emerald,Hoop Silver,Mini Glasses Yellow,Snow,Bandana Green,Smile,Beads Silver,Blue
276,1110,471,0,https://solanart.io/nft/3bcVMw2DbGFU3oXUjHRKVS7NANUPpBqoa1gNdtXbgngT,Round Rainbow,Obsidian,Money,Money,Midnight,Mask Fox,Unhappy,String Silver,Red
280,1.95,1235,72.68,https://solanart.io/nft/qzgvm9qLS3Vgdu5b6dBZP3CRKERNpDPa2yZE7or3Jnp,Dope Amaranth,Sapphire,Banana,Cyber V Glasses Purple,Flamingo,Banana Gold,Shouting,Dope Silver,White
287,1,2392,68.29,https://solanart.io/nft/ECbq5CMZtRhmb474Zf98g4W59ovf7chiFrskHnhxbUrj,Dope Persian Blue,Sepia,Nihon Green,Dead,Leopard,Goggle Midnight,Cigarrite,String Silver,Jersey 30
291,2,3054,50.35,https://solanart.io/nft/MpvjWDSanQgMZnkxpNqc7UREKfoWevtWrLudDsvuVst,Round Bitter Lemon,Regular,Nihon Blue,Sunglasses,Galaxy Night,Cap Smiley,Evil Smile,Multiple Silver,Hodl Black
297,5,1388,40.34,https://solanart.io/nft/DL5huptoyVnnD5mLeHLVvqq4Y8Xa7Qr9r32U5i5AxPYt,Portal Shocking Pink,Regular,Nihon Green,Eye Patch,Snow,Crown Prince,Cigarrite,Snoop Dogg,Jeans Overall Black
298,0.89,1545,79.56,https://magiceden.io/item-details/B6oQvAbikVsSG1NQMgfsgmgG7fMYcKGyQJEFgE7VmSpY,Portal Shocking Pink,Sepia,Nihon Red,Berserk,Arctic,Bandana Green,Shouting,Chain Silver,Jeans Overall Red & Blue
306,1.1,2414,67.03,https://solanart.io/nft/PR2KWpkmP6c4RyQbYkn1fsrTKqTwcMHfBy2UFm3wjpn,Neon Amaranth,Ruby,Money,Dead,Tangerine,Banana,Evil Smile,Ethereum,Jacket Neon
310,1.5,1239,77.13,https://solanart.io/nft/HvFuzxsuKxRcqzGJheboLmMaKdN5NTeMxebkY2c5Xm7g,Neon Shocking Pink,Ivory,Lightning,Sunglasses Pink,Midnight,Punk Green,Lollipop,Dope Silver,Premium White
311,2,2902,52.17,https://solanart.io/nft/EKu4M2UmquZwyLw1AZw95WKAcRQtcmy3DkZKiBxk8QbP,Neon Shocking Pink,Sepia,Multiple Silver,Dead,Ash,Mask Fox,Pizza,Dope Silver,Suit
320,1.5,568,85.18,https://magiceden.io/item-details/D3qhGB7zeHXHLeMQqEwagm373M2igUMqkZm66BwhT1sX,Eclipse Persian Blue,Amethyst,Hoop Gold,Blinky,Ash,Bandana Blue,Soul Out,Dope Gold,Emoji
