id,price,moonRank,💎 score (%),storeURL,Background,Edition,Eyes,Head,Mouth,Outfit,Skin
47,12,4406,54.01,https://magiceden.io/item-details/CPJx9PF1Wa4oFwnDAgDKLkrPgGXuH6zXSrahxZdPQu6P,Straw,,Angry,Sportsband,Closed,Shirt Green,Natural
66,12,2192,65.51,https://magiceden.io/item-details/3C2NcMLrg9FtWzvxokDjcfL3Qf44TWdmRtJgptF8uRSD,Rose,,Jaded,Bucket Hat Blue,Stache,Scarf Striped,Natural
112,12.9,1405,60.6,https://magiceden.io/item-details/9gzKxfffSQ7eBioDpiCMTyWtADVWgHZmCvfLJfMScvmZ,Sky,,Eye Patch,COPE,Smug,Shirt Camo,Natural
159,13.9,7701,17.9,https://magiceden.io/item-details/2jZetjzeiPfAjqSDRHmnwTCMAmkf4xG5pX2zsP9NohRu,Straw,,Standard,None,Smile,Scarf Purple,Natural
217,25,873,0,https://solanart.io/nft/8FS9HJ4kZTLKHWcEfCs3xdXjDTdMr9qxjRYeo1uxnahQ,Sky,,Blank,Halo,Blep,Scarf Purple,Natural
245,10.5,2815,77.28,https://magiceden.io/item-details/GWLgNQwuPtNABiwmzP4gigNFS62K3BNrHnuxy2eGkYUi,Emerald,,Blank,Bucket Hat Blue,Blep,Shirt Green,Natural
254,11.5,3923,61.52,https://magiceden.io/item-details/A76T9hCVMnKFbQ6rw91CQJEMsYCeFU8E6hYW1aEZ39Bd,Blue,,Thug,Headband White,Grin,Tank Top Pink,Natural
352,14,6040,25.53,https://magiceden.io/item-details/Gmea9Q3McKLqcEoYYe71FckfMAZUoL1QXGD1E33xSBMw,Straw,,Standard,Cap Dark,Grin,Shirt Flannel Red,Natural
410,11,6257,54.4,https://magiceden.io/item-details/8wYW375nkUnScJ6koPgGaTsad5bcd6p8iWCG7qT478AR,Rose,,Standard,Backwards Cap Pink,Blep,Turtleneck Green,Natural
438,10.4,5816,62.69,https://magiceden.io/item-details/7Ean2jXLkoBHnLVzYgr5NDuBoufK41Whn7zizx3CN3Qo,Sky,,Wink,Bowler Light,Fangs,Turtleneck Green,Natural
497,17,2912,11.77,https://solanart.io/nft/885LZZkevnafMpwPVrmy2zP48y9rYAKrAPC36f9pWtPj,Persimmon,,Wink,Valet,Drool,Hoodie Pink,Natural
527,12.5,3505,53.69,https://magiceden.io/item-details/5g3ipjZkfu5huT4h6RrJ2qw1iDMzVy1JZQdnSPFuMH33,Orange,,Mutated,Headband Patterned,Smirk,Scarf Striped,Natural
580,36,310,0,https://solanart.io/nft/26NSo28HZtFjbT2p527jQjiAuVKZdQkTi9iMwZrjdANF,Violet,,Mutated,Viking Dark,Smile,Shirt Camo,Natural
606,12,3241,60.07,https://magiceden.io/item-details/EU9hoc5AzmQ8n7ipxagEpJafwjJZiVbTVxbEajmgXtU4,Orange,,Wink,COPE,Smirk,Sweater Purple,Natural
677,13,6686,32.17,https://magiceden.io/item-details/HwahQgJ4ttonTW75L4817MVrGXMKTiSc9YNaHPgRgP6x,Sand,,Jaded,Backwards Cap Blue,Drool,Sweater Green,Natural
797,14,4867,31.62,https://magiceden.io/item-details/F3mhWw94RBvsK7R55sXunh6wHF9wdbZF2Ce6dRePFLSs,Pink,,Jaded,Safari,Smug,Scarf Purple,Natural
839,14,5438,28.65,https://solanart.io/nft/PDPzZ1xfmBayLQUg6TV4VAS9hyUoQUMqpSxBbLTncY5,Amaranth,,Blank,Cap Blue,Drool,Turtleneck Blue,Natural
