id,price,moonRank,💎 score (%),storeURL
3,1,1036,63.75,https://magiceden.io/item-details/7mq6zTUaRSrJoNpW3aCfZW5VjCGG9neHqGDxeTabY2oN
6,0.5942069,1038,67.76,https://magiceden.io/item-details/5VLuvN7Yfvz18kjy8Vn6V2cak2poAopq6cyiEywQdVKA
24,0.3,1507,58.61,https://magiceden.io/item-details/EKLxFHPDF6KyWGz4qCSHNcZfoY6M7XUdAcTnsqrRzr9P
38,0.22,771,78.38,https://magiceden.io/item-details/3YmgZjyNsrtvkAGXe5upy4EHcqnroBXVcwTDMh9oTb3z
42,0.25,750,78.62,https://magiceden.io/item-details/ALPkyVbUqQMUp9t7Rzynza3piGaivX9Pn82efvhheGNw
43,0.12,483,86.8,https://magiceden.io/item-details/6sBkDEZNPnNHsNzVfGyy8ysKGT6qkAn75rCApzCEU1T4
45,0.13,1080,71.31,https://magiceden.io/item-details/22UG12Fnbw9SECmNrWuRwnYySaDre3y9UQmSLe5FbLwm
46,0.1,1551,59.48,https://magiceden.io/item-details/FL2gsAgvGzgbeuMjdgiXhNhSJJD6gZ7VaKXjYN9k1PBr
59,0.09,717,81.07,https://magiceden.io/item-details/HT984o4g55wLHmaXxj5yvM3mcwYi9ksqLnoHYhjjvbiU
83,3,842,48.75,https://magiceden.io/item-details/3poApoA2hERJgTaMD1PgipYWwB41JrrKx6742bsawqEo
89,0.0889,565,85,https://magiceden.io/item-details/6ajsUM3pW1ja3MkSYJRuVRTGXFZaU8eZYj4JeGp5Ud2A
90,0.1551,533,85.16,https://magiceden.io/item-details/ETxZt8nChxhi3FuNe7mGi1UVeeMphwPxAJNa2RcCyxe4
96,0.25,208,92.59,https://magiceden.io/item-details/G4cM3QVEdzKMxqNF7oMqZ7n8wg5dsxZypEkaH8ZRfEBQ
105,0.39,910,73.1,https://magiceden.io/item-details/3CCaxSPLVZ4eew4tqcD8sdZ7bdY48JBwUG5vt6KVv5B7
118,1,309,82.49,https://magiceden.io/item-details/FkdncpD7Ha1saQZdbNVF5T7eTkDtuqqABmPU91ExBRdN
123,15,1291,0,https://magiceden.io/item-details/58GRQKMF6oEPuzfkEfmdBkL2zooQqZLhvbhoA3iqr6pt
129,0.5,596,80.09,https://magiceden.io/item-details/FQo39pPLog8TA1emW5J4qf4CGYLwsWkHWHioyoUMcU8u
143,0.59,1011,68.49,https://magiceden.io/item-details/5VnBMREBdrgSFNYqg5etZ3JBeeM4cnQYUj6j6c9s68J3
151,0.07,1552,59.75,https://magiceden.io/item-details/GAq4XidDwSBPtTA7n7Af1FNxkDZ21x3b6waChnaYAyws
153,0.8,1469,54.59,https://magiceden.io/item-details/Czt2uzAoPezx3c1CcpRJ8QFaxKsHXrKfRsHEEZTJ7GRU
159,0.09,1491,61.12,https://magiceden.io/item-details/3vG2UvVaixUsCq4AjZaW6pbztEeTd7RbxYaEHynxMyfz
168,0.5,145,91.71,https://magiceden.io/item-details/ETWrjbGitDxpKUiGCTyvrDJFwN8GE2R96U7eE6f3J3fL
174,50,1427,0,https://magiceden.io/item-details/JE1Zr5XCj5SxesckXNbaGD2cdxfd9t1tpVXXLBdbWkBV
178,0.39,605,80.96,https://magiceden.io/item-details/8ryAHT7XXo7ksVbE2paGmJAjnTs2WmcfaG2ZKUv2zN8T
181,50,506,0,https://magiceden.io/item-details/8USBvTN4ENNqzY2RzuYYbKivdUwzGbK8ivsvu9xAV71d
191,50,556,0,https://magiceden.io/item-details/CsHFKES2jBEhsD4yxNtLT6AWQZAuzoDPsMqsGrVKvJmd
196,0.3,1305,63.82,https://magiceden.io/item-details/EevHiYZ6ofFmy4FsJayMk4So4w6YGVVFDYEeBFSkHsdL
206,0.45,1536,56.36,https://magiceden.io/item-details/5HXfWzr9RRQgMUXHAYpXg8VBpQpT7jdfraB7uuPLo2Rt
207,20,1,0,https://magiceden.io/item-details/DGgY5FUumAtZh75F23AxyEUwRkDQSEcUS7iccTQ8SKww
211,0.12,563,84.74,https://magiceden.io/item-details/BYSHAuho3DhYN1AW9RRUem7JaNfbHH7q2K2PUpdnLfpH
216,0.055,562,85.42,https://magiceden.io/item-details/BeSXVysJ6bh1JyQ7zXjkBV4AqFw7a8B2MX7QPxi2vP21
221,0.05,1159,70.08,https://magiceden.io/item-details/JAEu9hwnTTdF4WiRhXJ4nLMRNBKUbSTBEWmoKxfajHHi
222,2,218,74.83,https://magiceden.io/item-details/BK1AZtYEaTw4TBfjc1Lr4Tw3mabnn8q3xkKzgEsYYbjr
228,0.3,1324,63.33,https://magiceden.io/item-details/6RqwiDREYZcqcPJQX5VKhcPDCuWLhoeegKYGiXjksd5q
229,9,187,5.63,https://magiceden.io/item-details/9wQZEyLbU8P8sj4cLayUps5XRQaYcJ1mRvHERT5aJUBL
239,0.43,42,95.07,https://magiceden.io/item-details/48Lq5tVhQJHj9ELeCAPfLBK9VXqkn7r4gACTPbzKk1PF
246,0.4,193,91.48,https://magiceden.io/item-details/By1JckESyWZj6U2Lp4uJG6SHWEenDPV7A1p3QnzJqeea
248,0.3,1311,63.66,https://magiceden.io/item-details/4GwvfdTGM77sYqMA1qLqtpdPrcM3mo8UUcZFpNJ6peR4
250,0.25,100,95.37,https://magiceden.io/item-details/6HAdWHXpXzUs9wwfo21S2sRa31S9Mg2gd3z6gbFEy4kS
253,0.22,154,94.28,https://magiceden.io/item-details/5DMnnmyBv82Nv58gQeY9mE332hE86SiUPfB1Au6BH8vp
254,0.085,1092,71.46,https://magiceden.io/item-details/GezZ2sfPGZd6tyUNqhZyiQ7bBCanD614nqJYmQiJ7icd
255,0.15,1181,68.51,https://magiceden.io/item-details/HTJoyPbfmGdxD5p4VabrD5yaw8se2xEjHMW2QDrMvCdK
260,0.22,514,85,https://magiceden.io/item-details/5PqUUVcv1rZGLdRjipuL8Cs2wiiNFnGCegvCVg5xxtsB
261,2.5,158,71.38,https://magiceden.io/item-details/8zDnhdmdeW7rGEABeCizMUrBhHF73UMMZWTPxTgyLPoB
262,0.057,1510,60.96,https://magiceden.io/item-details/AUHWegbMqt4RF4P6RGYoswH9CcX4uXNVgyTY6AMhdWVw
266,1,163,86.25,https://magiceden.io/item-details/4rGy6p12h6ZbdhrK4iQQaZN4VsqQQ4PAZBZAAt6PhBrT
267,50,837,0,https://magiceden.io/item-details/HDCa2iWqrwu3RnXRKxAfNFjCuJ4MQ2mdqnpr9S6w7hmz
270,1.2,1162,58.5,https://magiceden.io/item-details/DB26KG5SWZ86KzhFQuomztpsEvXrLA3DScfukMfYwmJ3
271,27.1,1464,0,https://magiceden.io/item-details/431WZr7rHxj23hL8pyNQHo2xGQeNLs2HnFseixJAXgao
273,1.2,1113,59.76,https://magiceden.io/item-details/6ZaS4EfbEdTRH7YcahDhf9peDgjBP1w5mYrdhii2UqEo
274,0.15,1530,59.52,https://magiceden.io/item-details/BJh7wGy32bUYp2frK8RGxzv7FJ5CxNriidR6zwwZ6aGv
278,0.747,216,87.41,https://magiceden.io/item-details/DDQWbNMUBzqFYbWhNcPfxESiqDXteqsLfLZoxwTRwJLr
280,0.15,1192,68.23,https://magiceden.io/item-details/HvvmxyJ3dx9nJn9eQn94qEJzucVY5nZmUd3H3ZouW6h
284,0.05,1447,62.66,https://magiceden.io/item-details/CJDBU5fvc8w2TxdNgTiwokdKFFJpPH1pDRAaVRqp9YmJ
286,0.3,721,78.87,https://magiceden.io/item-details/2UqUgHfsFyhgwLZFjqkkxcP33su7N9zUkDmue5jc4C96
289,0.1,729,80.66,https://magiceden.io/item-details/HUTfzHEjUbhKYJhvdxkMSMsgtQ2EAikbDN7Zr4XVS8rj
292,0.1,120,96.36,https://magiceden.io/item-details/8dCnYmFC36Lu6MytDc3MpgqEAtF13vVw7wneWjwq2fc1
293,10,113,0,https://magiceden.io/item-details/BAgrjbeEkGb7EUSiretFgLdjgRKz2RsnP8ofjbixicYY
299,50,1498,0,https://magiceden.io/item-details/51TQiJEgWyoyc4mqpGjPywLApnjuEsgbdCNQvLWee5my
311,0.055,544,85.88,https://magiceden.io/item-details/L1QQ4EGNm1DYpzomD6xLBhsZJrhNMv5dWf9Yq7JCnNM
315,0.47777,1000,69.9,https://magiceden.io/item-details/ECAGLMnv18mr12RbL6cB6HZqFxM5QT5pURbG8jPbDdXV
319,0.18,167,94.35,https://magiceden.io/item-details/Fer6m5CWHrpv4ACRd1EthwipUXYAoGSXkiUZfsbsVi7Y
320,0.11,456,87.6,https://magiceden.io/item-details/4QKaDFwSeX8feoS5DJAK5rQjCxuZpRCgYsuweujRN3JY
325,10,132,0,https://magiceden.io/item-details/CwwAKm6T7ai9KFabXh4ZyfrrwsErRfnoAM6cK3NGxji5
326,1,142,86.79,https://magiceden.io/item-details/u1n7GQActs7emZRvftkm2szYTbLkGmnzS5CU3Nc8tgb
332,0.22,956,73.61,https://magiceden.io/item-details/FXtsQSddz7duurAkuMz5ve75HQv8fWwRcVRw55dBrEyW
333,0.39,64,94.9,https://magiceden.io/item-details/6pnKdNtJ8BpwxtcRP4tqCycN56pQ7eUenxPzJWgUpzzL
334,0.2,572,83.71,https://magiceden.io/item-details/3ZeSbbd7uNp7MtAAzM8Zmn7rTwpo4nKN42uKPcsompcC
336,0.5,589,80.27,https://magiceden.io/item-details/6wjLDUtxbdqMd4dW9cq3vnw2q2ayrq4JxXcv6nus956e
341,0.45,23,95.36,https://magiceden.io/item-details/FMCTDS5Epk2c6BK3Gtvag2a1AJFyccPMsoKsy4r3qN41
342,0.15,90,96.63,https://magiceden.io/item-details/3hwBoen3bzks7gcUCpLyhdqDUkyxnSxCeV5VhEBoH4F3
344,0.5,269,88.52,https://magiceden.io/item-details/J1htFRugpyW7c9e6cPLhCPpzp4ydaQ9AnvxFypejoK4r
345,0.5,255,88.88,https://magiceden.io/item-details/C9riGy2wVGT9tLSJj2QjsgXa6GZvN3GHTeApQWycQWsN
346,0.21,461,86.47,https://magiceden.io/item-details/HU45TCYjgQUKrdUd48iwQVRvPHwFaYc9eZhjSmf924y7
350,0.21,419,87.55,https://magiceden.io/item-details/6B7BjHKpqk4QBEk6aZ8bKAn9iXx7aNA3CsF4xGyxd18V
352,0.17,388,88.75,https://magiceden.io/item-details/5hv2wsFDVqoueR2uBM5TosRyNWPstLqAq1Zx6LYYJeCg
355,0.2,1500,59.79,https://magiceden.io/item-details/CabzoVm3o3AU9uoSyFCuqzcSKQYSXUG67EceQWaw87sf
359,0.2,374,88.81,https://magiceden.io/item-details/HmNRHvgF7QjyrToCmsgJKwU1QmL8vRdTbop5SD1RsYnb
361,0.22,80,96.19,https://magiceden.io/item-details/3foj3ziQgAmmhHhmhqXXMCQkq2m9LVjMZGod4MQjhUs2
362,0.2,1099,70.13,https://magiceden.io/item-details/5y7vyLernoqXAj7SRfJ3QUgAuyGYxCqKzjsQvtzjx8ZD
367,20,74,0,https://magiceden.io/item-details/5xDZLJ6WEQKomdvqfQgmfF7ym3wjg6jugcmgvWtanuGP
368,0.14,1426,62.3,https://magiceden.io/item-details/6KFab1KRAGPq5Pkjc8io3cCP5sDUAscz1s9SAJmuxeGD
370,0.2,296,90.82,https://magiceden.io/item-details/FNXPHg785aNYypkhBpF1bR7YCGUAiox7RbbcWt8xnXU4
372,0.1,606,83.83,https://magiceden.io/item-details/5HYaseYmEqPTwZKvy4tn2LA1pA4XK2b7oHwwWSmNGz49
375,1.5,29,84.7,https://magiceden.io/item-details/AfZ9DBtnwV1KihxCACx6WDX96dX5Hu5r4hWu1a31t8Tp
376,0.2,873,75.95,https://magiceden.io/item-details/7DWLo7k1zauxr9JCumiVZFjp9CxwRn6Dqgzs2K5W7vRq
380,0.18,1531,59.19,https://magiceden.io/item-details/EjAr62X9QuSdP8yGdiEcjUHQ2hDCWN4uA5xfHVFY9ti5
381,0.23,352,89.08,https://magiceden.io/item-details/FJnfpCCgAskM1z2ynLY5umH7pgoB98xHRJREMtxKcb18
383,0.3,162,93.27,https://magiceden.io/item-details/FFAd2YDGwraPv23KNGu7BncJJftVvnBZvd2oAP3a7B5C
384,0.2,1457,60.9,https://magiceden.io/item-details/3FVDz2q7P317NvEi1Mh47rAd7DQBjzkrjyMoSheJ4su7
385,0.23,496,85.37,https://magiceden.io/item-details/DpUPqf5X96htENTyeUgcTUumUX8PcDcb1Pk8qLufBSFB
390,0.4,454,84.75,https://magiceden.io/item-details/2CL4CjPJ9S3meytsoGvv8RWfLf8KYfQQYnjSpVagQ9CP
394,0.25,1368,62.69,https://magiceden.io/item-details/BC6A2Va511cVoBVyZHScDUfrpUUrBGNtP7trvjgqzK5D
395,0.29,215,92.01,https://magiceden.io/item-details/Eg6Yg8UdPw7epkyx29jEwzmuVAuBQX76E98mKNJ4eHQh
397,0.2,1299,64.97,https://magiceden.io/item-details/8xPBstT2rhF6QtV9f7D6C3potFumAQbmondLQQ4TAaG
399,0.22,151,94.36,https://magiceden.io/item-details/CNPoanWaP4uuitFjrm3Thergx4nF5iQpHcqD2TB6XCE5
402,0.15,1478,60.86,https://magiceden.io/item-details/FRGmjfCnZ7FCKB6w4Qxq3kVW6d6WQtjP9wsE5sXPTEXi
408,0.12,1439,62.16,https://magiceden.io/item-details/CSasGqG3sZbSXysu9RyYSMYcE9Svgk8AFcBcuJegVuiB
412,0.136,1386,63.37,https://magiceden.io/item-details/Fgqpr8JUrL1dgfzsMFstkEeDhY8DCq3Yy7Qsq9wNi2o3
413,0.4777,1271,62.92,https://magiceden.io/item-details/GWBAQRn7BYg1MVfhkwnai9nvVvPVdyVnsE5WCX3QrWhz
