id,price,moonRank,💎 score (%),storeURL
22,0.7,NaN,0,https://magiceden.io/item-details/26m9g6tXQvRZUixVFcXy8CTMffPKusH2P3ZqLMKrzvER
37,0.75,NaN,0,https://magiceden.io/item-details/2AAQGGkgWdBTHK4j8w6JaKT6NqpcCM3TvQrhE2Kca2hv
147,0.75,1576,67.57,https://magiceden.io/item-details/8tCEUGbVJefvmRd5DLXUr35xMuXQjvCDitvu5d4neJT6
229,0.75,837,82.07,https://magiceden.io/item-details/8GMSGHoxMWPtQ6yfg7SG5Zhmhz4w6MMz8ARRiNfDrvvx
266,0.69,NaN,0,https://magiceden.io/item-details/3k42KCEqKpMQv2SxcRGjeTt6q1JxrU3eqpa73cc58Zf6
647,0.79,NaN,0,https://magiceden.io/item-details/6hjVPNXdKCnhphXwhfysr7boUWaHhqTsvrWP3yztdBbL
655,0.6,NaN,0,https://magiceden.io/item-details/6m8utF51ytULaXyjPs2GQb38QisF7jV1VW7C1DehSi8k
871,0.8,NaN,0,https://magiceden.io/item-details/8VvEJJGKYSofPAxSt8Kkixpa3okPTaKuL6XYSwqMu1US
931,0.7,1802,63.63,https://magiceden.io/item-details/6jJZLDv37VhKmYj45vG4SSXGc8tAtfWL97b22topPqdh
1071,0.77,827,82.07,https://magiceden.io/item-details/4zpidDpqzJxehv9P8PxA6vUKByTaFput1ugtTEZMRBba
1223,0.74,1237,74.32,https://magiceden.io/item-details/3sNz51VuQ1U3uXM5Mtdx9MAHqpRvxjpoeSkufRJRaqTD
1255,0.6,NaN,0,https://magiceden.io/item-details/BfZYCwF6UXCQsMxZ2AJGjtAZnC2PnkJP89uA596xHdyz
1294,0.76,NaN,0,https://magiceden.io/item-details/BxnzXR9D25PvfvJceViz8B9s1mnPqQNqD8doggaPv3QE
1353,0.6,621,87.81,https://magiceden.io/item-details/HLBZ9io1N56Yb3oU9CpdFPYx92Aps1tb48Ywh2i5GsLF
1574,0.75,NaN,0,https://magiceden.io/item-details/EMT387Jx6w3PCJG9zGZEaFutWNLLiFNtN69t9oBp5adS
1618,0.6,2038,60,https://magiceden.io/item-details/GxfZJhfUcqX8nQUas2M1frpv74atywYRrzNZ31QZKB7b
1753,0.7,NaN,0,https://magiceden.io/item-details/FtDJmhYfzBjHhMxSRk9sZuWt8T2AVhhszSPAfmtCiuHv
1795,0.65,319,93.24,https://magiceden.io/item-details/DUMkE16K8DzyYLZuU9JMwfQiAMJjuS5P5jFPeGArYZdn
1982,0.75,NaN,0,https://magiceden.io/item-details/HrTtDv7TdueVSPMAno2xBEsuccMfo4Ytakx2wHqngbVA
2121,0.6,NaN,0,https://magiceden.io/item-details/zVFDKrf6HU5QndazLQokcbtvvHVzQSgrKpihc1RT4Yc
