id,price,moonRank,💎 score (%),storeURL,Armor,Attribute Count,Body,Ears,Eyes,Faction,Helmet,Mouth
5,30,857,0,https://magiceden.io/item-details/G4UjcNfwEUQ9ksQ3v7vR3wyv3jtXjbGa23mDe8WGzTMb,Miniature Companions,7,Printed,Pulsing Sizzlers,Scoundrel Winkers,Targari,Reliable Antennae,Aggressive
20,46,7688,0,https://magiceden.io/item-details/DwehUuaq99GuTMNnVnjpKBKD7U5S9r1F4uSiYMH1yzKV,,5,Spectral Black,,Ocular Scanner,Martu,Solar Converter,Pensive
23,20,1713,0,https://solanart.io/search/?token=Ez83xHnTtVt6NcmqoFj6LB2GUigeeNg9KPTDL7EPJFPg,Autonomous Carapace,7,Orange,Cosmic Gas,Incisive Oglers,Alura,Gibbous Blaster,Wise
25,23,1100,0,https://solanart.io/search/?token=EmqapoA4GPygzwstoAbSrR9qRA1u7fBzXoaRanVoTFDi,Orbital Frock,7,Ghostly White,Galactic Tuner,Plasmatic Array,Targari,Decorative Boomshot,Pensive
41,89,1352,0,https://magiceden.io/item-details/33FxkQztASCWGX7ZgDa96khomZZb7Tz6D5uYsX5V2Akp,Brainy Undergarments,7,Neon Green,Viral Implant,Funky Shades,Targari,Princely Helm,Pleased
47,23,8297,0,https://solanart.io/search/?token=HbbMeQMoFkukkKi9c4PVn9QB4o116SvyCwsT7kMJekwn,,5,Spotted Kiwi,,Paranoid Eyes,Barada,External Hard Drive,Pleased
51,17,7422,0,https://solanart.io/search/?token=BYArCm7cJnqtbpPJT43U2KHWo3DuTBVtghv8cfDMnPbT,,5,Lime,Decorative Bolt,Nebular Optics,Martu,,Wise
56,22,3736,0,https://magiceden.io/item-details/654XuQrTa8i8J3UdDELs5weetDEJFDCw1mBZzENn1gGQ,Racers Regalia,7,Spotted Turquoise,Equinox Boosters,Sun Beams,Alura,Plasmatic Guzzler,Pleased
67,500,8307,0,https://magiceden.io/item-details/38psY8UiYVrrLRQPfv3ajLBc6H7MKydLDSiBNVBvGLhS,,4,Ghostly White,,Galactic Inspectors,Alura,,Wise
69,22,993,0,https://magiceden.io/item-details/9DyQehA2YWqhQKGfsNkTueunNQCkJWM4FPJMj13poWZ5,Terraformers Uniform,7,Ghostly White,Portable Satellite,Engaging Pupils,Alura,Plasmatic Guzzler,Pensive
78,15,3074,10.2,https://solanart.io/search/?token=8DhkXaWxFznum1VEtqaQfj14CLbEosEExcJSLbnjxZhJ,Planetary Kirtle,7,Brick,Martian Speakers,Sullen Eyes,Barada,Grabber,Wise
85,15,1311,17.26,https://magiceden.io/item-details/56LzYEMjEn7X8w7jgc2Se2NuK6AJWhwNWB6EgXD8A5Y9,Plutonic Plating,7,Brick,Captive Ear,Expensive Scrutinizers,Targari,Viral Intruder,Hungry
93,14.99,8366,0,https://solanart.io/search/?token=3mNhS4kcCp7Ewg1PnnffFcTEoY31cCU6KqLs3R8Z1aJ5,,5,Spotted Turquoise,,Haunting Slits,Targari,External Hard Drive,Pensive
94,75,9698,0,https://solanart.io/search/?token=ELyZQAYvbTECsvy3T1LfXLPQdzqpoWG2MRwE5MHSKjAB,,4,Lime,,Nebular Optics,Barada,,Pensive
100,222,9999,0,https://solanart.io/search/?token=CuuWCdUAfBkn4RKn7UkUbXAspwTaQNjbk8qLSkNa4anT,,4,Light Pink,,Sun Beams,Alura,,Pleased
101,15,3234,9.56,https://magiceden.io/item-details/6TmMNtAifHYVXqXwnPurFQvas3frTiLs2KAevJmxW87t,Spikey Space Trash,7,Light Pink,Galactic Tuner,Haunting Slits,Barada,Lunar Replica,Pleased
107,55,2107,0,https://magiceden.io/item-details/7tDDpdHvtmB6wvnZ4gPAhLjoubLxoHegeBwmhwPagmoQ,Nebular Wormhole,7,Spotted Turquoise,Prismatic Capacitors,Nebular Optics,Alura,Mechanical Hound,Pleased
117,75,712,0,https://magiceden.io/item-details/4YDa38rHWzca586PkwDkUmBkJWPHVwQPRqattTYtnPcu,Mini Cruiser,7,Brick,Cybernetic Recorders,Extendable Examiners,Barada,Crystal Swag,Fanged
123,123,9612,0,https://solanart.io/search/?token=6PfHn64UnYYvd8ucoa78JDFzffZUrJWumoxhovMeWJ5z,,4,Striped Blue,,Paranoid Eyes,Alura,,Pleased
130,20,9654,0,https://magiceden.io/item-details/8iFvfHSvbyHkgszgGkCe4a8mGwZHnnd4yqbqhjvgAJGh,,4,Lime,,Galactic Inspectors,Alura,,Pleased
138,13,2155,33.88,https://solanart.io/search/?token=4JPWjwXB3hgHJH2NgXSFaaj5kCWgho76TtJGbiUvZk6W,Cybernetic Wiring,7,Orange,Metallic Mesh,Groovy Perceptors,Barada,Micro Thingamajig,Pleased
139,12.5,7277,18.39,https://magiceden.io/item-details/EyeXExqX9rKrxaweAiuofE5ZGsp1LASvFYN9u3dQUsKt,Galactic Scraps,5,Light Pink,,Sun Beams,Alura,,Toothy
140,1500,5711,0,https://magiceden.io/item-details/AyU5QznTngszNtPt5Xs8qqxi8pnWZhds9wmTgcTUR5E,Distinguished Shirting,5,Light Pink,,Deluxe Shutters,Targari,,Augmented
142,42.69,1078,0,https://magiceden.io/item-details/2xJu2a9V16vaHtxXMdaAPMkK71GbEhJZhPHAq7MVQJ5M,Augmented Exoskeleton,7,Spotted Turquoise,Captive Ear,Ionic Disruptors,Alura,Photon Harvester,Toothy
152,2500,4781,0,https://solanart.io/search/?token=5Kki44yFBxopTM8psmNuQeUrP6deeL8dxuHxPzCcSeiK,Pilot Garb,6,Orange,,Galactic Inspectors,Martu,Photon Harvester,Toothy
162,19.98,6290,0,https://solanart.io/search/?token=4kPWY6Da471vABVvxb5chftfAN9ZwCH6puagZuc9Ucis,,6,Light Pink,Gravity Dongal,Augmented Surveyor,Barada,Ionic Fizzler,Wise
177,72,6064,0,https://solanart.io/search/?token=AGHqNDEYmbGUY9NxL7iXKCq5pjdzmpuMqbH3RP84kSqf,,6,Brick,Splendid Recorders,Creepy Peepers,Martu,Taxidermied Space Pink,Pensive
193,65,6359,0,https://solanart.io/search/?token=AzGW3LEXGgt3ZtaY2RJaKsr4PKbX7r3Nk9egt5sgp7wG,Martian Tunic,6,Orange,,Ionic Disruptors,Alura,Grabber,Pleased
194,21,7135,0,https://magiceden.io/item-details/BLivvEz5HqfpaykehxtE7vhedu1H7nR5TzBGawCBPxFg,,5,Lime,,Ionic Disruptors,Martu,Reliable Antennae,Augmented
200,40,1497,0,https://solanart.io/search/?token=J4EqF7mAFjboz4rbv22HBgiPtVuWuf2xkANGqFi8F5mE,Nebular Wormhole,7,Light Pink,Gravity Dongal,Glassy Detectors,Barada,Taxidermied Space Pink,Hungry
201,8,3132,79.97,https://solanart.io/search/?token=E4CvrrgP4DAQY9Hc6tgZASuVRzjthiiWW2ctKFDpwWPR,Reptilian Thorns,7,Printed,Portable Satellite,Creepy Peepers,Martu,Defensive Cannon,Pensive
202,30,817,0,https://magiceden.io/item-details/6mwXMPYW7TPz2h72FbEeR2qUiLpHBoq7MmZsoTsQQeS9,Pointy Statement,7,Striped Blue,Prismatic Sensor,Prying Eyes,Martu,Decorative Boomshot,Toothy
211,9,574,80.2,https://solanart.io/search/?token=339UggESsKRwc8isrfhikqu7ReGhtY34yNZgxvU9t9i2,Heroic Foil,7,Brick,Side Plating,Haunting Slits,Martu,Mechanical Hound,Toothy
253,9.99,2727,61.69,https://solanart.io/search/?token=2LRsFPYPJGkv4MziQgo7SyEXBgbxR12YQht9gNKVXLVc,Miniature Companions,7,Spotted Turquoise,Martian Speakers,Nebular Optics,Barada,Useless Compass,Pleased
255,237.5,8170,0,https://solanart.io/search/?token=CY8fcBtJYQw4CknAh5BYVb7Yzc3uLwcmMZG96F3CDw76,Nebular Wormhole,5,Lime,,Sullen Eyes,Alura,,Pensive
266,250,408,0,https://magiceden.io/item-details/J18xZmhgNdJ3dykYV1GvLkomYiKNXURAfLAHMfF4dkC4,Nebular Wormhole,7,Light Pink,Satellite Dish,Augmented Surveyor,Targari,Space Rat,Aggressive
269,17,7361,0,https://magiceden.io/item-details/FR2HYwHiCWyeH8W3JFcwvUJBHpU5busRcGQ6r12o3W61,,5,Striped Blue,,Galactic Inspectors,Alura,Plasma Beam,Hungry
