id,price,moonRank,💎 score (%),storeURL,Accessories,Background,Body,Environment,Eyes,Headgear,Mouth
0081,0.0333,2104,88.74,https://magiceden.io/item-details/4Mxufr7nKzaJQUzDtWRsGhFCXKYsjGSTt3whPeg2YTYv,Coffee,Pompus,Satyr,Galaxy,Shades,,Zim
0250,0.035,7138,61.85,https://magiceden.io/item-details/DmdLazKfBXbeyR4KVr7oQoSV2CKLsnwfCg9CfhoNy1wc,,Candy Red,Hoodlum,,Key Lime Pie,,Snaggletooth
0258,0.035,6545,65.02,https://magiceden.io/item-details/DB1VtAJTe6YnGvzj3Tz1RoFH74x1Dh593FgcXAEoAVuF,,Rusted Root,Monke,,Spooky,,King Vamp
0268,0.2,1107,92.39,https://alpha.art/t/D4Me46BSkJKzcxfxWExFH9XfH8C9tgNzCCLtWbcZLgdi,Cakey,Perry Winkle,Bear,Snow,Pain,Crown,Buck
0281,0.09,4787,73.85,https://alpha.art/t/GFzYfeBDv3joaGpbkCV5VwDE3AvNGa9ZHCnfKT8GAhAj,Super Cape,Best Grey,Hoodlum,Bubbles,Bowie,,Good Grin
0329,0.04,3639,80.48,https://magiceden.io/item-details/4pjruYTNxe9v8Eicth8cQ3hkwtkjymZLCpAa9bkZQWf5,,Best Grey,Satyr,Bubbles,Bowie,Snaily,Good Grin
0340,0.5,7358,56.03,https://alpha.art/t/BH92VGRjHnAkdQWMcda7YWuf5t5czxUSifpKiceSPn4G,,Fav Green,Cat,,Hero,,D Smile
0480,4,2090,49.14,https://alpha.art/t/3NQ5fHYEJZTZcDdUinW2cj9Y3xazfzc64DzMZbcvJFJT,Crow,Fav Green,Hoodlum,Snow,Dialated,Einstein,Toof
0544,0.05,6249,66.45,https://magiceden.io/item-details/6mjBnAv3zVdiEppYcsqaZqWUJ4JD3t85v8zi97QoeUB7,,That One Blue,Bear,Galaxy,Dialated,,Ogre
0593,0.12,6176,66.13,https://alpha.art/t/C7DPuFZfeTpeZo9ACTPwg3BWPosvBB1Eu8H3dHeJe7qC,,Blowfish,Hoodlum,,CrushCrushCrush,,Sweet Tooth
0612,0.15,2935,83.13,https://alpha.art/t/Dp9NsURyLKMWXzKinWDfMZaLUXy484eQPHvQ9LAcF1fv,Cakey,Bluwu,Monke,Bubbles,Vipers,,Zim
0613,0.049,2790,84.92,https://magiceden.io/item-details/GqffjezeTNguokhHjER7eZg34fV2k6k1ovJ2TnDLhEwj,Ramsey,Blowfish,Hoodlum,,High,,Zim
0622,0.5,200,94.23,https://alpha.art/t/EvNXH5spgzMgWqpZAXj2v2qJQyRjeqkRrbHkoQ3MHthJ,Wings,Mint,Punk,Snow,Derp,Over Easy,Purple People Eater
0662,0.25,5819,66.74,https://alpha.art/t/57joMwBFs1PaUkjNEuS6JThDVRBq3HjAJiY3MecQaydQ,,That One Blue,Robot,Galaxy,Happi,Einstein,Cheshire
0687,0.05,6886,63.05,https://alpha.art/t/yXzQSwzSsR1adLqK7yhgCPn6hQPKJ24wwTQDzMRMkAZ,Flying Pig,Matilda,Robot,,Happi,,Snaggletooth
0822,1.22,4337,64.95,https://alpha.art/t/7BNWqLHMb7Wx4Bu68xA5To1yVHQRXgKV1j6Ff6FVvzHv,,Blowfish,Monke,Snow,Happi,Bloody Scream,Good Grin
0823,0.045,6011,67.77,https://magiceden.io/item-details/99mFuhNLgQDAUejZQb1sgSDs6FJTgZoqUdWm99sJmdZX,Cakey,Fav Green,Robot,Galaxy,3D Glasses,,Good Grin
1032,1,171,89.39,https://alpha.art/t/BeuU4UDor8Zz2XhrzDt8xjsjxbhrSKTFG4B5hLJiRmX8,,Best Grey,Hoodlum Gold,Snow,X,Snaily,Drippy Purple
1173,0.04,6879,63.18,https://magiceden.io/item-details/G3aLFKDSuYboSyRBjpqzEJu6ANGJ6xDoNhaQ36L6jyd,,Best Grey,Hoodlum,Galaxy,High,,Cheshire
1495,0.5,1067,89.6,https://alpha.art/t/9tkYkuRcyJBRrhNNshwsJMWGeC6csoxhfWqwhDh54hMo,Flying Pig,Best Grey,Banshee,Bubbles,Dialated,Potted,Drippy Purple
1591,0.5,6194,62.24,https://alpha.art/t/B2h9cPMQtuWkEF2EsRdtoFSuEtjPM1JbuXVKZhKoBgtU,,Matilda,Robot,Galaxy,Dialated,,420
1975,0.07,2521,86.14,https://magiceden.io/item-details/AA2S8HFQUAF5BanfnUWF4AoEgmdcZ4Qmh1steraLUx7g,,Alien Ant Farm,Cat,Snow,Laser Gold,Party Animal,Purp
2465,0.1,4167,77.06,https://alpha.art/t/72UbpumEVSY1FiGQNaCE9JwanzzVDWgjrHYdqJdU5m1u,Cakey,Alien Ant Farm,Banshee,,Burned Out,,Sweet Tooth
2466,0.1,5948,67.55,https://alpha.art/t/3CZgSUM3fNBhiWacaMCP4sv3wMs9yzk2eiqegWfV4Rjm,Ramsey,Mint,Robot,,Derp,,Snaggletooth
2467,0.1,5274,71.15,https://alpha.art/t/GPGZ8fezj5eoid25WXiLG7khvuWbPF3KkFr1A5gkinbj,,Sol,Monke,Bubbles,Hung,,King Vamp
2468,0.1,5335,70.82,https://alpha.art/t/G33vnScRBTENaCvW6sBRZffFyKXxbnjf66tmrN1zzdCd,Cakey,Fav Green,Monke,Bubbles,Key Lime Pie,,D Smile
2542,0.05,6390,65.69,https://magiceden.io/item-details/GrVzZzfMxyezooLdUA52yWnEWV1LCJqZm2MSpcTk4mXR,,Mint,Cat,,Do Not Press,,Ogre
2654,0.07,2385,86.87,https://magiceden.io/item-details/6XZLQ6XfdGzX5Mb2A3yjwaNdYoUmfCvWuHPf4e6TQejL,,Matilda,Monke,Snow,Shades,Audiophile,Whimsy
2734,0.035,2666,85.72,https://magiceden.io/item-details/J4ZFJXcJw863x4xF8QNVreMPwd9kRaRsETc8nP69Jz82,Magic Mirror,Pompus,Cat,,X,,Yellow Smile
