id,price,moonRank,💎 score (%),storeURL,Background,Clothes,Eyebrows,Eyes,Face Accessory,Glasses,Hair,Head Accessory,Mouth,Skin
4,1,1157,86.12,https://solanart.io/nft/8dvULYihziWt7cd63UxnHuCGuieuMR6xiXY5YN8LkU15,Pastel,Tank Top,Arched,Blue,Bandaids,,Ponytail Black,Mushrooms,Pink Fangs,Black
21,0.2,5845,74.73,https://solanart.io/nft/532GnhkavCbkQMbFuLPufYanWn9rKvDo1ErLAPW44Nbh,Teal Flat,Tank Top,Small,Purple,,,Ponytail Brown,,Gold,White
24,1,8287,56.63,https://solanart.io/nft/5FuNMFg6wGvheDE83T6dPhcQKnnMXTkRVyQVSw9qasPG,Grey,Bandages,Small,Teal,,,Bob Brown,Helix Hat,Pink,White
29,2,5634,57.6,https://solanart.io/nft/8UBMicytUKimZFg5g2a6RqouSKd1GSjkCyWyY5oU87c2,Grey,Turtleneck,Small,Blue,Facemask,,Ponytail Black,,Pink Fangs,Black
44,0.3,3711,82.56,https://solanart.io/nft/FphQFdQTHbpLVDYyg4kNP9Gu2Go9qVLuqbi7quY3hfvt,Grey,Tshirt,Arched,Purple,Facemask,Glasses Solana,Ponytail Black,,Pink,White
68,1.25,9632,48.57,https://alpha.art/t/CuzXsiMBB4aHHGJ78ZPxCdxPDVVkC71bhjWLTe1eYJqw,Solana1,Tshirt,Arched,Teal,,,Bob Black,,Pink,White
71,0.6,2165,85.95,https://solanart.io/nft/D6RKWV5gY5qTXAZRe9XdrehE25VkWnw15xAMp7sfV6gE,Yellow,Tank Top,Arched,Teal,Gasmask Pink,,Ponytail Brown,,Black Fangs,White
78,0.765432109,4486,74.7,https://alpha.art/t/EDow9vVL57d1ZNiGvXdx6dXpqsyiRUdFepmZv1wTyFUT,Green,Hoodie,Worry,Teal,,,Bob Brown,,Pink Fangs,Black
87,0.15,7154,69.82,https://solanart.io/nft/D4mKmXSuzQrHxWTYBXGBZzte4W41ktXzoxn2vbgKM5rQ,Beige,Tshirt,Thin,Blue,,,Bob Black,Top Hat,Gold,White
96,0.456789101,3952,79.99,https://alpha.art/t/8r58XG1mi8eqqfKfyXAV9dze5bRQUB1m1EV7GqcKbtr9,Purple Flat,Tshirt,Scar,Teal,,Monocle Solana,Bob Black,,Pink,Black
97,0.82,7310,62.47,https://solanart.io/nft/FD43h4jiiSt4wHzZcbCVoH7xktLYzeRNDmq6cFCsaFS4,Blue,Bandages,Thin,Teal,,,Bob Brown,Horns,Pink,White
102,1,139,90.33,https://solanart.io/nft/37ktcA5ng7WgNfzgKz5XM7C7AgBi3X8gGaCArTwpwoLr,Solana2,Bandages,Arched,Purple,Piercing,Monocle Solana,Bob Black,Top Hat,Pink,Black
