id,price,moonRank,💎 score (%),storeURL
Goblin Experiment 2244,0.29,NaN,0,https://solanart.io/nft/FjNdWQkfjDB5tqMTxdsk2Kr9TEqEzLbnGxg8gA6pwWLP
Goblin Experiment 4332,0.29,5808,79.08,https://solanart.io/nft/6adMTcqTKtyGscTTQnHWmLrVmRV1RvZtid1XfekqCpRB
Goblin Experiment 4180,0.299,9371,66.16,https://solanart.io/nft/5cxifn4k2PkqqbTxVb5QbYMa2Yo4NtKxgtFXJox5bgnw
Goblin Experiment 3475,0.3,8172,70.47,https://solanart.io/nft/E7Ldp58q79FQpjfZR2pBXJoAJd8ezdw6TBTqUtXDAKX2
Goblin Experiment 1181,0.3,5896,78.67,https://solanart.io/nft/8p44BnF5VAedhz3yXa19MNpjzbxdwyvKHK2HbL4LhgPs
Goblin Experiment 7428,0.31,3889,85.79,https://solanart.io/nft/327Ca81d2L2P7e2rUU3EaPZPA9hEs8iwoqmV5WiXk5Co
Goblin Experiment 6253,0.32,7315,73.36,https://solanart.io/nft/74Ms9J3zCHwpsJP54JU6Q2TLssswG2NdFQ3fZDpUdK9b
Goblin Experiment 2159,0.33,1568,93.95,https://solanart.io/nft/76RZs3aCUr9YKBATghrKKpCN4P5kYLP1kExZ3eyPwxET
Goblin Experiment 4663,0.33,2895,89.17,https://solanart.io/nft/64jusJNd9PcGEp14gfdXUyda8kPVrkHyqDommVGy9tWJ
Goblin Experiment 577,0.34,5013,81.45,https://solanart.io/nft/3qdTPdWuinL8kmFTfh7PSVMgGd5XVxoDVmDW3twAsuCd
Goblin Experiment 7901,0.345,2913,88.96,https://solanart.io/nft/WicWwGwBL2Jh9Q5nqSTYm5TisVBTmpB1XLsEZ9GkfQT
Goblin Experiment 5423,0.35,10546,61.42,https://solanart.io/nft/BrDRuWU1ZsFAZc8THgLcjjo5oYSwQn7r8jRcj73GCBP8
Goblin Experiment 9432,0.38,6057,77.29,https://solanart.io/nft/E65ipJV68PSdg3um6Ub4ezTn19F7aAajgfi1vuAHGxon
