id,price,moonRank,💎 score (%),storeURL,Background,Extra,Eyes,Face,Headwear,Outfit,Wetware
Sentinel 760,0.119,8268,62.46,https://magiceden.io/item-details/sntgGzjw1zrknvpRtKoLUtF8w4UTXeDgccGWUhpBjWK,Convolutional Neural Abacus,Perceptual Augmentation Mask,Weary,Grimacing,Feline Luminosity,Spiked Warrior,Surrogate D
Sentinel 3340,0.12,1342,93.9,https://magiceden.io/item-details/sntQSdkvuqHnWUYeDtk1KdHEnPE9rdJfRH5Ab5pBNSY,Diamondhand Harmonics,Tentacular Spacecake,Piercing,Pained,Arachnodrone,Neon Athleisure,Surrogate E
Sentinel 364,0.12,8342,62.11,https://magiceden.io/item-details/sNtz11An6o1hoTnnSBNVHvxfVrWU4JmKHbFq7YftBcS,Convolutional Neural Abacus,Mechanized Home Assistant,Weary,Troubled,Arachnodrone,CBRNE Team,Surrogate D
Sentinel 4614,0.127,8155,62.89,https://magiceden.io/item-details/sNTYCiRvn3TydvkLTgTanryQdsqD2Xhm2jzWa6nZhNy,Convolutional Neural Abacus,Articulated Piercer,Lecherous,Grimacing,Arachnodrone,Radioactive,Surrogate D
Sentinel 1723,0.13,6588,69.98,https://magiceden.io/item-details/SntVKdsUGCHmsEqxLAaSjcdX1494kazG5siBVbNAPQY,Rotary Decompression Chamber,Wetware Mind Drive,Lecherous,Lovestruck,Hivemind Interface,Bandaged Ranger,Surrogate E
Sentinel 5237,0.13,2224,89.79,https://magiceden.io/item-details/sNTnFGQ7MF1Lz8W8Vqpo991WXzJLBXfdqvoQNrJ7r1A,Kurzweillian Nightmare,Aether Tree,Worshipful,Lovestruck,Sonic Harvest,Chameleon,Surrogate A
Sentinel 5661,0.14,1574,92.64,https://magiceden.io/item-details/SNToeNEfEbUcVESEUsaiyQDXWQFNZQVy7NVGJ9RZ2Do,Rotary Decompression Chamber,Server City,Impassive,Grimacing,Nanolink Prototype,CBRNE Team,Surrogate C
Sentinel 4241,0.14,5863,73.17,https://magiceden.io/item-details/SNTomnudQEN4HytGF3CacSNPUyMybxbwoR1Mpi48jyg,Kurzweillian Nightmare,Mechanized Home Assistant,Remorseful,Lovestruck,Tribal Combatant,Serpentine Armor,Surrogate C
Sentinel 1972,0.14,1203,94.33,https://magiceden.io/item-details/SNTope8A6An16SrxVz2jxYCbf9Ryt4Qgo6HwquiGjfv,Diamondhand Harmonics,Waveware Experiment,Restless,Lovestruck,Hivemind Interface,Iron Militant,Surrogate D
Sentinel 1613,0.14,3935,81.92,https://magiceden.io/item-details/Sntk17wCLHw5usocwKkZdmeqDfFD9Jv5ua9eenGTmYM,Rotary Decompression Chamber,Articulated Piercer,Remorseful,Woeful,Reinforced Circuitry,Neon Athleisure,Surrogate E
