id,price,moonRank,💎 score (%),storeURL,Background,Body,Earrings,Eyes,Face,Hat,Head
27,2.4,2633,71.91,https://magiceden.io/item-details/EJcqRCuBuhTxRBGcRkqcX2VFfWT4jTTyY5UmV4U3LSi2,Tangerine,Zilla,None,FeralEyesRed,Mammoth,BeanieCream,GrapeFlavored
29,20,4015,0,https://magiceden.io/item-details/sWPKmgx4Dq61r8YwqcsNdquRsRr3afZPf8wHzscxiG8,Tangerine,MegaGoon,None,Unamused,WickeyMouse,PlumberGreen,DustyBlue
36,3,1854,72.15,https://magiceden.io/item-details/6z4HXGAx2JkCHU38dNad9nSTzWhwTPfdYVLFR13ouTMJ,GrannySmith,Zilla,Bone,CuriousJorge,GoodBoy,PlumberGreen,GrapeFlavored
37,2.5,4216,58.22,https://magiceden.io/item-details/6gQeRMt26y67cv4oDom1wF2vn6qkML8xuxnUayBnmeQ7,GrannySmith,BubbleTeaFever,None,OhGodNo,RuffyDuck,BandanaBloodz,RedHead
39,5,2558,46.51,https://magiceden.io/item-details/BHDU1PqERSvaP2Tbs9K1RsrqxgKqDnQfDA5JSeA4Em44,Blue,Cerberus,None,CyberStyle,GoodBoy,BandanaCrip,GrapeFlavored
41,3.9,2864,55.06,https://magiceden.io/item-details/AUoXiN8rbakq2nWfBWvG9ChkWvunpcNE598gPVChneVx,Mustard,Thug,None,DemonLordBlue,GoodBoy,ShellGreen,Blonde
46,3.11,1728,72.06,https://magiceden.io/item-details/7VoCxF5NETVCMa2pm8BGYEVULJ1WWapYQTdmq9t8qA1p,BabyPink,Paladin,Pewpew,Steamboat,BaconBoar,GoonGoon,Night
48,2.69696,3565,61.47,https://magiceden.io/item-details/AbZ8yiegGbVrEJ85jh9f4vKpXdj9KKL2ShYp2mVosw7M,Salmon,StreetPirate,None,Unamused,GramGram,PimpNamedSlickBack,RedHead
49,15,96,0,https://magiceden.io/item-details/HLnd9yyaDqJM961bE1r9ZFo8sDWn4CpkrVXs8gn4PJFy,Tangerine,BallerLakers,Silver,Zatoichi,ThugzBunny,BeanieCream,Snowball
52,5.1,388,62.89,https://magiceden.io/item-details/7byojaWo6s7V1RJgcM8F3EE421x1Je2dMMVMom9AajAV,Citrus,Kong,PocketMonster,CuriousJorge,ShinRaShiFlood,AllSeeing,Clay
53,2,4980,57.1,https://magiceden.io/item-details/7dma4RgjpNpBZcbeNrJt7Dc5tFvLJ57tJDbZt6tFj2nx,Blue,Bat,None,Steamboat,DingDong,BandanaCrip,Blonde
57,3.25,817,77.95,https://magiceden.io/item-details/DGRJTUcqdy72mLAGpYWVQKJNUBtPJvjRC58EMFrp4PvZ,GrannySmith,SkullBomb,GoldPair,CyberStyle,DingDong,PimpNamedSlickBack,DustyBlue
