id,price,moonRank,💎 score (%),storeURL,Arsenal Back,Arsenal Front,Background,Base,Decoration,Elite,Eyes,Headwear,Nose,Outerwear,Outfit
0,50,1643,0,https://solanart.io/search/?token=5ryBUGrqxRR8zTy3bekwPVLXD1PYVfEtBKDFn8KCp37D,None,None,Sky Blue,Ancient Open (Golden),Runic Marking 4,,Ancient Angry,Shriving Stone,Default,None,None
11,99,106,0,https://magiceden.io/item-details/4Z1VPzcRsiQrZVdaRsy8Tiu9LfJt2q7WD3XE2epmBfBA,Wheel of Carthyss,Soul,Sky Blue,Ancient Open (Golden),Runic Marking 5,,Sinister,Circlet,Default,Reverie Beads,None
41,24,270,0,https://alpha.art/t/aPTbBp1BkRaDNRsfQjth7SdqigEZXibB6htJuvBKvFL,Crucifix of the Maligned,Seer's Orb,Slate Gray,Ancient Open (Golden),Runic Marking 3,,Ancient Eyeballs,Socketed Circlet,Default,None,None
42,23,787,0,https://alpha.art/t/C7TYhFLtXk7AXxgvRwRNeZzE2suj3mVowGnv5nwNFkc,None,None,Blue,Ancient Default (Golden),Runic Marking 1,,Ancient Fire,Small Horns (Golden),Default,None,None
43,27.5,71,0,https://solanart.io/search/?token=qMLkjxLfaYKWSbTR8ouqZnsa6JFAmySEcSnQPXwrVz1,Draelic Nimbus,Boreal Tablet (Golden),Deep Gray,Ancient Open (Golden),Runic Marking 4,,Ancient Angry,Baphomet Horns (Golden),Default,Overgrown,None
61,50,136,0,https://solanart.io/search/?token=DL5ewQykRg2mvqa2QxB1QPzBHe5Y3WCu1WAWi42o6rMT,Ydraxiian Bindings,None,Blue,Ancient Cthulhu (Golden),Runic Marking 1,,Ancient Default,Shriving Stone,Beaded,Reverie Beads,None
66,50,173,0,https://magiceden.io/item-details/3ZpphUHj29uqvacvS8uK4ZrP627wTHdy1kNtLSWCSQhU,Divining Staff,Nephul Tablet,Fuschia,Ancient Cthulhu (Golden),Runic Marking 3,,Ancient Eyeballs,None,Default,Reverie Beads,None
81,25,293,0,https://solanart.io/search/?token=F7jxhdnyuFP6MDRdcjAGCLPfZhcJVzFiXnZYB2GTzd7z,Draelic Nimbus,None,Aqua,Ancient Open (Golden),Runic Marking 1,,Grinning,Ancient Reverie,Default,Reverie Beads,None
85,15,325,0,https://magiceden.io/item-details/DpdAGhkimNPgZrBMg83oA9NzetLRaTgG68E4RLp96mtP,None,Nephul Tablet,Slate Gray,Ancient Toothy Maw (Golden),Runic Marking 2,,Ancient Default,Socketed Circlet,Default,None,None
89,130,62,0,https://solanart.io/search/?token=GH13ZcfCGzfjzETquEoc13Do2u4dH8R5YEW3tB1b62Y8,Herald's Halo,Look Up (Golden),Red,Ancient Open (Golden),Runic Marking 1,,Ancient Fire,Small Horns,Default,Overgrown,None
93,24,380,0,https://solanart.io/search/?token=6G2mDUTMRy5sVH7nuU9w1jpQMkueqXqWeMSa8t1HhwJR,Draelic Nimbus,None,Red,Ancient Default (Golden),Runic Marking 4,,Grinning,Crown,Default,None,None
135,15.99,239,0,https://magiceden.io/item-details/ENCeANmNZFG3zzE5T2JV32vJbgC9hvg51hmDdkPv4uKP,Crucifix of the Maligned,None,Purple,Ancient Default (Golden),Runic Marking 4,,Grinning,None,Beaded,Overgrown,None
