id,price,moonRank,💎 score (%),storeURL,ACCESSORY,BACKGROUND,EYES,HAT,MOUTH,OUTFIT,SKIN
262,6.5,3185,63.41,https://magiceden.io/item-details/5e4FkcpVS3HEsPqQmNkwhnt1APdngQheNFY1tKueZh8t,Whiskey Bottle,Cigar Lounge,Sunglasses,Helmet,Cigar Rainbow,Superman,Grey
495,6.6942069,2450,68.29,https://magiceden.io/item-details/BivMjLEsNBWZntkdQm4ig1Xhu5HaWzTGfX1f3KQZW1CD,Whiskey Bottle,Retro Greenyellow,Bloodshot Eyes,TV Set,Cigar Solana,Solana T-shirt,Solana
529,6.42,4145,55.3,https://magiceden.io/item-details/H7E74oax7qSraTpeCqywTWJtnq2BPN7sGtX5ssuZZ3Q6,Whiskey Bottle,Firey-Orange Gradient,Sunglasses,Helmet,Cheeseburger,Cocktail Waitress,Silver
717,6.5,2823,66.77,https://magiceden.io/item-details/33ibYf2qUJPj58q69Z982jmiou2tCMydP3wu7MEEmabU,Poker Chips,Cotton Candy,Sunglasses,Gold TopHat,Cheeseburger,Cocktail Waitress,Brown
1001,6.49,3779,58,https://magiceden.io/item-details/8GYXQyA8Y4gJFgX9UF2R5LHju8ZbwFGzbhyNp1E58ZZA,Purse,Cotton Candy,Monacle,McDo  Visor,Vape,Superman,White
1319,6.19,4231,56.8,https://magiceden.io/item-details/BAUoHXULydAWhmih6KjMfhdDtkZ4rkQQVJKxqczSU7xs,Poker Chips,Cigar Lounge,Bloodshot Eyes,McDo  Visor,Cigarette,Solana T-shirt,Grey
1356,6.75,3133,61.39,https://magiceden.io/item-details/3VHMaVWQfmyWAduvbXirPJxF5sUH4BZGKXujLcqcTpKJ,Whiskey Bottle,Solana Gradient,Steampunk Goggles,TV Set,Cheeseburger,Solana T-shirt,Rainbow
1734,6.7,3319,60.17,https://magiceden.io/item-details/5KWAdqWwDYnTtTa6SzmEU7ZSYBDPrstjBkokCTuhuub1,Whiskey Bottle,Cotton Candy,Bloodshot Eyes,TV Set,Vape,Rainbow Suspenders,Zombie
2348,5.796969,3670,65.94,https://magiceden.io/item-details/EU4ppXjVAA2G73k1bwuvXGGqbkTS8FfYXKm6gH842vZs,Briefcase,Cotton Candy,Bloodshot Eyes,TV Set,Cigarette,Monkey Suit,Zombie
2505,6.18,4185,57.33,https://magiceden.io/item-details/5VzU4YRdEKbREVdKKvr5pt3cGGe14QffNDP2dmHgCcqp,Poker Chips,Cotton Candy,Spades,TV Set,Cigar,Cocktail Waitress,Brown
2619,6.59,3412,60.4,https://magiceden.io/item-details/8swXH4PgtzrDjFQrSt8HMGu7duLzynyVETea7GEq2b1X,Purse,Solana Gradient,Cyclops Laser Eyes,TV Set,Vape,Superman,Brown
2638,6.4,2478,70.97,https://magiceden.io/item-details/EcRRTkPN9Ks7ksfLJWdhTFwBwotfPAR5oVSAwXNjNMiN,Purse,Cotton Candy,Cyclops Laser Eyes,Helmet,Cigar,Gold Spacesuit,Brown
2695,6,3394,66.47,https://magiceden.io/item-details/Ci1D8QETWt3jpTSFqfaoFNzJL9Nf8sEBpdn6HHUSDxzU,Whiskey Bottle,Firey-Orange Gradient,Spades,Thugbird HeisenHat,Cheeseburger,Rainbow Suspenders,Grey
2833,6.68,1682,75.56,https://magiceden.io/item-details/5Xn9ifFqt1FoohCigVH7tPD2uF18FdcRJDSPpVQ2hMjV,Gold Cane,Retro Greenyellow,3D Glasses,BigBrain,Cigar,Cocktail Waitress,Brown
3215,5.98,4258,58.65,https://magiceden.io/item-details/HHSMcutpevRph6RQZPGM1GELnVigF9AcDHuG4U9TwenS,Poker Chips,Casino,Monacle,TV Set,Cigar,Solana T-shirt,Grey
3643,6.3,3494,62.54,https://magiceden.io/item-details/HaPjrSseo7aAh3HYEVVVf5NbxdzVB6ozKbSoXo2fsNFp,Whiskey Bottle,Firey-Orange Gradient,Cyclops Laser Eyes,Thugbird HeisenHat,Bubble Gum,Cocktail Waitress,Brown
3967,6.45,1819,76.59,https://magiceden.io/item-details/GTmvwriNVg7xJ9PhSc3pqeicPmPHG6tZz49bC3tHsGr1,Purse,Cigar Lounge,PitVipers Solana,Helmet,Cigarette,Mink Coat,White
4003,6.76,2714,65.18,https://magiceden.io/item-details/Agao5DRuEfGYWwJJeyyqFfu77YS838Y2qkbYfCMXox6L,Martini,Firey-Orange Gradient,Monacle,Helmet,Bubble Gum,Gold Spacesuit,Red
4058,6.6,2067,72.79,https://magiceden.io/item-details/7SsarPMukrobiixVK4whiFYRMDvwq31cW6SBvbjLoexr,Yo-Yo,Casino,Spades,TV Set,Bubble Gum,Gold Spacesuit,Zombie
4166,6,4310,57.97,https://magiceden.io/item-details/D539E2988vH5oa26idGPoijvJKTn8pQeDTri2W7b97iz,Poker Chips,Cotton Candy,Spades,McDo  Visor,Cheeseburger,Disco Suit,Grey
