id,price,moonRank,💎 score (%),storeURL,Background,Base,Clothes,Eyes,Hat,Mouth
2,11,106,0,https://magiceden.io/item-details/HYYKvoWgDTYQmBMUEmVNBxNo7XYyeTL825EcwYqhB5Ko,Lightblue,Black,Greenturtleneck,Tikimask,Piratehat,Goldearring
4,7.4,343,0,https://magiceden.io/item-details/5bgKVwJPkyUUCKKX7FRdsqRUxahkgEqQVPVDb5n9gKWD,Dust Green,Black,Redshirt,Shades,Tophat,Cigar
5,0.2,82,89.06,https://magiceden.io/item-details/9LcER1YP2y3u2y2tbcRmEEYHvBtUfz3p12x13WJ9rB8z,Lightblue,Darkbrown,Kimono,Pinkmask,None,None
6,10,276,0,https://magiceden.io/item-details/5U94ohWC32Y1viqPDEss3xSthGE672pSzYZMx7N6Ca8w,Yellow,Black,None,None,Propellorhat,Beer
7,3.8,246,34.37,https://magiceden.io/item-details/6rVk3w43RJc7njvTJxcJZNLPXLV2m8W6JR6szTA1rMdK,Orange,Black,Blueturtleneck,Goggles,Graduatecap,Cigar
10,3.4,55,60.13,https://magiceden.io/item-details/EKDTdQ2xNhapairLC5BHL123WX19Fk38XfQkTA4WivfG,Green,Black,Blacksenseioutfit,Screammask,Headphones,Cigarette
11,7.69,189,1.96,https://magiceden.io/item-details/Gcak7LUTqeqBF83ziMkgGT81xcDckPTXBzsmVeHo2GGQ,Purple,Brown,Whiteshirt,Pinkshades,Tophat,Cigar
17,1.1,181,68.77,https://magiceden.io/item-details/9juobe7BQdHTmNRSruez2tBMA9n7M1xRXz6Dy4wt13yo,Bright Light,Darkbrown,Greenturtleneck,Japanesemask,Halo,Gum
21,12,24,0,https://magiceden.io/item-details/9fG3S59fBWv2j3dojrUYSi4NPRHR7tj9Uyi7GhcxJHdi,Candy red,Brown,Diamondchain,Japanesemask,Swashbuckler,Beer
31,0.07,234,73.03,https://magiceden.io/item-details/4sZjWbFVTMrsDvnY381Ys5kAtT5Sd9xdiRAxs29Yz3z6,Yellow,Brown,None,Thinvisor,Swashbuckler,Cigarette
40,4,221,35.21,https://magiceden.io/item-details/X7iu7VhURvadxstbLJWNtuoHzpwkBtaSzqxHrmHawuR,Dust Green,Orangebrown,Whiteshirt,Goggles,Redcap,Diamondearring
41,0.05,232,73.46,https://magiceden.io/item-details/DmRicShsDJq5SXicCjemRtA3d2T9vWD4vsH6Bq4ez9t8,Bright Light,Black,Blueturtleneck,Shades,Spottedswashbuckler,Cigar
43,0.3,313,61.73,https://magiceden.io/item-details/343f8gAcy3zX189shHbSUMYA6tBspUdGRN1eNkknpumT,Lightblue,Brown,Greenturtleneck,Pinkmask,None,None
47,2,54,74.25,https://magiceden.io/item-details/kAQYjoLqpBPz9hQwNGoeCioYYT1HTbZZgADVZ9emKrn,Red,Darkbrown,Greenturtleneck,Screammask,Graduatecap,Goldearring
48,25,60,0,https://magiceden.io/item-details/BWVCqdQjBn22P187aEyBuQbzyzdoRBfrNWsEisrB64FH,Purple,Gray,Kimono,Darkmask,Tophat,Cigar
