id,price,moonRank,💎 score (%),storeURL,Breed,Eyebrows,Eyes,Head,Mouth,Outfit,Special,Toy,Tribe
107,19.69,370,0,https://magiceden.io/item-details/6nSEgnHikG3eipMwQA2RDgxTC3Mp5LpJudBCScd8BrSA,Predator,None,Cheeky,Diamonds,Classic,Roo Band,Hungry,Cactus,Starlight V2
132,4.11,3352,69.71,https://magiceden.io/item-details/B67bTyoegutfhPybBKacgirP4DYjEAS89vN9kn8A9Ebv,Warrior,None,Suss,Alpha,Blep,None,None,Foosh,Agua
177,8,3830,26.49,https://magiceden.io/item-details/Mc6bkZa3VZa3V1FLScyisNp3Wgc2K7R7xNysJ7Cede6,Playboy,None,Eyeliner,Pink,Toothy,None,None,Heckcoin,Voodoo
305,5.55,3387,55,https://magiceden.io/item-details/wykPwCncMXd5QUMZtY74DM2JrZg84ouWbL5Pxos2bHt,Playboy,None,Cheeky,Classic,Big Grin,Roo Band,None,Expensive Rock,Voodoo
325,4.6,2625,71.38,https://magiceden.io/item-details/6L3BzyggYKiKArMHedDjJM56vqmvMMDF7RbcqPdVqiMM,Woolly,None,Glistening,Black,Classic,Gear Belts,None,Drumstick,Voodoo
332,5.95,719,75.1,https://magiceden.io/item-details/4xsE5ysTWEyEVXQc3U7kfG2EyPskHW8w3EZpVXadHtjY,Badass,None,Hunter,Pink,Blep,None,None,Jambunny,Agua
365,10,2553,18.03,https://magiceden.io/item-details/D5mHwnZBZUG28BRXifFeHjq9Fxx8aiswtPTuAgTo52JM,Playboy,None,Classic,Narwhal,Classic,Spiked Collar,Hungry,Foosh,Starlight V2
390,4.11,3909,64.68,https://magiceden.io/item-details/6YSpQTePjV6m2YyP7k75CFyY89ZfNocU3JWCVi8TKkvA,Classic,None,Sky,Black,Happy,None,None,Drumstick,Voodoo
415,6.5,2539,53.16,https://magiceden.io/item-details/47jStpviv8FX5A2MDTgG14Bn3XaRG1YTb3c622c5n99w,Warrior,None,Classic,Alpha,Classic,Gear Belts,Hungry,Expensive Rock,Bonbon
447,5.5,2933,59.6,https://magiceden.io/item-details/91LZskni18EsDe7GcxoY12AfzqFkt1uW2pCTHTymVo8y,Warrior,None,Classic,Pineapple,Toothy,None,Hungry,Foosh,Agua
465,5,2282,70.48,https://magiceden.io/item-details/2BNHixC6EqGZbVW7BQK6hWiKPenhhJdvfKRSy5qH1JJB,Squid,None,Suss,Classic,Big Grin,Gear Belts,None,Butter Knife,Starlight V2
567,4.5,1626,81.41,https://magiceden.io/item-details/AUEUuD1wApQAkzLSEWhPG6pJahzJc2cGSoXNqFqw8ZMg,Warrior,None,Cheeky,Horns,Big Grin,Roo Band,None,Drumstick,Starlight V2
620,6.99,596,65.81,https://magiceden.io/item-details/42L73q1Msg94LP6eorVDgBaUTwQQAqpJFR4ZUSXQ2hoF,Predator,None,Degen,Pink,Classic,Gold Chain,None,Butter Knife,Starlight V2
651,4.89,3501,60.57,https://magiceden.io/item-details/TVKLfJjHuMoZ6Nnpp81FuGbzgkRDoBuGQcdbYM2FNyo,Squid,None,Eyeliner,Spinny Hat,Toothy,None,None,Foosh,Bonbon
704,10,771,34.13,https://magiceden.io/item-details/FDjfRofywwyhF691hd5g6ovXHsXge9yNBihyW5xc2ykf,Squid,None,Sky,Classic,Gold Rush,None,Hungry,Expensive Rock,Voodoo
781,5,3746,57.25,https://magiceden.io/item-details/D6gATpe6N6f3Yu5FreQS8Rd3F6mWesveqKFHdApV5jLM,Classic,None,Suss,Spinny Hat,Blep,None,None,Butter Knife,Bonbon
795,5,2767,66.1,https://magiceden.io/item-details/8rgANEQqWf54gbAU3SK6zsUedjFdGouYdzKF9kUx1eYT,Classic,None,Suss,Pink,Classic,Box Armor,None,Heckcoin,Bonbon
868,20,247,0,https://magiceden.io/item-details/PQ4zgAS1bMCYGFbWUFw7C67q3mYUu6eKWHSbUSymLfL,Classic,None,Cheeky,Pink,Refined,Gold Chain,Hungry,Heckcoin,Voodoo
877,4.99,2437,69.18,https://magiceden.io/item-details/7rs8N8Urm28aYn5xhNgvgyiGRnKkwrmUfahJHYAGVDWz,Classic,None,Degen,Alpha,Happy,None,None,Cactus,Voodoo
918,5.42,2388,65.32,https://magiceden.io/item-details/3CGCXDnAaCytXe3cwR9M9zBb2wPiLQDFqtSjD1J9sqEG,Squid,None,Sky,Classic,Blep,None,None,Cactus,Agua
972,9.99,124,40.08,https://magiceden.io/item-details/69tcCvgkNVum3ouxEEzcfEMvDrdbhvyAcMYWyjzAa15r,Confetti,Mad,Glistening,Classic,Toothy,Box Armor,None,Drumstick,Starlight V2
978,59,460,0,https://magiceden.io/item-details/6zkpoRLucKyuH5PsHZTxHrLomgBCA6m9H7RD8TW5tbTB,Classic,None,Glistening,Golden Doodoo,Blep,Roo Band,None,Jambunny,Bonbon
1003,7.9,3112,33.98,https://magiceden.io/item-details/13sm5GfuXHQfTPTKZGRuh1MuuuphXfsKBXZp9tPuEzte,Squid,None,Cheeky,Alpha,Wavey,None,None,Butter Knife,Agua
1032,10,967,32.36,https://magiceden.io/item-details/2iYB2E9JxJRvBU15ZSEvcQnoBTjssRW7HT8dZum9pGWd,Predator,None,Classic,Alpha,Blep,Spiked Collar,Hungry,Drumstick,Starlight V2
1033,5,2349,69.88,https://magiceden.io/item-details/3a2WcKV3pzPw1E7xBJq9UUFVizvrNL3knLdspi32rD2b,Warrior,None,Hunter,Black,Blep,None,None,Bone,Starlight V2
1064,9,192,49.37,https://magiceden.io/item-details/EGPshVFSZ8whAPssmeuSpS1hMZ2vKeLSMujpRwb29i5P,Woolly,FUD,Cheeky,Pink,Fried Eggy,Gear Belts,None,Foosh,Voodoo
1100,5,332,88.1,https://magiceden.io/item-details/5UaPrJX6HPp7GhcTuCiFD1nkrAiW7CfY7S9jopTmfe2K,Woolly,FUD,Eyeliner,A Hair,Big Grin,Spiked Collar,None,Drumstick,Agua
1120,5,2049,72.59,https://magiceden.io/item-details/93Rj22veAnbYGUqTFjX2omdwxrG5FaMWQWi7UJKSX2wS,Woolly,None,Degen,Pink,Classic,Gear Belts,None,Heckcoin,Bonbon
1290,7,2748,46.27,https://magiceden.io/item-details/CbGvjb8uCn8NwXbmDnEYmAMfZSciHkdVUZU9Mc6qQDub,Playboy,None,Glistening,Black,Toothy,None,None,Cactus,Starlight V2
1339,4.8,1173,82.5,https://magiceden.io/item-details/2NnBjuKPi3q4MYgWcCcBZKZGWQmy58Rdfza94vuxqVn4,Squid,None,Classic,A Hair,Big Grin,Hard Floaties,None,Durian,Bonbon
1342,32,150,0,https://magiceden.io/item-details/DCo7HF19VS5tgWFprXGbeUHjagDqaddVkkZGWULAzZd4,Pinata,None,Crybaby,Narwhal,Blep,Hard Floaties,None,Bone,Starlight V2
1405,15,2159,0,https://magiceden.io/item-details/AQt4n6Kn1oZhaU4qwLnT6FzLxgLhXpDruHDCdBuLG2Ns,Pinata,None,Classic,Alpha,Classic,None,None,Bone,Bonbon
1534,26,724,0,https://magiceden.io/item-details/47U6GmhFq95SggruZeDEr2kH1sNvHHubNktWpoPsVHJE,Unplugged,None,Cheeky,Pineapple,Happy,Roo Band,Hungry,Butter Knife,Starlight V2
1556,10,1653,26.16,https://magiceden.io/item-details/PVzZvpxXqv4pCK2571j2bTbtBDCgTzrsTvoZwh89WbQ,Predator,None,Degen,Pineapple,Happy,None,Hungry,Foosh,Agua
1576,6.9,3407,41.32,https://magiceden.io/item-details/7ZvP4pv5ruKjLDcW8DD3muwc27vMC7tUAdUWGEGNZYzD,Badass,None,Classic,A Hair,Classic,Roo Band,None,Bone,Starlight V2
1668,4.11,3312,70.07,https://magiceden.io/item-details/H2VUR5jgUgDywPVtZvnfUupbcgnzx6ezy3GZsxgc5mvF,Classic,None,Sky,Classic,Toothy,Roo Band,None,Foosh,Voodoo
1699,6,2407,59.35,https://magiceden.io/item-details/AHFaGNppAWyrTLWtf5J9EMAd1rWJn3RxtRDAW9YAwbmq,Warrior,None,Sky,Pineapple,Classic,Roo Band,Hungry,Butter Knife,Bonbon
1734,6,3014,53.87,https://magiceden.io/item-details/DmUmozi34zgZ5634XuGTDqgy6n5PP6QsZYaDSPzPRiDB,Playboy,None,Classic,Pineapple,Toothy,Roo Band,None,Heckcoin,Voodoo
1833,4.94,1477,78.35,https://magiceden.io/item-details/uvYrgij1KQvprQxy1X9buikKrqKwXVJ315rLaVdSPWS,Squid,None,Cheeky,Classic,Wavey,Hard Floaties,None,Heckcoin,Agua
2033,10,2044,22.63,https://magiceden.io/item-details/gjdXBWZGcVbo9hvDGB3KvG9AE2915vLsxEcu8AbAzit,Classic,None,Glistening,Pineapple,Blep,None,Hungry,Cactus,Voodoo
2054,5,1952,73.46,https://magiceden.io/item-details/DcMirEZQ47zMYehWnJQpi5JxbyM7gMBF49yHP1f2uCTw,Confetti,None,Classic,Pink,Classic,Box Armor,None,Heckcoin,Agua
2079,6,2794,55.85,https://magiceden.io/item-details/5tP1TukK2un7GziEuPddXbrQvMqJFXdVEn9dAPBDDWen,Classic,None,Suss,Pink,Toothy,None,Hungry,Drumstick,Agua
2122,5.4,2930,60.63,https://magiceden.io/item-details/5iyMVhAQQWgGiMCfbFk5WD44GPtvqyKT9AYfF5GAHhj4,Classic,None,Crybaby,Alpha,Happy,Roo Band,None,Expensive Rock,Starlight V2
2177,5,2032,72.74,https://magiceden.io/item-details/51HhzXSfHrQrQsBHid3Z64VhKDzjXZ1PbJzCjs2ytexC,Badass,None,Glistening,A Hair,Happy,Gear Belts,None,Foosh,Starlight V2
2209,20,2460,0,https://magiceden.io/item-details/EinqQGdWP2HURwQrhMpYCX6w9gU4kC5H68WCCRkU1gmn,Classic,None,Eyeliner,Narwhal,Nyah,None,Hungry,Butter Knife,Starlight V2
2258,4.8,576,87.9,https://magiceden.io/item-details/9iBh7XRtGdTSnccNiJ8Q1mvqNTxP3K1aXRxfj1d31976,Warrior,None,Glistening,Halo,Wavey,Hard Floaties,None,Butter Knife,Voodoo
2289,5,2575,67.83,https://magiceden.io/item-details/HWEXpe1fg2FXgiTQvR4YoA2rWtQW1YjKLD8RjCdR9NuV,Playboy,None,Hunter,A Hair,Classic,Roo Band,None,Bone,Agua
2291,5.68,175,82.72,https://magiceden.io/item-details/6CUdCikUqrjJyiLUG6fuUWbMYhdnBzkmvdtRzSQ6bExH,Warrior,FUD,Classic,Frog Hood,Classic,None,None,Poptart,Voodoo
2397,5,4370,51.62,https://magiceden.io/item-details/6iZiUMiRz7FK1DwupKNA9o6tSdS7ckA5sfczmWhEEX99,Classic,None,Glistening,Spinny Hat,Classic,None,None,Butter Knife,Bonbon
2416,5.5,1545,72.14,https://magiceden.io/item-details/rJ8hAKbsg9ii4ggsctx91uCnStjh757K1apwp2oDqYF,Classic,None,Cheeky,Classic,Toothy,None,Hungry,Poptart,Starlight V2
2465,5,3915,55.73,https://magiceden.io/item-details/CRT9GNXpPZGQWMJjjNuVajuPFLcCiWdFqxdbfhWaQJkX,Classic,None,Suss,Narwhal,Happy,None,None,Bone,Agua
2488,180,4406,0,https://magiceden.io/item-details/H5H11vKesuL5b7FxqMReN6t59r534fSo3EE75q9Y1CY5,Classic,None,Classic,Spinny Hat,Classic,None,None,Foosh,Agua
2510,9.99,174,39.63,https://magiceden.io/item-details/C5DFFmGZdtBucUhFgxPdMbUkqER7XR9mTRUJ6EFTpLZ6,Classic,FUD,Degen,Pineapple,Classic,Hard Floaties,None,Jambunny,Bonbon
2543,5.5,805,78.83,https://magiceden.io/item-details/D2cNqh1Hhezn93EgVkXQoqzAUwz8Ch4cGj9dzh9kyWwn,Predator,None,Glistening,A Hair,Nyah,Spiked Collar,Hungry,Butter Knife,Starlight V2
2580,6.66,2124,55.31,https://magiceden.io/item-details/9MrgmzMJ9X2wimNAiVsfY3JzougshGR8NJAALXYYa2KZ,Badass,None,Eyeliner,Narwhal,Happy,Roo Band,None,Bone,Voodoo
2639,6.5,3626,43.34,https://magiceden.io/item-details/5LzuU1NBGr6mqNUXzDHNxcyGLVR3op19woKd7nCpc8cJ,Predator,None,Sky,Alpha,Classic,None,None,Expensive Rock,Bonbon
2641,5.69,767,77.27,https://magiceden.io/item-details/3ECgX25qwMv7sAGuB7KFkBbHT5KWKRwDiYkNx93DuKDG,Confetti,None,Berzerk,Classic,Blep,None,None,Foosh,Bonbon
2695,33,147,0,https://magiceden.io/item-details/3YognQ1xCy9CeuddMRTpPNPbUykvHWNa27khgMfGNdKU,Playboy,FUD,Cheeky,Golden Doodoo,Wavey,None,None,Heckcoin,Voodoo
2712,4.5,1324,84.14,https://magiceden.io/item-details/H2SgsXqLUxzj6TAEejVfX3c2k2H1TkQrJucnsTTdNjvi,Classic,None,Degen,Spinny Hat,Wavey,Gear Belts,None,Expensive Rock,Agua
2767,4.14,4376,60.16,https://magiceden.io/item-details/6XPXqVMXqHjrjVrGZoitGWkUcExH6iXyN8aEUSntiBNt,Classic,None,Eyeliner,Pineapple,Classic,None,None,Butter Knife,Agua
2778,6,2334,60.01,https://magiceden.io/item-details/DKpbjhnTLEckQNbCN3KN85AgYX4xaetHqSz1dvhxWPu5,Badass,None,Glistening,Alpha,Toothy,None,None,Drumstick,Voodoo
2786,26,803,0,https://magiceden.io/item-details/6gfSrwYk5s65wGwAywhGX4dyUk2497JT6v57skrc3WBc,Unplugged,None,Classic,Black,Blep,Roo Band,Hungry,Butter Knife,Starlight V2
2859,4.956,2981,64.61,https://magiceden.io/item-details/CofNEepahveoRmzHyCWWCEuMGy5P1xAPNJtapWxzowRw,Predator,None,Suss,Bot Rod,Happy,None,None,Heckcoin,Agua
2894,5,1883,74.09,https://magiceden.io/item-details/HvcAe6TqetTWv8ZXd5oWNNWNPtjDP51JJ245u7oW7HPz,Classic,None,Hunter,A Hair,Classic,Hard Floaties,None,Expensive Rock,Agua
2898,4.11,1872,83.09,https://magiceden.io/item-details/32Mn5jodBDDRLFixaLWvcPp7qHQ4sozivQVnEPWsy39u,Squid,None,Classic,A Hair,Toothy,Box Armor,None,Foosh,Bonbon
2899,5.4,648,81.25,https://magiceden.io/item-details/41P4R8rKZYuANTHpwaJ8gdNpyVuq2rp44rbkfGdMLcd3,Playboy,None,Hunter,Alpha,Big Grin,None,None,Poptart,Bonbon
2918,10,522,36.38,https://magiceden.io/item-details/3jYfipsZADxxcwE6xVCyN9xPtfm2qvZzG8t6sEFp5Uei,Pinata,None,Hunter,Pineapple,Happy,None,None,Foosh,Agua
3078,20,88,0,https://magiceden.io/item-details/7dp6Xus7m21i3MGsioeoE8Yr83yMNtpLEEoA9sgaSKDr,Savage,Mad,Glistening,A Hair,Classic,Hard Floaties,None,Drumstick,Bonbon
3098,7,589,65.78,https://magiceden.io/item-details/46dewqeUU7PVrJtMTRGcEeuv8pik7qpXePQfiGMUvjmx,Squid,None,Crybaby,A Hair,Fried Eggy,Hard Floaties,None,Foosh,Starlight V2
3103,8.88,842,44.69,https://magiceden.io/item-details/H8GupqvkofdiQL2v72M9aiEMLHYinWye64heaeTWBzBG,Squid,None,Crybaby,Pineapple,Gold Rush,None,None,Expensive Rock,Voodoo
3105,5.55,699,79.28,https://magiceden.io/item-details/pim4BggwCzUFeKmbakbETBygS5EXY6dpkYiK9CdxSR6,Woolly,None,Eyeliner,Classic,Nyah,Gear Belts,None,Durian,Voodoo
3128,7.5,3388,35.49,https://magiceden.io/item-details/Dqu2jGpniuHWW5nAtN6DdHmLhcvdve3i8jbhxrDhNi12,Classic,None,Eyeliner,Bunny Hood,Classic,None,None,Foosh,Voodoo
3188,6,795,73.92,https://magiceden.io/item-details/FDULy93coju2CmAAMAEsdKzNFrQyUWRdrK75MuK3drLZ,Warrior,FUD,Degen,Black,Blep,None,None,Foosh,Starlight V2
3294,400,478,0,https://magiceden.io/item-details/48BoSv235pxyp6NRK4NWbRjZKDJmZRhuazsyEmVEVpFu,Classic,None,Magical,Narwhal,Happy,Gear Belts,None,Expensive Rock,Voodoo
3316,4.95,4179,53.84,https://magiceden.io/item-details/NKvNHjUfQmQdNktr228eEaYNcdwnuNH7Z4EUmFZrjWC,Classic,None,Glistening,A Hair,Blep,None,None,Foosh,Starlight V2
3358,5.2,4132,51.77,https://magiceden.io/item-details/8sQvpWJbUX2qSDtd8FxeR2Dp637zo2osKrQhH8VV7FCj,Classic,None,Classic,Alpha,Classic,None,Hungry,Bone,Starlight V2
3366,7,2740,46.34,https://magiceden.io/item-details/9V9thFtZsJ25MigL8brnbVAa4u2Et87s399g5TkQ6Fj,Woolly,None,Sky,Spinny Hat,Big Grin,None,None,Expensive Rock,Bonbon
3410,4.11,3507,68.31,https://magiceden.io/item-details/AyXW22WznTfT8DrCcqN4XgbbzUtgYsBoc1fNgMvPQGfb,Warrior,None,Cheeky,Pink,Happy,Roo Band,None,Bone,Agua
3518,10,3062,13.43,https://magiceden.io/item-details/GAb4sjezoGVgr6WeqTiH4hwg9qibwp87VVcFfxe9NA1J,Playboy,None,Classic,Pineapple,Blep,None,Hungry,Foosh,Bonbon
3543,20,887,0,https://magiceden.io/item-details/H6t2cAAco5R7ZAzBcbdeFLWDkahEiZqgqcbtiX7cYRpg,Classic,None,Glistening,Pineapple,Gold Rush,None,Hungry,Drumstick,Voodoo
3581,5.49,3614,53.55,https://magiceden.io/item-details/7y3z4cDd4RWpMRAZAT2Y1jTdcMCDNdw6kSbxuyHc8zk6,Classic,None,Eyeliner,A Hair,Happy,Roo Band,None,Drumstick,Starlight V2
3593,9.9,3814,7.64,https://magiceden.io/item-details/5qo92Z3npsiiTYirn2212KYubwcgC1jy5vaTafUHeVGr,Warrior,None,Glistening,Spinny Hat,Happy,None,None,Heckcoin,Voodoo
3643,12,1164,10.58,https://magiceden.io/item-details/8PTXP4kpcC1r6FCWZj2QTqScKtBNNtMV1guhcEacgWd8,Predator,None,Crybaby,Frog Hood,Classic,None,None,Drumstick,Starlight V2
3708,9,1185,40.39,https://magiceden.io/item-details/D94f5ecEhof9ndVQYUGHGjnK8ox4iishjWxJUyejNpA1,Unplugged,None,Classic,Pineapple,Happy,None,None,Cactus,Starlight V2
3753,6,1971,63.29,https://magiceden.io/item-details/G5kB7M3jihNqRbK1FjoGgFycoYFAjydQMM7pCtAUroio,Classic,None,Cheeky,Spinny Hat,Blep,None,Hungry,Jambunny,Starlight V2
3874,5,950,82.52,https://magiceden.io/item-details/78n94rcj3NPvmWzoiZ1j5wDZR8t1AhEcf8e35QuDShDx,Unplugged,None,Eyeliner,Bot Rod,Blep,Roo Band,None,Bone,Agua
3996,600,12,0,https://magiceden.io/item-details/Ehiru1pYAkSo6AbKP7XCfehsm61MJg9iatVi2bE9GqsM,Woolly,FUD,Monocle,Golden Doodoo,Refined,Box Armor,None,Cactus,Voodoo
4013,5.9,77,81.4,https://magiceden.io/item-details/FMdnBmM29cjzw6BSS2DN9aXBFVykWBPi5ea7TpwNXC4e,Playboy,Mad,Degen,Narwhal,Nyah,Box Armor,None,Foosh,Voodoo
4020,8.89,309,49.41,https://magiceden.io/item-details/D2MtvhZDYmxcTmDSRdksNScaCowVwUsEp3Bh18qFVAf2,Predator,None,Crybaby,Classic,Gold Rush,Spiked Collar,None,Butter Knife,Agua
4040,7,623,65.47,https://magiceden.io/item-details/AfKmLCJiZWiNzuYad9oK6bnQFXBJUWMqFSTUCsZotDpR,Confetti,None,Eyeliner,Roadrunner,Big Grin,None,Hungry,Expensive Rock,Bonbon
4134,5.5,4298,47.27,https://magiceden.io/item-details/3TcRkRYXT6NGjkEaLtHbG8FUEvd5rPRtrDdqPTXyNtaB,Classic,None,Classic,Classic,Classic,None,Hungry,Expensive Rock,Voodoo
4145,12,2085,2.26,https://magiceden.io/item-details/2R6LfCwPThbvZ8mxAEg6BPvw3884Rj7AFDaCm3FhRZxW,Classic,None,Eyeliner,Pineapple,Classic,None,Hungry,Mischief Stick,Agua
4155,10.99,1241,19.99,https://magiceden.io/item-details/7Vwnk15omzs5iEceSxhqK5Jmh2vauZJDQjjjhVpEgJ1N,Classic,None,Magical,Bot Rod,Happy,None,None,Butter Knife,Starlight V2
4228,4.44,2963,69.93,https://magiceden.io/item-details/9uxhsZUhtbW37732y9LisU4TjLbm7FKVv8MVDmKBo9LA,Classic,None,Suss,Horns,Classic,Roo Band,None,Bone,Starlight V2
4253,4.14,4427,59.7,https://magiceden.io/item-details/AiEAUG5MjfEyX3T1gcetYHtSAzcXQ521EbxPHGTnvu4n,Classic,None,Cheeky,A Hair,Classic,None,None,Expensive Rock,Starlight V2
4279,8,525,56.36,https://magiceden.io/item-details/7bHj2h4StV26jr8zjBy6bFZm8YDycX2EnGBXWA77yBAY,Squid,None,Degen,Alpha,Big Grin,Roo Band,Hungry,Durian,Agua
4356,5.495,2979,59.23,https://magiceden.io/item-details/6PRBmsPCQn6FxyqHZDbg2V1RG9gYDKWmYPunpxZegyYU,Warrior,None,Glistening,Pineapple,Nyah,None,None,Butter Knife,Agua
4385,4.99,154,89.81,https://magiceden.io/item-details/9mGgthQUbCPpE4MYbmyin5Ygdr6HQSLLAq7oXiDT7Tza,Classic,FUD,Degen,Spinny Hat,Fried Eggy,Spiked Collar,None,Foosh,Starlight V2
4387,4.75,1077,83.87,https://magiceden.io/item-details/6YSmhEEJT5KdcRik43pwJZeCnbZiM5rWk46hhaaTwmd3,Badass,None,Sky,Black,Big Grin,Spiked Collar,None,Drumstick,Voodoo
4424,6.5,1979,58.22,https://magiceden.io/item-details/DCG6c69QNCAJZHR4BetJuzMXmBceUD1ZwFR34S4fPMCh,Predator,None,Eyeliner,Black,Classic,Box Armor,None,Heckcoin,Agua
