id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Eyes,Head,Mouth,Nose,Skin,Top
0020,4.25,3685,52.53,https://solanart.io/nft/9Z1zfwJCkEtFaA1EQDehQEJD7Sp2pGw4Ua6iXPSzwH6d,None,Brown,White,Black Fitted Cap,Bone,None,Black,Green T-Shirt
0026,2.63,4054,66.03,https://solanart.io/nft/97shp4JcDixgiHSaK6qV9rdR8UidkAUeJfRexwdRmnzh,None,Purple,Orange,Purple Fitted Cap,Mouse,None,Base,Cream Puffer
0176,4,4492,49.13,https://solanart.io/nft/D7hEEoJzd5Qc2UWiivk1QjwM8nPepAG6FsftbvkwfaxZ,None,Matrix,Blue,Black Fitted Cap,None,None,Lizard,Yellow T-Shirt
0279,2.59,2543,77.49,https://solanart.io/nft/3tmVvT1mrWpbnk4JxSyKMZejKya8UsC3eA7yDcY9Tdo9,Diamond Chain,Purple,Orange,None,Microphone,None,Blue,Red Tracksuit
0437,2.39,3713,70.93,https://solanart.io/nft/Gt72ewMaZEY7hnXnZd7Uqi6WNk9ieMBfYHo8P5ttsjaX,None,Orange,Green,Devil Horns,Blunt,None,Brown,Green T-Shirt
0540,4,3635,55.4,https://solanart.io/nft/3ydxmdc51a5ZzUUJnfdg2yJY96YNtuhdMQYaDnJ4gVF8,None,Sand,Red,Viking Helmet,Blunt,None,Purple,Blue Puffer
0801,4.49,2266,60.52,https://solanart.io/nft/ATorerGsFYzRgGQ9twdMQgK1SJDSGq4ckq1JPoWoMhiS,None,Watering Hole,Green,Black Bucket Hat,Mouse,None,Leopard,Cargo Vest
0807,3.1,3272,67.06,https://solanart.io/nft/45e2GSQ2BYRqasbZn6QHCN3HkehqYNTB2KP7wWeDKQAF,None,Grey,Green,Santa Hat,Stitched,None,Black,Construction Vest
0874,4.5,3049,54.69,https://solanart.io/nft/2YzJUeH5vxhkyfB8LXG3zGS1wnpDrq3Mpy1KiRqFNMCG,None,Red,Green,Fur Bucket Hat,Flower,Stud,Blue,Green Puffer
0881,4.5,965,69.94,https://solanart.io/nft/B6LdfqEiJg1JZQ15zYGsAxgEJvpDcqwYbTBvDbxrtbLu,Binoculars,Purple,White,Gold Crown,Microphone,None,Albino,Yellow Tracksuit
