id,price,moonRank,💎 score (%),storeURL,Accessories,Background,Celestial Accessories,Clothe,Eyes,Face,Hair,Mouth,Skin
22,0.98,8786,53.64,https://solanart.io/search/?token=8BQB7s6hc25bMyuWJDzttM5Sv6TKA9UkeVpHRRdXhn9Y,,Blue,,Ninja Vest,Fire,,Spiky Purple,Angry,Undead
27,0.7,2849,83.17,https://solanart.io/search/?token=366aYMR5bdxGWJzxrBxBTsgHoCwy8vDEjG3jvFFDmDar,Oni Talisman,Purple,,Jumper Teal,Nymph,,Dreads Red,Goblin,Kaisen
43,3,1184,67.67,https://solanart.io/search/?token=ARViJ9nqc77TgBS5GzMjXsJgiphctw3skBLB4VDY29mn,,Black,Scouter,Suit Burgundy,Bulls Eye,Ghoul Mask,Dreads Red,,Undead
68,9,163,12.27,https://solanart.io/search/?token=6hDwv5NXFGgNbMTrVrviLCRWyU9vPanofvPixqKfWCoQ,,Green,Cat Mask,Gangster Jacket,Fire,Oni Mask,Textured Rose,,Pale
110,0.34,7174,67.3,https://solanart.io/search/?token=4DQUjFLob32cdSRtWwZVGTBgQpXdU1xDMBz1Bxdu1NL2,Nose Scar,Green,,Suit Teal,Closed,,Textured Purple,Fang,Pale
111,0.6,5214,73.52,https://solanart.io/search/?token=7hYgQDNB1S8oLi6PUHtdxtoyVqrCUo47ifyLogMgn8va,Nose Ring,Green,,Skeleton T Shirt,Devil,Cigarette,Long Cyan,,Undead
119,1,7089,61.08,https://solanart.io/search/?token=HtTCSLbKEi1Wt31r7AJSq3dq7xAgxF1ALrmSR37nj4Uj,Cheek Bandage,Red,,Tanktop Black,Nymph,,Ponytail White,Angry,Undead
133,19,1800,0,https://solanart.io/search/?token=Fr5TbRAbREoYZtvNf7qLCFQhNAxw1YdTGeAh3dMH9GY6,Cheek Bandage,Yellow,,Samurai Armor,Possessed,,Dreads Teal,Shark,Tan
150,9.99,1097,0,https://solanart.io/search/?token=E3z4CdMwB9Mwrm2DyaXiGEM1q1v6LVyo5hGisN3aQxyx,Oni Talisman,Black,,Montsuki,Purple,Ghoul Mask,Goblin,,Tan
152,2.5,5017,55.41,https://solanart.io/search/?token=5g59gAvAe11ZGk9UBMKmHyTSDdh5dDGC8PRe8PuYVAdj,X Choker,Yellow,,Jumper Pink,Possessed,,Ponytail White,Stiched,Undead
158,6.9,2468,22.89,https://solanart.io/search/?token=AKGjGmYFF8RtP9JnLdTXVPZEsuimoJXKCUE6oGALTryv,Neck Bandage,Mystic Red,,Jumper Pink,Samsara,,Royal,Shark,Undead
159,25,3375,0,https://solanart.io/search/?token=4HEkxZBvfF1j49p2mkmnnH8kg3eGL4UcNSySQPTZ98Ez,Nose Scar,Green,,Slayer Uniform,Odd Eye,,Dreads Red,Shark,Tan
170,6,7020,11.39,https://solanart.io/search/?token=6qMWv6Xqv5oZV6Y7tX9n7PaSBCDCuGFjVWU7vKd84nBE,Eyebrow Scar,Blue,,Tanktop Purple,Samsara,,Ponytail Red,Shark,Undead
175,5,3735,36.18,https://solanart.io/search/?token=EvWa66yQvbYFtPwBfeSWhyeoyJ9caXggTAE416tqb3qn,,Yellow,Steampunk Glasses,Yukata,Devil,,Ponytail Green,Fang,Pale
186,1.98,5391,58.93,https://solanart.io/search/?token=BtYfBVqiGXknkPnJsPXqrrTERvhh2EfrjckP975hqTwW,,Purple,Nimbus Earring,Tanktop Purple,Bulls Eye,,Long Red,Shark,Tan
200,4.79,8213,18.12,https://solanart.io/search/?token=9Rsvwv62AtpYcb13T87hbMJLq3fJ4oZD6CA9Wb2Ecknj,,Black,,Hoodie,Possessed,,Samurai Bun,Smirk,Undead
203,3,3004,59.47,https://solanart.io/search/?token=FRc6Fs7SUcnYHcozEQSh3gRG7hnXaCZWSzm5WhzLsWZA,,Red,Hanbok Earring,Elementalist,Closed,,Spiky Teal,Neutral,Pale
213,1,8798,53.39,https://solanart.io/search/?token=4ZXikt9RHCGaj2fBBr28b22BQtSNXYNm3Yhdn1uCtPFc,,Blue,,Shirtless,Orange,,Dreads Red,Goblin,Pale
237,1.4,2992,75.53,https://solanart.io/search/?token=7CKGNfoSwKYmPod1LrES3YHthRw5KKvUGamzT7A8TjM3,Stud,Yellow,,Shinto Uniform,Samsara,Cigarette,Spiky Blue,,Tan
258,3,7852,37.65,https://solanart.io/search/?token=8bRqMfKWa3Ar1ZRPAYKRYTCscU69K7SbUsHJMbVoDjca,Nose Ring,Yellow,,T Shirt Red,Devil,,Man Bun Teal,Stiched,Pale
263,0.85,6737,64.17,https://solanart.io/search/?token=8eVeQBXc6s7AUH1YwuUkuCQvmxgf69JZ36NnVBLgfv89,Oni Talisman,Blue,,Jumper Pink,Samsara,,Dreads Purple,Neutral,Undead
297,5,6630,23.15,https://solanart.io/search/?token=FqFzjVmbPxTBzKLdz6rWk9jvtVqSiuQG9wxKK2ypkiZ5,Stud,Yellow,,Jumper Yellow,Closed,,Fox,Angry,Undead
311,15,8776,0,https://solanart.io/search/?token=7Gzekny83mZZNatSPtUT5Rnx1zaMzNg2oTPjBDRPF69W,,Yellow,,Tanktop Teal,Samsara,,Textured Green,Fang,Pale
