id,price,moonRank,💎 score (%),storeURL,Background,Body,Clothing,Face,Hat
13,1.6,2103,53.85,https://magiceden.io/item-details/23nUySsZY2QPvygwtMtLwpXW6xtmrKdNthnkACp5sn8R,Beige,Blue Kitten Skin,Red Bandana,Hearts,Pirate Hat
20,2,1164,66.88,https://magiceden.io/item-details/5aoHPMUbZSr2bX4qfYcdvv66EqQmAPHNUgyrMPxykA3Y,Blue,Blue Kitten Skin,Yellow Hoodie,Blue Shades,TV Head Face
29,2,860,72.4,https://magiceden.io/item-details/767yU4MEWeUQDzphC4GS2oB3qqrpPpga8s2eM9vNkU3j,Blue,Blue Kitten Skin,King,Sad,Blue Cap
35,69,1653,0,https://magiceden.io/item-details/H6d1j58hwZfKuLCoLMYH68VYwAETxHFuFRRJBVjSpg7c,Green,Blue Kitten Skin,Tiger,Sus,Pink Beret
42,8888,369,0,https://magiceden.io/item-details/9n9XrR3NM4bEFoLXtwmKt4U6fiWrBeFVPgZu42exT2tU,Beige,Blue Kitten Skin,Yellow Overalls,Beard,Candle Hat
47,1.6,1058,72.81,https://magiceden.io/item-details/9sGt1652NgzEj2HJpYHBV4HSDEJHMxTVTG2cB5CHHUSQ,Violet,Blue Kitten Skin,Flannel Black,Happy,Candle Hat
54,5,1896,23.61,https://magiceden.io/item-details/gpgATLxrt5MFDUSLQ6xdfJ74SAEVzYFPNd3Z8LXJgaE,Beige,Blue Kitten Skin,Star Shirt,Sleepy,Sushi Hat
55,1.13,2205,56.7,https://magiceden.io/item-details/S8Pj1d9UF1rAkxQDVNaLouHB5gyGu8UKvdJ7HinUvLR,Beige,Blue Kitten Skin,Suit,Sleepy,Ninja Mask
69,6.9,61,37.89,https://magiceden.io/item-details/5qhgj6cLZEHxqn2HMFbGkJzfRzvkf5J3ZZSZRTzn2fP1,Orange,Blue Kitten Skin,Tiger,The Cool Kitten,Golden Apple
97,2,2045,50.9,https://magiceden.io/item-details/DBsviLeZA36NJ6qA4U7e7Ej2dJSz4JxfLgKNdRTLaih6,Beige,Blue Kitten Skin,Mononoke,Sad,Candle Hat
117,1.15,1151,75.62,https://magiceden.io/item-details/9GAoJePqiDrUZxHPutePUaKEQH36Sh9gYVTWr4fVP64J,Pink,Blue Kitten Skin,Mononoke,Hearts,Sushi Hat
119,10.1,86,5.44,https://magiceden.io/item-details/AcbJfY15vHerryEzkAb34s7u6WtvSeAUQThicLtbwhcU,Purple,Blue Kitten Skin,Space Suit,Sus,Pirate Hat
120,2.25,1511,58.09,https://magiceden.io/item-details/DbyEQY1ZHF4VXt7KW9XY74ZftSgSZUneGz6kkhmAfoVQ,Green,Blue Kitten Skin,Flannel Black,Sus,Gold Rings
140,50,321,0,https://magiceden.io/item-details/AMyDpkZxJP5mRz6dR5wNNyGb7LbZAsFA4UWc3uP58Rq4,Violet,Blue Kitten Skin,Epaulette Cream,Sad,TV Head Static
149,5.69,1399,25.72,https://magiceden.io/item-details/Amm1mVj7DpjhUeTGZEsiTP4u5yNWDh6WdzXmNThmWBAc,Beige,Blue Kitten Skin,Suit,Blue Shades,Golden Apple
152,5,1505,30.7,https://magiceden.io/item-details/23pW2c1nSW1YFMbnQ2SBbEzNL7aCyg9FHACHjsKnyEWe,Orange,Blue Kitten Skin,Yellow Overalls,Devious,Red Apple
165,1.15,1552,68.35,https://magiceden.io/item-details/8E7k5Q3c94KKw9omweh63pK3a5D3c7NdpBc7EnFcChxe,Beige,Blue Kitten Skin,Flannel Black,Cat Face,Purple Flower
171,1.15,1961,60.93,https://magiceden.io/item-details/tgQ5UNVAKbbxs35rYUYNsK7mRPdPNh9DA5L5WpBJ1MU,Green,Blue Kitten Skin,Yellow Overalls,Devious,Pink Flower
181,1.5,835,77.85,https://magiceden.io/item-details/AQUj5uGDXTHUZm5FDTfGdWkJJve8DU52ikFjFod1D2W1,Pink,Blue Kitten Skin,Epaulette Cream,Devious,Candle Hat
