id,price,moonRank,💎 score (%),storeURL,Background,Body,Ear,Eyes,Head,Mouth,Top,Unique
91,0.35,415,86.89,https://magiceden.io/item-details/3LF3ZWCNGzK432FT6tEzneyN6ugMxnZpbkfipWrWrNUs,Yellow,Alien,Silver Earring,3D Glasses,Satgat,E Cig,Beige Kimono,
103,0.5,194,92.27,https://magiceden.io/item-details/EMPVSrWBUkxywnfM7HNBx8gMTZRSAK8A8nssKC2CAspU,Green,Koala,Silver Earring,Laser Eyes,Safari Hat,Ninja Mask,Pilot Shirt,
115,0.44,961,69.01,https://magiceden.io/item-details/Ff5RireZXFyZQ5SyE2eo4UDaYpCCEaCYGLinfLXUUqx2,Orange,Koala,Gold Earring,None,Teal Baseball Hat,Doctor Mask,Beige Kimono,
272,0.33,1018,68.34,https://magiceden.io/item-details/D6PpQjGKGDELSKn6nJkkzCf2zEnh5RBKmzWZVRePWfC9,Pink,Koala,None,Gold Sunglasses,Pilot Hat,Cigarette,Police Shirt,
365,0.38,1108,65.04,https://magiceden.io/item-details/4A2xyeWMDjwVUkqzGDNzhS7F1KJcdvd8kbNEfjRJtDy8,Blue,Koala,Gold Earring,Purple Sunglasses,Grey Fedora,E Cig,Teal Hoodie,
378,0.39,1037,67.14,https://magiceden.io/item-details/BPysA143wpmgXwgc2AiXrrpFXBaFLFjpFKmpYHHQc3gN,Blue,Koala,Silver Earring,3D Glasses,Red Baseball  Hat,Tongue,Pilot Shirt,
429,0.37,387,87.56,https://magiceden.io/item-details/6MTAH16VGYANdaMrP1sh6UdDNuaqmrKEHwk6FyrqoUib,Purple,Zombie,Gold Earring,VR Headset,Red Baseball  Hat,None,Firefighter Jacket,
469,0.5,725,75.75,https://magiceden.io/item-details/sZgxSvU1S4ydza62Yo2iwv2QBZRSLZ2ezR4WBv95tEg,Pink,Koala,Gold Earring,VR Headset,Safari Hat,Cigarette,Army Fatigues,
543,0.44,700,77.13,https://magiceden.io/item-details/DNLiDWb6hR2svLBwoGttxLo9MZHbiD6qPZWNi9sy8eBZ,Pink,Koala,None,None,Sombrero,Ninja Mask,Police Shirt,
640,0.44,1119,64.09,https://magiceden.io/item-details/4WB4g64uVndJk4pCC8ibyV7kJwUj2TEDmTpq4SN8NApP,Yellow,Koala,None,3D Glasses,Santa Hat,Cigarette,Construction Vest,
657,0.4,337,88.82,https://magiceden.io/item-details/HAeYgfrgRXfZAEPVHvK64fw3ZsH5v45wWJr6zS5NGQLt,Purple,Zombie,None,Purple Sunglasses,Ninja Headband,E Cig,White Space Suit,
685,0.45,638,78.96,https://magiceden.io/item-details/3oVKgN25xvLT8Hb6zmS6FoJ46N76yeEns5EHNa2rwXQn,Purple,Koala,None,Laser Eyes,Construction Helmet,Pipe,Brown Hoodie,
844,0.5,188,92.45,https://magiceden.io/item-details/JCDWPBPJwZBZRmDH9nKjYv2Xh2nPmXe2ZDQdeGiTbEap,Green,Skeleton,None,Purple Sunglasses,Blue Mohawk,Cigarette,Pirate Jacket,
884,0.375,509,83.72,https://magiceden.io/item-details/6yTPuJbz1x3x5HHkWL4Zoyin8exbTyFEfH5tpZ8P9h48,Pink,Alien,Silver Earring,None,Straw Hat,Pipe,Pirate Jacket,
910,0.36,770,75.75,https://magiceden.io/item-details/AaLtcubtB1Z6CB8y22ZSdEBE31CSbdgAuAvTgpYmFNQJ,Orange,Zombie,Gold Earring,Yellow Sunglasses,Firefighter Helmet,None,Brown Hoodie,
922,0.48,787,74.02,https://magiceden.io/item-details/8pEiDSaFiJ8ijb1ZU4Zch39Nju3wGYC1pi5PXMewN2UD,Yellow,Zombie,None,None,Red Baseball  Hat,Tongue,None,
992,0.5,181,92.67,https://magiceden.io/item-details/CT2QaxVbVm1aYzRoTzU5xopKj9rRuV4EyNm8eViw84sV,Pink,Zombie,None,Gold Sunglasses,Sombrero,Doctor Mask,Biker Jacket,
1120,0.4,443,85.52,https://magiceden.io/item-details/7af21KRqycRPG5z2tFEZ7M3nmdSjCGnBPVGBiwZVuGWj,Pink,Skeleton,None,Green Sunglasses,Sombrero,E Cig,Red Hoodie,
1184,0.35,852,73.3,https://magiceden.io/item-details/GDwUKWgs9HZFCY7UK4Zy7UCrbcy4KcTK5RyrTatG18Rs,Green,Koala,Silver Earring,Yellow Sunglasses,Grey Fedora,Doctor Mask,Pilot Shirt,
1199,0.34,1286,59.9,https://magiceden.io/item-details/AruDpYyPxwToKEW8HQnsXMQiKgRVse8o75L7qUQtYC2n,Blue,Koala,None,Purple Sunglasses,Santa Hat,Cigarette,Hawaiian Shirt,
