id,price,moonRank,💎 score (%),storeURL,backgrounds,clothing,eyes,head,mouth,skins,special_edition
Komodo Dragonz 58,1.4,791,63.8,https://magiceden.io/item-details/6uogEQt2xAVMqwKvZwLbaLLCZVSpWGjVmh2B8gwTmjPM,red,sleveless,aviator,nothing,nothing,white,
Komodo Dragonz 866,1.45,844,60.87,https://magiceden.io/item-details/4WNdLjzUW5GpxrLWJZqsUCsmMBo4ESNwZRLvotos8iYV,purple,nothing,cute eyes,nothing,nothing,green,
Komodo Dragonz 714,1.55,673,67.7,https://magiceden.io/item-details/Dc5RPZte3BiERFfXoyNd7Wms1JuFwYrzYA2BLRDEr9K8,blue,farmer,3d glasses,nothing,nothing,green,
Komodo Dragonz 751,1.55,208,88.98,https://magiceden.io/item-details/BuQGePBxBZPpRCEQ8dkNGCJzkDhX42BznDTbuxFinWKC,green,sleveless,regular eyes,winter cap,lizard tongue,red,
Komodo Dragonz 546,1.55,193,89.67,https://magiceden.io/item-details/HtKkeEATR2N8CZgHboaw518JNEBDptbQReePQKHAtmPZ,blue,sleveless,cyclop,nothing,lizard tongue,nebula,
Komodo Dragonz 254,1.69,769,61.91,https://magiceden.io/item-details/44yr2k1T3RwWjixaCejWYJ4yJrKRvnqveEzvpssoTrdh,red,baggie hoodie,regular eyes,nothing,nothing,white,
Komodo Dragonz 267,1.8,528,71.84,https://magiceden.io/item-details/6TApnGwtz3txovgxGLzdtHNFgww4bYrQUav5SrZrs14f,red,baggie hoodie,sunglasses,nothing,lizard tongue,white,
Komodo Dragonz 149,1.8,217,86.07,https://magiceden.io/item-details/4ZZdimBVrZ3yLNWmZeU5hyxMto8aUUEgeyBNvuRr9tuJ,purple,astronaut,aviator,winter cap,nothing,robot,
Komodo Dragonz 295,1.89,319,80.5,https://magiceden.io/item-details/CJwthk1pfUMMk611qzfvwgqvrtdBYVxiHjLBMQWe52aN,red,regular shirt,aviator,cowboy,nothing,black,
Komodo Dragonz 471,1.96,587,67.54,https://magiceden.io/item-details/4BhJ9mEvPGwfzeHunKhyaGtvhuRpnAC98vuTyjuJjRf7,vaporware,regular shirt,stoned eyes,nothing,nothing,green,
Komodo Dragonz 586,1.99,110,89.07,https://magiceden.io/item-details/DkJUseFhMF7stQdWqsNVrgRJCbFyPtvc5Do8wMy8yyQc,red,regular shirt,aviator,astronaut,lizard tongue,dark grey,
Komodo Dragonz 329,1.99,240,83.12,https://magiceden.io/item-details/9K97A5f2NcZ6hmHpkoUcic4tcYw7MFZ6ABjGknLThHor,blue,nothing,cyclop,cowboy,nothing,green,
Komodo Dragonz 492,2,131,88,https://magiceden.io/item-details/68Tz772mUauDWBsfNG7UMrspVoUqNR4BbyEXz6sanuDX,blue,nothing,stoned eyes,big brain,lizard tongue,white,
Komodo Dragonz 491,2,630,65.17,https://magiceden.io/item-details/Hz9Gi8v6idVRgNkwRxnabUxnqNUuS8sv4HzNwzzShy4c,blue,sleveless,regular eyes,cap,nothing,red,
Komodo Dragonz 64,2,743,60,https://magiceden.io/item-details/Dbhuj94zjCB5sjJvBJHBgBLMMg88unBV2MckEnvNptef,green,suit,aviator,nothing,nothing,red,
Komodo Dragonz 133,2,709,61.55,https://magiceden.io/item-details/GL8ez88jiFLd2FcHVkdbgkvg6QRmdGxbHAQP5uZQaGmc,purple,hoodie,3d glasses,nothing,nothing,green,
Komodo Dragonz 784,2,628,65.26,https://magiceden.io/item-details/8TBcmhKzFfNDv3JDoknrBJAbouQdGhYVyyn1FkYDmLUw,purple,hoodie,sunglasses,beanie,nothing,red,
Komodo Dragonz 130,2,92,89.79,https://magiceden.io/item-details/B93XeiwQQKUDdATrkrph6fEJ5V2SyMqQo2TmgaFzxMej,purple,regular shirt,cute eyes,nothing,cigar,white,
Komodo Dragonz 475,2,837,55.69,https://magiceden.io/item-details/C65uVTVMEbig7D4bn8n55P8wpkcVEkc2YjpcYaH4wwG2,red,nothing,aviator,nothing,nothing,black,
