id,price,moonRank,💎 score (%),storeURL,Accessories,Background,Body,Cap,Earring,Eyes,Hat,Mouth,Shirt,Type
23,1,2095,77.76,https://magiceden.io/item-details/2vY3vtEQW1PLQxFNq8V5P34dZtsgr8cLyz4HYcSw2JwX,None,Purple,Blue,Golden,Airpod,Laser Eyes,None,Grin,None,Light
101,1,1318,84.86,https://magiceden.io/item-details/GdnKg9Hogqtpq4FJYxQ9HGBDfcoNtM4SHxwHHKAxWRLv,Water Pendent,Green,Blue,Red,Blue Gem,Shy,None,Frown,Tracksuit,Dark
114,1,3717,62.95,https://magiceden.io/item-details/9NPM35kTTgfTz8oUjEtxTxk3G17Lz3CdruafjWmGERBz,None,Green,Blue,Red,None,Round Spectacles,Beanie,Beard,Gray Hoodie,Light
118,2,3452,55.37,https://magiceden.io/item-details/G3dnyhhUVDuV2otc4eJnd5uRAT565Wa9BYNvn3xiFASU,Fannypack,Stellar,Normal,Red,None,Normal,None,One Tooth,White Tank,Light
125,0.97,3351,66.59,https://magiceden.io/item-details/FQ82GUsW89xNsGBaH4Skxfxt68u8Fo4xPV6qW5MgdKSX,None,Pink,Normal,Solana,None,Big Eyes,Top Hat,Smile,Black Suit,Dark
137,2.5,2452,59.5,https://magiceden.io/item-details/GdXkXUBaCya5g5dLKryerKBaKLuN7kwUfzzSbLAzu3s6,None,Earthbound,Solana,Red,None,Holes,Horns,Smile,Biker Vest,Dark
198,1.3,2382,72.14,https://magiceden.io/item-details/4PtqmCTUkWZtU7dGZehzSXmQWVL6nUvjaGZb8xmWjyQp,None,Stellar,Blue,Red,Solana Ring,Round Spectacles,None,Sown,Mushie Trackie,Light
199,2,1280,75.21,https://magiceden.io/item-details/C6kXiMMDesr3AT67ZKcZthW5YdQpoxNm6YxA7bzSues7,None,Pearlescent,Solana,Solana,None,Round Spectacles,Halo,Normal,Blue Jersey,Light
208,2,4106,49.39,https://magiceden.io/item-details/EWC3udzJV2NokKJDEgnhe9r3CaGMDhdL1uJoX92tYbUM,None,Orange,Blue,Trippy,None,Holes,None,Joint,None,Dark
233,2.49,3552,49.55,https://magiceden.io/item-details/4RYXXR1tQsGUyNa52Z1vg6LbKYVFRLGNcrsjWgN6VKf2,None,Pearlescent,Blue,Red,None,Dead,Smoke Ring,Grin,Black Suit,Light
237,0.79,4239,60.28,https://magiceden.io/item-details/CzoJbnBiGAZcosPSXMAThKXJ6D1vGBnEjT1NHzoyAyKJ,None,Blue,Blue,Red,None,Round Spectacles,None,One Tooth,Gray Hoodie,Dark
261,1.95,3770,52.96,https://magiceden.io/item-details/DXP3jb4z21HFZJ78ErKJLhtFyc61Wvipt7vmCdcXyG3E,None,Pink,Blue,Red,None,Round Spectacles,Hippie Bandana,Smile,Yellow Hoodie,Dark
285,1.69,2187,70.02,https://magiceden.io/item-details/3jKBe6HfL16oNWKbccfzrqJVB9TqRefpCyyTsdo8Av3N,None,Orange,Normal,Golden,None,Zombie,Halo,Underbite,Simp Shirt,Dark
301,1,754,90.01,https://magiceden.io/item-details/At4GYFcG5FuicYEdnecT2yeuAknNZ7S1s79E2eW4mweV,None,Pink,Golden,Red,Weed,Dazed Glasses,Horns,Angry,Green Turtleneck,Dark
316,0.7,3223,70.46,https://magiceden.io/item-details/62M3HeWV8GYBwyrqUsQesjxL1Pka1r5GNREMv1ANVRdc,None,Purple,Golden,Robot,None,Trippy,None,Underbite,Green Turtleneck,Light
331,1,2051,78.17,https://magiceden.io/item-details/AbkVcLSeTT51QUaTbvRRa6p6jgP7Uui2GSNW8BZHyUF2,None,Blue,Blue,Eyes,None,Cool Glasses,Crown,Smile,Red Jersey,Dark
354,0.85,4135,60.63,https://magiceden.io/item-details/HfMwvSoLbtCQ2AZ3hGgC4RJoUsQ9aknbXDzxv7eE42tA,None,Earthbound,Solana,Blue,None,Empty,None,One Tooth,None,Light
360,0.7,2314,78.76,https://magiceden.io/item-details/5teCBZYdL2FKVo57mPvtyoyLdVs1jSg3GgfiZd3MQMTQ,None,Flowstate,Normal,Blue,None,Eye Patch,Juice,Angry,Designer,Dark
421,1.35,534,88.52,https://magiceden.io/item-details/BkXDPS8qeZZjeywLCo7bikFtMEvyFRTEkQhpvj9DMjLn,Fannypack,Pearlescent,Normal,Red,Airpod,Eye Patch,None,Overbite,Gunter Garb,Dark
493,2.7,301,77.15,https://magiceden.io/item-details/BcPczWMfTirkkYXNiMuqdbESKABrmpnEys4T9LRgCF4i,Gold Mushie Chain,Orange,Trippy,Red,None,Round Spectacles,Headception,Beard,Tracksuit,Light
512,1.2,1315,82.89,https://magiceden.io/item-details/2LAzssYyVCfAWHnydwJwaJYsuD3rXsGv6scevcWVJG7f,None,Stellar,Normal,Blue,Ring,Big Eyes,Biker Bandana,Frown,Plant Suit,Dark
549,2,106,85.93,https://magiceden.io/item-details/HU652puNSMBqCuDEJRwD2TJdgiqimTsUNNMgc9icpdg1,Peace Necklace,Pearlescent,Blue,Eyes,Ring,Normal,Crown,Frown,Biker Vest,Dark
551,1.4,546,87.91,https://magiceden.io/item-details/9nQAr8Rmjt8tVectNrLEiBB2vSwnkWjy52hrREfScKgD,Lightning Chain,Green,Blue,Red,Lightning Bolt,Shy,Top Hat,Grin,Yellow Hoodie,Dark
565,1.66,925,81.85,https://magiceden.io/item-details/gG6PX1KpnqDqUYq6XgqMfkt7UvKXpSFcLmKeSb3CdHV,None,Flowstate,Trippy,Solana,None,Lightning,Top Hat,Normal,Blue Hoodie,Dark
569,2.4,2186,62.93,https://magiceden.io/item-details/3W4zUCCCbPXXxLA9i81YEiKjbmvnPyVFbX6pjXKjUScN,None,Pink,Normal,Golden,Ring,Fire,None,Joint,Black Suit,Dark
570,0.8,4144,61.05,https://magiceden.io/item-details/GQh4y1Bapz21NL3NRUh8v9fSVFojGM9WeENhK8p2bZ5q,None,Pink,Golden,Red,None,Dazed Glasses,None,Mustache,Green Turtleneck,Light
606,2.5,3919,46.1,https://magiceden.io/item-details/9Wpm7p8AEZY1MpYwRw3gyWFWYEjC1HLrukgZusaghfhh,None,Green,Blue,Red,None,Melting,Beanie,Joint,White Tank,Dark
622,2.5,419,78.07,https://magiceden.io/item-details/Ai3SMpJfPdNvNMcaMLMBpWaRVSoTy7bBmpGGNWBjTfS1,None,Pearlescent,Solana,Solana,Blue Gem,Dead,Smile Mask,Monster,White Tank,Dark
628,2.7,2446,57.56,https://magiceden.io/item-details/4hiYmC72555nx9y2obShw2uJtKSPf2NACMPe8yfuNFNE,Weed Necklace,Green,Normal,Golden,None,Empty,None,Overbite,Green Turtleneck,Dark
631,1,3244,67.27,https://magiceden.io/item-details/9xzMNTuxRTFZ5NEMyiF9vq3MLz4Tjor4JEkPuWbEGKHg,None,Green,Zombie,Red,None,Melting,Santa Cap,Normal,Blue Hoodie,Light
646,2,1385,74.25,https://magiceden.io/item-details/Af2c2Jw8DBr3ZodRoFyoG4TUBv1RZJFrBwPowJFApVZe,Skull Pendent,Blue,Solana,Red,None,Normal,Crown,Underbite,Yellow Hoodie,Dark
652,1.27,2586,70.58,https://magiceden.io/item-details/99aB1va2KSCcH8n7TC4wdweSNLEuaF3ATjB8xySsSRPi,None,Blue,Solana,Red,Mushroom,Holes,Hippie Bandana,Joint,None,Light
653,2.3,1883,66.7,https://magiceden.io/item-details/J9TxdXyQzdrSdDXg29gZCog6JMesBuHLDrsgKAbsvr2D,None,Pearlescent,Eyes,Golden,None,Normal,Beanie,Sown,Red Jersey,Dark
684,1.5,1008,82.69,https://magiceden.io/item-details/GARuWF8njgHxbrHzWkSXGqyyxGzACcEyFkqSKGvbhUGC,Peace Necklace,Purple,Zombie,Zombie,None,Fire,None,Joint,Designer,Light
696,0.94,3646,64.2,https://magiceden.io/item-details/22YNMQJGDp1jbtuYyYza5uRTZEqEhUEdT3A4oy5sTeVy,None,Pearlescent,Trippy,Red,None,Big Eyes,None,Angry,Tracksuit,Dark
703,1,2812,71.21,https://magiceden.io/item-details/CKpSkVwKrxa2PteiDVRStuTPiUq219Rz7LaXdZJJVaog,Lightning Chain,Green,Normal,Red,None,Normal,Hippie Bandana,Goatee,None,Light
726,1.1,560,90.78,https://magiceden.io/item-details/9sgq8QSHFHqGCsdNMr4ohCCufDioBz6HGvgk8M8nLmTK,Lightning Chain,Green,Zombie,Blue,None,High,Halo,Angry,Green Turtleneck,Light
735,1,3089,68.68,https://magiceden.io/item-details/GVt4bDCwXaHc2wf1zv1rCBHQmShVWBCxr3xRY1zEysDP,Weed Necklace,Orange,Normal,Red,None,Round Spectacles,Beanie,Smile,None,Dark
779,1.8,594,83.47,https://magiceden.io/item-details/RHRuksTKeuqGa5j9DynfCKT8hPaLZYFK9t4trJsRGVP,None,Pearlescent,Normal,Red,Weed,Eye Patch,Fire,Laughing,Mushie Trackie,Light
793,2,219,84.9,https://magiceden.io/item-details/2vZrdS1wZoU8jmfg7YFuu9sYdHe4qhw5WDQf2FDNsssP,Water Pendent,Pink,Normal,Robot,Mushroom,Round Spectacles,Smoke Ring,Smile,Tracksuit,Light
