id,price,moonRank,💎 score (%),storeURL,Accessory,Aura,Back,Background Color,Body,Ears,Eyebrows,Eyes,Feet,Hair Color,Hair Type,Head,Legs,Mouth,Race,Racial Variant
26,2.5,7999,56.39,https://magiceden.io/item-details/6gFvHmh4eq5TsvRsmxuJLrRz45zKmhaG6wbHDiXtCtQV,,Yellow Leaves Aura,,#9641ff,,01,14,10,Tall Brown Boots,grey,11,,Yellow Baggy Pants,04,elf,
67,2.5,7644,57.82,https://magiceden.io/item-details/3TvPRWtrSj6GvH1Ci88hLTBzVc7dWsoBUT84iGPXvnHe,,Party B Aura,,#383838,,02,10,28,Green Sneakers,black,28,,Blue Shorts,03,orc,
76,2.4,2053,81.26,https://magiceden.io/item-details/7z4ag7wiWNHo29Lt9HPkWjZnFZ8DGQRuMz2yriQwYjHk,,Yellow Leaves Aura,,#232234,,03,01,31,Blue Flip Flops,brown,33,,Blue Baggy Pants,03,lizard,01
77,3,7066,55.14,https://magiceden.io/item-details/9SWic8yPyy5aUSh42dDNr7dQ7xCevqh4JhDNP2Z6BH5r,,Yellow Leaves Aura,,#85e8a9,,03,18,19,Pink Flip Flops,red,34,,Blue Baggy Pants,02,human,
107,3,770,80.41,https://magiceden.io/item-details/4QcvPgnL8r4oZ7GC88QXzPTJoPgHk8JYFrryvc7BtWjD,,Purple Stars Aura,,#232234,,03,03,19,Red Flip Flops,red,36,,Black Bikini Bottoms,02,lizard,01
181,3,5497,61.43,https://magiceden.io/item-details/8byYDpGrtTmqB8qbp15nKRV2iwDGiD3kYZGqu1xoAj47,,Rave B Aura,,#14c078,,02,06,24,Purple Skate Shoes,grey,36,,Long Light Blue Striped Skirt,02,lizard,01
258,3.4,8649,44.78,https://magiceden.io/item-details/2vW132J3Y4E6Y8t3oD4P9DBfMBy7Q9zncr9Bibu896VW,,Green Sparkles Aura,,#7158ff,,01,19,30,Purple Skate Shoes,grey,35,,Khaki Cargo Shorts,03,orc,
270,2,7995,61.41,https://magiceden.io/item-details/83G2cNCYhBxRMEjcfkiLNq3oTbWDfk5diiKbXJkkGQcu,,White Stars Aura,,#215ae8,,01,20,06,Tall Green Boots,red,04,,Gray Shorts,01,lizard,01
278,2,4250,76.44,https://magiceden.io/item-details/5dtg7mk8cCYkSKY2TnAWwNZQnwrtz2tTFQCrGXqDnyxk,,Pink Hearts Aura,,#85e8a9,,03,12,19,Brown Flip Flops,blonde,36,,Pink Miniskirt,02,catfolk,04
279,2.5,4635,69.89,https://magiceden.io/item-details/DJ9VyU8ydmddcU5gxeDZDyLu9HYLbxkbU41qxQMtXabr,,Red Leaves Aura,,#9641ff,,01,14,27,Brown School Shoes with White Socks,blonde,33,,Green Leggings,03,elf,
