id,price,moonRank,💎 score (%),storeURL,Background,Button,Clothing,Earrings,Eyes,Fur,Glasses,Hat,Mouth,Necklace
0153,5,7278,43.88,https://solanart.io/nft/CxzsHFxeR5saBSUqJWi1o4socyApjQ4hBBQiCKwtqWZ8,Light Red,,Buttoned Shirt,Stud Silver,Bored Eyes,Cheetah,Round Glasses,Backwards Hat,Sideways Smile Mouth,
0166,4.8,2496,65.01,https://solanart.io/nft/E24d4CvNr7634sVyVph3x5CBcVyZxgK65DDBk1EqnxVe,Light Red,,Hoodie Black,Diamong Stud,Bored Eyes,Blue,Clout Goggles,Bowl Cut,Sideways Smile Mouth,
0195,3,3377,79.49,https://solanart.io/nft/AifquepxnL3p9AR5TVetmALLu1F4A98GmW1YvtsLyVF6,Light Blue,,Robe Cyan,Stud Gold,Bored Eyes,Brown,Eye Patch,Cowboy Hat Brown,Angry Mouth,
0261,4.5,8663,43.33,https://solanart.io/nft/B3JABF6v27b6wrfqVChWJbpihnapQKBFB5YLUzFpTDco,Light Blue,,Tie Dye Tee,Stud Silver,Bored Eyes,Brown,Clout Goggles,Beanie Red,Angry Mouth,
0324,4.2,6422,55.3,https://solanart.io/nft/wBWdh2UMtjHWynv5iRRMdR6mEHtTP1YXoF1uaDkuXxq,Solana,,Polo Yellow,Ruby,Round Eye,Grey,Wayfarer,Beanie Orange,Sick Mouth,
0411,4.2,8485,47.05,https://solanart.io/nft/BVsdY8vkDcgzc9cFXTyX1BGvqk7CDTQ2dWdq2ERz4Hyp,Rainbow,,Jacket Brown Tee White,Stud Silver,Angry Eyes,Dark Brown,Clubmaster,Wack Donalds Hat,Squigly Mouth,
0453,4.8,1732,68.07,https://solanart.io/nft/2u8DMxk4sS179Ke33aY31hBfXGDQ1J5fARLSdeF7nzjS,Light Green,,Jacket Red White,Stud Silver,Bored Eyes,Brown,Clout Goggles,Cowboy Hat Brown,Cute Mouth,Degen Ape Necklace
0587,5,7548,42.8,https://solanart.io/nft/8rARfDfjCirW8b2Auqm7ZVLw7a4AjQ6Qk29grQ7FYQou,Light Green,,Police Uniform,Stud Silver,Angry Eyes,Dark Brown,Clubmaster,Wack Donalds Hat,Squigly Mouth,
0624,3.75,5047,65.3,https://solanart.io/nft/XHvG1VTb8wpFdMRLf7rZcJkfcfSBQN9GAaY5jkVBvwA,Light Green,,Plain Black Tee,Stud Silver,Bored Eyes,Blue,Eye Patch,Beanie Red,Angry Mouth,
0989,4.5,3827,62.69,https://solanart.io/nft/FufdRCydd7kGTi1kEjq5bVS7LMyKg7k8sjZ8o9YdGFKp,Light Grey,,Robe Green,Cross Silver,Closed eyes,Black,Solana Glasses,Pirate Hat,Covid Mask Mouth,
1017,4,4788,63.84,https://solanart.io/nft/7ftTNwuiM7rpaeTjiwv2qSF7kDxc3SGuRy2jgtkuwFc6,Light Grey,,Sailor Top,Cross Silver,Gold Laser Eyes,Black,,Pirate Hat,Bored Mouth,
1159,4.9,1318,68.73,https://solanart.io/nft/2Rte56vxyLLmZJ6BioVe68sjsPNxDjE3qizAQTxa6nzR,Light Blue,,Robe Cyan,Stud Silver,Hypnotic eyes,Brown,Clout Goggles,Heisenberg Black,Angry Mouth,Degen Ape Necklace
1280,5,2218,64.12,https://solanart.io/nft/8PAj1rqZLKN8mK8xQf7X4W7YLtZ8UU6rA841pj13VSid,Orange,,Wack Donalds Shirt,Stud Silver,Hypnotic eyes,Pink,Eye Patch,Horns,Squigly Mouth,
1402,4,2010,74.96,https://solanart.io/nft/B7ZTxej5ET1JqdKSsd8QArq1fZCLCActfuHoFWMx6Jmj,Orange,,Jacket All Black,Solana Silver Stud,Angry Eyes,Pink,Gucci Glasses,Yankees Hat,Squigly Mouth,
1739,4.6,7683,46.26,https://solanart.io/nft/24ii6dEV9Lk1m7dd7kpV4vmVeawXiSCdviNCEhWxUqhX,Rainbow,,Hoodie Aqua,Stud Silver,Bored Eyes,Cheetah,Clout Goggles,Fisherman Cap,Smile mouth,
1903,5.1,8439,38.23,https://solanart.io/nft/G4a8f6mSVv7RDXn4yCUmmaxv9ivpJfRQAYkQkMFcC8nL,Gold,,Polo Blue,Cross Silver,Closed eyes,Black,Burberry Glasses,Top Hat,Smile mouth,
2081,4.2,7650,50.39,https://solanart.io/nft/J2cHemDD31QuZiAyBp8EAQhN2s6eTYmXjURi6a5RUiZU,Light Green,,Tie Dye Tee,Stud Silver,Bored Eyes,Brown,Clout Goggles,Beanie Red,Angry Mouth,
2085,5,4161,56.35,https://solanart.io/nft/CX8U8MiaWazaA7CZSVdopLyzP3xfwpvusWvbs1EWTCNm,Light Yellow,,IS2Sol Tee,Cross Silver,Solana Eyes,Zebra,Wayfarer,Beanie Orange,Sick Mouth,
2152,4.9,4719,55.12,https://solanart.io/nft/9tzjUkBD4nd5Fz5Juc1p1wqbBqatKurETVDm5ULAahGV,Light Blue,,Turtle Neck,Stud Silver,Bored Eyes,Cheetah,Eye Patch,Beanie Blue,Angry Mouth,
2394,5,9061,36.74,https://solanart.io/nft/GybbcT2RuhNwZi9PQnGdvNzXJqkxmFovrYryqGKh894A,Light Grey,,Leather Jacket,Cross Silver,Closed eyes,Black,Round Glasses,Military Hat,Smile mouth,
2401,3.75,2241,76.53,https://solanart.io/nft/CFc81hJ7cDiWQ4ASYnbxwwXs7D1BXKafZ84uJmNdaAy1,Light Blue,,Hoodie Aqua,Solana Silver Stud,Bored Eyes,Cheetah,Eye Patch,Afro,Angry Mouth,
2453,4.25,7293,51.32,https://solanart.io/nft/DABCQwwUCDRxx4fDG15DSQ5zhUpuRWzZcgsKbneKK9Wq,Navy,,Jacket Orange White,Cross Silver,Solana Eyes,Grey,Wayfarer,Beanie Orange,Sick Mouth,
2463,3.95,5984,59.55,https://solanart.io/nft/3QPATewdTHDkLB1REKrjwTeKQ6Ugnsoa2sGfwLXyhb9u,Light Blue,,Plain Black Tee,Solana Silver Stud,Blue Laser Eyes,Brown,,Coffee Hat,Angry Mouth,
2514,2.99,9878,53.57,https://solanart.io/nft/DxemZovfSwzQJx1ZdS6UpCQjVTtnBsrAvLFptNzyrKac,Orange,,Jacket All Black,Stud Silver,Angry Eyes,Dark Brown,Clubmaster,Fisherman Cap,Smile mouth,
2535,5,1731,66.07,https://solanart.io/nft/4VwigMBDGBxQcUNMBzTbuLXr8eiDzw8YzebEi2obBiU7,Light Red,,Medical Robe,Solana Silver Stud,Bored Eyes,Brown,Clout Goggles,Blue Visor,Mouth Juul,Degen Ape Necklace
2572,5,8644,38.41,https://solanart.io/nft/4je4wgxg7te36fmEZnoW76z17eZdYdsTqPArKzn57xeE,Gold,,Polo Red,Stud Silver,Bored Eyes,Blue,Clout Goggles,Backwards Hat,Sideways Smile Mouth,
2766,5,5456,51.17,https://solanart.io/nft/4wYR6YYMajrBYf4bvjHPiemwvdGzoRgrn6dWR2WPCpHE,Gold,,Buttoned Shirt,Cross Silver,Closed eyes,Tiger,Burberry Glasses,Backwards Hat,Mouth Juul,
2906,4.5,4127,61.49,https://solanart.io/nft/CbLM1boz6DqQg9jQ6c646DjfnGRnrFNBG8JxktRxAhfL,Gold,,Polo Red,Cross Silver,Round Eye,Grey,Masquerade,Military Hat,Smile mouth,SMB Necklace
3258,3.94,6927,55.88,https://solanart.io/nft/CSAdGngpAspm1rkAQC1U79vmrBUEeS7MMxPU1tFKNBd9,Orange,,Coffee Apron,Stud Silver,Angry Eyes,Dark Brown,Clubmaster,Gatsby Hat,Tongue Out,
3330,4.5,8621,43.5,https://solanart.io/nft/BNFpaJhgygoGUEwDDe5Dadchc6wesAU9APyCqncBwYzQ,Light Yellow,,Hoodie Lilac,Cross Silver,Round Eye,Zebra,Wayfarer,Military Hat,Smile mouth,
3344,5,9290,35.83,https://solanart.io/nft/3PvmfWGR1TMAn2GDtfMQbDDJFETPry818D8pAmy4Ebnp,Light Red,,Hoodie Black,Stud Silver,Bored Eyes,Brown,Clout Goggles,Solana Backwards Hat,Smile mouth,
3345,3.69,9028,49.97,https://solanart.io/nft/ACwfkREZGRdRUZUd12YMMCkA3gC6Tg4EQsJDV3Gxhh2h,Light Yellow,,Jacket Navy Tee White,Cross Silver,Round Eye,Zebra,Wayfarer,Coffee Hat,Smile mouth,
3354,5.2,6466,45.13,https://solanart.io/nft/EiSCf4m8ZmB1UiLtDxLZfgh7QQtMwxUd18WmsVQe6Ra,Orange,,Jacket Brown Tee White,Stud Silver,Angry Eyes,Dark Brown,Clubmaster,Curtined Hair,Tongue Out,
3600,5,3682,58.27,https://solanart.io/nft/64Jfzj6f6UKiDP6Ef2NpcpZvx29FcXXsLf3SGC1FM3iB,Navy,,Hoodie Yellow,Cross Silver,Gold Laser Eyes,Black,,Mohawk,Bored Mouth,
3640,3.4,9996,49,https://solanart.io/nft/CQbRtYNbjvB7kvWoHZ9bnVMBBzTKtDqFx5j96sLSEQKx,Light Red,,Hoodie Black,Cross Silver,Round Eye,Grey,Wayfarer,Fisherman Cap,Smile mouth,
3772,4.29,2245,71.12,https://solanart.io/nft/EMsVeYbNBdjZRFrWyyxbgS5vxrNqDgfaSKvsp1Fz3krg,Rainbow,,Back To The Future Jacket,Stud Silver,Bored Eyes,Blue,Round Glasses,Military Hat,Pizza,
3782,3.7,5437,64.24,https://solanart.io/nft/H6XonzEntPPEaxW6Tfr4jVsgP5BE9YtftW32SM13xRzc,Light Green,,Plain Black Tee,Solana Silver Stud,Bored Eyes,Brown,Clout Goggles,Afro,Angry Mouth,
