id,price,moonRank,💎 score (%),storeURL
1,0.77,211,87.63,https://magiceden.io/item-details/4smDp38SamMRArUyCaKjVZLaBZikYVyaYBh3gLwNw5Kw
11,1.75,941,51.31,https://magiceden.io/item-details/325ZHkdixT14DrvwwTHwJpAjGYYg2UR4TBRtwx3crJUL
18,1,239,84.32,https://magiceden.io/item-details/DmVtrVBNFr7EB1Y7Bh6Q37SQzFEsnD72Eh28kTPaaZ7A
28,1.8,238,76.35,https://magiceden.io/item-details/Fd48ig8spVpsAzq7kAzMgtwLeTH3vdKnQG7hMRvHspfM
30,3,286,62.61,https://magiceden.io/item-details/2mP3fwadzkskci4QzTCmfeUxrYJqYDBP6XGo4gQYDRQR
69,1,313,81.63,https://magiceden.io/item-details/8D4vN8gZafM2LGPzdUT6Lrixnx17M4N8582ncBmkmt7U
77,0.8,796,66.08,https://magiceden.io/item-details/6Gsjictr5uq9puXs4faZA5d7NyuQwU2bB61KqbAtUBBh
78,0.9,1096,54.18,https://magiceden.io/item-details/Ep49ykgU6pXDiN5sscm3XSQsnuGw6nSWDfkXmbC3pVHx
81,1.19,92,87.76,https://magiceden.io/item-details/DzeKNcAN9zQHr9eVDVn4TnQn3gBFeVnKsJpkkTWBKCiF
132,0.9,997,57.78,https://magiceden.io/item-details/6wJhJYYBQJjp5KiNLfLZ81BxGND5teUN1EDnNJ4MQPRy
144,2.2,486,63.34,https://magiceden.io/item-details/EmLV3wWMbHmqVUvP7oZgRnj7mNHZESM3QDh9DmajU9i6
148,2.2,611,58.8,https://magiceden.io/item-details/72Jw2eEo6jB8shbnc2c6sw2omnFBwLfqqRdfM7PVn2KP
183,2.2,367,67.67,https://magiceden.io/item-details/CW5q4WqewrBGLSMEhFDoLU93jATVCChFHTAchsf99m5E
195,2.5,291,67.43,https://magiceden.io/item-details/6gTMvfMMr7EDrXesTUFBqHVj3dCYeMTGALV2LKgn4hjx
197,0.35,229,91.18,https://magiceden.io/item-details/FxAcU8qzEU9zQeGsDkDXsNjSPSL8GMW7fDzQy4SeVSzs
209,3,470,55.92,https://magiceden.io/item-details/CbdhNPw4Fki5oNWsnSNLHDmicNvsFPT4LsxZizgXF1rN
244,0.6,1076,57.91,https://magiceden.io/item-details/46Dy4TeiUWhpvvpSsyv3kk9GSpQSGCYZX6HTVAoBus6t
258,0.99,1090,53.5,https://magiceden.io/item-details/4nHJvhEE1z22aojZdhXhdn1iyabqoLbFsjMQwwH7Lkc8
308,1.1,194,84.95,https://magiceden.io/item-details/6toDdDAX9qm9JgRr1ZSPieYCGaeo9keYgUWtVALhaizY
317,1.15,684,66.65,https://magiceden.io/item-details/7Swx9V5CWsf9WNuYhLJA96JN5MoazoTrGWTsfHoEL8k9
329,0.6,445,80.83,https://magiceden.io/item-details/BpcKnP4ZYxtJkiyuFp3G88Jws4wHE2hAhPG8VpNEDncU
343,0.33,222,91.63,https://magiceden.io/item-details/531nkaS7SnyRRrQNonHYyRKpbwSyZxu5kk2xV1s166jj
361,0.85,1010,57.81,https://magiceden.io/item-details/6VDLjZ4ppHkFyVtQmkCetMStbC6gBY5VYY3tdVBpsHei
374,0.3,869,68.43,https://magiceden.io/item-details/7icrndRQyYGgvab5fvBJgPzMLT3JTEX9VZw4gDCRXKui
380,0.8,1078,55.84,https://magiceden.io/item-details/CtjP6uTwAtrGC4LFpaijFhdfzjXDSbU8k3b3YQodBXDW
412,0.44,290,88.06,https://magiceden.io/item-details/DztPd6S8GPKAgpRqdPX7rjRNqzRfzEtoNJnQqC9Sx39P
416,0.44,153,93.04,https://magiceden.io/item-details/DTGDT83azVMVU183cunxo5fDDzyMjnNAnGddWEsNiMeg
430,1.6942,140,80.97,https://magiceden.io/item-details/FUhyaVLibC8Ns9B5wB4c8QdZ99u7tDMFnj63dvq4qLKt
442,1.2,932,57.14,https://magiceden.io/item-details/7p4dNSCTTb3Ck9HwS1aKTX39WhiYBLnJCYq9HF2K4w4d
469,2.4,97,75.48,https://magiceden.io/item-details/JCZWEMq5wSD2cRgjDTSnDXfuHTAE5bdNYhK1w55PT8sC
500,2,917,49.68,https://magiceden.io/item-details/9zAUcxntC8nyRq2FAj5Z1Lg5JyYMYPUyuhoVUsXJUuiZ
501,0.4,379,85.23,https://magiceden.io/item-details/H8PUch5CQx8Bhu2fFYccz9xh3oHfPVaHCBLYJQi9S1SJ
513,3,22,72.2,https://magiceden.io/item-details/4GvCaCGkhTuxkWrTQyRGwWU5ZjeL3zY5oDqJmZRwdsx7
516,0.589,1022,59.98,https://magiceden.io/item-details/4f9fefYwwT3TxbwvsQpVEPaGGYRJfL4KEtLVR6mgQQfd
518,2.12,454,65.31,https://magiceden.io/item-details/HYFnqXvZFZfTwD4BsnYMDp1Zf29YX1AX7UDCx9VyxrxN
549,1.4,329,77.05,https://magiceden.io/item-details/DmV5hEdLFCsjcUjxKsg5F8agYLwVmZDqq2XUGZRPTgy2
554,0.69,419,80.88,https://magiceden.io/item-details/GqGg1JmwJuwfC8ZHHDMRhaZKqvkLePgiWo2Fbu93Tsbe
555,2.7884,226,66.91,https://magiceden.io/item-details/EdxLcYpjXErKG3ZF9PEYamknjs93yrtksph3mjXoscUp
578,9.6,1008,0,https://magiceden.io/item-details/J9cieN6DSQm2U6jGc9dHGZCZqRVJKGkwdWEkA9hbGToZ
587,4,502,44.76,https://magiceden.io/item-details/3T1VtG8o4hNwavs91VKcJWfyJDZj82Jzgna6oEYHFLaP
603,1.37,714,63.36,https://magiceden.io/item-details/5aHc3sFDNjti8p7xJEWL9G28gBMvjEkR95WHcFn9UCc9
607,4.3,815,30.39,https://magiceden.io/item-details/9e1mGdaa7XbEDginfbCQVY1PMGwsnF2LGGPY9RL7DiqS
648,1,561,72.62,https://magiceden.io/item-details/4S38hyYyEp5rWhWs2nnrQHaXNZBPp5nNyJhmoeNb8bgv
652,6,772,14.95,https://magiceden.io/item-details/GLQNrm7J4mefn6pPpAgUEx8ZcjWdPJgdsJbx3Ya9Fajx
682,3,266,63.34,https://magiceden.io/item-details/G1NyrgFNRo9izbHoLtdGJi5nxr7ZNquUBgpwCLBBT6T2
685,0.44,98,95.04,https://magiceden.io/item-details/Wq8VmP8XwUVcBtX17EquYM3kM1iUyziUksudvytBz4d
