id,price,moonRank,💎 score (%),storeURL,Back,Background,Body,Clothing,Eyes,Hat,Mouth,Neck
589,1.5,3139,78.83,https://magiceden.io/item-details/GKh5aYYvq6uRe5EZXZPPc4J6f6uFuP1xGMA3kebPRG1P,None,Moon,Albino,Black Logo Tee,Sleepy,Cowboy Hat,Sad,None
826,1.6,3683,74.16,https://magiceden.io/item-details/4DVzgPkgek1cizij64FM8jA4rPPhegp7ddQYUpFfTvaE,None,Sand,Blue,Green Jumpsuit,Blank,Banana Headband,Rose,None
959,1.54998,4972,65.97,https://magiceden.io/item-details/DJAnG7KTgwbrykzi58zQVrpY7g6zyFnYbJ1VkmEPCqii,None,Mint,Pink,Baby Blue Vest,Cross Eyed,Pirate Hat,Smile,None
1028,1.54999,3395,76.6,https://magiceden.io/item-details/58qfUh98Hw6A1qycWQJX7CXMzZMbiVdEYv2GzdKdkF4H,None,Orange,Red,Black Logo Tee,Sleepy,Fez,Cigar,None
1037,1.55,5853,60.03,https://magiceden.io/item-details/AV4t1YfcMJCLtQU1PtLaKC3nCDBsn5kUazq76PpnFCMB,None,Steel Gray,Blue,North Face Puffer,Sleepy,Japanese Bandana,Rose,None
1300,1.54201,5428,62.97,https://magiceden.io/item-details/9hWHeneSQuvWhtG9HLYsWhcx5eye85R1cRXjK55vbCqC,None,Sky Blue,Red,Wife Beater,Surprised,Military Boonie Hat,Grim,None
1347,1.6,3073,78.27,https://magiceden.io/item-details/5tDYACfFBb1fjfLmbP9gJG6P2BrAms5Afe4rFBpSW5qn,None,Fine Gold,Blue,Black Logo Tee,Black Eye,Chef Hat,Grim,None
1410,1.6,3181,77.55,https://magiceden.io/item-details/99vkb9XKQtNURYJhWyBX9YcGKezqUaKc8mFyHKuUAaMW,None,Mint,Zebra,Captain Black,Sleepy,Oxygen Mask,Big Smile,None
1695,1.6,3640,74.45,https://magiceden.io/item-details/HLhZDh47hmRsWQt6K49P5jiwNK9SXisTZuuiJMEchVnh,None,Lavender,Brown,Drug Rug,Fire,Orange Beanie,Tongue,None
2182,1.5629,3969,72.6,https://magiceden.io/item-details/FuQudPfpPiuUteWSsS9RrRze5sJfXpPkBZdRcvjB7ySD,None,Sky Blue,Blue,White Turtleneck,Blank,Pirate Hat,Grills,None
2217,1.55,5092,65.16,https://magiceden.io/item-details/CpMm1A1T73UhzKh4SmS5Nk3Fv6RhGw1HqTeZUsyA4FRA,None,Orange,Red,Ramp Vest,Cross Eyed,None,Money,None
2428,1.59,5323,63.2,https://magiceden.io/item-details/4283e7XP6vJrddsFMo5eUtigJWvhPLst2dMTvt8597Hp,None,Remove Before Flight Red,Brown,Drug Rug,Red,None,Grim,None
2430,1.5,3766,74.6,https://magiceden.io/item-details/J6yDXqQvosQAb1hvuNUunyqMK8MMMtAFJCYB6KfDYLXw,None,Blue Banana,Pink,Captain Black,Cross Eyed,Military Boonie Hat,Big Smile,None
2435,1.5,4913,66.87,https://magiceden.io/item-details/4YFnQ78oFg5XBPF95NxdZmGAz64SrSYNBCSZfir2RdiG,None,Lavender,Red,Coogi Sweater,Angry,White MHAC Headband,Big Smile,None
2537,1.55,4189,71.25,https://magiceden.io/item-details/vX99rChQbdC4uRXd6xacGKdg4AP6D9j4cAETKjYHYE5,None,Arrivals Departures,Cheetah,None,Angry,Oxygen Mask,Grim,None
3070,1.544,5931,59.56,https://magiceden.io/item-details/rwpXmo3kkz3CShF1gXBnZH2dQKXsk97ox5NmkghV3DF,None,Aviation Red,Blue,Flotation Device,Cross Eyed,None,Fangs,None
3086,1.6,2690,80.86,https://magiceden.io/item-details/CLRAjzJqee13NuhGhfvFD1a5a1F613arCHCaoZbvoVAV,None,Deep Water Blue,Brown,Drug Rug,Solana,WW2 Helmet,Sad,None
3664,1.55,5286,63.85,https://magiceden.io/item-details/G5a1tcBUfCJvhyiBic3vgUd74UzTkrwwYdd2uMGXR3Zh,None,Fine Gold,Albino,Brown Mink,Angry,None,Fangs,None
6127,1.5,2953,80.08,https://magiceden.io/item-details/7okNwogB8uKkKzDbkPe5Gd35AprvVWVZ3rFtMJLseqxs,None,Yellow Banana,Cheetah,Dashiiki,Sleepy,Orange Beanie,Fangs,None
