id,price,moonRank,💎 score (%),storeURL
6,95,NaN,0,https://magiceden.io/item-details/F7qSnrahd3gzxYWprLFoL9D9JwGArt5UNPFmsA9y9LTC
16,50,NaN,0,https://magiceden.io/item-details/34BFxmsfbV4gd6BPfju8qvSiDC7yBPwE7Bk6aKHtEpjT
17,41,NaN,0,https://magiceden.io/item-details/5grD89qFFyHXLvG2YLo3Xq6r8Hc82zhANNAvJbExaW2U
18,500,NaN,0,https://magiceden.io/item-details/8gxLGq3R4C2YQu84hvNCTdS8zbaqeFAyiZsNDR3CuWnb
23,121,NaN,0,https://magiceden.io/item-details/3SvDxF1ra8YhQWLxEKTquQC4H8MAcvxDxZNBsx4P9YTP
51 ,60,2103,0,https://alpha.art/t/BjihGKoPp48xn275auMDbumw8TsoS6Xz64S6KHTwkcwN
56,78,NaN,0,https://magiceden.io/item-details/3HDP8DaXwQ1cMvoVGnK3fTz4shcChjyry8CJTZKwUc6g
69,60,NaN,0,https://magiceden.io/item-details/FoDGuTi4R3aQPoakVMU19Ba7hBu2mDnKQmCa6M2AVi8Y
73,80,NaN,0,https://magiceden.io/item-details/FJmmX4DVB9nFMymFwWtQUv7owvpJbuHLtrN1awf6B87n
113,70,NaN,0,https://magiceden.io/item-details/5QNvZWzQuneC6XdnbHNBESv16CA553EZQGuung76aHPG
116,48,NaN,0,https://magiceden.io/item-details/BQuvijsWmE61ezBs2biySkbyrcE4sVytAGb59xNXfUze
128,400,NaN,0,https://magiceden.io/item-details/2iBBg7yjeM44PHHzpgC4wvoTwyeKt7o31T3zFqt88Xyt
138,55,NaN,0,https://magiceden.io/item-details/94uxA8CAinGz78XsvxpFNzhAycapjbcKfuSsGfpeSrxG
142,45,NaN,0,https://magiceden.io/item-details/ACrAusxKgRWk8KCvfYZuZHZ5SDpdtuRV1MWfWPodKjXS
145,66,NaN,0,https://magiceden.io/item-details/7FVxeqAAiZDenrC77373uwjF4xCZ5aiqn1SG1wsbxiJE
154,88,NaN,0,https://magiceden.io/item-details/2je14iLsNGKG92i8iSX1kTQHHNUBQoQyEEbWdnefY9Gd
155,59.69,NaN,0,https://magiceden.io/item-details/B4ZycUb4TrCg6ZhzWcPiMaYi4rrcPXVfaYSQnboBFqor
168,60,NaN,0,https://magiceden.io/item-details/EDMqNMYP3cDkmq9veZocJsTde8HvhLZTMb9Ga1pjchzP
186,85,NaN,0,https://magiceden.io/item-details/DALKvah6jBMwUHHKSZcufah44kcD5gv2EmCyCjppxFEo
196,80,NaN,0,https://magiceden.io/item-details/31ZpHsHckLNEwdJqbVHWfBGFvV4ZiavD9qdxp85svkDT
206,49,NaN,0,https://magiceden.io/item-details/AjtDJKgpcb7mrZw7noGysmRH7szfKNdygSgSsMeEs9yN
222,60,NaN,0,https://magiceden.io/item-details/ERLk2gu34MQCaXXy6q4qYFnLtokKXKpSxbH2r6o2eUSd
232,50,NaN,0,https://magiceden.io/item-details/Hc2Y8b39DxWVMBEtirFhgr9uDZUC4rY5sKVHMdasKYiD
259,555,NaN,0,https://magiceden.io/item-details/81pFKxUmPPG9AxwbiPRc6yfGScMP1gNz1VeW8gN7qLkK
269,66,NaN,0,https://magiceden.io/item-details/B24trPmhGDkvNbLnY783YVQjbRahLpUM3shSznj3Apgk
277,190,NaN,0,https://magiceden.io/item-details/3Q7mauAinb5uhBjvd1H4w6vyqX8FdfyYY6v1LuMrioSu
290,150,NaN,0,https://magiceden.io/item-details/JE5ysfbGvX8uKt7nWf6Ea3UsdqCX4szNuqsxMqXUguQ6
302,50,NaN,0,https://magiceden.io/item-details/F48Q3P8MwDiNRKR6BFXpRRXGCLKBzorycg7TbGcr4tJQ
331,70,NaN,0,https://magiceden.io/item-details/BDWJEDD8oJUkDsDokUsxcHa7Q6ckPUWw2mbJxutbw9JW
336,50,NaN,0,https://magiceden.io/item-details/DvDQhoddqSRT8kV3zRTVpLd1Q6zApRTdnJsWyLeE9ada
351,214,NaN,0,https://magiceden.io/item-details/8ffY4JnrVJJeTH7rdC7fMq8aK5qnqynQjonsFiFafDT
355,355,NaN,0,https://magiceden.io/item-details/D8NbRnsVRBuNzPevGjBTyHYwz17fkvcuQ6xmKg6Vy5MN
363,150,NaN,0,https://magiceden.io/item-details/4PGWCZufbPQksWFVjsgod6xP4yzn5NXBLymm9pytgZzC
366,44.9,NaN,0,https://magiceden.io/item-details/C2LJ5Tr2nWAEf9viTJUbGWwoT5DHbJeAh1DzPmavZiZj
367,69.69,NaN,0,https://magiceden.io/item-details/CFHMzheCQGZwzwtZpQ6gb3wDRYPQ2asyeAh6yJywp1Wi
373,99,NaN,0,https://magiceden.io/item-details/Aicnh6niJdR6LmfH5mfHfXQysepE518iY9ko9MeprLZo
378,80,NaN,0,https://magiceden.io/item-details/3tNiSbeWyXvK2MQ7wAxzwcfMJU6Lw7zAXS19tVEnv4bJ
400,45,NaN,0,https://magiceden.io/item-details/BR2hBfZnNVn18aocfBJwGC3rSEKbkFuAHyx5EZyRGcda
407,76,NaN,0,https://magiceden.io/item-details/FLhNQLfqbtg58jrBmgUY4GFcAG3p776UWaEEG7qK88hP
412,43,NaN,0,https://magiceden.io/item-details/G2qDERFaJUzLMw2uQBC2tWiyTdwiB1y95MM2iQxaQHh8
443,52,NaN,0,https://magiceden.io/item-details/7VjFfnRw8c3tAYh3wRc7BAME4zFiqbjo6QoYFC7f37Ka
453,50,NaN,0,https://magiceden.io/item-details/GGRpBahWGDFYsgmnfMs8RQ2sMuh5xiSq9UM3XstzaPAC
454,100,NaN,0,https://magiceden.io/item-details/6PHpAHa7TLJAttCGiiFDEZi5pjCFyQ3oAadvNSau8sAY
475,158,NaN,0,https://magiceden.io/item-details/FaEk3fK5yUuzNKutNL2oJf5bkLw9nrxaPkQL86kULXRv
492,79,NaN,0,https://magiceden.io/item-details/Bf3jw3Do2uBfPGz3mdTtLdfKDoMMUwr7q9N3tWdSgvpD
517,110,NaN,0,https://magiceden.io/item-details/3Mef6gUoLVRi2HE2CZRjQ6gadzsSUezjZjFGB4gBM4oi
527,52.7,NaN,0,https://magiceden.io/item-details/3CbT12kee2M62ULJskMy7TwkHCSxHjWVMNWvKsnn1Bpm
538,89.69,NaN,0,https://magiceden.io/item-details/FPJA2xSWE74ckF6UrKEQ3XWTQukQPFCioPXozeALYWb9
596,58,NaN,0,https://magiceden.io/item-details/cV4PhxBvptw4za9mSFUf7FPJaiSguGcYhQXi8jKub4M
611,156,NaN,0,https://magiceden.io/item-details/FaACLhnf24mmH7Tc5MW7YYcprarm7X7s1XpJqZJ4kUEE
627,45,NaN,0,https://magiceden.io/item-details/5xPeN8NGigxQbFpCYNzyeqG62gFNSAK16ZbSy6tFZrVg
636,200,NaN,0,https://magiceden.io/item-details/5RhXR8Ksw5pMZHvPodmFSq4JNc1QaQreAUGkCN31yTvk
639,44,NaN,0,https://magiceden.io/item-details/EVZi5i33zGWVCAHHNkaEXAkRMHQVWrkRTzXHwxE9hW98
682,88,NaN,0,https://magiceden.io/item-details/BTWy5o3fQ8AV587ZH3uvpSLpueXv6DzKwYdjXURPm4pu
699,100,NaN,0,https://magiceden.io/item-details/EQXaTaJbxAxho5QVsEmt3dG7ZC7Db81SPqnHc3HzfX18
733,145,NaN,0,https://magiceden.io/item-details/5zT459WudqZm9CPCkc4rA1SLAVNWCvSjfPckQrAeq7XN
757,45,NaN,0,https://magiceden.io/item-details/9QzsJhVSjVBMeNRthqKSJzeQjGVNCw8rWoZGaJrT8b49
