id,price,moonRank,💎 score (%),storeURL,Background,Belly,Body,Decoration,Eyes,Flair,Head,Mouth
17,0.4,2556,66.62,https://magiceden.io/item-details/Hsqb3e3vvVKjnfMFkvLDrPwqCPk5kbc1d6vTSV9ZZVcJ,Teal,Cell,Shy Pink,Rain,Panic,Cap,Cat Purple,Bored
25,0.33,793,88.48,https://magiceden.io/item-details/3cv7iUHgLoHSSFPXsKvpBSifAcKaWzTMtGuggdcffS6m,Green,Heart,Shy Purple,None,Worried,Cap,Fox Teal,Sad
56,0.4,1852,75.07,https://magiceden.io/item-details/6sb215YUz7UgHezRH7M7KTXL2wbN4cECe1Bo2VoGXdjm,Orange,Heart,Grim Teal,None,Bored,Mouth Scribbles,Cat Teal,Joker
80,0.4,3223,58.61,https://magiceden.io/item-details/3LghDkWK6tjcLxpshk3isKRKRFzq7nDA5pn1Cob7kBXR,Orange,Heart,Grim Teal,None,Panic,None,Fox Teal,Sad
104,0.4,1462,79.75,https://magiceden.io/item-details/52234RAd63efKk8S1T3HPYn48gvnjx9QxweSSEdGpVXt,Purple,Lightning,Concerned Teal,Rain,Bored,Cap,Cat Teal,Bored
132,0.4,896,86.54,https://magiceden.io/item-details/9CGeZkCBejGKTYXacfxwKirTtdLFEUuzp2MS4McSsYXG,Purple,Leaf,Concerned Pink,None,Panic,Mouth Scribbles,Fox Teal,Surprised
135,0.3,146,96.55,https://magiceden.io/item-details/4qNAawq7fs2cwQNiZDFgNGeppcRvptkwHxhmnem4FdMJ,Green,Cell,Concerned Purple,Pink Flair,Spookyz Flaming,Mouth Scribbles,Cat Purple,Joker
144,0.27,1250,83.59,https://magiceden.io/item-details/47ceWfdeeagpEnvuRjuJXwvfhPwJPH9VAT5rtRQvfCoQ,Purple,Lightning,Grim Purple,None,Panic,Eyes Scribbles,Bunny Teal,Clueless
145,0.4,3329,57.34,https://magiceden.io/item-details/9UAMrezyAeNRsnMu2ooNCwHZNZTVXsaR5cGNYBAAmGGs,Teal,Heart,Concerned Teal,None,In Love,None,Cat Pink,Happy
160,0.4,3314,57.52,https://magiceden.io/item-details/5eFJE7jYvCkb3fsgqHUXrLK8g2iWLUHwfbJrAYNr7jTh,Orange,Cell,Grim Pink,None,Happy,None,Cat Pink,Bored
161,0.4,2775,63.99,https://magiceden.io/item-details/9R24Y8XbCpiUNcmVKY58KRhSDJftmYhri6cNPGsFobdN,Purple,Cell,Grim Pink,Rain,Happy,None,Bunny Pink,Cheeky
162,0.4,1846,75.14,https://magiceden.io/item-details/7Xa2CQ1sE8mSA7i5umY7npPGP5TDZH4Cf4vf12VvgniB,Purple,Cell,Grim Teal,None,Panic,Scars,Dog Pink,Sad
165,0.4,1877,74.77,https://magiceden.io/item-details/DDLVwNSRKHa8Rgogw4S9Fs6Qy2khJBV7QL3yjxqJ74Bn,Purple,Heart,Grim Purple,Pink Flair,Hurt,Cap,Cat Purple,Surly
173,0.4,2518,67.07,https://magiceden.io/item-details/J2ZvVKfwDD475mtgWYMxEw16BciYhYdQYQ1tqBp4Hh4N,Teal,Cell,Grim Teal,None,Happy,Cap,Cat Teal,Joker
178,0.4,1647,77.53,https://magiceden.io/item-details/CoffVtNpMGTkt1uaDsbb9bdKCgESxTjfJNRBgeCQyfBr,Orange,Leaf,Friendly Purple,None,Exhausted,Mouth Scribbles,Cat Pink,Hungry
183,0.4,1354,81.05,https://magiceden.io/item-details/BqjXZ9jseoUK4CHez4sxShVBKJJLzXxxFkAv2gmTy4s3,Purple,Lightning,Friendly Purple,None,Exhausted,Eyes Scribbles,Dog Purple,Happy
201,0.4,1536,78.86,https://magiceden.io/item-details/2v9qXnCb68xgEk756rNH3PVtFCjVaSD5VzPvbQ5BcCLi,Orange,Cell,Shy Pink,None,Panic,Scars,Fox Teal,Hungry
225,0.4,2049,72.7,https://magiceden.io/item-details/5dJjrNBghjC9DyHzJBnQcPrUkgJ8Ab8QH568EH9T4GuC,Teal,Lightning,Shy Teal,Orange Halo,Panic,Cap,Cat Pink,Happy
232,0.3,3182,60.1,https://magiceden.io/item-details/9AUA25Mv1Yeq1WNzYt3wEapoNVXAt2eYVg5Djp1Wkruh,Orange,Cell,Concerned Purple,Orange Halo,In Love,None,Cat Purple,Surly
252,0.4,2400,68.49,https://magiceden.io/item-details/FFgupoTCzQWfvod7NdEbNfprELu96m3bxucjBFysN4am,Orange,Heart,Grim Purple,Pink Flair,Excited,Stars,Bunny Teal,Bored
267,0.24,1049,86.31,https://magiceden.io/item-details/41CSdxhAGVcfNpKkQTib8isKaMmWP9zMLAvMGLaKUxKu,Green,Lightning,Grim Purple,None,Exhausted,Mouth Scribbles,Fox Teal,Bored
293,0.3,2331,70.32,https://magiceden.io/item-details/Cmj9mC5NbXAA4N1ziaTeiLsFxJX7o2xTXWHGCu3JwfT5,Pink,Cell,Concerned Purple,None,Excited,Cap,Cat Pink,Surly
304,0.15,1534,81.38,https://magiceden.io/item-details/8pejeeNZvnccBpbwhtBbUxcT2xmseKvcUDgCtnJEv63s,Orange,Cell,Friendly Purple,Pink Flair,Worried,Stars,Cat Purple,Happy
