id,price,moonRank,💎 score (%),storeURL
52,0.9,1974,91.59,https://magiceden.io/item-details/9jKkr3MXhteupCM4B3JzzLSaJxZvaHUbTJb1nTgP8Q2e
513,1.1,7094,69.07,https://magiceden.io/item-details/Ah2qGQuXc7t1SZkiJgeVzf5ZoxM27nCicq1W6hUXwPmy
620,1,3822,83.18,https://magiceden.io/item-details/4LDVFhTpko7tpj5uSSW16ZeTutHg5wkP37htPk8C5iBv
2381,1,3189,85.72,https://magiceden.io/item-details/HjECCNt6NecKsZz5qcJKEXvWt4PzExvcvNsRC4jFFmAK
2787,0.95,3881,83.44,https://magiceden.io/item-details/BzKVJMUfx2cPKrRUEefzN18ahJmkQRFZj7D8atCmfiWa
2913,1.1,7098,69.05,https://magiceden.io/item-details/9o7qGwURzuA9d1oru3SDn69ggsgRieNdyaU1gwobdWnJ
3164,0.85,7729,69.02,https://magiceden.io/item-details/BHXpgJ6CPpvA29YRigkDh3pq6GuzXRMKdfZTj5SiPa45
3331,0.95,5059,78.72,https://magiceden.io/item-details/uUmhDjYPUwncsXm8mMRX17yomi7GscxeaDFE1bZA8xt
3425,1,5895,74.87,https://magiceden.io/item-details/4JXNdZiKg5qKNcD5h2xaaWUdA3DDLFBUc7RxQtuemHiq
3750,1,9550,60.22,https://magiceden.io/item-details/7hhLvivWG2iDDp6c1ixN44n6WJ26S51Y7yN7KrSjg15E
3956,1,1692,91.72,https://magiceden.io/item-details/6H9m857eqwQxzUhiw1XTKcgESQ7UvobpQqzohWk1UsMA
4082,1,8993,62.46,https://magiceden.io/item-details/CsJ1C3rxPhnYLY5oHH1rCSsExhcUrTicTGEaFmApGgJV
5050,0.95,9161,62.28,https://magiceden.io/item-details/CUG3Tq9DZALduQvsXFJgPQbJ2ptabtye6gnQdYuujH2C
5967,0.86,2213,91.03,https://magiceden.io/item-details/EDkP2q3nNDPX2QyZjDTYiYLcqyMCG8gYMD5FcXkvu6QR
6719,1,3158,85.84,https://magiceden.io/item-details/3r6RrFWmQtBkup1QyCP3CabRjVWmn4UKAP2Cww8HbDTk
6728,0.95,5523,76.86,https://magiceden.io/item-details/2a6GznkMG1B4uUdi7nhX11rreFYdMNDKCoRZAmax6xTx
6756,1,9609,59.99,https://magiceden.io/item-details/CzCyNsH4Cz5jA8hjTTTAgXCtW6MSdzkCT4h6AukbWwcr
6937,0.86,2586,89.54,https://magiceden.io/item-details/CE6iTdDHVkTzWcdgYF1ydkGJPer6BGuKMDdsp13rEt3j
7941,0.95,7978,67.02,https://magiceden.io/item-details/7jz2CjSvtgQnEV83unQS5WPnrrPR3hMeB71Q1Gpqbuu4
8426,0.95,5548,76.76,https://magiceden.io/item-details/5E43gSxqJ4tWBRSonqWoQYfnxJVyGRfUanmAGCjsiDRq
8431,1.09,6598,71.16,https://magiceden.io/item-details/AjEF4Md7SByt31bUobn5RbrvcqnxdVjrQE3tEXkUTnd3
8727,0.95,4653,80.35,https://magiceden.io/item-details/JCepSNkZY3rxGmecdEuVHLMVL6UsC4hZVwuBLU7HWmEd
9035,0.86,5434,78.12,https://magiceden.io/item-details/58RmLHi6rf488J1di2ktu3A9Q9pZdy7PVPkeC4ryrjDa
9218,0.88,8638,65.08,https://magiceden.io/item-details/GrBsRDScfpSKA5JMgVLYBj23QvGdv4jjh5k3gpZSdLLn
9609,0.9,6042,75.28,https://magiceden.io/item-details/6cSVNXZFBoMMpQG9qesUHpdNt2dvv6iaQaVFf8xj2VxE
9898,1,2564,88.22,https://magiceden.io/item-details/FwDzvpPP2Cu8mtRu7cPYGwiuMHDeY1hc2HZuKR1P19Vy
9985,0.86,7673,69.15,https://magiceden.io/item-details/2Z71xZxfpFApxKmgyMFJY1JFUbtBVTMSn5d8Eq3iNpuo
AFUs6ZfAKFqcjAB2nLxGMdwYt2L2Wf2qMan42UnkA3tW,1,NaN,0,https://magiceden.io/item-details/AFUs6ZfAKFqcjAB2nLxGMdwYt2L2Wf2qMan42UnkA3tW
2885,1.1,5594,75.08,https://magiceden.io/item-details/BpSuG15x5wokRQqtf7njoS4aJXyQNtjzFP1KiwoYKF18
5615,1.1,2076,89.18,https://magiceden.io/item-details/4VXDXnwi8NvUJXu9LiiEsQHjmwTUenFhPjMho3RadPhS
hcW3y2WcwLhEUdfb2y8AZwzmX5RTEz1brVw8HTvG8Ft,1.11,NaN,0,https://magiceden.io/item-details/hcW3y2WcwLhEUdfb2y8AZwzmX5RTEz1brVw8HTvG8Ft
8ZgarWHZqAxv7nvVodLw8imJFmDuqqExdNRk72RqqVQL,1.21,NaN,0,https://magiceden.io/item-details/8ZgarWHZqAxv7nvVodLw8imJFmDuqqExdNRk72RqqVQL
26eL3aYUetRKzoCaubizZWH2oX7HoW4GmjW5Mr8ar4Y4,1.4,NaN,0,https://magiceden.io/item-details/26eL3aYUetRKzoCaubizZWH2oX7HoW4GmjW5Mr8ar4Y4
439,1.28,2274,86.59,https://magiceden.io/item-details/4LAJeLv9t8BPUDFxPb1dwctaQYdzvBysWUabKAWns5zP
455,1.4,8161,61.79,https://magiceden.io/item-details/GsGPXZTNKXbJtE4ibffB4ANzwtKRA3BkNJgZqUoL2RVj
504,1.19,4828,77.25,https://magiceden.io/item-details/8t54fajAG3JM1n2jCiwgNSkDUefpgH321LrbjcjcSMTg
610,1.2,4156,79.84,https://magiceden.io/item-details/3uhTAmMx46roH3ETraFYFNEMXG1kP5Q3v1Mf4pVub79j
730,1.5,4880,73.94,https://magiceden.io/item-details/A9zQnx8CYDVBKDLpNdyJ3QYfRWYr4CC16MfxoZUZRF8c
1446,1.5,5806,70.23,https://magiceden.io/item-details/ChavPKXhV7QPJzAzhHUJPdRsKUYLwspnWDA5oDsiLaaQ
1557,1.5,8839,58.07,https://magiceden.io/item-details/E7dfbiwoP3D8mQy3Nm6ECNP37Z6TDVN1C2xN5d3TDZSj
