id,price,moonRank,💎 score (%),storeURL,Background,Body,Border,Equipment,Eyes,Eyewear,Headwear,Mech,Mouth,Rarity,Special
10,50,3090,0,https://solanart.io/search/?token=3KhLAVttkRiWXtJW7Renx4xtcPhebApEcW9E5t2mnM2o,Night Clouds,Orange-White,Green,Flowers,Sleeping,Thuglife,Backwards Cap,Obsidian,Canine,Uncommon,None
27,11,9265,41.55,https://magiceden.io/item-details/GxaPYPrnDZApi9u7U99geXcWW1v3vupTC4P3ukJbsRqg,Sky,Brown,Silver,Joystick,Lazy,None,Tiny Hat,Pink,Sad,Common,None
31,350,1156,0,https://solanart.io/search/?token=CFS1jWkUazWAbwBzNHPoUEDY1quVg2mftWDwsdWdTUe,Ocean,Raccoon,Pink,Cat Paws,Pleading,Ski Goggles,Afro,Opal,Bubble Gum,Ultrarare,None
81,98,1630,0,https://solanart.io/search/?token=CfaMQTCmG4Y3quuHaeP8qzt5BEobDLUgKttd4uHZQ8UC,Dawn,Fox,Teal,Beer,Sleeping,3D Glasses,Afro,Opal,Shark,Rare,None
390,30,3960,0,https://solanart.io/search/?token=BqB3q3U3CadCLJXDrx5HAvqqHS2yoHQYWE4HpfWch4ee,Sun Clouds,Brown,Green,Rice,Angry,Thuglife,Trump,Obsidian,Pout,Uncommon,None
538,18.700001,5343,0,https://solanart.io/search/?token=3tyTkpsxf1UfAWNwEAbSeE8hrEUasjKG1mmkYP2vMApD,Sky,White,Green,Maracas,xD,Bitcoin Glasses,Trump,Purple,Canine,Uncommon,None
735,10.75,10421,39.88,https://solanart.io/search/?token=GhSVXF1CaF4AYTLbAhmY6U3Se39ZuDK4EpYDPcoRPffX,Night,Brown,Silver,Fork-N-Spoon,Pleading,None,Sweatband,Purple,Laugh,Common,None
794,47,668,0,https://solanart.io/search/?token=B6TBrXaFeQsyYceSTFRAE9uiStScmahv6ugRc2tmsJLV,Dawn,Silver,Pink,Voodoo Doll,Tiny,Party Glasses,Mech Earphones,Ruby,Cigar,Ultrarare,None
945,999,5660,0,https://solanart.io/search/?token=GqecZ4eUd4HaQYAkL3gpY9m69AuW7c2G1S1NTJir9Dhq,Night,Tabby,Green,Balloon,Shocked,Bitcoin Glasses,Knife,Pink,Sad,Uncommon,None
1007,12.95,5487,35.69,https://solanart.io/search/?token=33z73LB3sAMgipAhpkFMf6BPripT8PaPKrEKdVaoQwFQ,Sun,Cream,Green,Bamboo,Stern,Thuglife,Police Hat,Silver,Grin,Uncommon,None
