id,price,moonRank,💎 score (%),storeURL,Background,Body,Body Accessory,Colour,Dog,Glasses,Hat,Mouth
50,3,843,82.42,https://solanart.io/nft/EDLNQ7Pb4UYUah66FSjD1ugXjASFGNCqTrUmWGtH3yra,Pink,Green Tracksuit,Orange Bandana,Chocolate,Chinchin,VR Headset,Purple Hat,None
96,7.77,328,38.43,https://solanart.io/nft/AdrhqFDURaX659UG3K1XB9duF4mjoauf3kfxVXcDSwGb,Blue,Green Uniform,Red Bandana,Zombie,Schemer,Monacle,Rose,None
110,2.88,3096,67.36,https://solanart.io/nft/8JXP9dxQEbJxVVDHXNLX89fngE1XP7VrSTF47PegumEU,Orange,Sneaking Suit,None,Coco Cream,Puppo,3d Glasses,Green Bone Hat,None
115,1.99,3438,73.79,https://solanart.io/nft/6gsdzC5ySdvHkHrNK4Lfyivzp3Kcq4aDJ7D4RLWN5uKK,Yellow,Sneaking Suit,None,Salt N Pepper,Shibe,Glasses,Blue Hat,None
124,1.89,5207,62.02,https://solanart.io/nft/B6MrE6t5LxqS9KJaxo7U55pnbNc7StwQ9TBcYTTmZZaR,Pink,Blue Uniform,None,Salt N Pepper,Wolfie,None,Red Beret,None
165,4.5,3769,46.3,https://solanart.io/nft/X8P9j4AWMsvVqMztP3scTftHpwSueAvSHuSThbVvmrw,Green,Green Uniform,None,Coco Cream,Scar,3d Glasses,Green Beret,None
183,10,124,17.61,https://solanart.io/nft/FurLuJLUY6jXsMBQxLVZd7D2ZtQcAduLCxarfC4mmi1x,Blue,Red Tracksuit,BTC Collar,Blush,Wolfie,3d Glasses,Samurai Helmet,None
245,9.99,2658,0,https://solanart.io/nft/3XywuekQRP2drrW65z2fFHCz9kaMmRqmuqYT8AZZn13p,Orange,Blue Tracksuit,None,Ultra Violet,Shibe,Aviators,None,None
314,6.2,647,51.83,https://solanart.io/nft/5d8T2TKcmzfUHkzaPsfyxdNmiPKjTrMqzds9dGSCf7zg,Orange,Red Tracksuit,Green Bandana,Ginger,Rage,Viper Shades,None,Cigarette
333,3,4780,54.01,https://solanart.io/nft/HdCGqtNDc65UaCRK2xej8siRKCk5dakXgiMCSmzGHknX,Cyan,Green Uniform,Orange Bandana,Blondie,Groucho,None,None,None
374,2.998,2341,71.63,https://solanart.io/nft/CiXsGEzbNdY2bvfQSbtZPpPRpkdrDbkv1yXtiKxKPZbN,Cyan,Blue Uniform,Red Bandana,Salt N Pepper,Scar,Cyber Visor,None,None
399,1.89,2654,80.45,https://solanart.io/nft/Ag3JjLT3E5FDpKS1gXc28spf8S7CC7ywyj2TV23DR5Au,Pink,Red Tracksuit,None,Silver,Shibe,None,Green Beret,Facemask
414,2.88,2416,72.27,https://solanart.io/nft/91frZ1ggJ8eAhuhGVi8tcVwoPNMZKzzv6hZdJtUMnorP,Yellow,Blue Tracksuit,None,Salt N Pepper,Chinchin,Viper Shades,None,Pipe
445,5.5,2350,46.54,https://solanart.io/nft/AoqLwgnVD6TMehu2xUytdHNaTufYzuH4f2BMRLrcHzan,Green,Dragonsphere Gi,None,Aquarium,Schemer,None,Cowboy Hat,None
495,10,114,17.68,https://solanart.io/nft/7FXAEZj1sYyxFeU9eJLrA2QNMMdsEhUqgEoxbA9Ftwn9,Yellow,Green Tracksuit,Red Bandana,Salt N Pepper,Pugsly,Viper Shades,Red Punk,Facemask
499,15,254,0,https://solanart.io/nft/LW2B2HnG5QG5vRGHetZrzfxsVAwGTHaHSQiY7RttgwU,Pink,Yellow Tracksuit,Orange Bandana,Golden,Pommy,None,Garrison Cap,Pipe
586,6.2,605,52.13,https://solanart.io/nft/6FcSkegWtqwkuQeaFkeUyTiNEEQngbjQN3vizGTKvH7X,Cyan,Leather Jacket,SOL Collar,Blush,Sniffy,None,Green Beret,Facemask
628,6,3583,32.64,https://solanart.io/nft/G4ycTA4J4fHHZP9XqSrXhsuRUMf56x3KpcUyvDpQR5Ee,Green,Red Tracksuit,None,Albino,Pommy,None,Blue Hat,None
677,8.29,482,32.12,https://solanart.io/nft/2ktk65gLfpt8rW6e24nXoU2XvVJV2SkwL8YemVpSW68a,Orange,Mecha Suit,None,Brown Bear,Puppo,Solid Eye,None,Facemask
682,3,3432,63.73,https://solanart.io/nft/FTYziDkUKwLMKxgNWZEPjtWiGFAHiN8Dd7DzDFsk6wDu,Yellow,Yellow Tracksuit,None,Silver,Pugsly,Eye Patch,Yellow Beret,None
