id,price,moonRank,💎 score (%),storeURL
11,1,4086,64.52,https://magiceden.io/item-details/2H5jmpc3qYWYjdh6XSBCsXgYkfjy9w8ngACjNbCC4Lep
47,1.5,2569,70.46,https://magiceden.io/item-details/8MCDxj67B5z6SX9rrarZ4ijLT7npLB1N9Vg61kARVT3D
48,0.49,4886,63.85,https://magiceden.io/item-details/4z5xTsRJH36e8qG67tVVmMVVRWT6jyu17jRx3h7aKXVo
59,4,1964,49.83,https://magiceden.io/item-details/CJrU6rZeCLfdYbtuaTYmFUh6c7iXaFa3D5ZKm3Pz5wEf
64,1.8,4059,56.71,https://magiceden.io/item-details/Cg63ewSrgYSK8ht9yzkPqVTgmEYBizwSeeS91WQJN3Sw
104,2,2093,68.9,https://magiceden.io/item-details/9vqYC5uUQkrq15CkBU7wGcydK6ybcUSRB4nsM3Rcewwd
114,3,32,73.77,https://magiceden.io/item-details/4Go7D8oVfFVoLSJPQhA13rpFt7ouZvtBmEX4aGQTiEpm
117,4.5,4,58.97,https://magiceden.io/item-details/8MaotNv6Jfcr5hyDBVS1PRJ9amY5ndkWMVdaNhp9YHxV
123,4,90,63.35,https://magiceden.io/item-details/7BrYBkJe5U4KCwmMQxMDfHwvyPyjv8qmjqw9BXknMsSG
150,0.625,4136,67.91,https://magiceden.io/item-details/7iLyrBsbmEpd78Hr6soQD9P1hyD687JDqtaKxioKTrDD
152,0.888,1327,85.55,https://magiceden.io/item-details/Gi1uqQxgPZp1bDMwdeuzcHEnPXNwSALMcPEvUUbUyCdj
173,0.888,919,88.49,https://magiceden.io/item-details/92cvbKZ9C8rdJ6iZiDUZho7THk4sBz3Ds7MBnVEQhftG
201,2.22,2935,60.62,https://magiceden.io/item-details/8z9Vgq2QjaA5oTNua56k6aDLMMenyDTEgLzYsUwTbSED
225,0.75,1520,85.53,https://magiceden.io/item-details/3RCLsyMPeXgvNpVSj2wwYzf43PAs6qECJwBXFDf8HnCQ
230,0.7,1107,89.01,https://magiceden.io/item-details/5bzj41M4Zn17bVMpXopQ5QahujJDPHf4JWZbXiRkhtmc
232,2.6,4968,42.16,https://magiceden.io/item-details/2TxMo1cLm7xjDEMZWM1iAd8uxM6uvSK9hnMC4TBttb3U
240,1,816,88.11,https://magiceden.io/item-details/9B11tkEQ6TyTdNvxe569RMg5tuxRBpY1xhfqLZCip9gs
313,3.2,4160,41.99,https://magiceden.io/item-details/HpLtiB1YNBaKb76s3N8H3rXu75xHZxNK37GkTGzCjh3F
331,0.5,5078,62.36,https://magiceden.io/item-details/ECJDcomYw5BfCzqxXtSufNCa5dtaLL1WfjobAg3qaFkP
