id,price,moonRank,💎 score (%),storeURL,Background,Base,Decoration,Eyes,Foreground,Mouth,Outfit
115,0.0195,412,86.42,https://magiceden.io/item-details/81cgRBmA8LweBT2ggrd3koocq9b9envLccSwZRsvADVK,Rainbow,Tulip,None,Scarlet,Rain,Smile,None
217,0.02,1214,59.99,https://magiceden.io/item-details/4n46PkDcqYzDCZdcfSg3EKn1vSYoezsi8CyweZUw6wMK,Olive,Feather,None,Violet,None,Smile,None
218,0.02,710,76.6,https://magiceden.io/item-details/ApVTquWdYrF2Hr7iEmuQbCyWyrqNY99VLXzc9Vcsv3Wp,Tulip,Ocean,Scarlet trantreum,Violet,None,Smile,None
289,0.02,702,76.86,https://magiceden.io/item-details/GuWchQtqikuzmDdaHq5pmKttbyxA42fbsK3wYPP7vmwW,Ascension,Clementine,None,Earth,None,Smile,None
362,0.02,1202,60.39,https://magiceden.io/item-details/AGhGbhRrqGy2aD3eDFVAicmVJHcM6qUaLWexKy5E1Hcn,Aqua,Violet,None,Red,None,Smile,None
394,0.02,360,88.13,https://magiceden.io/item-details/GKfnajxDfz7yw2yKgiDjvqFVogbMfqF9LKTCDArHpzBt,Field,Scarlet,None,Black,None,Singing,Wet
450,0.019,1139,62.47,https://magiceden.io/item-details/HyUuig3RG8imGA1eqwAjgESJcXHsiCTyxUm1GuDjdgcr,Violet,Scarlet,None,Moss,None,Smile,None
517,0.02,345,88.62,https://magiceden.io/item-details/8o5Ly4fcFgbUzUTxeQmqfwFiiYf5SZ7YehetygQAgp7N,Aqua,Cream,Violet polkadot,Gold,Clouds,Smile,Sacred
571,0.02,621,79.53,https://magiceden.io/item-details/3NpWffRrEz5AKPtxTCWi7pMfXTWJyb5JR3Xs7WUNpDCr,Field,Ocean,None,Gold,Crush,Smile,None
645,0.02,895,70.5,https://magiceden.io/item-details/5jg2ayxTq61Hjd4kaW1NK86EAy8XtukMNtRxZTdta4H1,Violet,Clementine,None,Scarlet,None,Smile,Wet
790,0.02,1153,62,https://magiceden.io/item-details/4f1itbZxZ8WLYrj1xk4GHEAtvQZuDnAjNqkS4TMWD8GL,Tulip,Ocean,None,Black,None,Smile,None
794,0.02,1133,62.66,https://magiceden.io/item-details/2ppkQFaQ6r7jzwuq2UjWm1rMvhXCvaCAV4mcnhj64gn4,Violet,Cream,None,Gold,None,Smile,None
798,0.02,1044,65.59,https://magiceden.io/item-details/AsVdoydCCF63P8VrMjVGZdZbx8NW7Ho329i8z8gcf8PD,Field,Moss,None,Aqua,None,Smile,None
803,0.02,996,67.17,https://magiceden.io/item-details/AammBYqmQuptU5SiDQ9PMT1XTanjQnJe5Dq3GHa24Pvj,Olive,Feather,None,Moss,Crush,Smile,None
807,0.02,1042,65.66,https://magiceden.io/item-details/5Za69tPf2K6ob8aB2vw56hFVh8K6vxEzNEsmgSGAhDHH,Olive,Scarlet,None,Aqua,Telescope,Smile,None
820,0.019,1142,62.37,https://magiceden.io/item-details/HogFXDfqRWDaNAWS1DPuSyu7rVaFg7uFYbUQ1GvPwikW,Tulip,Clementine,None,Scarlet,None,Smile,None
875,0.02,136,95.51,https://magiceden.io/item-details/ofdgaDqfTUM3rzkkqCwtqZutvCBxVxcxYXAZWD64n24,Aqua,Violet,Violet stripes,Closed,None,Thermal,Sacred
886,0.02,828,72.71,https://magiceden.io/item-details/2pFjnzfEUc4UmNCto5FTTFcuxk3ryunyGEdmdiPUwePP,Olive,Ocean,None,Sacred,Clouds,Smile,None
919,0.02,1016,66.51,https://magiceden.io/item-details/DuBZLwKvuYQMVZtxX5NvEY9ghaYxhpLsVGpfy1bqnfn3,Olive,Scarlet,None,Black,Clouds,Smile,None
1209,0.02,954,68.56,https://magiceden.io/item-details/2392TiBFfg4fmMC9cRBYC4kpUFyZTBDv1qUhhgEUjVK6,Aqua,Terracotta,Violet polkadot,Closed,None,Smile,None
