id,price,moonRank,💎 score (%),storeURL
15,5,524,57.73,https://magiceden.io/item-details/FiC7R1QLzCGSQT8MefQ1dvP7Vsp12yNCeZwPkhEpZ3p4
54,20,52,0,https://magiceden.io/item-details/2Uyffqzsmc3hfhRBXEPAnJ7qQqi8S8Zy4Nkb4e2XqWZG
61,25,1,0,https://magiceden.io/item-details/HHSS5yDrLpVwNRh6ssyp2Ex6k4WgaZFGi8qgkBdHagvV
233,1.3,4077,69.14,https://magiceden.io/item-details/HjVpABmwoBVhMLfAzae13WuQFNw2eh6iKfdcfSDBGWYD
237,80,965,0,https://magiceden.io/item-details/A3B3tYpwtFZpKvhcyhkNHnvGaLARCaihqij9PN9X5Mie
278,3.4,771,71.95,https://magiceden.io/item-details/A5xcX9fF3Z2NamKkDxbdKTvK2Nqt8o6pqfDc4PKqu2B
319,7.8,268,31.57,https://magiceden.io/item-details/955ow9T6pAaTZrYJ8ryWbcsQqCVqn6KszpQA6qSgmyvD
339,2.2,5176,52.23,https://magiceden.io/item-details/EbJfVgQJdG1FFGRQVye5TNtm4V6sktzn8SRvt6H5k2Zc
378,4.44,1979,52.85,https://magiceden.io/item-details/8Rx6igRSYfbCjtHim8NiRpcu7W2Tg9ReduUAAExCqwVh
423,2.8,1607,71.93,https://magiceden.io/item-details/HWjg8daakvVQHAC3oykbfTZRNc7STpviXHYsCNHBGWSq
506,1.4,4462,65.37,https://magiceden.io/item-details/458Xmdzts8ggVRV6FDSjXNFndvTVxdrAC94QiKNdfxhr
536,2.99,210,80.09,https://magiceden.io/item-details/F3mnU9FfJiJYRdA87ueoERdCXNvXVjbjwosq3sGHX2ts
587,3.1,4806,45.89,https://magiceden.io/item-details/HgsKFeitMdDBoBxPRPp8TgnCKArMTD1EWdQVkN4MCQTa
724,8,211,29.98,https://magiceden.io/item-details/DWguEfj8XrVb5W46ouUPdcot33asKU2o9VkkBkwKsPkJ
758,2.99,103,80.86,https://magiceden.io/item-details/2YUgNoJjira1FRA5frEEgPCRQAz7qTjGN7Ahit6RQTLD
790,15,277,0,https://magiceden.io/item-details/BJk2BF6P5XJn987kcZCaHhQmaivZqGGk6Hp4DKiKaW6u
795,3.2,5297,41.36,https://magiceden.io/item-details/D2VsYUkUidyhz32QpLMMyDZhRTGAzBZiLxqrgoCXVK2
814,3.5,351,73.97,https://magiceden.io/item-details/DiM7wSnG6HTxBQo3tgLhG77TS3BZk75p9y8MspEMJa1g
816,2.5,4903,51.19,https://magiceden.io/item-details/3Ya6FYoYbaTrhSHHpXtVnXv1ziqbEMyFftmq9pEnSzzE
860,2.5,3686,59.96,https://magiceden.io/item-details/4tvGVvfzg7CHzC57QipfHzTEWHFjwgxz6eZkv75nWdPA
914,2.35,4721,54.01,https://magiceden.io/item-details/CErFEJ8CGMn5TpBtcZ7fTQGhWWzFDb56WGmFXrx4jwgT
941,3,4894,46.26,https://magiceden.io/item-details/92pbk5Z8Gy9ow5GMoRD1pMvhhGxnAeZECuDBc7htSvzb
1027,4,3254,48.07,https://magiceden.io/item-details/5miGbytxd6p6HNzyUvYsmE8FnaYZ3KYR9jjoSti6Rk2z
1109,1.5,3827,68.94,https://magiceden.io/item-details/2ynCDRG3N9GCZFbRRWtCbWsHKzqEZtRuNNfazh61GSmn
1150,2.95,3479,56.95,https://magiceden.io/item-details/XjGFY64vZCLGq4kWS6rEyZebe2ShvrumtNf2QoqdFA5
1186,2.3,5064,52.04,https://magiceden.io/item-details/36kB2utpiD3EbeBJZmHxnur4kyZDVpbrMvdM4qCow2mC
1217,2,770,85.96,https://magiceden.io/item-details/HL3U77CLT5N1SmnrQVYTSTdtNkVnQ3Cvc9qrAyxj7XCh
1224,1.75,3812,66.55,https://magiceden.io/item-details/6uA3CGkcH3EeEJavtQx4g2DfymTbLMYJQAQexroaNANX
1255,2.5,4206,56.21,https://magiceden.io/item-details/GrSZ1EdpnhM24oxfsdChswt3zvpAJQEBMcYFZfWf4zy7
1282,2.5,3141,63.88,https://magiceden.io/item-details/2GoRHLvb83mC8ksCuNAAxg9N9bN8ZK52S5P4y3XbbgF4
1314,4.44,216,65.54,https://magiceden.io/item-details/CoEd6xAEsBTfks8VE45KUrSq2PaoT5gsGgWJhfZAd6vj
1342,3,3149,58.82,https://magiceden.io/item-details/6GNEEZ58T8eDod8RCkuadMg6h3BXf7uwcti4zhSCGfmS
1343,3,2681,62.19,https://magiceden.io/item-details/8Wnwb9f1HyL6Dru1fJGYtSsdEhPUeYFwei19J5HoeWpL
1378,5.5,754,51.07,https://magiceden.io/item-details/HgRgQ7hut9TpYSxFinCRSk7NF3CUYSqhLTA7q7NCE1W5
1467,3,5097,44.8,https://magiceden.io/item-details/Czh9ynzqai62eueMsFmZ2zyDNJLnvo2C71FD2Zrjrqe6
1499,6.66,113,44.09,https://magiceden.io/item-details/69xPLUC3wEVhBjpSNS4FTygmgdLr9RVnRyCeBic1Pr2v
1518,1.9,4600,59.38,https://magiceden.io/item-details/6WC99fKhB1B9teM2PBvAGepaRmswLN1FJUecJwMfavs
1606,8.5,138,25.51,https://magiceden.io/item-details/7opAYpoJL2BGoCshfKw5udvqRvCUu4qPU88yAdZA1itY
1664,3,3222,58.3,https://magiceden.io/item-details/2BtJk9pSkNTfnFvq4jaMZD1f2Q3Za3WAJxxuGcZSQbSm
1667,3,1127,73.38,https://magiceden.io/item-details/6wiUsQZWrqM1KDAFX9FWmeGtwV3S18NfyFurVNV5Cv11
1669,1.22,5245,61.53,https://magiceden.io/item-details/AkJm6WGZP97dRUXLQdVhPoQHLw4zRQPoCDZB12uEP1s5
1692,1.6,3001,73.89,https://magiceden.io/item-details/3Cbn2cUXAkCg7hHyh3VVZ63vk9Vz9BKFNeJpVX4cr3dL
1741,5.5,55,56.1,https://magiceden.io/item-details/8q72jts4j6eM39QM69nhUYUg93FMUA4nWiUTFBi3LTFz
1787,1.65,2373,77.91,https://magiceden.io/item-details/5PYdzXeDUPEEyMYFAVibJhqdG9MvFg1ncTUbv4FKnbxr
1795,3.5,1409,66.35,https://magiceden.io/item-details/7JXPnwASsakNXKuSHw6M7VZBHGQ8PRDnnWoPUNfHXLYm
1819,3.1,2669,61.28,https://magiceden.io/item-details/HQcoTsuAhGEooekoE6GNmiUTC5rsyPfbaA8siY3Thfav
1833,2,3845,63.81,https://magiceden.io/item-details/28Cx6wB4FE24Zu9o1qsSYJ86sWMw1uZoEZLqKmY567jQ
1850,4.99,219,60.02,https://magiceden.io/item-details/79vsTdxTey97D9hLrWYCSQ5ktWNVi1nneYzp6XkiUjbR
1856,3,1082,73.71,https://magiceden.io/item-details/9YRpFP8BZ5if1aW2mR595iy411ChaLymrKgxAXEwBHK8
1867,20,16,0,https://magiceden.io/item-details/5HKTEJHQTVy2XQJBsvvMuCf7QUakFm7Zk2fL2VBuPkaq
1921,2,5371,52.82,https://magiceden.io/item-details/5vtCqwiSpc9z9iSbPJP9dYdabJTwYoZvW95dzMsPU8yU
1942,3.13,1810,67.17,https://magiceden.io/item-details/7yvTxTRTvpPNESVchvZvNSXd8pQpXYXAouUKqnRJfThr
1976,10,460,8.19,https://magiceden.io/item-details/7VgDZK146TfuumBzKzqpT3qxGT2stBJ7HwU3E7f2pj9h
2003,6.5,141,45.48,https://magiceden.io/item-details/FpimLhAzgLNS2c6PwaW84JacrhqZf57CfsYviCwHLXHi
2010,2.4,2209,71.59,https://magiceden.io/item-details/5FcEGBUPBnV4xu9u3FfB3hFFzy6rxBFqEf8V6vu7EBrg
2012,5,1254,52.47,https://magiceden.io/item-details/HWjd19uvnE6rqLqYHsB6Hy9G5Z3h5q9Tpw19upZZGSH3
2033,2.54,2180,70.4,https://magiceden.io/item-details/5dpVcDc5DravKJNH94U9mwZJzjqN8NREvK6kpJbrTKmK
2047,3,1667,69.5,https://magiceden.io/item-details/9AMiacCSoge9zpSogWNd2XNzb11RzEP7kHiBYMKAygDT
2074,1.17,4283,68.96,https://magiceden.io/item-details/2fKYrewzLeLubVMhfqKk29Lis51jjQgQi1QaZLor274d
2079,2.2,4659,55.95,https://magiceden.io/item-details/28UXLTFLzef5FPYuzgsxssM4XaGQgjQ13jsUMN2sL9ww
2102,2.99,618,77.15,https://magiceden.io/item-details/9atLfvjzD1vWW5hkWai9feaVmenVpGfMXv1YFC3uJ8iy
2153,5,2980,40.04,https://magiceden.io/item-details/E3CcJ6aKL628DpqY1Rm6Fh97W8tavsxWbEkHyxBLc2D
2218,3,5041,45.2,https://magiceden.io/item-details/4MW3a82KCnL98ypWqVSh8MNAw1NusvYcTvM69cPAwSX9
2332,4.85,4339,31.76,https://magiceden.io/item-details/F5rPiqpSJcMjryDTC7PKyWbWWwCZW8cxAYMJzmbucmps
2344,1.9,4440,60.53,https://magiceden.io/item-details/AHp4Z5Z9HVj1EiU1wUohhBftqS8PDEi9fAE7sZ4CFR6w
2378,2,4921,56.07,https://magiceden.io/item-details/AxDK9UNn6YjE7Mt2Pdup7puWiN83Yc73HxaySARgYS94
2392,3,3928,53.22,https://magiceden.io/item-details/6j85g695p1MiTydbJjHa6ameabRcPtBR45RrCcgPnSvj
2412,1.65,2674,75.75,https://magiceden.io/item-details/97VysnbP9THKhDtrs7ECQseNrBmmspruBv8FB3kMfF5b
2439,3.75,259,72.14,https://magiceden.io/item-details/8rAEJGgKoznBtgUWDYpC8yPfEawKPas2br52VCFSj9mN
2455,2.7,3955,56.02,https://magiceden.io/item-details/HbLxMLsWGJGKNHP6LYUDZpMUxHAJZBNHp4QAehZQwj43
2488,10,748,6.11,https://magiceden.io/item-details/9SumBVueyFixC23bcEG4QYMtVGEQ51k4s7io1HUazxD3
2496,2.21,2002,74.98,https://magiceden.io/item-details/42vovWvjkfnVdVP5KrWXTcajaN2moKqBMqMAgm2AN1rN
2558,1.74,1391,84.08,https://magiceden.io/item-details/FY2N2keFtaE5319a2zGevEzLpvYE4Xm3HsgMPtULrjb7
2569,2.55,4565,53.13,https://magiceden.io/item-details/HbRCGhjKSZnaHp3CdSJXdk98t3wF9r23dcgY1Mbxvwby
2586,2.75,2666,64.8,https://magiceden.io/item-details/8EBxt4saimLMtFauUXxHSA8nyywvb82BRsop2zU5hMog
2645,5,1010,54.23,https://magiceden.io/item-details/38gfupSQuXJ5mJfdgssddLg2ot5Xrr6n1psJpRajgkQd
2672,10,200,10.06,https://magiceden.io/item-details/2agnaJrBv6qzmtcg86DK1a43b63Vvw9qiWrs9Zr6X4Ez
2710,3.7,2981,53.03,https://magiceden.io/item-details/C8AgN7T8xdHCxhTkRMfsHPnLtTSrZxi9saxJUjvLWUZ6
2759,10,262,9.61,https://magiceden.io/item-details/AunohCEKiuui81vqyZUWRRGz2jjVYJBhZguFhbLsLaMF
2803,3.9,266,70.58,https://magiceden.io/item-details/VPKbvv2pmB8UzucRWJCnnCCrZaF8GaWXMTEwahi92ep
2852,2,1613,79.89,https://magiceden.io/item-details/HJogLWz1NDh8ap2u4yTi1rcCpj9i97a59fGNgqcRPKg5
2880,1.9,1655,80.58,https://magiceden.io/item-details/9L7Mj2M4j3cMn6h3DgFvfL9xbjqy79LXMi2SUoiDLKXa
2934,7.5,209,35,https://magiceden.io/item-details/DSZU8iwYgcHezzJf454bKhpMfgmBGgdFPDWQwyb6Fxsf
2982,3.5,2298,59.95,https://magiceden.io/item-details/GJnERJ2qkfmmhw5cVNCCufH7Ho6TbHHKdyjWJKYC5KoD
3025,1.29,5405,59.68,https://magiceden.io/item-details/H5EBSgbeXMHdT3GSWaY1bRYyd785ZFiRLMea3JQtgWec
3044,44,3401,0,https://magiceden.io/item-details/gi7FWtXvsMkAg1cTzYUdvSwzv1oTKnQSQtzGvPQPLvR
3046,5,4393,29.87,https://magiceden.io/item-details/HopnHqqHLcZ2Avz1mbnmFkx3tt43SQUr1WDRCLiCUCHQ
3065,4,4308,40.48,https://magiceden.io/item-details/BjQG5ENfMLqTK28kkTB537bzvFzuM1DmDPC1GbuucUif
3107,3.8,4333,42.3,https://magiceden.io/item-details/5HmxV3ih9HY1LTibW8PuiHY4wu7FFVs4wanuCDTE8j71
3257,1.95,4309,60.97,https://magiceden.io/item-details/5TavEkF3Zcwnbv2uP4P2Eg5guCg9yeSGwYdEPvdPzgqA
3261,2.77,2677,64.52,https://magiceden.io/item-details/HxNnmz6JrdDbGPpwvAGTaZykEx3mQygwPgiZVpRQuS3w
3265,69,69,0,https://magiceden.io/item-details/DVC6k9wVrPo29pTpJ34hFDkr2sSWmBFYVEii3BHniYmN
3290,3.5,1921,62.67,https://magiceden.io/item-details/FqPPrVGPauobLb3Bs8QTSzTsZ1LFVk9hwSQ24NLTofpd
3319,2,2772,71.54,https://magiceden.io/item-details/5vF3vxpKgJWJfjsz1PqFF2S3qxLNR3kNCnG8mJ3HLbHx
3348,5,35,61.25,https://magiceden.io/item-details/6WZtWmg1mkpMn9KpGEdFrSFpTxkMggpzVvfQd8FSphbt
3352,2.5,5375,47.8,https://magiceden.io/item-details/FigP1wuHXRnBa9HvPxkZHNzh3192nBMEzX3HEk22FCZ7
3373,2.49,1930,72.7,https://magiceden.io/item-details/26bADHtJhCmsCdqc8prPQMTFnmgdsaSoTu6tNq6muPNj
3396,5,245,59.74,https://magiceden.io/item-details/CtYYtM3EopMMqcsXVfvbN2JXMB3hgCasLzRRvzVH9w1C
3400,4,916,64.9,https://magiceden.io/item-details/67H3Ld3NsobEuBLnzqJ193jQZKstZvgKHpbzoBA355Mu
3403,5,4789,27.02,https://magiceden.io/item-details/AzuYhqPb9iM1EbnfUK1sEntVYsZuNEpRcqZso9ykgcXi
3447,18,21,0,https://magiceden.io/item-details/2jxQWHjJcT5yQzoFavTsCFxfsMvCSBKERKPGbWd21Rxr
3465,2,5355,52.94,https://magiceden.io/item-details/6Ei1Bt2w7ASGYFDLdgwZVy9VEkJA5Piie5Z6bV32Tqn6
3516,5.9,42,52.2,https://magiceden.io/item-details/AyN5gd4Yw6dNNC1RCmTi6soXRdfTCo7LYFmM1mgEmb9C
3556,5,233,59.82,https://magiceden.io/item-details/7e4zQSmbK98T2HFeWn2RECqCKw7J1G4LM1C2N1KZ5ArD
3567,23,26,0,https://magiceden.io/item-details/CAXrqeFWRfXPjPf2fjgN82zRkZwxF69B8jYs8JP1QXjE
3647,5,5092,24.83,https://magiceden.io/item-details/Gv63whqh56G9btJ4s6ZWihgYQ8YBqNgotacBuBnLGrA1
