id,price,moonRank,💎 score (%),storeURL
179,0.15,2253,69.7,https://magiceden.io/item-details/4gRpupeN8ZFpvbK7a5wt26w7NjsoekmxTb7LLeDEQdav
203,0.15,2773,62.8,https://magiceden.io/item-details/Ce3BsGx7ficSFJDwMoFfK4CVZd8W45ptfZKr1X48ghzj
205,0.15,1442,80.46,https://magiceden.io/item-details/FWRXPavXjqsQmupupB5GyXG9VeEHX57ZvPySBN12w2Tt
336,0.15,1408,80.91,https://magiceden.io/item-details/4QD9cFcQvwxomnY3PudidRe9Ggg9yM9nYPSvCfLusJPj
380,0.15,3014,59.6,https://magiceden.io/item-details/HXJwouaj4DJDvCcz7uDmR4HeeWLEar1MpkTsQDZUp4BE
538,0.17,2437,67.06,https://magiceden.io/item-details/7L4NMDR9RrjMHhEqS6Rn88TUReizgKWWnPA57rCehdD6
600,0.119999,832,88.86,https://magiceden.io/item-details/2F22XmxoAkaFxp1GoCsjvywJS5L1cTqHKPSZQXx6rJoT
953,0.15,2490,66.55,https://magiceden.io/item-details/E6Ym3GwFFPfCQLYmTKMNKFRCgrob8nePQyUuALpqRoYR
1280,0.12,794,89.36,https://magiceden.io/item-details/GRm2h8cb5mFomH5bcAkAfE3keTVSZfGReEgmB64cK9Ng
1370,0.144,947,87.09,https://magiceden.io/item-details/2U7w95kWrt1ASKimHRFeJJbBsU3PcS6PKg6hEZDHAScF
1506,0.15,793,89.08,https://magiceden.io/item-details/AfjCXVHcA6g6AzhQWzcJL5EGEFabjQtbQy97QW9ZfWFh
1601,0.14,605,91.67,https://magiceden.io/item-details/8VHmc6eqKVJFe65a2PkHWBJsgAGxoRqcK633631GGiJq
1630,0.149,2586,65.29,https://magiceden.io/item-details/3seDBcorccJwB5e5DJobXMee2EEPcfEmzZN17rF7Ca1e
1775,0.149,2949,60.47,https://magiceden.io/item-details/G7VS34MyF7xNSzrxi3v2udN5MgSwZyujrjpunm3RStay
1818,0.13,410,94.36,https://magiceden.io/item-details/A4ZKgJXbUqeGm3XQZG3KjcpWa5iTBNSTA3o9Y3jHhG7n
1984,0.11,2031,73.05,https://magiceden.io/item-details/DhxY7Ysg5YHRQQgMycfQPYsdWa1pG5jv2ChHURBM44CJ
2026,0.15,862,88.16,https://magiceden.io/item-details/EwW331fbHWLe5vU5D4cms3MsQ1vYGWVU7UMtAr3wFZvB
2152,0.12,568,92.36,https://magiceden.io/item-details/EAuddZht4HYfY6PVWQCyvzm8RvQv15FpahDD6Rz8BdG2
2660,0.12,393,94.68,https://magiceden.io/item-details/3vViB2SRWfyt8HZt6rjtBe3HMSheNpfsG6rA5Nu7Jge2
2840,0.12,1710,77.21,https://magiceden.io/item-details/Gab5ajiJcKeFMf7S4UowcbLmqHgApBpGBWRsz8Wpcvsx
