id,price,moonRank,💎 score (%),storeURL,accessory,background,beak,brick,clothing,ears,eyes,feathers,hat,item
22,0.15,3547,77.36,https://magiceden.io/item-details/H4ammAudASvzrV3t7BnRKLNVHyaGW5Dbjb5TNXFrqqXB,cig,eggplant,pink,,interview,none,normal,minty,red-baseball-cap,none
44,0.059,4828,70.49,https://magiceden.io/item-details/C7nuCP8zqhrhFuBV8cAZBfz2g4PT4mDeHn2gcMj2U2SW,none,rose,normal,,skater,none,squinting,blue,crown-jewel,none
67,0.19,6407,59.59,https://magiceden.io/item-details/2SYsmgnh2Ny1HYfsNtLpmLNaHpt7qbhijKKpXrHz6J2h,none,brick,normal,,interview,none,normal,yellow,none,none
135,0.15,5585,64.98,https://magiceden.io/item-details/H6betYbj2wG5MN2cbW6qc5B9ca5MVuUz8ZdegKkxzrEB,vape,eggplant,normal,,punk,none,normal,pink,none,none
157,0.7,2612,77.54,https://magiceden.io/item-details/9KUNVLoeXonhMqvC1eepyNLUDP5mg7q3SBjeiPWsmwr,none,mango,blue,,collar,none,ditto,yellow,head-in-a-jar,none
177,0.3,547,94.08,https://magiceden.io/item-details/5XzqYWkpAkMEC5Db4CuVpgKx5HTh5De7yFfkmzx89vUG,none,glitched,pika,,red-sweater,none,squinting,yellow,blue-baseball-cap,red-power-meter
195,0.9,490,88.42,https://magiceden.io/item-details/7hdNyuqckf2qQSYHSwWqZ3PAE2JkVz1cpNrNWs8Z8Le8,none,lavender,blue,,red-sweater,diamond,really-close,pink,devil,none
202,0.5,545,92.09,https://magiceden.io/item-details/E9aH3swahHnG4xhKCUR7xeuS37cjNpLo2QSyus5eEd9i,pipe,solana,normal,,skater,none,kiss,white,devo-touque,monocle
219,0.8,1767,81.67,https://magiceden.io/item-details/DjoEAatAHUBwTqi3WPwCDnHncy7G6YsnF7RfQA7eataU,cig,night-sky,glow-up,,jail,none,squinting,blue,crown,none
249,0.5,1124,88.57,https://magiceden.io/item-details/7uSruYxHkAs9X8PggZ2ewsEbfrosKF9BBCu9RWAvJLam,vape,eggplant,pika,,none,ruby,squinting,yellow,devil,eyepatch
259,0.7,515,90.27,https://magiceden.io/item-details/C4W8JM8Xpd3JNqXwVNmDMb48UYr2U1Nff8vMY8rDBMYZ,cig,peach,earth,,frankenduck,gold,t,pink,head-in-a-jar,none
260,0.55,2066,82.35,https://magiceden.io/item-details/5tbRUVgzq2PiB2fXRNAJoUhdMNcxzMBzHr9tacSNGBAi,none,flaming,glow-up,,blue-sweater,none,nerd,white,all-seeing-eye,none
261,0.54,4103,70.08,https://magiceden.io/item-details/EEyLU7xZD2my616HJLRaRFu17hWC9DRCbFrBQDE2yVVm,none,blue,normal,,none,ruby,normal,white,top-hat,eyepatch
268,0.2,4014,74.02,https://magiceden.io/item-details/4jkNk4dRaCh4byuPfnCrpX7VaVmoVucDgFEQtvcP5Z2X,none,eggplant,glow-up,,interview,gold,squinting,white,all-seeing-eye,none
271,18.9,2091,0,https://alpha.art/t/7FPNrLvxAsBYas94zjJiYeVXDgbkAMHVRL8rNnUUxYxk,cig,irradiated,blue,,interview,none,squinting,white,red-baseball-cap,none
317,0.15,5104,67.91,https://magiceden.io/item-details/4YDAU72phx9b2KEvBnVccmzuynLAmpTq3up7PX94V6gC,none,blue,brown,,none,none,ditto,zombie,none,none
356,0.1,2057,86.91,https://magiceden.io/item-details/EB2nPVzzFxhkQkVNTaTZmC2SgWC4PXUU1NERy49Hexgh,pipe,rose,glow-up,,nipples,none,nerd,pink,red-baseball-cap,none
357,0.1,3064,80.79,https://magiceden.io/item-details/BBUASRUy4dMNCTpg1aw1sACP3kNGVRdXchm34rtkPaSj,cig,eggplant,chad,,green-T,none,squinting,yellow,crown,none
371,0.5,3228,75.8,https://magiceden.io/item-details/C7S49vRS4JFH56pENzDa53SwW1JdspU4LPF929KyfgDs,none,blue,glow-up,,honest-work-overalls,none,laser,white,black-touque,none
382,0.5,2296,81.46,https://magiceden.io/item-details/F19juxHo1gLpFkts2RJzkEzZjWoL7pbJsXi2iCQEvppC,none,rose,blue,,skater,none,half-moon,pink,none,vr-blockchain
391,0.69,49,93.2,https://magiceden.io/item-details/4WGMCF9RgDyjYyVcu6vRncXawoP8sqxD7JKTZi92wtJH,cig,lavender,brown,,punk,hoop,half-moon,white,green-touque,eyepatch
398,0.15,652,94.94,https://magiceden.io/item-details/EXi3b2NtpVAPZQQnCj6kxHraEcW2aAUuqTPpaVMpPjHh,none,peach,normal,,stitches,diamond,really-close,yellow,none,vr-heartbeat
406,0.6,3400,73.75,https://magiceden.io/item-details/FXFT8hdHu8PnjquWHdKeNxC2xvmugrUJtSzRk4H8wpDr,none,eggplant,glow-up,,red-sweater,none,kiss,pink,head-in-a-jar,none
