id,price,moonRank,💎 score (%),storeURL,Background,Base Model,Desk,Favorite Programming Language,Hoodie,Monitor 1,Monitor 2,Monitor 3,Mouth
775,589,1701,0,https://solanart.io/nft/3UYfFzHqNNffe17ccPjc7aAHUDW7qNvbmKhAK8qrY5Fu,Green,Tan,Bronze Metal,Rust,Unmasked Squid Game Hacker,Fabric,Glitch One,Glitch Two,Red Smile
1331,155,7375,29.8,https://solanart.io/nft/GkLgM5BM8vrqtLQS6oJQwRwWNYUH23zwfMqsbKkq8otF,Gold,Natural,Silver Metal,JavaScript,Monke Hacker,Hacked,Matrix,Hacked,Purple Smirk
1340,795,9769,0,https://solanart.io/nft/9LP9FH5tax53uVFj8Rpm6Kz5R3TMbtNVkcRCe9ZcCDDZ,Gold,Tan,Red Metal,JavaScript,Shark Hacker,Trading White,Glitch Two,Matrix,Red Smirk
1535,4206.899902,1,0,https://solanart.io/nft/3f2ftGY3UEzyDJcVHaE2wjefUtPueJcF5Ap7vd3KuBA6,Pink,Natural,Bronze Metal,Python,Shark Hacker,Barret,Barret,Barret,Purple Smirk
2361,151.690002,7866,60.89,https://solanart.io/nft/ExPAALHDyJSQFZJddjKhYst2CEyZ67nPVztPspMJ6Lcy,Light-Blue,Natural,Silver Metal,Python,Neon Solana Hacker,Glitch One,Access Granted,Access Granted,Purple Smirk
2806,405,9727,0,https://solanart.io/nft/EiWDXru4vmeCrn6VkdeSKnoQBX9sWCaEk5QsEoawK3B4,Gold,Tan,Purple Metal,Fortran,Shadowy Hacker,Linux,Access Granted,Matrix,Pink Smirk
2906,161,3778,0,https://solanart.io/nft/FzMWEYc5ApisL2QpDnPHvJMD8ukE2vebV91VqSnkBCUy,Light-Yellow,Pale,Silver Metal,Solidity,Cat-Ear Hacker,Access Granted,Pengulice,Linux,Pink Smirk
2943,195,7844,0,https://solanart.io/nft/HrktfciWdtnSFAxzhuZfv7GMreZ5AJigyEiuU8CGYuwJ,Gold,Natural,Bronze Metal,Java,Squid Game Hacker,Glitch Two,Hacked,Hacked,Pink Smile
3287,777,7,0,https://solanart.io/nft/CfPEDgUzKynZvfRuKdey3knJEhv8XEGB9QywZL1ToazA,Light-Yellow,Natural,Red Metal,Rust,Tech Hacker,Serum,Unicris,Future Finance,Red Smirk
5274,184.990005,446,0,https://solanart.io/nft/6ukzLkYFc6QfTR8U54FXoDGSX2Ece6tFNLh43fqYuSdY,Light-Blue,Pale,Purple Metal,JavaScript,Tech Hacker,Aurory Logo,Matrix,Solonauts,Pink Smile
5878,151,3934,83.89,https://solanart.io/nft/4x1ZBa9HWXXxDuPvqei54i9ZBn7tYo6owsGr39FP7Xss,Red,Tan,Bronze Metal,Java,Captain America Hacker,Glitch One,Trading Dark,Offpiste,Red Smirk
6075,595,6621,0,https://solanart.io/nft/APb8LAWneaUF9NttweZW1AX68eScDykjoH26VsYyd2XY,Light-Blue,Chestnut,Silver Metal,Fortran,Unmasked Squid Game Hacker,Access Granted,Glitch One,Glitch One,Red Smile
6254,165,8271,0,https://solanart.io/nft/7i4GMEpzTvVx3JRHGjahwas9ik1WS38EwVZJsSAT9q7g,Red,Natural,Red Metal,Python,Cat-Ear Hacker,Glitch Two,Hacked,Matrix,Red Smile
7164,869.312988,627,0,https://solanart.io/nft/3D9Hc8QvPW3F4DjFcGYgKBhT5wyCLt8UyPcLs8ZfnTzx,Noire,Natural,Silver Metal,C,Unmasked Squid Game Hacker,Tungstencube,SGF,Access Granted,Pink Smirk
7834,801,2935,0,https://solanart.io/nft/2jBHWZ9rkEPjxyLELzDBU8yQVNnHtBpWfq7Gw14nMVXg,Red,Chestnut,Silver Metal,C#,Squid Game Hacker,Glitch One,Matrix,LIQ,Pink Smirk
7847,555,5618,0,https://solanart.io/nft/4bvaAr63dGDbomJTsMCMUgWVLyUn1ugnbGfJqoY9gQRA,Dark-Red,Natural,Bronze Metal,R,Cat-Ear Hacker,Access Granted,Hacked,Solmane,Red Smile
7851,969.900024,13,0,https://solanart.io/nft/7J8DWFKauRSThgfaqxXCkwJsqHck3JnQL9zti9MXyDL1,Dark-Red,Pale,Silver Metal,Objective-C,Dragon Hacker,Scoopshop,Scoopshop,Scoopshop,Red Smirk
8010,200,9084,0,https://solanart.io/nft/Abs2iydUetmByDhGwov1HDc3irBEHfD2zMcCsdr8T1Nw,Dark-Red,Pale,Red Metal,C++,Punk Hacker,Linux,Glitch Two,Hacked,Pink Smirk
9984,252.990005,9329,0,https://solanart.io/nft/7WFK4dH6MuZPj5BCgrvyibGEtEkGcVj1WYfsLN38gajy,Magenta,Tan,Purple Metal,Swift,Tech Hacker,Trading White,Linux,Matrix,Purple Smile
