id,price,moonRank,💎 score (%),storeURL,Background,Expression,Extras,Eyes,Face,Headgear,Lines,Name,Neck,Skull
6,2.8,6651,42.01,https://solanart.io/nft/2bCqymm8xmzFkTmYa6QXuwUyS9SWqaVH9GLkxNejGd3q,Grey,Deadpan,None,Single Blue,None,None,Cheeks,Axel the Badass,None,Teal Bucket
45,15,897,0,https://solanart.io/nft/5vA1D1dQ4oYtDQ64nBaBa7kDHPbhgDGahVK8f9UThnU8,Yellow,Deadpan,None,Twin Green,Tongue,Golden Horns,Worry Lines,Xander the Brain Dead,None,Yellow Spray Paint
62,10,4898,0,https://alpha.art/t/8Pr68T7u1WZs97Q1LrejwHW7n2q8pwqLfrKS2f6BwFZ2,Grey,Fearsome,None,Red Flames,None,Red Baseball Cap,None,Attila the Evil,None,Blue Marbled
116,1.78,3143,73.3,https://solanart.io/nft/DVYL3aZrNHDr1YJXyPuZjTNYF57Qner8LUMa9ddwnKAc,Purple,Deadpan,None,Tiny Pupils,None,Blue Mohawk,Divot,Cronos the Rowdy,None,Wavy Blue
119,3.33,3839,53.62,https://alpha.art/t/5PgLXbWhAg8pqBz6VWE4MX455RUoLQcXdzG3jXgFCh7i,Royal Blue,Fearsome,None,Matches,Kunai,Blue Mohawk,Worry Lines,Rocco the Chaotic,None,Red Pop Art
165,5,3523,38.82,https://solanart.io/nft/HQqxFrCd1VuJLHQEX6aHoPvBGTiEv4yJ8Ub5MHreCc3v,Mango,Deadpan,None,Slime,Tongue,Green Baseball Cap,Cheeks,Santiago the Stone Cold,None,Pink Spray Paint
177,17,2034,0,https://solanart.io/nft/5JEMeAT1LyqDYE4JUJMqJNZovNufnw7vBhUQdKHqx42m,Royal Blue,Deadpan,None,Pit Vipers,None,Victor's Laurels,Cheeks,Rafael the Drop Dead Gorgeous,None,Jungle
186,5,2665,43.98,https://solanart.io/nft/D1o7rNf7yGyNiLh2gJiNx3xndTDPmHL92tFFdBsxJE7K,Orange,Deadpan,None,Zen,Tongue,Halo,Squiggle,Wagner the Undaunted,None,Pop Art
192,2,4055,65.62,https://solanart.io/nft/4PFU7KDQmnZQD4qCPRpN6ddzLfhZEE9hq6rnKWSr1qkg,Yellow,Deadpan,None,Zombie Whites,Joker Grin,None,Worry Lines,Keanu the Schemer,None,Brains
219,2.2222,3527,66.57,https://solanart.io/nft/7eVAfJ8uVvewriLGBU4sLirZ3vRVjX1Nx3vxcZEuQLiM,Purple,Deadpan,None,Tiny Pupils,Tongue,Blue Mohawk,None,Logan the Mutant,None,Zombie
238,3.33,6177,39.56,https://solanart.io/nft/GT4L9QdfvCkno757Lq3urpF85uQNvttWwp1ddCHWj9ZE,Teal,Fearsome,None,Matches,Green Poker Chip,None,Cheeks,Cujo the Savage,None,Bloody Splatters
242,83.5,1662,0,https://solanart.io/nft/5GA5TWECZWjbo1rEDaaEvqbScbXqWo5Pcf3xTayDq15k,Mango,Fearsome,None,One Yellow Coin,Chef's Knife,None,Cheeks,Cosmo the Unbalanced,None,Ramen
255,5,4306,34.11,https://solanart.io/nft/DSVM61TrVFh9FghGzqaFbzoadNM8i2j4uPetUfHLFzPZ,Teal,Fearsome,None,Blood,Tongue,Blue Spiked Mohawk,Worry Lines,Alistair the Savage,None,Purple Creepy Crawlies
260,5,140,59.16,https://solanart.io/nft/8xkcbumGPMVxQGFgP7fwYNtuczUa9JgJUnrgLceL8Nky,Grey,Fearsome,None,Twin Purple,Cleaver,Purple Spiked Mohawk,Buttchin,Propero the Bareboned,None,Tie Dye Slime
272,15,6399,0,https://solanart.io/nft/DxAEqyzzNL4dqqx3wYVYCfjVSzRWvcsmrHpsF5gPnuBJ,Orange,Deadpan,None,Single Purple,Kunai,None,Worry Lines,Chester the Terror,None,Tie Dye Slime
