id,price,moonRank,💎 score (%),storeURL,Accesories,Age,Class,Eyes,Gender,Personality
36,0.2,2171,64.26,https://magiceden.io/item-details/8mkfZZpyTdytcGAcH3Bd1H7suPNjH9WwboTJMh3j3b47,None,15 years old,Red apprentice,Blue,Female3,Kind
44,0.15,2154,65.04,https://magiceden.io/item-details/FUFKBjXWftqzWNmCURvBe5VdH4QMBW1WQpEphLo8sxfX,None,21 years old,Black samurai,Yellow,Female1,Protective
136,0.2,1728,71.35,https://magiceden.io/item-details/8gX8azcKWLWv2QhEPtGiieXPv81rjmVoq5cxwN8L3xQv,None,21 years old,Red samurai,Orange,Female1,Mediator
147,0.1,1681,73.1,https://magiceden.io/item-details/FTzj3d7hZ2esbo6Dsmv16LfnwPAJudawZR7tPspt645u,None,15 years old,Green sailor,Brown,Male1,Revengeful
313,0.147,2476,59.91,https://magiceden.io/item-details/D1mXedsnvP6wAJuNsNNp78hspW8ck19a97SfCbB3HCRb,None,15 years old,Green apprentice,Blue,Female2,Loyal
408,0.199,2183,64.08,https://magiceden.io/item-details/CASNiEjH5n5G9a7TyuhGkpnuP63EU1ung8NWAPj5WVYZ,None,15 years old,Blue sailor,Red,Female3,Mediator
511,0.19,1605,73.42,https://magiceden.io/item-details/7NW5BDLJQhVGvU6nYfREpJvhhpkvbCqSAethDH2xDBBP,None,21 years old,Medical soldier,Purple,Female2,Kind
570,0.19,858,85.37,https://magiceden.io/item-details/2qeMn8RL1gScV1GY6i72mBc1FCAAhv3jo7dsm4DJEPs5,None,21 years old,Green sailor,Green,Male3,Bloodthirsty
640,0.18,915,84.56,https://magiceden.io/item-details/CCiNBCAJxyuLPiUqXRfAXe5XpVGqSzfznie1oyotLtz8,None,45 years old,Red sailor,Yellow,Female2,Revengeful
677,0.147,1531,75.03,https://magiceden.io/item-details/39Xoqx58hfrpWwEypAympb6Ej7Ye2qw3jDVr53MLmC3N,None,30 years old,Green apprentice,Green,Male1,Mediator
815,0.15,1966,68.04,https://magiceden.io/item-details/Cj6dKajazWHacMG6iFZyPhymtFB9t8vH9NzAJQr2JYkN,None,21 years old,Blue sailor,Red,Male3,Mocking
904,0.2,1373,77.03,https://magiceden.io/item-details/5iNKYMiMYoJsULPB7TeuSg6TZAAzAwkosCtFPDxoRipa,None,21 years old,Blue pirate,Red,Male3,Seductive
973,0.2,1092,81.53,https://magiceden.io/item-details/GadnmTmYVhuo7EmmpfohUap2K1bRiBrTi4j4aAE8o37s,None,45 years old,Red apprentice,Blue,Female2,Mocking
1064,0.15,2370,61.58,https://magiceden.io/item-details/4NABBBrZTk6jfHe1BS1TnYkPdFpFzCkvKRVzbWJPk6T9,None,15 years old,Green sailor,Green,Female1,Loyal
1065,0.18,1402,76.77,https://magiceden.io/item-details/AqcA8gZyCENDiQRGVjsLNwfxzvkqTiyYnExyC2ZX43tw,None,30 years old,Blue sailor,Green,Female2,Melancholic
1113,0.2,1551,74.18,https://magiceden.io/item-details/7fMWCE4GvjvYS47Chc78JuxQR6bawA46QqQrb964M5TY,None,15 years old,Yellow samurai,Orange,Female2,Thirsty for justice
1140,0.19,1387,76.91,https://magiceden.io/item-details/2G1y5Ve8iRbeuWAtkrBuJk9eV9mJSj6GLaxM2xeSdCre,None,30 years old,Brown merchant,Red,Female3,Kind
1198,0.147,2327,62.3,https://magiceden.io/item-details/8MKkJS2Dgr7i68AbmQGMJuXmfept6MqzQYmGLFwoSGjs,None,21 years old,Blue sailor,Yellow,Male1,Seductive
1199,0.2,864,85.18,https://magiceden.io/item-details/bp9kHY8GnosyQpxvvgTVpiFXPWaMDs99JXzsyM1sGjA,None,21 years old,Blue pirate,Purple,Male3,Mediator
1202,0.2,1112,81.21,https://magiceden.io/item-details/HHehuP75asy9K5YruUzqJq51ZzekUySgnLojNNVTJWdM,None,70 years old,Red sailor,Red,Male1,Thirsty for justice
1214,0.15,2189,64.48,https://magiceden.io/item-details/CJBhkYD9xZRqwn9WYJ2JhPAkzn1quGHZkMTfS9aEwhdU,None,21 years old,Yellow samurai,Red,Male2,Mocking
1341,0.2,1871,69.06,https://magiceden.io/item-details/77EtQeXm9DnWGPZMnJLWS6LULmuQDHzDJBCN992Nvrsu,None,21 years old,Green apprentice,Brown,Female1,Loyal
1397,0.2,2373,61.03,https://magiceden.io/item-details/E8x5jjLSPXojfATG7iGk7GJQKGjdE5aYoDi51o4mr7JN,None,15 years old,Green apprentice,Red,Female2,Mocking
