id,price,moonRank,💎 score (%),storeURL
01-R041-S,0.89,4814,59.41,https://magiceden.io/item-details/2h4NcGfgsX4RjWjX5TivrVkrBJaa6uf41tKrnxcunAM4
01-L027-S,0.95,4185,64,https://magiceden.io/item-details/AfMCMfjtnb32B8RpNocMJMrgyScKALEi3NvURC2nitWz
01-R059-L,1.72,1117,81.59,https://magiceden.io/item-details/977wfqfeEcMnpWxZk5A51aT73Xfw8PePXPKPuZegCDt9
01-R070-S,2,3072,62.67,https://magiceden.io/item-details/9Przg6gnoDmTJNusPWNRpfAYQtNfyHgFsdn9A4gw2Uma
01-R025-S,2,3645,57.95,https://magiceden.io/item-details/3k1bn1c5HBrsd8a2eBcdFn4zFw4thyBVNQAdPeZnDT5Y
01-L039-M,2.19,4378,50.01,https://magiceden.io/item-details/FJTNLgsnAiNouM3vCEZUqyCd6C8xwKFxbNnmENvw2JkQ
01-R006-M,2.35,1098,75.45,https://magiceden.io/item-details/6sj7Jtyw2s7sbJ1vE1hraEACQNPxAnx8ZQR3CNTSpZhj
01-L031-M,3,2568,56.83,https://magiceden.io/item-details/jnYLVQUpecmy8jt4LtS5ihUA9CaE7gbfnEbQC11itMp
01-L120-S,3,3484,49.28,https://magiceden.io/item-details/3o68NxqsQXqmqeua3nYpJECMsKRtT8PUyHtBTcJrXXFC
01-L092-L,3.75,780,64.07,https://magiceden.io/item-details/rNpoQJAdNcP5Teg5JQPEXViopAKTmnAQ1Dnkm5c1Siw
02-R036-M,0.93,2850,75.2,https://magiceden.io/item-details/79csbp8BiCpktxcEUhpChaZhoDA1AXFceWViLofUpZb7
02-L130-M,0.95,3098,72.96,https://magiceden.io/item-details/3RyDowZUxwSeMB8QE3MGrqpaYKcJf46An2c3TTSfikji
02-R061-S,1,2455,77.76,https://magiceden.io/item-details/6jAd3RydznNTzNLz14Z6W2H45SkrxdTj5Mme5gW9ADU9
02-L118-L,1.23,3530,66.6,https://magiceden.io/item-details/D8jVgyAg4PSaWs8Q2VRBbdCC696meNBMxheiNe7uxHNi
02-L159-L,1.29,3221,68.55,https://magiceden.io/item-details/AtZnYnX4GCBriGbKkEmhztJzo8JdggRd45A28GEz3inq
02-R094-M,1.5,2691,70.82,https://magiceden.io/item-details/4oPVALN7sXjnmPpansJ2HbxteqVNy1NacmqL5t1q26Eh
02-R043-L,1.5,1027,84.53,https://magiceden.io/item-details/7xcXVxqw1cQH9QfXvEdrMF4w2FuPVrq91o96wiMzAz89
02-L145-S,1.65,4167,57.15,https://magiceden.io/item-details/3rAs3JS9JuTCXjS45oxZAR9ri8zFG8mBgsNWeg2oaWVm
02-R079-M,1.8,1434,78.18,https://magiceden.io/item-details/78B6QZxZc6m9f7NqUrswVG3ZDcWatW9Wp5XkYoSKqh6u
02-L133-S,1.9,2791,65.99,https://magiceden.io/item-details/EpAppkG3YvGkga5kZPsan9SqwdMBuxUSHxos7xenoHHe
02-L158-S,2,1355,76.83,https://magiceden.io/item-details/H35QdzmjmxHdyY1HnLGRcANCogTX1XByMVEHxKSxQthv
02-L154-M,2,170,86.6,https://magiceden.io/item-details/fwuodkVeQVbMDoRnRdXzybUg4tjYAh8yapurb6vqhAf
02-L120-S,2,1781,73.32,https://magiceden.io/item-details/Gvo1WLBNFBpTuUC6SgFdKVD4Vj36npK4r5oMwbuEj3QA
02-L135-M,2.14,2827,63.29,https://magiceden.io/item-details/BpYYG6eyV3rKxdn59UygsiHBZEV952ELWEcZLBvnwhqS
02-R135-S,2.49,4260,47.98,https://magiceden.io/item-details/AAmiK7z6hwKvgQR3izvbCHEcpqhM9nDoZKksvupEcCr
02-L023-S,2.5,588,78.15,https://magiceden.io/item-details/36v1SrthvQpnYPRfagXUPcAkz1JzDCFNmFHMk6LzKhki
02-L176-M,2.5,4474,46.12,https://magiceden.io/item-details/4Qp9FWBVMsG6wThhqKxXytDUZ7dB5K7rBzA87Pu3G4hQ
02-R156-M,2.6,4627,43.85,https://magiceden.io/item-details/2K8DHA6farnLjrWBBvy1c6ses21Ap7QDZ1wSCmpYxGAF
02-L046-M,3,3376,50.17,https://magiceden.io/item-details/28MoaqJftZvqpwpwDz11GbUs4kWyhxm8YAHCD16NuvME
02-R019-S,3.5,2686,50.86,https://magiceden.io/item-details/2ZRTY2ovvLAW6rSnXr76kUGy9jGmEdNV2AmkAb34NgGZ
02-R184-M,3.69,166,69.73,https://magiceden.io/item-details/5VQErzYxFc94ygKXR1c8LkawrCXx5XU3tGT1AkBL8pSf
02-L061-L,2.5,1834,67.88,https://alpha.art/t/99WaojMQZF7pCKJq1pbqPd5TnkJYdnAEPH5TDbWJPTdz
03-L045-S,0.85,3817,68.03,https://magiceden.io/item-details/35H9BtUdZyprRBjxC6iciej4MPHnRSiAkVJ5Uqbz1F4e
03-R148-S,1.2,2877,72.28,https://magiceden.io/item-details/AS47Vwpd7iGB6SQdPChJntUm6Kddy69aGRWtjLGj36Jn
03-L052-S,1.2,4836,56.13,https://magiceden.io/item-details/3PAs79njjnXrWTu8F4dNeonfrexuPFjPuv1K3qAFshoR
03-R054-S,1.2,2501,75.38,https://magiceden.io/item-details/EMQJGxK2vcB1sC9A7pWzAMZDUGE1dc95Y1werYiZkGcu
03-R176-S,1.3,4556,57.44,https://magiceden.io/item-details/AhqxepsBBwrGuVDRxyxPpkWJauUagudLEUYmhVzJTEPb
03-L044-M,1.35,944,86.72,https://magiceden.io/item-details/C6jxrqVg77eBKx1TDiLJ8E6kD2XkvbyVjExRH9wsGJPC
03-R130-L,1.39,1127,84.81,https://magiceden.io/item-details/kxEy4xy9w6XJBBMXKm1xhMRsL3eAqgpq27caABkx5Pb
03-L033-S,1.5,741,86.89,https://magiceden.io/item-details/4rXsRcVUxQvak6QAVeqrF9Cvd1wszmxNqn6omQrx4enM
03-L145-S,1.5,3247,66.23,https://magiceden.io/item-details/8CmrHezG3NinSb6snJb8pnMmkLgGyctEShrwtEdZKt6F
03-R069-M,1.5,3319,65.64,https://magiceden.io/item-details/HGQyHxxBEfjncpi8eQWzqWRisiZAiSJWnJC5xVvG6Dou
03-L105-M,1.5,2028,76.28,https://magiceden.io/item-details/EtY8dZzkDPef6959Y44i2ZPV7PmTsSHToDZoN2zXrx8t
