id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Base,Face Feature,Hat,Nose,Shirt
3,1.696969,3,84.51,https://magiceden.io/item-details/6SAvrGhecdedEuw3MRqY9axPSoJT4btXfAWHkusgbfZ8,DoraeCat,DoraeCat,DoraeCat,DoraeCat,DoraeCat,DoraeCat,DoraeCat
67,0.3,26,97.55,https://magiceden.io/item-details/69tJ8G7u1P1ydGRecgQNea3EPNShkUdaCRPQ9orRSzyJ,Satanic Necklace,Sunflower,Silver,Tears,Wizard Hat,Magenta,None
81,0.8,615,68.88,https://magiceden.io/item-details/Eys8L7JEwrSAw1moLZWHGkGVDvpYFLaWAQ8vJfr7Vi4X,Cigarette,Purple,Silver,None,Bandana,Black,None
97,3,601,47.44,https://magiceden.io/item-details/FYcs4E5T13SziATEzbJ2SmVdzVhGpd9inL1d3L2xHLxK,Cigarette,Orange,Brown,None,Sun Hat,Black,None
100,0.22,560,76.89,https://magiceden.io/item-details/684V75gQ9rJ62m6G389ZqwpwpDbdYYuPBTZh85nTT2tN,None,Cyan,Silver,None,Lucky Hat,Steel Grey,Patrol Shirt
103,0.5,264,85.99,https://magiceden.io/item-details/2EntHVVESjhC9zCNJzq6tzCcMDGyJmgxEMvvjhoL9seP,Pink Readers,Blue,Orange,None,Plunger,Light Blue,Blue VNeck
135,0.9,824,59.47,https://magiceden.io/item-details/65VshJQijqVhJ9u91p8FPmmmKNAkNarz6UZP3ctQCuGH,None,Orange,Silver,None,Patrol Hat,Green,None
137,0.34,171,91.33,https://magiceden.io/item-details/2GZRxrqcLE62FkEVLFrLpx7a6K6ZxLD8QX7UDC5azDA8,Cigarette,Orange,Silver,None,Afro,Black,Yellow ZipUp
144,0.44,194,89.4,https://magiceden.io/item-details/7Z41cRj7tavxcwtwkSpik4BrNR4EwHc3BvZ6TrvVmTN5,Cigarette,Purple,Steel Grey,None,Lucky Hat,Yellow,Brown Shirt
164,0.18,708,71.34,https://magiceden.io/item-details/Caba1cPZ6QvhrBbd5FfCzPYRnQpv883TY6waii38UqoY,Gold Chain,Lavender,Harlequin,None,Flower Hat,Steel Grey,None
193,0.77,657,67.49,https://magiceden.io/item-details/66DCcDnGHxBgLPkaazx4EW5EKVs95TwqcGfCSzkbtWiB,None,Lime,Brown,None,Buccaneer Hat,Black,Red VNeck
194,0.42,820,64.44,https://magiceden.io/item-details/EY2yn7UfS38FXAbNkX2JfHeCJNusKF3X449VagmBkrw9,None,Salmon,Steel Grey,None,Patrol Hat,Sunflower,None
