id,price,moonRank,💎 score (%),storeURL,Background,Clothes,Eyes,Head,Mouth,Teeth,Type
1,6.9,403,0,https://magiceden.io/item-details/3EVGoELwv4FrC2rd9w68pT2ckM82j5zcdQ6VnAKaw5Yx,White,None,None,None,Fire,None,Green
10,6.9,413,0,https://magiceden.io/item-details/F47TbMDSB27nKuEc9HAv5XNvGPaWAjAtYCfrzm7QEMgC,Purple,None,Rage,None,None,None,Green
21,0.781,120,81.95,https://magiceden.io/item-details/8LJFQeYJ3ctTLe5WhdbDfHU5GR7sNRtAHkJs3cuLH38R,Purple,Black Sport Suit,Pink Glasses,Beani Black,cigarette,None,Yellow
28,0.88,435,53.02,https://magiceden.io/item-details/ERFDXC6H2krnCjyeC78c1G8yo7opWpwPpk3qWjdz6cpr,Pink,None,None,Beani Purple,None,None,Green
37,1.5,241,64.03,https://magiceden.io/item-details/EVunxoMPxTgkgbUb8Hq1cs9RexN3ufe8MXHwoXGDcZmj,Purple,Solana Tee,None,Blue Bandana,None,None,Yellow
48,6.9,219,11.98,https://magiceden.io/item-details/2s7CyCPLuQrLp9mK1awdbUbtgAN6xQEXczVWiBSWVdXs,Burlywood,Black Hoodi,3D Glasses,White Backwards Cap,None,None,Light Blue
49,6.9,50,26.97,https://magiceden.io/item-details/8qxad3sJwvmKBvjjaEL6dV5KXmszi2Z9Nke9ayCK1UEE,Burlywood,White Hoodie,Black Glasses,Crown,cigarette,None,Yellow
50,0.098,74,92.86,https://magiceden.io/item-details/xKJt4GmAfv1VM4fYYGmKF5khdeei9LrrEtdKns6RW2d,Purple,Sweater With Heart,None,Illusionists Hat,Fire,None,Yellow
51,5,6,49.87,https://magiceden.io/item-details/BafQD5Qm99JSoMKPjgCCpu1Lg6WZc5SYHqVkPR6zsULf,Light blue,Pink Suit,Rage,Solana Backwards Cap,Red Vape,None,Zombie
53,1,149,77.18,https://magiceden.io/item-details/FeowkHunHNrvQ5cxnPRhXK5eEEUB9Y5FFQnyuPqLoFrM,Burlywood,None,Yellow Glasses,None,None,None,Solana
56,6.9,243,9.85,https://magiceden.io/item-details/AZW38THQCBvtUa2BbrCCGvNizqdaCa2Xevtghtqz67P,Green,None,None,Beani Purple,Fire,None,Dark Skinned
58,0.1,171,84.23,https://magiceden.io/item-details/9hzggX8LYDZMh76LcQmT3Ds7Yw7QZio5AfZnpau1763F,Purple,None,Black Glasses,Black Cap,cigarette,None,Zombie
61,1.5,114,75.29,https://magiceden.io/item-details/AbQgc9bwDC3DpkFAyZ9aDycQzoYwaAnQ3UtFuv29toLU,Light blue,Black Sport Suit,None,White Backwards Cap,None,Golden,Pink
64,0.2,312,70.73,https://magiceden.io/item-details/AHyu8QmF4m8RyVr4aR5z8DehdijUhZw8Mej7taun5X6E,Burlywood,Blue Suit,None,None,Red Vape,None,Black
68,0.31,271,73.26,https://magiceden.io/item-details/ikkF2G4SVcw83RJkFCrFFdmwcK2NSN2YvVm2cz8Dbj1,Purple,Purple Sport Suit,Black Glasses,Afro,None,None,Light Blue
74,0.9,86,83.77,https://magiceden.io/item-details/B6t5aLepocv9wnKdQinVhfysN8xUbqgqBuvY4fDAELJg,Purple,None,Solana Glasses,Red Bandana,None,Steel,Dark Skinned
79,0.29,308,70.18,https://magiceden.io/item-details/DeWBejz2vgLnt2Dqmez9uGyZYcwTFgKx1peLgJW9HTxS,Pink,None,Black Glasses,Red Bandana,None,None,Zombie
80,6.9,364,0,https://magiceden.io/item-details/DkYggzarLojGxnLERA9sKVL4rw3pH7ufETeobzQ4cJDR,Light blue,White Hoodie,Glasses Cyber,None,None,None,Light Blue
83,1,370,57.58,https://magiceden.io/item-details/9k91M7Zovfc4fDXviCXeFmG2ksAxwvhdYx1Pu6LBSkf2,Purple,Black Hoodi,None,None,Blue Vape,None,Yellow
84,0.15,116,88.61,https://magiceden.io/item-details/29bvJ6Wb5oR9opUfJkdsoJTtb6RZrwS7iedMvrmcfPdC,Light blue,White Hoodie,Black Glasses,Blue Mohawk,cigarette,None,Dark Skinned
86,0.99,44,86.6,https://magiceden.io/item-details/Aj4hSQsgJkyxfQ8byBp6RCD4ub7TMueLgpKQM395KBWq,Purple,Yellow Sport Suit,Eye Patch,magician hat,Red Vape,None,Dark Skinned
88,6.9,46,27.32,https://magiceden.io/item-details/DY2kfndEZdZCk67xJk9nQ3cTemrMvmAVw5vujNHTLKKC,Purple,Yellow Sport Suit,Pink Glasses,Fire,Red Vape,None,Black
89,0.14,344,68.49,https://magiceden.io/item-details/8MhdjgofmekgBpMbNYjPwNTtZAB1weaMEK7Sw8hfN3JT,Burlywood,White Hoodie,Glasses Cyber,None,None,None,Yellow
90,6.9,385,0,https://magiceden.io/item-details/82zS6QfXE1ucSiWV24TYR7Cpv61VVeb62Yet925szjta,Solana,White Hoodie,None,None,None,None,Black
91,6.9,282,6.39,https://magiceden.io/item-details/HbZsLky7bweSdTZ7rGjmJXABvH3gwc9Ta8j3MA1Lpopi,White,None,None,Yellow Mohawk,cigarette,None,Green
95,0.06,436,61.13,https://magiceden.io/item-details/92tKnSay3CCP4zeW3uV6jbZt2FrxcArFZiwXthhr8eRN,Light blue,White Tee,None,None,None,None,Green
104,0.08,395,64.57,https://magiceden.io/item-details/DxMmHXiSgZdnKnaguyvukow1nigcSWYKyc9ddtmY6oxz,Purple,Black Hoodi,None,Red Hat,None,None,Light Blue
114,3,340,40.24,https://magiceden.io/item-details/62M8VBrNcJPiYHqh7GyD1VQVHZ1HdbxYZJna3Codnfoi,Purple,Camouflage,None,Afro,None,None,Green
115,2,408,44.21,https://magiceden.io/item-details/BPti5aEFHVQ7epN4Dra74kj6tqa5yUHnT2cMbXfsWwNW,Burlywood,None,None,Beani Purple,None,None,Pink
120,0.1399,417,62.02,https://magiceden.io/item-details/CuQzT9yc3GGUu3N2aeagsVfE3sQ5LW8xP2pU9kqPWAAz,Burlywood,None,None,Blue Bandana,None,None,Light Blue
125,0.15,178,83.11,https://magiceden.io/item-details/5yz3y5AmHL31V8Mg3LRVSpSiSwQPBgGcszBEEJMN1Eny,Green,Blue Suit,Yellow Glasses,None,Red Vape,None,Dark Skinned
127,30,12,0,https://magiceden.io/item-details/AWTm6StGdG4CLrEEDcYEP1ShAgYQQuHbL4iUa9g8JjP7,White,Sweater With Heart,Thief,Pink Mohawk,None,Golden,Light Blue
128,0.25,368,65.26,https://magiceden.io/item-details/GTR2LDBoqVmwqaBATEcKXiGjszmipkqDhiYn1itXRnVx,Light blue,Pink Suit,None,Blue Hat,None,None,Green
132,3,185,53.99,https://magiceden.io/item-details/5ePpTV4g271P6BWPtwnzWrCqRXFCmBcmEwwnenMiGc8J,Light blue,Astronaut,Eye Patch,None,None,None,Green
139,0.5,69,89.28,https://magiceden.io/item-details/3YWC2fCGKpheGBzs4vbQYdFGvMkKbqqMKgJncnMLj3Gh,White,White Tee,Golden Glasses,magician hat,None,None,Zombie
141,0.3,58,92.26,https://magiceden.io/item-details/7CqTgRWFCDyZdpxwnsSMSfZqqL9hk2g29xr1GqaZSNVn,Purple,Yellow Sport Suit,Pink Glasses,Red Bandana,Red Vape,None,Zombie
148,0.1,294,73.32,https://magiceden.io/item-details/Bkq7HPSArKLVFCTnaPQLMxeypUbMAJjzAoHibtP4mMpL,White,Camouflage,Black Glasses,Blue Bandana,None,None,Green
152,1.2,131,76.78,https://magiceden.io/item-details/7BTUHe61rSuP9mA1gopU9B6m7n77f1KTMvvH1iRPce33,Green,Builders Vest,Blindfold,Black Backwards Cap,None,None,Light Blue
153,0.35,264,73.49,https://magiceden.io/item-details/DQuXPY2L1pkSukRfDHARTzDZvj5xbt4KrSRdWhTDVBZd,Green,Black Tee,Eye Patch,Blue Hat,None,None,Green
155,0.11,273,75.09,https://magiceden.io/item-details/Dx4W7ypL6Dvw8uDznxN29U4i4CVHFf4CJscG83RNATFb,White,Magician Cloak,None,Black Backwards Cap,None,None,Green
156,0.12,101,90.24,https://magiceden.io/item-details/7gDUcnUm65mNQqjqVnjh1B8tkjRamemMie8mjgSqUD5E,Purple,Black Tee,Pink Glasses,Spacewalk Helmet,None,None,Light Blue
160,0.24,325,69.18,https://magiceden.io/item-details/A1hz1Sc4Xd3254G28jg1h1q3kM4b2BKn79j5uNnt9QXh,Pink,None,None,Red Bandana,cigarette,None,Pink
162,0.269,144,84.94,https://magiceden.io/item-details/AbGGCJd5GLfL784gnVBVTo5VNaUUiXbNz9dcGiiCqi5e,White,Yellow Sport Suit,Eye Patch,Illusionists Hat,None,None,Pink
163,0.125,252,76.8,https://magiceden.io/item-details/afqQScMaFSfe9Wo4W5JfzKqgRVVvicvWhSD69C8biR4,Pink,Purple Sport Suit,Blind,None,None,None,Yellow
167,0.13,96,90.59,https://magiceden.io/item-details/G6SoBrC4AYfjuVB7ESgNV9CwbHg8XWob2X9kSrQwNoLR,Green,Black Suit,None,Pink Hat,Red Vape,None,Black
171,0.4,128,85.05,https://magiceden.io/item-details/7Dnmz2JE13DXHGHxM7USMhg1oijfuPrGkNLvyBku76Vp,Light blue,Black Hoodi,Eye Patch,Solana Backwards Cap,None,Steel,Green
180,1,233,69.73,https://magiceden.io/item-details/DWvoqVVBHE2HLUiYp9UPYiWyXd7kSJXVQd1SLhNukZPe,Pink,White Hoodie,None,White Headphones,None,None,Yellow
183,0.3,231,76.91,https://magiceden.io/item-details/Adrgxu9qV8DBENYa9kcXFsdqf4zD4QUFwtq9moGtDtuK,Solana,Black Hoodi,Golden Glasses,None,Red Vape,None,Green
184,0.04,91,91.93,https://magiceden.io/item-details/2HhzU7ePgJpz3u6PVkZpcvi8rNQA1xxjWJFMnfF6NSJp,Solana,Builders Vest,Thief,Beani Red,None,None,Pink
