id,price,moonRank,💎 score (%),storeURL,Background,Body,Clothes,Eyes,Hat,Model,Mouth,Reactor
22,0.45,4419,59.16,https://magiceden.io/item-details/Cmdyky55mpN4RVG5PWERSDs3RccdnGQaw6npy82gwzB6,Yellow,Purple,None,Neutral Black Blue,Purple Cap,R4D-69,Titanium Blue,Blue
385,0.5,4219,60.37,https://magiceden.io/item-details/78t4YfRPvyd8QuuizCosTny2WyTkqMGS77rHsUPuA1WE,Green,Blue,Pink Sport Bra,Angry Black Red,Beanie,R4D-69,Green Blue,Green
432,0.28,3311,70.33,https://magiceden.io/item-details/EKP957SYTXnZWKzaPX6ThqaaxrYSbR8wAoW3yMfgYBng,Green,Black,None,Skeptical Black Red,Party Hat,R4D-69,Blue Red,Red
574,0.14,4101,64.98,https://magiceden.io/item-details/BAuHLFq3wfEwAjP3neiaejwJiUmZujvu5tt3tSE6FTiY,Green,Green,Yellow Sport Bra,Skeptical Black Red,Purple Pink Backcap,BLZ-420,Black Green,Blue
735,0.24,2608,76.73,https://magiceden.io/item-details/HYain16hc49ZDM1qZAwnw9oBmr3UY2NWe1oJ5FGK2EPu,Light Purple,Green,White Vest,Happy Black Red,None,R4D-69,Green Blue,Red
1167,0.25,2470,77.81,https://magiceden.io/item-details/D9z2PdmhSN8ZBaabUzWmgHRThknSKj8vz9ufRkXqMh5R,Red,Green,White Vest,Evil Black Blue,Purple Cap,BLZ-420,Yellow Green,Red
1356,0.2,1160,89.49,https://magiceden.io/item-details/CVs1ek7ytnzZcK2CLcwCKVECAKR29JEKqXDzGKwC5rz7,Jupiter,Blue,Yellow Sport Bra,Evil Blue Black,Purple Pink Backcap,BLZ-420,Blue Blue,Red
1550,0.38,4651,57.88,https://magiceden.io/item-details/CfW5K7NniJoPy1UTKCMFeaVgHdZSEHrNbaan1gyQaCEC,Green,Blue,Pink Sport Bra,Angry Black Green,Purple Cap,R4D-69,Titanium Green,Blue
1807,0.28,3090,72.21,https://magiceden.io/item-details/FYVf93SZTfRyyhZNwRWJC3gix8mBQyayAvJFywqhp4RR,Green,Blue,Red T-shirt,Pink Ski Sunglasses,Leprechaun Hat,R4D-69,White Red,Red
2132,0.4,831,90.3,https://magiceden.io/item-details/2baNxxnMaSWWzTH75cPw93LY2kLNLNQvguHRTcQxhqzR,Pink,Purple,Green Sweater,Sad Blue Black,Headphone,BLZ-420,Black Green,Blue
2362,0.15,4205,63.99,https://magiceden.io/item-details/Aw43veumrpwjCJe9gMTWNu4LRrKT46YB55pwFDNQSX81,Blue,Purple,White Tank Top,Sad Black Red,Headphone,R4D-69,Pink Red,Red
2409,0.15,1284,88.94,https://magiceden.io/item-details/JAKdsWN5H1xgeAfZitbLNfMr15ozBUd4bhABDuqJs2xp,Yellow,Blue,Purple Shirt,Bored Red Black,Headphone,BLZ-420,Gold Red,Blue
2629,0.45,746,90.53,https://magiceden.io/item-details/CVZJX7pFEvuZGHQTi1BjBADmcTCDeSQrHhzaTEjxf2Ni,Jupiter,Red,Pink Sport Bra,Skeptical Black Blue,Bandana,BLZ-420,Blue Blue,Red
2734,0.44,1317,85.75,https://magiceden.io/item-details/3HSYSRNGgZ7Q8oqLfZUyR1eCs4B3bCtgdn9SDzH9mqcS,Light Green,Green,Nun Robe,Dead Black Blue,Purple Cap,R4D-69,White Green,Blue
2817,0.4,126,96.32,https://magiceden.io/item-details/9bG2SU993r72kADzpnarPworn9jVhgSHYqgLufT1nnwN,Blue,Copper,Purple T-shirt,Yellow Sunglasses,Military Beret,R4D-69,Titanium Green,Blue
3625,0.4,443,93.62,https://magiceden.io/item-details/BoX5U1gso4bUtnv5i3rJLLzMhEC9rt8yKGpUNxuxgzRV,Light Green,Purple,Orange Sweater,Blue Ski Sunglasses,Devil,BLZ-420,Titanium Red,Green
3675,0.4,3459,67.86,https://magiceden.io/item-details/86ESKfNkc7TKoM4SjDFs3RTra8yH2JeBcnrePR3urjir,Purple,Orange,Nun Robe,Happy Black Red,None,R4D-69,Titanium Green,Red
3766,0.15,1268,89.07,https://magiceden.io/item-details/5BKQiGYLN7MDNEG6x2NVRYST46sQXrydrnHACcPMeJXY,Jupiter,Green,Green Sweater,Bored Red Black,Leprechaun Hat,R4D-69,Yellow Red,Red
4192,0.14,1306,88.85,https://magiceden.io/item-details/3pV9tnwAiD6c6pNgqFzJuTwXoc84HmTY1S5idAPGreqA,Jupiter,Orange,Yellow Sport Bra,Dead Blue Black,Beanie,BLZ-420,Red Red,Red
4818,0.18,4684,59.6,https://magiceden.io/item-details/2vzpA76ais79n5idqQEsj4N6H3EgQLFC4rdTrVY4Ne6b,Blue,Green,White Tank Top,Dead Blue Black,None,R4D-69,Green Blue,Red
