id,price,moonRank,💎 score (%),storeURL,Accent,Background,Base,Bong,Decal,Effect,Liquid,Mouthpiece,Sleeve,Stain,Stem,Sticker,Stone,Texture,Weed
8,0.1,805,69.94,https://magiceden.io/item-details/GDPuzZp7ckHDssipXDqcsjbtciCtwPRBe4wgZCXJJQPK,Red Accent,City Skyline,Chemical,Green Base,,Weed,Water,,,,,,,,
12,0.15,753,71.34,https://magiceden.io/item-details/FGiSBoRL5vCmKoBBTCJuMYA15FuarjMZnji9k9ZNqYJ4,Purple Accent,Cherry Blossom,Chemical,Yellow Base,,Weed,Beer,,,,,,,,
28,0.15,836,68.31,https://magiceden.io/item-details/FTLqX3YnVpQZpbmvFSzUjRxYYrAymEZuYnRHq9WrQzX1,Blue Accent,Sky Blue,Chemical,Yellow Base,,Smoke,Water,,,,,,,,
47,0.1,349,86.63,https://magiceden.io/item-details/3royX5hZFB2FHgC53T3YgbgEp52PNNqKA5FboqVxDRhA,Brown Accent,Green Spiral,Chemical,Green Base,,Smoke,Kool-Aid,,,,,,,,
72,0.159,793,69.79,https://magiceden.io/item-details/51h9J7bwZfPave1yNSuViUpDsbw4JboJ2kBA2HfWo6i6,Yellow Accent,Dream,Chemical,Green Base,,Weed,Mtn Dew,,,,,,,,
121,0.07,671,75.14,https://magiceden.io/item-details/DQSgQL1mdVgMSzfei7H4oHCJDFvyV4hudqtXHyivMVtP,Brown Accent,Pink Spiral,Chemical,Cherry Base,,Weed,Grape Soda,,,,,,,,
124,0.05,559,79.44,https://magiceden.io/item-details/FzzPatrw8La1NkC2u6BimDPAP4KvTxouYC7YtZ8uj1hm,Lime Accent,Pink Trippy,Chemical,Lavender Base,,Weed,Grape Soda,,,,,,,,
127,0.159,624,75.97,https://magiceden.io/item-details/2joj24HyQfokoRNdbw7Z2jP7Li67mrYHm2SPniFX9Hzq,Brown Accent,Sage Green,Chemical,Green Base,,Smoke,Beer,,,,,,,,
161,0.1,676,74.66,https://magiceden.io/item-details/2tZhCaz9CnzFLC8W7xWPaNoSudN31gc3HfLdo9A5jpwY,Red Accent,Purple Spiral,Chemical,Orange Base,,Smoke,Water,,,,,,,,
174,0.15,867,67.17,https://magiceden.io/item-details/2MGzGP9Kz8vXumMZ28tz8eA1yiYEppkariq4fAWv82cA,Purple Accent,Astral Morning,Chemical,Green Base,,Weed,Water,,,,,,,,
206,0.07,612,77.3,https://magiceden.io/item-details/9eBwnpMf1HvbWq3GYASb56YBiThFitqjT3to7LxSDZS6,Lime Accent,City Skyline,Chemical,Orange Base,,Smoke,Beer,,,,,,,,
518,0.07,523,80.56,https://magiceden.io/item-details/A8ukSYXophFLJ9SWvujkLpTmB5HDBZ5tiDVCFtyVMBfz,,Sage Green Pattern,Lime Base,Tall Bong,,,Beer,,,,,Flame Sticker,,,
1695,0.1,953,64.52,https://magiceden.io/item-details/5cZCvnzpShj2ENJMis9erWKL11htDqeKX153v7Pm4Uw3,,Sage Green,,Mushroom,,,Grape Soda,,,,Shroom Stem 2,,,,
1720,0.07,975,64.02,https://magiceden.io/item-details/HT9wKqSshKgrMYGFC51q3Joh5TeD5NghCF6qzL6573VM,,Sage Green Pattern,,Mushroom,,,Mtn Dew,,,,Shroom Pipe 2,,,,
