id,price,moonRank,💎 score (%),storeURL
SOLGods 1124,3,6111,63.29,https://magiceden.io/item-details/D7jpdgSNtCLkmq59ESfxPXNDEGdM3tDa9fu1KdThgTGg
SOLGods 3883,3.05,5794,64.69,https://magiceden.io/item-details/14WagPToN7FHbKeQKjGqfAw1KctTwXcBcpg7aYbQAU8Y
SOLGods 1911,3.2,3559,76.62,https://magiceden.io/item-details/2MZhSk8i9p7h1oXG7jYpbKZpPcyJjDDDVN2f6fvU1nhH
SOLGods 2692,3.25,5310,65.6,https://magiceden.io/item-details/3jpfJ4wCpDqcB4SKbXR66dgzzo3UbqfjTTEewKrNX8u3
SOLGods 1433,3.3,4925,67.41,https://magiceden.io/item-details/4xXBiybCh5vnwWVzHasQAeDLZZdQTfqAKTXjYZGZtyXC
SOLGods 2261,3.35,5008,66.41,https://magiceden.io/item-details/8aAMGxwW8phBVbmARnigMUApWUi2oYGLqWCWXgbzQTgT
SOLGods 4473,3.35,3368,76.27,https://magiceden.io/item-details/EpZm6EdPbmJCKm8cRQxENsyhDZm66CkN5DMpQm3PBMJZ
SOLGods 5548,3.4,5076,65.5,https://magiceden.io/item-details/HHdJKjc1VtB9EYk3Neef8mUhpctRpJ7A2Wsk5QPDxqPx
SOLGods 74,3.47,5368,63.05,https://magiceden.io/item-details/AhSFYQzBTRrhMx9v416Zi7wYG5Wkx7KpZDzryEH5TMt4
SOLGods 102,3.48,5398,62.77,https://magiceden.io/item-details/9UBDE5ARtCLnxDEpdpW3pdDiqL1Uj3gBCssqZAbzy2LF
SOLGods 1187,3.4969,5936,59.37,https://magiceden.io/item-details/2ucw9vMaDgPGUv32qiBptYvDPTHxzDr4iM58RJ6ECSe1
SOLGods 241,3.5,4893,65.6,https://magiceden.io/item-details/8aZnoduzmsLkCQKGSSdxbzEFjWcrheVezoByKNW3nKZ4
SOLGods 6347,3.5,3467,74.17,https://magiceden.io/item-details/66PW55gwFUuFe71WaS99gaeyz4Dkg5CFxP64fZ5ZvwL5
SOLGods 5803,3.5,5945,59.28,https://magiceden.io/item-details/CCA8cYCFtvHtYd4c5mJt9e4AxhPBrakSCjFTFDVKnJQb
SOLGods 1556,3.5,5804,60.13,https://magiceden.io/item-details/GAp3HFuPzB4KeiHPDcqriBZ2Nn2nQp2fwKrZhQsqBAxK
SOLGods 4818,3.5,3785,72.26,https://magiceden.io/item-details/7NFuHsDXB7xehXxs6sUjaXipEEMge5HAvGzpb6G8yGTA
SOLGods 4219,3.55,5321,62.53,https://magiceden.io/item-details/5mTi19AAuj27GZ4kN3WKcSEMt6TPDwTnwSezPk4tpy8k
SOLGods 3211,3.65,4915,63.97,https://magiceden.io/item-details/CqtxQ8LpcoumsJdmDuZu8wULVSM8h94P9hz4kezAgoEm
