id,price,moonRank,💎 score (%),storeURL
3,5,3381,30.76,https://magiceden.io/item-details/DY3ctbb3XuYJ8oNvwrsUzWGg6PJ1KcYFfArgCBnKXmsh
17,3.42069,450,78.57,https://magiceden.io/item-details/9jcenuViCTMDgpngzybzPv5qPDM8E2NxqTDCv6D4e2K9
31,6,836,48.56,https://magiceden.io/item-details/4PsvfCsELyw6egSYsX3ctKTgFiXMBSBUKvhPz3fhg9mu
39,6,2726,27.92,https://magiceden.io/item-details/9WeABysm4xgwJ4cpK22NdYrDbLMTxQ2tbdxCjcPiCoqZ
44,4,3058,44.29,https://magiceden.io/item-details/5xfKBWWQpMrby1FmPPos8HkfdD3m5VwRMo21UWYuAEjH
47,2.5,361,88.75,https://magiceden.io/item-details/6DX881RqvvktGXgzSKNeYR8zJvQVJ8YwdepMkwf7uh4s
53,2.2,1740,76.69,https://magiceden.io/item-details/Cb63DPWbkhcwSVqM3QpvYrGvFZtCXWwtxk9uAAtRvh6H
56,5.5,46,62.19,https://magiceden.io/item-details/7aLb39sKbnSpgDjD4dzLcvhvyaDnd8a32LvnYG4RtHmY
60,10,2352,0,https://magiceden.io/item-details/9VLm1h36fDt3jwCW4fziHviNM2f1YnYLVdWgJegCz23i
66,10,66,16.97,https://magiceden.io/item-details/Fz6uXj2EAnjeDvoPoFeZHMDknUU1yX4tzRS2rWMRCHpL
69,6.9,2206,24.6,https://magiceden.io/item-details/2vWoLwgHnjNJ5TJN7ahbrYDWcDyXYtR9CqQUaCtyoHGD
91,4.96,2609,39.6,https://magiceden.io/item-details/3ZvzSei8XWAnGKUvufRawguwaMoCCfhUNHzvzEworP5o
99,10,89,16.72,https://magiceden.io/item-details/3qsWSDkVptFCjHHj4w6aDYpbCPWjE9UrakpHvD2GLrNf
114,3.9,926,68.58,https://magiceden.io/item-details/6MaboFNhJ7NWsLcKUX3picv68y7NGp5iG6M8QFA3rQmd
120,2.4,1162,81,https://magiceden.io/item-details/DekyAqFGz7W8b8JC7fBYXHtBCETGZqCUAC8HSKC9hHr9
122,1.88,3185,64.1,https://magiceden.io/item-details/6ph8KNbvwPpw9kFzd7VtzKCJZCA4TAcoDDhnoMvKXNNh
123,1.9,3348,62.12,https://magiceden.io/item-details/7hn3TV3JfxbkZ9GARVGmiinXPxmrpVvXo853X8PDm8jc
124,2.2,853,86.38,https://magiceden.io/item-details/AEN39TnbSfsQh7EXR8NN454hZY8vqrm9aJ6c3vscrfJj
136,3.9,254,75.92,https://magiceden.io/item-details/GxisuwGjf7Nbq7RQk3TviV9bakKTpycRHNJgazEgRXQC
142,4,2804,47.07,https://magiceden.io/item-details/4pyHDGvP21aar42xNnAD9BchmtBUDRmHskTKMooxg3BZ
165,3,1517,71.12,https://magiceden.io/item-details/6oDU1xJxEm6i4iGpakpTbnER3nfDTzEk4A4mjKaTZYQQ
166,2.5,3225,57.47,https://magiceden.io/item-details/7a7TJ7CC2Wfd4DkhCKfxJVhSvFyp7UUMz59DiT4DmAwJ
179,1.8,1475,83.58,https://magiceden.io/item-details/CYvZjRFfw2jfHiV3mE12wQy2u28ioa19atjXbPQnuQK9
200,2.2,2963,63.33,https://magiceden.io/item-details/ysTm2588fGb9hEnW6apJMUS683EqCSGDdmui8aweymx
203,2.5,1072,80.98,https://magiceden.io/item-details/DA3rQrcytry5QLynoD8ywrBabTvWnZsZvPBs7cmP7pFB
208,3.3,1035,73.39,https://magiceden.io/item-details/AaGSSkiX52Jreh19gKTgi7dQT1jvFmP4Q2nyUn29311n
215,3,1459,71.76,https://magiceden.io/item-details/A5AoxfrCq9YYFHrhj2yWM2sazXrzYrC7t16Ry4yrB4dc
221,4,786,69.11,https://magiceden.io/item-details/Ei1veTeXzBN9kkLJu8LszyMeEgKqvHx5ogrtoA81hPLw
225,2.14,517,90.65,https://magiceden.io/item-details/EqVTK1JWoAh8M9VxMXcanufq3u5rNSxuZhAafue9tdd8
234,4.5,2909,40.92,https://magiceden.io/item-details/84vyn63ZnBDgjBtAGFZP41L1mvYPevRF5CsKf7eG8wfv
241,2.39,3373,56.95,https://magiceden.io/item-details/5PzB2nzPDpWdQTMJbjoFD2bENTtbEsGLwjmwvfy7eWBh
249,2,675,90.32,https://magiceden.io/item-details/21gRx4iomuSHmKX9tpzS8SYLPrEwTgPUEHzVhCvatztT
252,2.99,2039,65.52,https://magiceden.io/item-details/8wmnMQixhg3K8LRFcusFuiYLYZ12sA8VmRAoykgAemXR
254,2.7,2010,68.74,https://magiceden.io/item-details/HU64sFxcZ1jLgipQUzkSTbMGQ7YTiQa8cbtyJmjbyXjR
259,15,3,0,https://magiceden.io/item-details/Bx34x4agqsLiGaULBAiagHNHZ2f7dUrNaf4mRHmQyDnn
262,50,436,0,https://magiceden.io/item-details/4YbY1hWXWaG6UFHKhacWvM9H6amiFyAzW7g2HLQVpDxR
265,2.49,2516,65.31,https://magiceden.io/item-details/3ov2vjVZATm5XbdWszvJG5zzLhyL4c4oNhgBxV6w3EA3
274,6,1571,40.53,https://magiceden.io/item-details/FtQq6eJL7SjgUKqP1DvEWnaPJb62usUqosf3z6EH6JNG
278,20,209,0,https://magiceden.io/item-details/5YiDZf2jkwW8Zyx8PpUHAof4FsiM13iWSjVvhoEdCLQW
289,2.2,653,88.56,https://magiceden.io/item-details/A9zyRrJvJiqgWnSUYks2dg1YGDbExPwX4Ecj8dsJgDhz
295,5,731,59.71,https://magiceden.io/item-details/9oNpXtgjjJ9S7zZNXTm6zvmHPcTZC9tKNBsGnrP8Pukx
308,4.69,1125,58.51,https://magiceden.io/item-details/4rTVFh1BBszQJUrV8pzQtGfXvJEtcidsDPb2wz6fXctV
322,2,1019,86.56,https://magiceden.io/item-details/4JVgXfc9mdN6Y4VxyQHZ6bZgWus7ZmU7ZWapQF447ZoC
324,2.98,2226,63.58,https://magiceden.io/item-details/DpsvHjasvRZXCNitqsPbNShzN79CZ9JGPkiAdAu1Ssh1
333,2.1,775,88.23,https://magiceden.io/item-details/5DnGPYsSEaK2VNA3rmVbF4fntbrAPuqNQRH538m6TeqD
339,8,1099,25.69,https://magiceden.io/item-details/3tHv6vpYGe8u7xwq1c9mYNnbXqvmQXLBoqVCrCfkauVv
343,4.95,1648,50.19,https://magiceden.io/item-details/3spZXb5hkqHdGCvxZffnZSnoVFjkn8JhSRVCw46miGYp
357,2.49,680,85.37,https://magiceden.io/item-details/YRSJHoRXiYNH9REkdwGpWdHvQwYqUtwTeydsgUWNWG3
359,2.11,2444,69.9,https://magiceden.io/item-details/DgxpoN17MjYjsePVaekSs8Vu5ugE9dZ3mTokPfiEo29b
360,2.95,424,83.56,https://magiceden.io/item-details/7vsSTWy2knn3ALLpxGMaKmDkhAsmdhe5kLmm6kob6Qmj
368,2.7,713,82.91,https://magiceden.io/item-details/Aq6GkVgnxqEUSGmSkH92yp2LuNjc6zX24qgmLc4ZQMTn
380,3.9,3482,40.66,https://magiceden.io/item-details/FEHTDtwdJbSuBmDetYBuiJGg5xZxLetybtniq5JErv6z
382,5,2643,38.82,https://magiceden.io/item-details/7RqYtQkAcmj1GsjZYZQ7iR4utXAaBAQEkwLgXye3AhNK
386,3,1068,76.03,https://magiceden.io/item-details/3jfeudDAXNe22BVVzNQHmvsEfK1GFjATbrFNdbBLhw4J
387,2.99,162,86.02,https://magiceden.io/item-details/5qAEcXyqzJDokVCqKGwPBCwDLec88WTodzB2XxJR8DYa
