id,price,moonRank,score,storeURL
2,3.3,944,1244,https://magiceden.io/item-details/A6m1H4qGrqGrXF83ooPzjW1Rn2Y4hv9V1QdfxzvaZsaE
5,1.5,807,927,https://magiceden.io/item-details/DCAQ3tnmUtaonCQS1tfSeHLoo6Q25t942A1jShk7k7Ti
11,3,828,1098,https://magiceden.io/item-details/AXJEmgrPQcMi91GAHyHsdQHybHXg9xuamb4C8wezSBwZ
28,2.89,397,656,https://magiceden.io/item-details/3mC8XG29oG6i5vCcsyaay6ar636S3DabLQeWoJVL4oVP
33,2,1111,1281,https://magiceden.io/item-details/CB8ssRpRcsqu2QiP26YVJ8V9qQ2ZSofum1URKkkPZnKk
34,1,776,846,https://magiceden.io/item-details/3YFcA3d9wHtC6W8m5qoHCHKvdRoMTMXn4TgRsZh82qcw
38,1,382,452,https://magiceden.io/item-details/74yJQgj2n2DVpMbKZHF1iGSGrkNJJwTyYdEDiVK5vDsD
41,0.5,600,620,https://magiceden.io/item-details/HcriatLrinpZBocyC3WHbhbmVrHnKzUHuusZT6g9PwYX
42,0.666,106,142.6,https://magiceden.io/item-details/3aeYNNQ2HqicDuaeybwosYZbd3j3NtnmufLs6Sb1k2r3
46,46,924,5494,https://magiceden.io/item-details/HVERy4u8ucpD4ddnC3Hp5fYW9bdVQmVeT9vJFhvBMzy5
47,1.99,636,805,https://magiceden.io/item-details/5692QK4e3KSSPUkLsCHteywacETuZGhEkmX2cTT75FTi
59,1.9,15,175,https://magiceden.io/item-details/7BnEWY7f7p1HisnL6U4RySzWpgXmXdqFqNwsJhzFQyGs
66,0.9,790,850,https://magiceden.io/item-details/79upb4PZ4GBg7rNtiwF3piJagTFJgJheZF2ysNFZCdRA
74,1.5,517,637,https://magiceden.io/item-details/9r3frXopZ9WYPpcSZyuXjdToqejGtSnLFWhwF6hFdYkt
76,0.4,1109,1119,https://magiceden.io/item-details/Eq1QXCzjE7tFJh8Vu6Zqc2Q4WjkNBcV3jz6F8THHpHbG
80,1,931,1001,https://magiceden.io/item-details/7MfEL19kFrdbL4sprYRt12iPmKbDdCx59FcHGP8QzqXJ
83,1,829,899,https://magiceden.io/item-details/ESWUcTsSaKSoieJYZTqEGTdTHnf7RmYqmxCVxPFAVWG9
89,5,266,736,https://magiceden.io/item-details/4jy8fcvijXZfm5pWvo5Koh2cMaCxwzudnMjr6z5mH5mE
100,2,362,532,https://magiceden.io/item-details/85ZH4YuFt3i8gNGmTpYdjMAwrQ5Ckx3uqfHPu8QN2C4d
101,2.6,971,1201,https://magiceden.io/item-details/92RxakQW4su4V7RAjpWpY26WM7aTp2Xi6YoEyL53bp4R
105,1,439,509,https://magiceden.io/item-details/EgLqteCAbhXfuY2nThDVhWKsLfEopuRaHnbSYTziaZof
116,10000,20,999990.0000000001,https://magiceden.io/item-details/4bPcLKYoVM6JZ9t4a5FxEuXVxB6onZbVdA2U9jjHieHj
117,0.3,446,446,https://magiceden.io/item-details/FcMZQFAHCoo4Tt5dUDnA5MdxYQu4aJXrTRZQRLchDv4f
121,1.8,1078,1228,https://magiceden.io/item-details/jt2PMCPpchCYbcyxjdd4MNDmuCHxEuVK3SY25vp9cu6
122,1.25,565,660,https://magiceden.io/item-details/79x42j5vyFPvH92rxAGZFC7Aiy7ZDd8UfSpgEv9nVvDZ
127,2.13,291,474,https://magiceden.io/item-details/HCdFsMR6jM28CcCxVWWQa4voR79wgpQ3NbPGyVeyTwYE
