id,price,moonRank,💎 score (%),storeURL,Background,Community,Sock Color,Sock Direction,Sock Type,Special Traits
3,40,497,0,https://magiceden.io/item-details/3xa1okK5zpiBi7QEkNzYN41vHKniarFBbiTueq2ATdNW,Ocean Teal,None,Solana,Left,High-Top,None
5,169,14,0,https://magiceden.io/item-details/9x1byzzLHjDNgfqaEpHSGfa28hrZZfqGv7NUVXxyunH3,Fire Orange,None,Solana,Left,High-Top,Upside Down
6,140,499,0,https://magiceden.io/item-details/CS3KGvjZttRo6hLGrLo4hPWw3xBj5GtD3tW4x7FPX5DA,Orchid Purple,None,Solana,Left,High-Top,None
13,24,144,0,https://magiceden.io/item-details/8TLgziaKFfVmUHTVS7W7WPfXU6JkCzYniDFuVpphAHyX,Ocean Teal,None,Radioactive,Left,High-Top,None
16,15,167,35.61,https://magiceden.io/item-details/4dRVXbmmJ2BuCbAxJ7y2PRuRwhhYCaJHCBeubu8Bubve,Orchid Purple,None,Radioactive,Left,High-Top,None
19,50,189,0,https://magiceden.io/item-details/AnP9h3e3RhwEwjTQeZCqXmsEtWG9JqwnouYa9b2CQZa9,Space Grey,None,Radioactive,Left,High-Top,None
28,35,250,0,https://magiceden.io/item-details/7UqW5GcxBTuno5fU3cQNKG3biCm5wDPsLuCZ7wDJUxG8,Baby Blue,None,Satoshi,Left,High-Top,None
40,27.777,328,0,https://magiceden.io/item-details/4ah64GUN5yREw6oehhmePoaaJ5MhzyXVh497ZwTLCCT9,Sand Beige,None,Fusion,Left,High-Top,None
47,13.9,381,29.46,https://magiceden.io/item-details/DjnJ5xc6iBbbG8Ppo87XAnEwY9hQ9JQ3cQmBLfr2dWEB,Crimson Red,None,Valor,Left,High-Top,None
49,16.9,397,0,https://magiceden.io/item-details/2uBWGmVtPFL3RGPECrji573daktMrXWHLgSnmojuqoLD,Space Grey,None,Valor,Left,High-Top,None
56,15,47,45.23,https://magiceden.io/item-details/5Z8BVoFNb4kbU8b7yNNxC2cvLmmtwTxYzhi5r1ayHZRL,Orchid Purple,None,Lore,Left,High-Top,Flipped
59,20,412,0,https://magiceden.io/item-details/Eigmf3tGowqq3xFKz6nMeHz2WsqULGCrm2hFcTVLTBvF,Space Grey,None,Lore,Left,High-Top,None
69,100,419,0,https://magiceden.io/item-details/4XecQF46kowt2pSGxTsWPEGm2dZ8UzAXGB3s2TutYZDJ,Space Grey,None,Plasma,Left,High-Top,None
72,87,18,0,https://magiceden.io/item-details/6Q5r8jafPLDEqpxwyFs61VNCCmPzcCF3Q9SafKguXEnf,Navy Blue,None,Atlas,Left,High-Top,Flipped
74,15,422,15.17,https://magiceden.io/item-details/74d3PaV6yDxFtzDoQCbwEA3XbWYSuZXCtvhkpD24E1UQ,Toy Green,None,Atlas,Left,High-Top,None
80,19,428,0,https://magiceden.io/item-details/Hc3Gkc1FY9e7pM63yYHcYpGx6FJRQMpnmLSTD8nLmwya,Sand Beige,None,Atlas,Left,High-Top,None
84,25,50,0,https://magiceden.io/item-details/8JmgMhmxdv447hfm4kLWPZCHpmqpbxZ38hAwvvBTPPRp,Toy Green,None,Scorpius,Left,High-Top,Flipped
